Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
"Subject, object, and locative marking",Subject marking,,,,"The subject marker is obligatory, whether the subject noun is used in the same clause as the verb, as in (\ref{bkm:Ref452540561}), or is absent from the clause, as in (\ref{bkm:Ref74906677}).\largerpage",bkm:Ref452540561,\gsrc ècí cìpùrà càcôːkì | \gll e-cí ci-pura ci-a-cóːk-i | \gls AUG-DEM.I7 NP7-chair SM7-PST-break-NPST.PFV | \glt ‘This chair is broken.’,bkm:Ref74906677,\gsrc càcôːkì | \gll ci-a-cóːk-i | \gls SM7-PST-break-NPST.PFV | \glt ‘It is broken.’,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Subject marking,,,,"When the subject noun is not used in the same clause, the subject marker still agrees in noun class with the intended subject noun. In (\ref{bkm:Ref452543253}), the class 7 subject marker ci- in the verb cìbònàhàrá ‘it looked’ refers back to the noun phrase cìmbòtwé cìnênè ‘a big frog’, that was introduced in the previous sentence. In (\ref{bkm:Ref452543245}), the people that the speaker describes are standing close by and can therefore be inferred from the physical surroundings.",bkm:Ref452543253,Not found,bkm:Ref452543245,\gsrc bàkwèsì bàkòndòr’ óbùjwàrà | \gll ba-kwesi ba-kondor-á̲ o-bu-jwara | \gls SM2-have SM2-brew-FV AUG-NP14-beer | \glt ‘They’re brewing beer.’,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Subject marking,,,,"Subject agreement becomes more complex when the subject consists of coordinated nouns of different noun classes. Different languages employ different gender resolution rules, i.e. the strategies which determine agreement with coordinated noun phrases, which may be based on (a combination of) syntactic and semantic criteria \citep{Corbett1991}. In Fwe, class 8 agreement is used, at least if both nouns are non-human, as in (\ref{bkm:Ref451258925}) and (\ref{bkm:Ref451258926}). No distinction is made between animate and inanimate non-human nouns. Data on the agreement patterns of coordinated nouns referring to humans are limited. Although this requires further research, it may suggest that Fwe tends to avoid such constructions.",bkm:Ref451258925,\gsrc zìzyùnì nàbànkûkù zìzárà màyîː | \gll zi-zyuni na=ba-nkúku zi-zá̲r-a ma-yíː | \gls NP8-bird COM=NP2-chicken SM8-give.birth-FV NP6-egg | \glt ‘Birds and chickens lay eggs.’,bkm:Ref451258926,\gsrc mwêzì nèzyûbà mùwírú ꜝzínà | \gll mu-ézi ne=∅-zyúba mu-∅-wirú zi-iná | \gls NP3-moon COM=NP5-sun NP18-NP5-sky SM8-be_at | \glt ‘The moon and the sun are in the sky.’,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"Object markers can only be used when no object noun is used in the same clause. The noun class of the object marker corresponds to that of the intended noun. (\ref{bkm:Ref448142515}) is the answer to a question about ngùbò ‘blankets’; as this is a noun of class 10, the class 10 object marker is used.",bkm:Ref448142515,\gsrc ndàzíhîndì ndìkàzìsânzà | \gll ndi-a-zí-hind-i ndi-ka-ziH-sá̲nz-a | \gls SM1SG-PST-OM10-take-NPST.PFV SM1SG-DIST-OM10-wash-FV | \glt ‘I took them to wash them.’,,,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"An object marker is obligatory when the intended noun is not in the same clause as the verb. This is the case, for instance, with dislocated objects, as in (\ref{bkm:Ref452554600}), where a constituent is moved to the left periphery of a sentence to function as a topic.",bkm:Ref452554600,"\gsrc òrú rùzyîmbò kàndìrúꜝshákì | \gll o-rú ru-zyímbo ka-ndi-rú-shak-í̲ | \gls AUG-DEM.I11 NP11-song NEG-SM1SG-OM11-like-NEG | \glt ‘This song, I don’t like it.’",,,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"Constituents can also be moved out of a clause to the right periphery as a way of definiteness marking. When right dislocation targets object constituents, they retain their canonical post-verbal position, but require the use of an object marker of the verb, as in (\ref{bkm:Ref445977500}--\ref{bkm:Ref99093552}).",bkm:Ref445977500,\gsrc ndìzìsháká ꜝzí nswì | \gll ndi-ziH-shak-á̲ zí N-swi | \gls SM1SG-OM10-like-FV DEM.I10 NP10-fish | \glt ‘I like these fish.’,bkm:Ref99093552,\gsrc ndàyíbàrì èyí mbùkà | \gll ndi-a-í-bar-i e-í N-buka | \gls SM1SG-PST-OM9-read-NPST.PFV AUG-DEM.I9 NP9-book | \glt ‘I’ve read this book.’,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"For a discussion of left and right dislocation, and a more detailed analysis of post-verbal objects with an object marker as a case of right dislocation, see chapter \ref{bkm:Ref99093567}.",bkm:Ref99093567,Not found,,,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"A ditransitive verb can have multiple object markers, which appear in a fixed order: the object marker for the benefactive object appears closer to the stem than the object marker for the theme object. This is shown in (\ref{bkm:Ref491427919}), where the class 2 object marker referring to the benefactive object (‘for her’) appears closer to the stem than the class 13 object marker referring to the theme object (‘them’; in this case, the speaker is referring to dishes).",bkm:Ref491427919,\ea | \glll àtùbàsànzírà | \gll a-tuH-baH-sanz-ir-á̲ | \gls SM\textsubscript{1}-OM\textsubscript{13}-OM\textsubscript{2}-wash-APPL-FV,,,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"Verbs can take up to three object markers, as in (\ref{bkm:Ref491427907}). I was unable to come up with a suitable context in which four or more object markers might be warranted; possibly, given the right context, such constructions might be acceptable.",bkm:Ref491427907,\gsrc cìmùndìsúndîrè | \gll ciH-mu-ndi-suHnd-í̲r-e | \gls OM7-OM1-OM1SG-show-APPL-PFV.SBJV | \glt ‘Show it to her/him for me.’,,,,,,,,,,,,,,,,,,
"Subject, object, and locative marking",Object marking,,,,"Multiple object markers are not allowed when two or more object markers refer to an inanimate object. This is illustrated with the sentence in (\ref{bkm:Ref488927201}), containing two inanimate objects. It is possible to express either of these objects with an object marker, as in (\ref{bkm:Ref74907372}) and (\ref{bkm:Ref74907373}), but not both, as the ungrammaticality of (\ref{bkm:Ref74907374}) shows.",bkm:Ref488927201,\gsrc ndìzyàːkìr’ ómùndáré ꜝwángù cìòngò | \gll ndi-zyaːHk-ir-á̲ o-mu-ndaré u-angú ci-ongo | \gls SM1SG-build-APPL-FV AUG-NP3-maize PP3-POSS1SG NP7-storage | \glt ‘I am building a storage for my maize.’,bkm:Ref74907372,\gsrc ndìcìzyàːkìr’ ómùndárè | \gll ndi-ciH-zyaːHk-ir-á̲ o-mu-ndaré | \gls SM1SG-OM7-build-APPL-FV AUG-NP3-maize | \glt ‘I am building it for the maize.’,bkm:Ref74907373,\gsrc ndìùzyàːkìr’ écìòngò | \gll ndi-uH-zyaːHk-ir-á̲ e-ci-ongo | \gls SM1SG-OM3-build-APPL-FV AUG-NP7-storage | \glt ‘I am building a storage for it.’,bkm:Ref74907374,Not found,,,,,,,,,,,,
