Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
The noun phrase,Introduction,,,,"Simple noun phrases include pronouns (\sectref{sec:PRO}). Pronouns can occur bare in all types of noun phrases: subject, object, and oblique. Pronouns can combine with the contrastive suffix -{\itshape gà} (\sectref{sec:CONTRS}) and be followed by three modifiers, as shown in \REF{protemp1}.",protemp1,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,Introduction,,,,"Simple noun phrases also consist of bare nouns.\footnote{A detailed discussion of how referents of bare nouns in Gyeli are tracked is provided in \citeauthor{grimmforthb} (To appear).} Gyeli does not have articles and bare nouns can occur in subject, object, and oblique noun phrases. Bare nouns can combine in simple noun phrases with elements discussed in \sectref{sec:NAdjuncts}. Gyeli is a head-initial language and almost all modifiers, both agreeing and invariable, follow the noun. There are two exceptions, however: the negative polarity item {\itshape tɔ̀} `any' (\sectref{sec:InvQUANT1} and {\itshape nyá} `big' always precede the noun. If a simple noun phrase includes more than one postnominal modifier, the order of the modifiers is freely variable,\footnote{It may be that a change in order results in a slightly different reading in terms of emphasis on one or the other modifier, but this was not clear from my data.} and there does not seem to be a particular modifier that is closer to the noun than others. The reason for this could be that multiple modifiers in simple noun phrases are highly dispreferred. Tests on modifier combinations in a simple noun phrase all stem from grammaticality judgment tests in elicitations. In natural texts, however, the only instance were two modifiers where combined in a noun phrase is given in \REF{protemp2}.",protemp2,\gsrc bèsâ bíndɛ̀ byɛ́sɛ̀ | \gll be-sâ bí-ndɛ̀ by-ɛ́sɛ̀ | \gls be8-thing 8-ANA 8-all | \glt `all these things',,,,,,,,,,,,,,,,,,
The noun phrase,Introduction,,,,"Other simple noun phrases that include two modifiers (or elements that are treated like modifiers) are complex cardinal numerals which contain an underlying multiplication operation, as in \REF{NPNum}.",NPNum,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,Introduction,,,,"\noindent The structure of \REF{NPNum1} is [N [N + Num]\textsubscript{MOD}]\textsubscript{NP}. While {\itshape mawúmɔ̀} `10s' is a noun itself, in this construction, the entire complex numeral behaves like one postnominal modifier, without agreeing with the head noun {\itshape bùdì} `people'. It is not possible for the numeral {\NP} to precede the quantified head noun, as shown in \REF{NPNum2}.",NPNum1,Not found,NPNum2,Not found,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"The ``ba'', ``le'', and ``ma'' noun prefix classes have a variant which is phonologically conditioned in all cases. The vowel in their prefix is deleted if it precedes a vowel-initial stem. Thus, as \REF{CVprefix} shows for agreement classes 2 and 6, the noun prefix takes a CV shape when it precedes a consonant-initial stem.",CVprefix,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"\noindent If the stem is vowel-initial or starts with a labial glide, however, the prefix vowel is omitted and only the prefix consonant surfaces, as shown in \REF{Cprefix}.",Cprefix,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"In the ``le'' class, there is further a consonantal change from /l/ to /d/. \REF{CVprefixle} provides examples of the CV- prefix when the stem is consonant initial.",CVprefixle,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"\noindent When the stem is vowel-initial, the prefix vowel is deleted and /l/ becomes /d/, as shown in \REF{Cprefixle}. The variants for vowel-initial stems are marked in parentheses while the general name of the noun prefix class is marked in bold in \tabref{Tab:Nounclass}.",Cprefixle,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"There are three exceptions where one would expect /d/ as a prefix, but instead the prefix surfaces as /j/, as shown in \REF{Cprefixle2}.",Cprefixle2,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"Twenty-three (14%) of the nouns in agreement class 1 have a nasal noun prefix while 141 (86%) lack a noun prefix and thus belong to the noun prefix class ``\emptyset''. In agreement class 3, almost all nouns belong to the ``\emptyset'' noun prefix class with 167 nouns lacking a prefix and only three having a nasal prefix. Sixty-three (44.7%) nouns of agreement class 1 belonging to noun prefix class ``\emptyset'' start with a non-nasal consonant. Examples are given in \REF{no-C}.\footnote{Semantically, more than 37% of nouns in class 1 that have a initial consonant and no noun prefix are loanwords; the others designate social relations and animals.}",no-C,Not found,,,,,,,,,,,,,,,,,,
The noun phrase,The gender and agreement system,Noun prefix classes,Phonologically conditioned variants,,"The other 55.3% of nouns of the ``\emptyset'' noun prefix class in agreement class 1 start with a nasal consonant; in agreement class 3, almost all nouns of the ``\emptyset'' noun prefix class start with a nasal. I analyze the nasal as part of the stem when the nasal consonant is retained in plural formation, as illustrated in \REF{Noprefix}.\footnote{Frozen noun prefixes are found in agreement classes 1, 3, and 9, and possibly also in a former class 10. Class 10, however, got lost and class 9 now pairs with class 6. Synchronically, I do not consider these frozen nasals as (double) prefixes. Frozen nasal noun prefixes are also known from other languages, for instance from the Grassfield language Oku as described by \citet[3]{blood99}.}",Noprefix,Not found,,,,,,,,,,,,,,,,,,
