Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,The orientation preverbs in Kamnyu \label{sec:kamnyu.preverbs,,"The D-type preverbs are exclusively used to build the Inferential (Perfective §\ref{sec:ifr.morphology} and Imperfective §\ref{sec:pst.ifr.ipfv.morphology}). These preverbs have the same onsets as those of the B series, with a division between non-palatalized \textsc{upwards} preverbs and palatalized \textsc{downwards} preverbs. The preverbs of the \textsc{upwards} series have \ipa{o} vocalism, but those of the `downward' series have two variants, with either \ipa{o} or \ipa{ɤ} vocalism in free variation, as illustrated by the \textsc{3sg} Inferential \forme{ɲɤ-me} and \forme{ɲo-me} of the verb \japhug{me}{not exist} in (\ref{ex:preverb.YAme}) and (\ref{ex:preverb.Yome}), respectively.",ex:preverb.YAme,"\gll tɕe mtsʰu nɯ ɲɤ-me tɕe, | \gls LNK lake DEM IFR-not.exist LNK | \glt `Then the lake disappeared.'",ex:preverb.Yome,"\gll ɯ-ftsoʁ nɯ ɲo-me, ɲo-nɯ-ɣɤ-me qʰe | \gls 3SG.POSS-female.hybrid.yak DEM IFR-not.exist IFR-AUTO-CAUS-not.exist LNK | \glt `Her female hybrid yak was gone, she lost it.'",,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs and vowel contraction \label{sec:preverbs.contracting.verbs,,"The surface forms resulting from vowel contraction of A- and B-type preverbs are identical to C-type and D-type preverbs, respectively. The only immediate difference between D-type preverbs and contracting B-type preverbs is that the former show free variation between \forme{Cɤ-} and \forme{Co-} in the \textsc{downwards} series, while the latter only have the \forme{Cɤ-} form. For instance, while the Inferiential of \japhug{me}{not exist} is either \forme{ɲɤ-me} or \forme{ɲo-me} (see \ref{ex:preverb.YAme} and \ref{ex:preverb.Yome} above) with the two variants of the D-type preverbs, the result of the fusion of the B-type preverb \forme{ɲɯ-} (either Sensory or Imperfective) with either a contracting \forme{a-} initial verb or a progressive \forme{asɯ-} prefix is \forme{ɲɯ-ɤ-} \phonet{ɲɤ-} and cannot be realized as \phonet{ɲo-} except in the case of inverse \forme{\trt{}wɣ\trt{}} infixation within the progressive \forme{ɤ́<wɣ>sɯ/z-} (§\ref{sec:allomorphy.inv}, §\ref{sec:progressive.morphology}).",ex:preverb.YAme,"\gll tɕe mtsʰu nɯ ɲɤ-me tɕe, | \gls LNK lake DEM IFR-not.exist LNK | \glt `Then the lake disappeared.'",ex:preverb.Yome,"\gll ɯ-ftsoʁ nɯ ɲo-me, ɲo-nɯ-ɣɤ-me qʰe | \gls 3SG.POSS-female.hybrid.yak DEM IFR-not.exist IFR-AUTO-CAUS-not.exist LNK | \glt `Her female hybrid yak was gone, she lost it.'",,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs and vowel contraction \label{sec:preverbs.contracting.verbs,,"Unlike C-type preverbs, D-type preverbs often occur with contracting verbs or with the progressive prefix. In such cases, the result of vowel contraction is not distinguishable from that with a B-type preverb. For instance, in (\ref{ex:pjAAwGronW}) the Inferential Imperfective \forme{pjɤ-ɤ<nɯ>ɣro-nɯ} of the verb \japhug{anɯɣro}{play} has the same surface form \phonet{pjɤnɯɣrónɯ} as the corresponding Imperfective \forme{pjɯ-ɤ<nɯ>ɣro-nɯ}. It is clear from context however that the form here must be interpreted as Inferential Imperfective, because the other verbs in the same passage \forme{pjɤ-nɯ-rɤ-rɤt-nɯ} and \forme{pjɤ-scit-nɯ} are in this form, not in the simple Imperfective.",ex:pjAAwGronW,"\gll ɯ-pi ra ɯ-jmŋo ɯ-ŋgɯ nɯtɕu, pjɤ-nɯ-rɤ-rɤt-nɯ, pjɤ-ɤ<nɯ>ɣro-nɯ qʰe, wuma ʑo pjɤ-scit-nɯ ɲɯ-ŋu | \gls 3SG.POSS-elder.sibling PL 3SG.POSS-dream 3SG.POSS-inside DEM:LOC IFR.IPFV-AUTO-APASS-write-PL IFR.IPFV-<AUTO>play-PL LNK really EMPH IFR.IPFV-be.happy-PL SENS-be | \glt `In her dream, her elder brothers were drawing, they were playing, they were very happy.'",,,,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs and vowel contraction \label{sec:preverbs.contracting.verbs,,"For instance, instead of \forme{pjɤ-ɤ<nɯ>ɣro-nɯ}, the more common Imperfective Inferential form of \japhug{anɯɣro}{play} is \forme{pjɤ-k-ɤ<nɯ>ɣro-nɯ-ci} as in (\ref{ex:pjAkAwGronWci}). The \forme{-ci} suffix is originally an evidential marker (cognate to the Tshobdun \forme{=cə} Mediative suffix, on which see \citealt[564]{jackson17tshobdun}), but in Kamnyu Japhug it only occurs in combination with the \forme{kɯ-} prefix as a peg element (§\ref{sec:peg.circumfix}).",ex:pjAkAwGronWci,\gll tɕe nɯra pjɤ-k-ɤ<nɯ>ɣro-nɯ-ci tɕe | \gls LNK DEM:PL IFR.IPFV-PEG-<AUTO>play-PL-PEG LNK | \glt `They were playing.',,,,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs and vowel contraction \label{sec:preverbs.contracting.verbs,,"Inferential forms with the peg circumfix \forme{kɯ-...-ci} regularly occur with contracting verbs or verbs bearing the progressive prefix in the same contexts as the corresponding non-contracting forms without the peg. For instance, in (\ref{ex:pjAkArNici.Zo}), the verb \forme{pjɤ-k-ɤrŋi-ci} `it was green' with the peg circumfix clearly belongs to the same TAME category as the two preceding verbs \forme{pjɤ-tu} `there was' and \forme{pjɤ-rom} `it was dry'.",ex:pjAkArNici.Zo,"\gll tʂu ɯ-rkɯ zɯ si tɯ-pʰɯ pjɤ-tu, si tɯ-pʰɯ nɯ ɯ-pʰaʁ ɯ-ntsi nɯ pjɤ-rom ʑo, ɯ-pʰaʁ ɯ-ntsi nɯ pjɤ-k-ɤrŋi-ci ʑo, | \gls path 3SG.POSS-side LOC tree one-tree IFR.IPFV-exist tree one-tree DEM 3SG.POSS-half 3SG.POSS-one.of.a.pair DEM IFR.IPFV-be.dry EMPH 3SG.POSS-half 3SG.POSS-one.of.a.pair DEM IFR.IPFV-PEG-be.green-PEG EMPH | \glt `On the side of the road, there was a tree, one half of that tree was dead and the other half was green. (The divination 2002) | '",,,,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs and vowel contraction \label{sec:preverbs.contracting.verbs,,"In the Inferential, the peg circumfix becomes a morphological exponent of the Passive in addition to the Passive prefix \forme{ɤ-} itself: without the peg, the passive would not be easily differentiable from the base transitive verb. For instance, without the peg element, the Inferential Imperfective Passive \forme{pjɤ-k-ɤ-ta-ci} `It had been put there' in (\ref{ex:pjAkAtaci.passive}) would be identical to the Inferential \forme{pjɤ-ta} `he put it there' with the \textsc{downwards} orientation.",ex:pjAkAtaci.passive,"\gll tɕoχtsi ɯ-taʁ nɯtɕu, nɤkinɯ, qajɣi kɯβde, cʰa kɯβde-pʰoŋ pjɤ-k-ɤ-ta-ci. | \gls table 3SG.POSS-on DEM:LOC FILLER bread four alcohol four-bottle IFR.IPFV-PEG-PASS-put-PEG | \glt `There were four pieces of bread and four bottles of alcohol on the table.'",,,,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs and vowel contraction \label{sec:preverbs.contracting.verbs,,"The peg circumfix appears in first person forms, following the indexation suffix (as in \ref{ex:YAkABzuaci}), but never in second person forms, as the \forme{tɯ-} prefix (§\ref{sec:intr.23}) occurs between the preverb and the following contracting vowel (\ref{ex:YAtABzu}).",ex:YAkABzuaci,Not found,ex:YAtABzu,\gll nɤʑo pɣa ɲɤ-tɯ-ɤβzu ɕti tɕe | \gls 2SG bird IFR-2-become be.AFF:FACT LNK | \glt `You have become a bird!',,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs in eastern Japhug dialects \label{sec:xtokavian.preverbs,,"For instance, in (\ref{ex:YEACe.Tatshi}) and (\ref{ex:YACe.Kamnyu}), the verb forms transcribed as \forme{ɲə-a-ʃe} (in Tatshi) and \forme{ɲɤ-ɕe} (in Kamnyu) are near-identical in surface pronunciation and function.",ex:YEACe.Tatshi,\gll l̥amu ɲə-a-ʃe | \gls ANTHR IFR:WEST-IFR-go | \glt `Lhamu went westwards.',ex:YACe.Kamnyu,\gll ɬamu ɲɤ-ɕe | \gls ANTHR IFR:WEST-go | \glt `Lhamu went westwards.',,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Morphology,Preverbs in eastern Japhug dialects \label{sec:xtokavian.preverbs,,"In second person forms, on the other hand, the second person prefix in Tatshi is inserted between the B-type preverb and the \forme{a-} Inferential prefix (A-type preverb and \forme{a-} 3\flobv{} prefix, respectively), as can be seen by comparing the Inferential second person intransitive in Tatshi (\ref{ex:YEtanWYAmkhe}) and Kamnyu (\ref{ex:YAtWnWYAmkhe}). The change in the relative ordering between the vowel-contracting prefixes and the second person prefix has modified the structure of the preverbal system: the Kamnyu dialect has gained two additional series of preverbs, but lost one slot in the verbal template (§\ref{sec:prefixal.chain}).",ex:YEtanWYAmkhe,\gll ɲə-tə-a-nɯɲɐmkʰe | \gls B.PREVERB-2-IFR-be.lean | \glt `You got lean.',ex:YAtWnWYAmkhe,\gll ɲɤ-tɯ-nɯɲɤmkʰe | \gls IFR-2-be.lean | \glt `You got lean.',,,,,,,,,,,,,,,,
Orientation and associated motion \label{chap:orientation.AM,Orientation preverbs \label{sec:orientation.preverbs,Orientable verbs \label{sec:orientable.verbs,Motion verbs \label{sec:motion.verbs,,"Other allative verbs include \japhug{zɣɯt}{arrive} (\ref{ex:WkAcu.kozGWtndZi}), \japhug{cit}{move}, \japhug{pʰɣo}{flee}, \japhug{mtsaʁ}{jump}, \japhug{ɕqʰlɤt}{disappear} and \japhug{jɣɤt}{turn around}, and derived vertitive verbs (§\ref{sec:vertitive}) such as \japhug{nɯɕe}{go back}.",ex:WkAcu.kozGWtndZi,\gll ɯ-kɤcu tɕe iɕqʰa mtsʰu kɯ-wɣrum nɯ ɣɯ ɯ-taʁ nɯtɕu ko-zɣɯt-ndʑi. | \gls 3SG.POSS-east LOC the.aforementioned lake SBJ:PCP-be.white DEM GEN 3SG.POSS-on DEM:LOC IFR:EAST-reach-DU | \glt `They arrived at the white lake east of there.',,,,,,,,,,,,,,,,,,
