Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,,,,"The passive derivation is marked by the prefix \forme{a\trt}, a formative also found in the reciprocal derivation (§\ref{sec:redp.reciprocal}) and probably of denominal origin (§\ref{sec:applicative.history}). It derives an intransitive verb from a transitive one, whose intransitive subject corresponds to the object of the base verb (\japhug{tɤscoz}{letter} in \ref{ex:rAt} and \ref{ex:arAt}).\footnote{The derivation also affects the dynamicity of the verb and the TAME (§\ref{sec:passive.stative}). } The transitive subject cannot be expressed: passive verbs do not take overt agents.",ex:rAt,\gll ɯʑo kɯ tɤscoz rɤt | \gls 3SG ERG letter write:FACT | \glt `S/he will write a/the letter.',ex:arAt,\gll tɤscoz a-rɤt | \gls letter PASS-write:FACT | \glt `The letter is written/has been written.',,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,,,,"Like other verbs in \forme{a\trt}, passive verbs present vowel contraction and insertion of the peg circumfix \forme{k-...-ci} in Inferential forms (§\ref{sec:ifr.morphology}, §\ref{sec:preverbs.contracting.verbs}), as in (\ref{ex:pjAkAGAtWGci}) (where it is realized as \forme{-ɤ\trt}, following the rule in §\ref{sec:contraction}). In the Kamnyu dialect, the peg circumfix, although originally a secondary marker, has almost become the main exponent of the passive in the Inferential tenses.",ex:pjAkAGAtWGci,"\gll kɯm ɲɤ-stʰoʁ ri, kɯm pjɤ-k-ɤ-ɣɤtɯɣ-ci ɕti tɕe, | \gls door IFR-push LNK DEM IFR.IPFV-PEG-PASS-lock-PEG be:AFF:FACT LNK | \glt `He pushed the door, but the door was locked.'",,,,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,,,,"The passive derivation only removes transitive subjects, and passivized verbs preserve oblique arguments or adjuncts. For instance, like the verb \japhug{βraʁ}{attach to}, which includes a locative argument in its argument structure, the passive form \japhug{aβraʁ}{be attached to} also selects a locative phrase, with a locative case as in (\ref{ex:xtWrkW.aBraR}) or in absolutive form as in (\ref{ex:kWmqhu.pjAkABraRci}).",ex:xtWrkW.aBraR,"\gll stuxsi ɣɯ ɯ-χcɤl ri xtɯrkɯ a-βraʁ, | \gls double.yoke GEN 3SG.POSS-middle LOC hide.ripe PASS-attach:FACT | \glt `The hide rope [connecting the yoke to the plough] is attached in the middle of the double yoke.'",ex:kWmqhu.pjAkABraRci,"\gll tɤ-mu nɯ ɣɯ ɯ-tɕɯ nɯ kɯm-qʰu pjɤ-k-ɤ-βraʁ-ci tɕe, | \gls INDEF.POSS-mother DEM GEN 3SG.POSS-son DEM door-back IPFV-PEG-PASS-attach-PEG LNK | \glt `The old woman's son was attached on the back of the door.'",,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,,,,"The passive derivation also applies to some noun-verb collocations. For instance, in (\ref{ex:sAcW.malAt}), passivized verb \forme{a-lɤt}, meaning `be locked' in collocation with the noun \japhug{sɤcɯ}{key}, has a meaning directly derived from that of the collocation of \forme{sɤcɯ} with the base verb \japhug{lɤt}{release}, which means `lock (the door)' (§\ref{sec:lexicalized.oblique.participle}). The noun \japhug{sɤcɯ}{key} is a semi-object (§\ref{sec:semi.object}) in this collocation. The intransitive subject of \forme{(sɤcɯ) a-lɤt} `be locked' in (\ref{ex:sAcW.malAt}) is \japhug{kɯm}{door}.",ex:sAcW.malAt,\gll kɯm sɤcɯ mɤ-a-lɤt | \gls door key NEG-PASS-release:FACT | \glt `The door is not locked/has not been locked.',ex:sAcW.malAt,\gll kɯm sɤcɯ mɤ-a-lɤt | \gls door key NEG-PASS-release:FACT | \glt `The door is not locked/has not been locked.',,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,,,,"Passive verb forms are almost never attested in first or second person forms, except for the highly lexicalized passives \japhug{apa}{become} and \japhug{aβzu}{become, grow} (§\ref{sec:passive.lexicalized}). Example (\ref{ex:parkua}) with \japhug{arku}{be in}\footnote{Although this passive verb is used as a semi-lexicalized existential verb (§\ref{sec:passive.lexicalized}), in this particular context it can be interpreted as expressing a resultative state with a definite agent. } shows that there is not absolute constraints against first or second person indexation on passive verbs.",ex:parkua,Not found,,,,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,The interaction of the Passive derivation with Dynamicity and TAME \label{sec:passive.stative,,,"With the exception of \japhug{apa}{become} and \japhug{aβzu}{become, grow} (§\ref{sec:passive.lexicalized}), passive verbs express resultative states. They are mainly attested in the Past Imperfective (\ref{ex:parkua}) and in the Inferential Imperfective (\ref{ex:kWmqhu.pjAkABraRci}, see also \ref{ex:pjAkAmphWrci} in §\ref{sec:passive.agent}). In combination with the Factual Non-Past the passive means `X has already been Yed' or `X is Yed' (where X represents the object of the base verb Y) as in (\ref{ex:marAt}) (see also \ref{ex:arAt} and \ref{ex:sAcW.malAt} above).",ex:parkua,Not found,ex:kWmqhu.pjAkABraRci,"\gll tɤ-mu nɯ ɣɯ ɯ-tɕɯ nɯ kɯm-qʰu pjɤ-k-ɤ-βraʁ-ci tɕe, | \gls INDEF.POSS-mother DEM GEN 3SG.POSS-son DEM door-back IPFV-PEG-PASS-attach-PEG LNK | \glt `The old woman's son was attached on the back of the door.'",ex:pjAkAmphWrci,"\gll ɯ-ŋgɯ nɯtɕu rŋɯl qʰoʁqʰoʁ tɯ-rdoʁ pjɤ-k-ɤ-mpʰɯr-ci, | \gls 3SG.POSS-in DEM:LOC silver ingot one-piece IFR.IPFV-PEG-PASS-wrap-PEG | \glt `A silver ingot had been wrapped inside.'",ex:marAt,"\gll jaʁmɤzdoʁzdoʁ nɯ kɯnɤ pɣa ŋu, mɤ-a-rɤt | \gls bird.sp. DEM also bird be:FACT NEG-PASS-write:FACT | \glt `The \forme{jaʁmɤzdoʁzdoʁ} is also a bird, it is not written (in the list of bird's names that had been prepared beforehand to ask about all known bird species).'",ex:arAt,\gll tɤscoz a-rɤt | \gls letter PASS-write:FACT | \glt `The letter is written/has been written.',ex:sAcW.malAt,\gll kɯm sɤcɯ mɤ-a-lɤt | \gls door key NEG-PASS-release:FACT | \glt `The door is not locked/has not been locked.',,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,The interaction of the Passive derivation with Dynamicity and TAME \label{sec:passive.stative,,,"Examples of passive verbs in Perfective or Inferential forms are very rare. In (\ref{ex:koKAYJoRci}), the form \forme{ko-k-ɤ-ɲɟoʁ-ci} can only be interpreted as the Inferential of the passive of \japhug{ɲɟoʁ}{glue, paste}, with a meaning `(the spit) got glued (on her)' that does not seem interpretable as resultative.",ex:koKAYJoRci,Not found,,,,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,Lexicalized passives \label{sec:passive.lexicalized,,,"The verbs \japhug{pa}{do} (§\ref{sec:pa.lv}) and \japhug{βzu}{make} (§\ref{sec:Bzu.lv}) have lexicalized passive forms that are used as quasi-copulas \japhug{apa}{become} and \japhug{aβzu}{become, grow} taking a semi-object serving as nominal predicate (§\ref{sec:copula.basic}), for instance \japhug{tɕʰi}{what} in (\ref{ex:anWtABzu}) or \forme{tɯrme (ci)} `a human' in (\ref{ex:anApa}) (for additional examples, see \ref{ex:nWnWra.pGa.nWra} in §\ref{sec:demonstrative.determiners}, \ref{ex:YAkABzuaci} and \ref{ex:YAtABzu} in §\ref{sec:preverbs.contracting.verbs}). In addition, \forme{aβzu} is also used as a plain intransitive verb meaning `grow'.",ex:anWtABzu,\gll nɤʑo tɕʰi a-nɯ-tɯ-ɤβzu ra? | \gls 2SG what IRR-PFV-2-become be.needed:FACT | \glt `What do you [want to] become?',ex:anApa,"\gll tɯrme ci a-nɯ-ɤpa-a kɯ, tɯrme ɲɯ-ɤβzu-a ci a-pɯ-kʰɯ kɯ | \gls human INDEF IRR-PFV-become-1SG SFP human IPFV-become-1SG a.little IRR-IPFV-be.possible SFP | \glt `If only I could become a human!'",ex:nWnWra.pGa.nWra,"\gll nɯnɯra pɣa nɯra lonba ʑo ɲɤ-me-nɯ tɕe, ʁʑɯnɯ sqaptɯɣ ɲɤ-k-ɤpa-nɯ-ci. | \gls DEM.PL bird DEM.PL all EMPH IFR-not.exist LNK young.man eleven IFR-PEG-become-PL-PEG | \glt `All those birds disappeared, and became eleven young men.'",ex:YAkABzuaci,Not found,ex:YAtABzu,\gll nɤʑo pɣa ɲɤ-tɯ-ɤβzu ɕti tɕe | \gls 2SG bird IFR-2-become be.AFF:FACT LNK | \glt `You have become a bird!',,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,Lexicalized passives \label{sec:passive.lexicalized,,,"In the perfective, the third person forms of \japhug{aβzu}{become, grow} have an identical surface form with those of the transitive \japhug{βzu}{make}: for instance \ipa{naβzu} can be either parsed as \forme{nɯ-aβzu} (\textsc{aor}-become) or as \forme{na-βzu} (\textsc{aor}:3\flobv{}-make). Since the transitive \forme{βzu} has dummy subject functions (§\ref{sec:transitive.dummy}), in examples such as (\ref{ex:Wmat.thaBzu}), it is possible to analyze the form \ipa{tʰaβzu} as \forme{tʰa-βzu} (\textsc{aor}:3\flobv{}-make) instead.",ex:Wmat.thaBzu,\gll ɯ-mat tʰɯ-aβzu tɕe tɕe | \gls 3SG.POSS-fruit AOR-grow LNK LNK | \glt `When its fruits grow...',,,,,,,,,,,,,,,,,,
Valency-decreasing derivations \label{chap:valency.decreasing.derivation,Passive \label{sec:passive,Lexicalized passives \label{sec:passive.lexicalized,,,"The verbs \japhug{ta}{put} and \japhug{rku}{put in} have passive forms whose meaning is still predictable from the base verb, \japhug{ata}{be on} and \japhug{arku}{be in}. However, these passive forms generally serve as existential verbs (§\ref{sec:existential.basic}) as in (\ref{ex:Wsno.ata}) and (\ref{ex:WNgW.arku}), without the implication that the state results from a manipulative action. While in (\ref{ex:Wsno.ata}) one could argue that an alternative translation such as `a saddle has been put there' would be possible,\footnote{In this example, the Factual actually can be construed as having a future interpretation (§\ref{sec:fact.main.clauses}): a character describes to another character what he will see when he arrives at a place. I translate here \forme{a-ta} as `there is' in the present tense rather than `there will be' because at the time of utterance, the wooden saddle is already placed next to the horse, and there is no implication that a change of state will occur. } in the case of (\ref{ex:WNgW.arku}) it is obvious the presence of a sweet substance inside of a plant leaf is not attributable to an external agent.",ex:Wsno.ata,"\gll ɯ-rkɯ nɯtɕu si ɯ-sno ci a-ta tɕe, | \gls 3SG.POSS-side DEM:LOC wood 3SG.POSS-saddle INDEF PASS-put:FACT LNK | \glt `Next to [the horse], there is a wooden saddle.'",ex:WNgW.arku,Not found,ex:Wsno.ata,"\gll ɯ-rkɯ nɯtɕu si ɯ-sno ci a-ta tɕe, | \gls 3SG.POSS-side DEM:LOC wood 3SG.POSS-saddle INDEF PASS-put:FACT LNK | \glt `Next to [the horse], there is a wooden saddle.'",ex:WNgW.arku,Not found,,,,,,,,,,,,
