Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,The autive prefix and verb transitivity \label{sec:autoben.transitivity,,,"For instance, transitive verbs with \forme{nɯ\trt{}} still have stem III alternation (§\ref{sec:stem3.form}, for instance \forme{-ndo} \rightarrow \forme{-ndɤm} in \ref{ex:nAZo.tAnWndAm}) or the past tense \forme{-t} suffix (§\ref{sec:suffixes}, see \forme{tɤ-nɯ-ndo-t-a} in \ref{ex:aj.tAnWndota.me}).",ex:nAZo.tAnWndAm,\gll laʁjɯɣ nɤʑo tɤ-nɯ-ndɤm je | \gls staff 2SG IMP-AUTO-take[III] SFP | \glt `Take the staff.',ex:aj.tAnWndota.me,"\gll nɤʑo nɤkinɯ, tɤ-tɯ-nɯrdoʁ, aj tɤ-nɯ-ndo-t-a me | \gls 2SG FILLER AOR-2-pick.up 1SG AOR-AUTO-take-TR:PST-1SG not.exist:FACT | \glt `It is you who collected [the fruits], I did not take them.'",,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,The autive prefix and verb transitivity \label{sec:autoben.transitivity,,,"The autive is compatible with valency-decreasing derivations, including passive (example \ref{ex:apAnWrku}, §\ref{sec:autoben.position}), reflexive (\ref{ex:tunWZGAraXtCAzi}) and antipassive (\ref{ex:lunWrAjinW} below and §\ref{sec:antipassive.compatibility}).",ex:apAnWrku,"\gll ɕom kɯ scoʁ cʰɯ-kɤ-sɯ-βzu nɯ, tɯtsʰi ɯ-ŋgɯ nɯra a-pɯ-ɤ-nɯ-rku qʰe ɲɯ-ɲaʁ. | \gls iron ERG ladle IPFV-OBJ:PCP-CAUS-make DEM rice.gruel 3SG.POSS-in DEM:PL IRR-IPFV-PASS-AUTO-put.in LNK IPFV-be.black | \glt `Ladles that are made of iron (iron ladles), whenever they are put in rice gruel, they blacken.'",ex:tunWZGAraXtCAzi,"\gll tɕe ji-kɤ-nɯ-raχtɕɤz ra jɤ-ɣe-nɯ, iʑora tu-nɯ-ʑɣɤ-raχtɕɤz-i, | \gls LNK 1PL-OBJ:PCP-AUTO-cherish PL AOR-come[II]-PL 1PL IPFV-AUTO-REFL-cherish-1PL | \glt `When people we cherish come, or when we [wish] to treat ourselves,'",ex:lunWrAjinW,"\gll lu-nɯ-rɤ-ji-nɯ tɕe, nɯ-kɤ-ndza nɯra ʑara pjɯ-nɯ-tɕɤt-nɯ pjɤ-ŋu | \gls IPFV-AUTO-APASS-plant-PL LNK 3PL.POSS-OBJ:PCP-eat DEM:PL 3PL IPFV-AUTO-take.out-PL IFR.IPFV-be | \glt `(As they were receiving treatment), they were working in the fields, and earning their own food by themselves.'",,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Position in the verbal template and allomorphy \label{sec:autoben.position,,,"When occuring in combination with contracting derivational prefixes, the autive \forme{nɯ-} is inserted after the contracting vowel, as in (\ref{ex:apAnWrku}) with the passive \forme{-ɤ-} (§\ref{sec:passive}).",ex:apAnWrku,"\gll ɕom kɯ scoʁ cʰɯ-kɤ-sɯ-βzu nɯ, tɯtsʰi ɯ-ŋgɯ nɯra a-pɯ-ɤ-nɯ-rku qʰe ɲɯ-ɲaʁ. | \gls iron ERG ladle IPFV-OBJ:PCP-CAUS-make DEM rice.gruel 3SG.POSS-in DEM:PL IRR-IPFV-PASS-AUTO-put.in LNK IPFV-be.black | \glt `Ladles that are made of iron (iron ladles), whenever they are put in rice gruel, they blacken.'",,,,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Position in the verbal template and allomorphy \label{sec:autoben.position,,,"For example in (\ref{ex:pjAnWtAr.YWNu}) the \forme{nɯ-} is actually infixed inside the verb stem of \japhug{atɤr}{fall} (see also in example \ref{ex:pannWri} in §\ref{sec:autoben.spontaneous} the infixation within the suppletive stem II \forme{ari} of the verb \japhug{ɕe}{go}). Although other homophonous prefixes exist in Japhug the autive is the only one that is infixable. All other \forme{nɯ-} prefixes (the applicative §\ref{sec:applicative}, the vertitive §\ref{sec:vertitive}, the denominal \forme{nɯ-} §\ref{sec:denom.nW}, and inflectional morphemes like the \textsc{3pl} possessive prefix §\ref{sec:possessive.paradigm} and the type A \textsc{westwards} orientation prefix §\ref{sec:kamnyu.preverbs}) occupy prefixal slots and undergo vowel contraction with the \forme{a-} of the verb stem (for instance, the applicative yields \forme{nɤ-} with contracting verb stems, §\ref{sec:allomorphy.applicative}).",ex:pjAnWtAr.YWNu,"\gll nɯnɯ ɯ-ʁrɯ nɯnɯ tʰɯ-rgɤz tɕe tɕe nɯ ɯʑo pjɯ-ɤ<nɯ>tɤr ɲɯ-ŋu. | \gls DEM 3SG.POSS-horn DEM AOR-be.old LNK LNK DEM 3SG IPFV:DOWN-<auto>fall SENS-be | \glt `When its antlers age, they fall off by themselves.'",ex:pannWri,"\gll tɕe tɯ-sɯm pɯ-a<nnɯ>ri nɤ ju-kɯ-ɕe, mɯ-pɯ-a<nnɯ>ri nɤ ju-kɯ-ɕe pɯ-ra | \gls LNK GENR.POSS-mind AOR-<AUTO>go[II] LNK IPFV-GENR:S/O-go NEG-AOR-<AUTO>go[II] LNK IPFV-GENR:S/O-go PST.IPFV-be.needed | \glt `Whether one liked it or not, one had to go.'",,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Position in the verbal template and allomorphy \label{sec:autoben.position,,,The irregular existential verbs \japhug{ɣɤʑu}{exist} and \japhug{maŋe}{not exist} (§\ref{sec:intr.person.irregular}) also take the spontaneous marker as an infix rather than as a prefix as in (\ref{ex:GAnWZu}).,ex:GAnWZu,"\gll pakuku ʑo ju-nɯɕe-nɯ tɕe nɯtɕu li ɣɤ<nɯ>ʑu ɕti. | \gls every.year EMPH IPFV-come.back-PL LNK there again <AUTO>exist:SENS be.AFF:FACT | \glt `They come back every year, and it is still there.'",,,,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Position in the verbal template and allomorphy \label{sec:autoben.position,,,"In addition, like the inverse prefix (§\ref{sec:allomorphy.inv}), the autive is obligatorily infixed within the progressive \forme{asɯ-} (§\ref{sec:inner.prefixal.chain}, §\ref{sec:progressive.morphology}), as in example (\ref{ex:panWsWfkur}).",ex:panWsWfkur,Not found,,,,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Position in the verbal template and allomorphy \label{sec:autoben.position,,,"In all other cases (and excluding lexicalized autives, §\ref{sec:autoben.lexicalized}), the autive \forme{nɯ-} occurs on the leftmost side of the verb stem, just before the reflexive (§\ref{sec:reflexive}), but after inflectional prefixes (including orientational, participial, inverse and person indexation prefixes), as shown by the forms \forme{tu-\textbf{nɯ}-ʑɣɤ-raχtɕɤz-i} `we treat ourselves' in (\ref{ex:tunWZGAraXtCAzi}) and \forme{a-tɤ-tɯ́-wɣ-\textbf{nɯ}-ndza} in (\ref{ex:atAtWwGnWndza}).",ex:tunWZGAraXtCAzi,"\gll tɕe ji-kɤ-nɯ-raχtɕɤz ra jɤ-ɣe-nɯ, iʑora tu-nɯ-ʑɣɤ-raχtɕɤz-i, | \gls LNK 1PL-OBJ:PCP-AUTO-cherish PL AOR-come[II]-PL 1PL IPFV-AUTO-REFL-cherish-1PL | \glt `When people we cherish come, or when we [wish] to treat ourselves,'",ex:atAtWwGnWndza,"\gll tu-tɯ́-wɣ-ndza ɯ-ɲɯ-sɯsɤm qʰe a-tɤ-tɯ́-wɣ-nɯ-ndza ɲɯ-ntsʰi | \gls IPFV-2-INV-eat QU-IPFV-think[III] LNK IRR-PFV-2-INV-AUTO-eat SENS-be.better | \glt `If it wants to eat you, let it eat you!'",,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Position in the verbal template and allomorphy \label{sec:autoben.position,,,"In addition to its infixability, the autive prefix has the particularity of being (optionally) realized as geminated \forme{-n-} when it occurs before a verb stem or verb prefix in \forme{nɯ\trt}, as in (\ref{ex:nWtCu.kWnA.pjAnnWrga}).",ex:nWtCu.kWnA.pjAnnWrga,"\gll tɤ-tɕɯ nɯnɯ, kɯ, nɯnɯtɕu kɯnɤ pjɤ-n-nɯ-rga ɕti. | \gls INDEF.POSS-son DEM ERG DEM:LOC also IFR:IPFV-AUTO-APPL-like be.AFF:FACT | \glt `Even like that, the boy still loved her.'",,,,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Autobenefactive/self-affectedness function \label{sec:autoben.proper,,,"First, the autive prefix frequently appears with transitive verbs when the object takes a possessive prefix coreferent with the transitive subject, especially in the case of body parts and other inalienably possessed nouns, to emphasize the fact that the agent is affected by his/her own action. For example, in (\ref{ex:pWnWXtCi}), the \textsc{2sg} possessive prefix on the body part \forme{nɤ-ku} is coreferent with the subject of the 2\textsc{sg}\fl{}3 imperative form \forme{pɯ-nɯ-χtɕi}.",ex:pWnWXtCi,\gll nɤ-ku pɯ-nɯ-χtɕi | \gls 2SG.POSS-head IMP-AUTO-wash | \glt `Wash your head.',,,,,,,,,,,,,,,,,,
Other verbal derivations \label{chap:other.derivations,Autive \label{sec:autobenefactive,Autobenefactive/self-affectedness function \label{sec:autoben.proper,,,"The autive is not restricted to body part objects, but also appears with more abstract possessed objects such as \forme{ɯ-sroʁ} and \forme{ɯ-ʁrɯm} in (\ref{ex:konWri}) and (\ref{ex:WRrWm.pjAnWmto}).",ex:konWri,\gll ɯʑo kɯ ɯ-sroʁ ko-nɯ-ri ɲɯ-ŋu | \gls 3SG ERG 3SG.POSS-life IFR-AUTO-save SENS-be | \glt `He saved his own life.',ex:WRrWm.pjAnWmto,"\gll tɯ-ci ɯ-ŋgɯ ɯ-ʁrɯm pjɯ-kɯ-ntɕʰɤr nɯ pjɤ-nɯ-mto tɕe, | \gls INDEF.POSS-water 3SG.POSS-in 3SG.POSS-shade IPFV-SBJ:PCP-shine DEM IFR-AUTO-see LNK | \glt `She saw her [own] reflection in the water.'",,,,,,,,,,,,,,,,
