Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Clause combining,Introduction,,,,"In this chapter we will discuss several construction types in Kagayanen that involve clause combining. Most of these construction types involve one independent\is{independent clauses} \is{clauses!independent}clause and one or more dependent\is{dependent clauses}\is{clauses!dependent} clauses. We define an independent clause as one that is fully inflected\is{inflection} and capable of being integrated into discourse on its own. A dependent clause is one that depends on some other clause for at least part of its referential, temporal, or modal “grounding”. Such grounding information is also known as inflectional information (see \chapref{chap:verbstructure}, \sectref{sec:verbinflection} for further discussion)\is{inflectional information} For example, in the following English clause combination, clause \REF{bkm:Ref460480260} is dependent on clause \REF{bkm:Ref460395811} because the subject, tense, and modality of clause \REF{bkm:Ref460480260} are only understood via the subject, tense, and modality of clause \REF{bkm:Ref460395811}:",bkm:Ref460480260,Not found,bkm:Ref460395811,Not found,bkm:Ref460480260,Not found,bkm:Ref460395811,Not found,,,,,,,,,,,,
Clause combining,Introduction,,,,"Clause \REF{bkm:Ref460395811} is grounded in time and modality by the past tense declarative form of the verb, and in participants by the subject pronoun she. Therefore, it may be used in discourse on its own and can be considered an independent clause. On the other hand, the verb locking has no subject or tense information, so clause \REF{bkm:Ref460480260} may not naturally be used in discourse on its own; it depends on clause \REF{bkm:Ref460395811} for this important information. Therefore clause \REF{bkm:Ref460480260} is a dependent \is{dependent clauses}clause.",bkm:Ref460395811,Not found,bkm:Ref460480260,Not found,bkm:Ref460395811,Not found,bkm:Ref460480260,Not found,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,,,,"\is{nominalization|(}\is{dependent clauses!nominalization|(}A nominalization is a construction that describes an action, situation, or state, but has some structural characteristics of a noun. For example, \REF{bkm:Ref460480260} locking the door behind her, can be called a nominalized clause because it is not inflected for some important verbal categories such as tense, modality, and subject reference. It also has some properties of nouns-it can take a genitive (possessor) argument: her locking the door, and it can function as the subject of a sentence: Locking the door is a good idea.",bkm:Ref460480260,Not found,,,,,,,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as direct complement clauses,,,"In example \REF{bkm:Ref474213030}, the nominalized clause meaning ‘planting cassava’ is the absolutive argument of the main clause ‘s/he started . . .’ This is because the main verb is grammatically transitive (indicated by the prefix pa- and applicative suffix -an), the Actor is ergative, and there is no other argument that could possibly be the absolutive. Direct complement clauses are often absolutive arguments of transitive matrix clauses, as in \REF{bkm:Ref474213030}. Examples \REF{bkm:Ref114814303} through \REF{bkm:Ref114832637} are from the corpus. In these examples, the complement is bolded in Kagayanen and in the English free translations:",bkm:Ref474213030,\gsrc Paumpisaan din en \textbf{pagtanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Pa-umpisa-an din en \textbf{pag-tanem} \textbf{ta} \textbf{kamuti}. | \gls T.R-start-APL 3S.ERG CM NR.ACT-plant NABS cassava | \glt ‘S/he started \textbf{planting} \textbf{cassava}.’,bkm:Ref474213030,\gsrc Paumpisaan din en \textbf{pagtanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Pa-umpisa-an din en \textbf{pag-tanem} \textbf{ta} \textbf{kamuti}. | \gls T.R-start-APL 3S.ERG CM NR.ACT-plant NABS cassava | \glt ‘S/he started \textbf{planting} \textbf{cassava}.’,bkm:Ref114814303,\gsrc Daw asuron en man isab aged na maimo en man na beggas asta nang na matapos \textbf{pag-asod} \textbf{ta} \textbf{batad}. \\ | \gll Daw asod-en en man isab aged na ma-imo en man na beggas asta nang na ma-tapos \textbf{pag-asod} \textbf{ta} \textbf{batad}. | \gls and pound-T.IR CM also again so.that LK A.HAP.IR-make CM also LK uncooked.rice until only LK A.HAP.IR-finish NR.ACT-pound NABS sorghum | \glt ‘And pound (it) again so that it will become grain (ready for cooking) until (you) just finish \textbf{pounding} \textbf{sorghum}.’,bkm:Ref114832637,Not found,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as direct complement clauses,,,"Example \REF{bkm:Ref114832637} includes three nominalizations, two with pag- (pag-ambaļ `speaking' and pag-suļat `writing') and one bare form (basa ‘reading’). In such cases, pag- is much more likely to be omitted, as it is in the third member of the sequence:",bkm:Ref114832637,Not found,,,,,,,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as direct complement clauses,,,"Pag{}- clauses may also function as absolutive arguments of intransitive matrix clauses, as in examples \REF{bkm:Ref474479194} through \REF{bkm:Ref114812177} from the corpus:",bkm:Ref474479194,"\gsrc Siguro, baked gid \textbf{imo} \textbf{na} \textbf{pagtingaļa} na man-o tak nļaman ko imo na ngaran. \\ | \gll Siguro, baked gid \textbf{imo} \textbf{na} \textbf{pag-tingaļa} na man-o tak na-aļaman ko imo na ngaran. | \gls perhaps big INT 2S.GEN LK NR.ACT-wonder LK why because A.HAP.R-know-APL 1S.ERG 2S.GEN LK name | \glt ‘Perhaps, \textbf{your} \textbf{wondering} is really great why I know your name.’",bkm:Ref114812177,\gsrc Madayon gid \textbf{iran} \textbf{na} \textbf{pagsawaay}. \\ | \gll Ma-dayon gid \textbf{iran} \textbf{na} \textbf{pag-sawa-ay}. | \gls A.HAP.IR-continue INT 3P.GEN LK NR.ACT-spouse-REC | \glt ‘\textbf{Their} \textbf{being} \textbf{married} will continue on.’ (In the context the parents of the boy and girl make an agreement that their children will be married and the children can’t do anything about it even though they have not courted each other.),,,,,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as direct complement clauses,,,"Examples of pag{}- clauses functioning in the ergative role are rare, however they do occur occasionally in the corpus, as in examples \REF{bkm:Ref114812284} and \REF{bkm:Ref114812335}:",bkm:Ref114812284,\gsrc Bellayan ka taan \textbf{ta} \textbf{pagbasa} \textbf{ta} \textbf{ake} \textbf{na} \textbf{suļat}. \\ | \gll Bellay-an ka taan \textbf{ta} \textbf{pag-basa} \textbf{ta} \textbf{ake} \textbf{na} \textbf{suļat}. | \gls tire-APL 2S.ABS maybe NABS NR.ACT-read NABS 1S.GEN LK write/letter | \glt ‘\textbf{Reading} \textbf{my} \textbf{letter} maybe will tire you.’,bkm:Ref114812335,\gsrc Gani a mga ittaw naan ta Bario nakulian \textbf{ta} \textbf{pagnubig} kumo waig naan pa kamangen ta Barangay Wahig. \\ | \gll Gani a mga ittaw naan ta Bario na-kuli-an \textbf{ta} \textbf{pag-nubig} kumo waig naan pa kamang-en ta Barangay Wahig. | \gls so/therefore INJ PL people SPAT.DEF NABS Bario A.HAP.R-difficult/slow-APL NABS NR.ACT-haul.water because water SPAT.DEF INC get-T.IR NABS community Wahig | \glt `So \textbf{hauling} \textbf{water} difficults/slows the people in Bario because the water is even gotten from the community of Wahig.’,,,,,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as direct complement clauses,,,Bare-form verbs may also function as nominalized direct complement clauses\is{direct complement clauses} (see example \ref{bkm:Ref114832637} above in which the bare-form basa ‘read’ is coordinated with a pag{}- clause). Note that the verb tanem in example \REF{bkm:Ref114659732} has no inflection. Native speakers report no semantic differences between these and corresponding constructions with pag-verbs in the complements (c.f. example \ref{bkm:Ref474213030} above):,bkm:Ref114832637,Not found,bkm:Ref114659732,\gsrc Paumpisaan din en \textbf{tanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Pa-umpisa-an din en \textbf{tanem} \textbf{ta} \textbf{kamuti}. | \gls T.R-start-APL 3S.ERG CM plant NABS cassava | \glt ‘S/he started \textbf{planting} \textbf{cassava}.’,bkm:Ref474213030,\gsrc Paumpisaan din en \textbf{pagtanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Pa-umpisa-an din en \textbf{pag-tanem} \textbf{ta} \textbf{kamuti}. | \gls T.R-start-APL 3S.ERG CM NR.ACT-plant NABS cassava | \glt ‘S/he started \textbf{planting} \textbf{cassava}.’,,,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as oblique complement clauses,,,"In many cases, nominalized clauses are not absolutive or ergative arguments of their matrix as defined in the previous section, yet appear to be required to complete the idea expressed by the verb. Neither are they adverbial clauses because they are not optional sentence adjuncts (see \sectref{bkm:Ref115861741}). For these reasons, it makes sense to call them complement clauses – they “complete” the meaning of the main clause. However, they are not direct complements because there is no evidence that they are core arguments of the matrix verb. Therefore, we call such complements “oblique complements” or “OCs”. Example \REF{bkm:Ref462325755} illustrates the same idea as example \REF{bkm:Ref474213030}, but in a detransitive, or “Actor voice”, construction. Here the verb is grammatically intransitive, the Actor is absolutive, and a clause headed by a nominalized verb is preceded by the non-absolutive particle ta:",bkm:Ref462325755,\gsrc Gaumpisa en kanen an ta \textbf{(pag)}\textbf{tanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Ga-umpisa en kanen an ta \textbf{(pag)-tanem} \textbf{ta} \textbf{kamuti}. | \gls I.R-start CM 3S.ABS DEF.M NABS (NR.ACT-)plant NABS cassava | \glt ‘S/he started \textbf{to plant cassava}.’,bkm:Ref474213030,\gsrc Paumpisaan din en \textbf{pagtanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Pa-umpisa-an din en \textbf{pag-tanem} \textbf{ta} \textbf{kamuti}. | \gls T.R-start-APL 3S.ERG CM NR.ACT-plant NABS cassava | \glt ‘S/he started \textbf{planting} \textbf{cassava}.’,,,,,,,,,,,,,,,,
Clause combining,Nominalizations as dependent clauses,Nominalizations as oblique complement clauses,,,"Again, in example \REF{bkm:Ref462325755} there is little if any reported difference in meaning whether the verb in the OC is in the bare form tanem or the pag- form pagtanem. The transitive, or ``patient voice"" construction (given earlier in \ref{bkm:Ref474213030} and recapitulated in \ref{ex:startedplantingcassava-2} for convenience) is nearly synonymous:",bkm:Ref462325755,\gsrc Gaumpisa en kanen an ta \textbf{(pag)}\textbf{tanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Ga-umpisa en kanen an ta \textbf{(pag)-tanem} \textbf{ta} \textbf{kamuti}. | \gls I.R-start CM 3S.ABS DEF.M NABS (NR.ACT-)plant NABS cassava | \glt ‘S/he started \textbf{to plant cassava}.’,bkm:Ref474213030,\gsrc Paumpisaan din en \textbf{pagtanem} \textbf{ta} \textbf{kamuti}. \\ | \gll Pa-umpisa-an din en \textbf{pag-tanem} \textbf{ta} \textbf{kamuti}. | \gls T.R-start-APL 3S.ERG CM NR.ACT-plant NABS cassava | \glt ‘S/he started \textbf{planting} \textbf{cassava}.’,,,,,,,,,,,,,,,,
