Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,ka-: abstract quality,,,Examples \REF{bkm:Ref447113409} and \REF{bkm:Ref441302833} illustrate ka{}- nominalizations used as nouns in context:,bkm:Ref447113409,\gsrc Daw ino na \textbf{kadayad} mga dikurasyon an na mga paniin. | \gll Daw ino na \textbf{ka-dayad} mga dikurasyon an na mga paniin. | \gls if/when what LK NR-good PL decoration DEF.M LK PL shells | \glt ‘What \textbf{beauty} of the shell decorations!’,bkm:Ref441302833,\gsrc Tagan kay ta \textbf{kabaskeg} ta ame na mga lawa para mag-ubra kay... | \gll ∅-atag-an kay ta \textbf{ka-baskeg} ta ame na mga lawa para mag--ubra kay... | \gls T.IR-give-APL 1P.EXCL.ABS NABS NR-strong NABS 1P.EXCL.GEN LK PL body for I.IR-work 1P.EXCL.ABS | \glt ‘Give us \textbf{strength} for our bodies in order for us to work ...',,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,ka-...-én/-ón: abstract quality/dimension,,,Examples \REF{bkm:Ref116398555}{}-\REF{bkm:Ref116398718} illustrate some ka{}-...-én nominalizations in context:,bkm:Ref116398555,\gsrc Piro ta \textbf{kasàkeén} ta iran na ubra uļa danen namasmasi na iran na bata may kalain ta beet ki danen. | \gll Piro ta \textbf{ka-s}à\textbf{ke-én} ta iran na ubra uļa danen na-masmas--i na iran na bata may ka-lain ta beet ki danen. | \gls but NABS NR-busy-NR NABS 3P.GEN LK work NEG.R 3P.ERG A.HAP.R-notice-XC.APL LK 3P.GEN LK child EXT.IN NR-bad NABS inner.being OBL.P 3p | \glt `But in the \textbf{business} of their work they did not notice that their child had bad feelings towards them.’,bkm:Ref116398718,\gsrc \textbf{Katamarén} din paryo ta iya na amay. | \gll \textbf{ka-tamad-én} din paryo ta iya na amay. | \gls NR-lazy-NR 3S.GEN same NABS 3S.GEN LK father | \glt ‘His/her \textbf{laziness} is like his/her father.’,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,"{-an, and ka-...-an: location",,,The following examples illustrate some of these constructions in context. Example \REF{bkm:Ref419298360} illustrates the form tumanan used as a noun:,bkm:Ref419298360,Not found,,,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,"{-an, and ka-...-an: location",,,"Example \REF{bkm:Ref106949019} illustrates the form kaguļangan ‘mature (land)’, based on a prop\-er\-ty-concept root\is{property-concept roots (adjectives)}\is{adjectives}, and kakauyan ‘forest’ based on a nominal root both functioning as nouns:",bkm:Ref106949019,\gsrc Amo i isya na ayep naan gaistar ta \textbf{kaguļangan} o \textbf{kakauyan}. | \gll Amo i isya na ayep naan ga-istar ta \textbf{ka-guļang-an} o \textbf{ka-kauy-an}. | \gls monkey DEF.N one LK animal SPAT.DEF I.R-live NABS NR-mature-NR or NR-tree-NR \glt ‘Monkeys are one (kind of) animal living in \textbf{oldest} \textbf{(virgin} \textbf{forests)} or \textbf{places} \textbf{with} \textbf{many} \textbf{trees}.’,,,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,"{-an, and ka-...-an: location",,,"Example \REF{bkm:Ref106949274} illustrates the form batuan ‘rocky place’, functioning as a location:",bkm:Ref106949274,"\gsrc Niog nai derse nang pļapa din tak naan gatubo ta \textbf{batuan}. | \gll Niog nai derse nang pļapa din tak naan ga-tubo ta \textbf{bato-an}. | \gls coconut D1ABS small.PL only frond 3S.GEN because SPAT.DEF I.R-grow NABS rock-NR | \glt ‘This coconut tree, its fronds are small only because it grows in a \textbf{rocky} \textbf{place}.’",,,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,"{-an, and ka-...-an: location",,,"Example \REF{bkm:Ref106949527} illustrates the verbal root ugsak ‘put inside’ nominalized with -an, to refer to a location.",bkm:Ref106949527,\gsrc Gakamang a ta kaļaw daw \textbf{ugsakan} ta ummay na ega. | \gll Ga-kamang a ta kaļaw daw \textbf{ugsak-an} ta ummay na ega. | \gls I.R-get 1S.ABS NABS winnowing.basket and put.inside-NR NABS unmilled.rice LK dry | \glt `I got a winnowing basket and a \textbf{container} of unmilled rice that was dry.’,,,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,"{-an, and ka-...-an: location",,,"Finally, example \REF{bkm:Ref106950024} illustrates the noun bata ‘child’ with -an meaning ‘group of children usually having the same parents’, while \REF{bkm:Ref106950027} illustrates the same root with ka-…-an meaning ‘group of many children’, or ‘youth’, usually having different parents:",bkm:Ref106950024,"\gsrc May bata daen appat buok, darwa bai, darwa man mama. Ta, tak ubos en may sawa \textbf{bataan} daen, darwa nang en bilin an baļay en. | \gll May bata daen appat buok, darwa bai, darwa man mama. Ta, tak ubos en may sawa \textbf{bata-an} daen, darwa nang en bilin an baļay en. | \gls EXT.IN child 3P.ABS four piece two female two too male so because all CM EXT.IN spouse child-NR 3P.GEN two only CM left SPAT.DEF house CM | \glt `They have four children, two female, two male too. So, because all their \textbf{children} have spouses, just (they) two only are left at the house.’",bkm:Ref106950027,"\gsrc Anduni mga bag-o tubo na mga \textbf{kabataan} uļa gataod ta iran na isigkaittaw. | \gll Anduni mga bag-o tubo na mga \textbf{ka-bata-an} uļa ga-taod ta iran na isigka-ittaw.\footnotemark{} | \gls now/today PL new grow LK PL NR-child-NR NEG.R I.R-respect NABS 3P.GEN LK fellow-people | \glt `Now/today, the new generation of \textbf{children} do not respect their fellow people.’",,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,"{-an, and ka-...-an: location",,,There are other nouns that seem to have the ka{}- nominalizer and either -en or -an suffix but are not easily divided into morphemes. These may have been borrowed from other languages (notably Hiligaynon) or are simply lexicalized. A selection of such words is given in \REF{bkm:Ref51161274}. An example of an irregular formation is given in \ref{ex:kindness}:,bkm:Ref51161274,Not found,,,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,-én/-ón: future patient noun,,,Future patient nouns may also be derived from nominal roots (examples in \ref{bkm:Ref117346657}).,bkm:Ref117346657,Not found,,,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,-én/-ón: future patient noun,,,"The suffix -én/-ón can also derive adjectives as described in \chapref{chap:modification}, \sectref{bkm:Ref117512242}. Examples \REF{bkm:Ref116398789} and \REF{bkm:Ref116398793} illustrate some future patient nominalizations from the corpus:",bkm:Ref116398789,\gsrc Gatanem kay ta mga saging daw mga \textbf{laswaén}. | \gll Ga-tanem kay ta mga saging daw mga \textbf{laswa-én}. | \gls I.R-plant 1P.EXCL.ABS NABS PL banana and PL cook.fish.stew-NR | \glt ‘We planted bananas and \textbf{fish-stew-vegetables}.’,bkm:Ref116398793,"\gsrc \textbf{Gulayén} ta Cagayancillo klasi-klasi na mga prutas tampayas puso ta saging, sitaw, bļatong, taļong, kļubay, klabasa, nangka daw duma pa na \textbf{gulayén}. | \gll \textbf{Gulay-én} ta Cagayancillo klasi--klasi na mga prutas tampayas puso ta saging, sitaw, bļatong, taļong, kļubay, klabasa\footnotemark{}, nangka daw duma pa na \textbf{gulay-én}. | \gls vegetables-NR NABS Cagayancillo RED-kind LK PL fruit papaya heart NABS banana yardlong.bean string.bean eggplant bottle.gourd summer.squash jackfruit and other INC LK vegetable-NR | \glt `\textbf{Cooking} \textbf{vegetables} on Cagayancillo, (are) kinds of fruits, papaya, flower (lit. heart) of banana, yardlong beans, string beans, eggplant, bottle gourd, summer squash, jackfruit, and other \textbf{cooking} \textbf{vegetables}.’",,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,<in>: resultative,,,"The nominalizing infix <in> occurs after the first consonant of the root.\footnote{As discussed in Chapter 2, in Kagayanen all words begin with consonants. Words that begin with vowel letters in the orthography actually start with an unwritten glottal stop, which is a full consonant in Kagayanen. So, for example, the verb ambaļ has an initial unwritten glottal stop. The infix <in> occurs after the initial glottal stop to form the word spelled inambaļ.} The resulting noun usually refers to something that is affected by the action or process described by the root (examples \ref{bkm:Ref419299508} and \ref{bkm:Ref419299510}). In this sense, <in> is analogous to a past-participle marker. Unlike \isi{Tagalog} and many other Philippine languages, <in> alone has no function as a Transitivity/Modality marker on inflected verbs. Rather, in Kagayanen the corresponding \isi{inflectional} form is the transitive realis pa{}- (see \chapref{chap:verbstructure}, \sectref{sec:transitiverealis}):",bkm:Ref419299508,\gsrc May baļon a na \textbf{linub-ong}. | \gll May baļon a na \textbf{l<in>ub-ong}. | \gls EXT.IN provisions 1S.ABS LK <NR.RES>cooked.cassava | \glt ‘I have some \textbf{steamed} \textbf{cassava} provisions.’,bkm:Ref419299510,\gsrc Daw luto en iran na \textbf{sinin-ad} magtumpok danen daw magkaan. | \gll Daw luto en iran na \textbf{s<in>in-ad} mag-tumpok danen daw mag-kaan. | \gls if/when cook CM 3P.GEN LK <NR.RES>cook.grain I.IR-gather 3S.ABS and I.IR-eat | \glt ‘When \textbf{what} \textbf{was} \textbf{cooked} is already cooked (completely) they gather together and eat.’,,,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,<in>: resultative,,,"Like all Kagayanen nouns, nominalizations formed with the infix <in> can function as modifiers (as in \ref{bkm:Ref419299508}). For example, baļad ‘to sun dry’ with <in> becomes binaļad ‘sun dried thing’. This form may occur in the position of a modifier in Referring Phrases, e.g., binaļad na mais ‘sun dried corn’. Examples \REF{bkm:Ref419378020} and \REF{bkm:Ref51233639} are corpus examples illustrating this usage with the roots sugba ‘to roast’ and begkes ‘to bundle’ respectively:",bkm:Ref419299508,\gsrc May baļon a na \textbf{linub-ong}. | \gll May baļon a na \textbf{l<in>ub-ong}. | \gls EXT.IN provisions 1S.ABS LK <NR.RES>cooked.cassava | \glt ‘I have some \textbf{steamed} \textbf{cassava} provisions.’,bkm:Ref419378020,"\gsrc Pag-abot nay dya, listo kay eman kaan tak may mga \textbf{sinugba} na sidda. | \gll Pag--abot nay dya, listo kay eman kaan tak may mga \textbf{s<in>inugba} na sidda. | \gls NR.ACT-arrive 1P.EXCL.GEN D4LOC quickly 1P.EXCL.ABS again.as.before eat because EXT.IN PL <NR.RES>roast LK fish | \glt `When we arrived there, quickly we ate again because there were some \textbf{roasted} fish.’",bkm:Ref51233639,"\gsrc Masimba anay danen an daw magprusisyon na daļa a santos na Santo Ninyo palibot ta banwa na gadaļa ta \textbf{binegkes} na tanitang. | \gll Ma-simba anay danen an daw mag-prusisyon na daļa a santos na Santo Ninyo pa-libot ta banwa na ga-daļa ta \textbf{b<in>egkes} na tanitang. | \gls A.HAP.IR-worship first 3P.ABS DEF.M and I.IR-procession LK carry INJ statue LK Holy Child T.R-around NABS town/country LK I.R-carry NABS <NR.RES>bundle LK dried.coconut.frond | \glt `They will first go to church and go in a procession carrying the statue, the Holy Child, taking (it) around the town carrying \textbf{bundled} dried coconut fronds.’",,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,<in>: resultative,,,"When <in> occurs on nominal roots referring to units of time, the meaning is plural, with (\ref{bkm:Ref419299808} and \ref{bkm:Ref419299809}) or without (\ref{bkm:Ref441664725}) the \isi{plural} marker mga:",bkm:Ref419299808,\gsrc Ta \textbf{mga} \textbf{binuļan} na gubra mga mama ta simbaan daw iskwilaan malised na uļa angay pangabui ta mga ittaw. | \gll Ta \textbf{mga} \textbf{b<in>uļan} na ga-ubra mga mama ta simba-an daw iskwila-an ma-lised na uļa angay pangabui ta mga ittaw. | \gls NABS PL <NR.RES>month LK I.R-work PL man NABS worship-NR and go.to.school-NR ADJ-distress LK NEG.R fitting living NABS PL person | \glt ‘During the \textbf{months} when the men were working on the church and school (it was) distressing (and) not fitting for the lives of people.',bkm:Ref419299809,\gsrc Ta una sa na \textbf{mga} \textbf{inadlaw} panliton i pasunod ta maid-id ta mga ittaw ta banwa ta i. | \gll Ta una sa na \textbf{mga} \textbf{<in>adlaw} panliton i pa-sunod ta maid-id ta mga ittaw ta banwa ta i. | \gls NABS first D4NABS LK PL <NR.RES>day baby.ritual DEF.N T.R-follow NABS well NABS PL person NABS town/country 1P.INCL.GEN DEF.N | \glt `In the first (i.e. early) \textbf{days} the ritual of presenting babies to ancestor spirits the people in our town followed (it) well.’,bkm:Ref441664725,\gsrc Piro duma ya na galambay ya na \textbf{tinaon} dili pa gid segeng na pag-ataki ta apo. | \gll Piro duma ya na ga-lambay ya na \textbf{t<in>aon} dili pa gid segeng na pag--ataki ta apo. | \gls but some DEF.F LK I.R-pass.by DEF.F LK <NR.RES>year NEG.IR INC INT extreme LK NR.ACT-attack NABS asthma | \glt `But other past \textbf{years} it was not yet really an extreme attack of asthma.’,,,,,,,,,,,,,,
Referring expressions,Noun-forming processes\is{noun-forming processes|(\is{nominalization|(,<in>: resultative,,,"The infix <in> may combine with the applicative \textit{{}-an}. Only verb roots which require or allow the applicative \nobreakdash-an may be nominalized in this way (see \chapref{chap:stemformingprocesses}, \sectref{sec:applicative-an}). The interpretation of the resulting nominalization depends largely on the nature of the verb root, and is generally consistent with the use of the applicative suffix on Inflected Verbs. For example, as discussed in \chapref{chap:stemformingprocesses}, \sectref{sec:applicative-an}, some transitive verbs require \textit{{}-an} in their normal active-transitive use as main verbs. For this same set of roots, <in>...-an forms a nominalization that refers to the Patient of the verb (\ref{bkm:Ref419300230}-\ref{bkm:Ref419300233}). The stress on such nominalizations is regular---the main stress falls on the penultimate syllable and the secondary stress two syllables to the left.",bkm:Ref419300230,\gsrc \textbf{Tinanuran} ko ya na bata nuļog ta geddan. | \gll \textbf{T<in>anur-an} ko ya na bata na-uļog ta geddan. | \gls <NR.RES>care.for-APL 1S.GEN DEF.F LK child A.HAP.R-fall NABS stairs | \glt `\textbf{The} child I \textbf{cared} \textbf{for} fell down the stairs.’ (lit. `my cared for child'),bkm:Ref419300233,Not found,,,,,,,,,,,,,,,,
