Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Stem-forming morphological processes,Root reduplication,,,,"Root reduplication was described in \chapref{chap:referringexpressions}, \sectref{sec:rootreduplication} for referential roots (or “nouns”), and in \chapref{chap:modification}, \sectref{sec:rootreduplication-derivation} for property concept roots (or “adjectives”). The same two processes, complete or partial root reduplication, occur with predicating roots (or “verbs”). The meaning of a partially or completely reduplicated verbal root may be repetitive, continuous, not really doing X, sort of doing X, or pretending to do X. The context usually distinguishes among these possibilities. The `not really doing,' `kind of doing', or `pretending to do' meanings are similar to the meanings associated with reduplicated nouns and adjectives. There is only one example in the texts of the `not really doing' sense (\ref{bkm:Ref361055761} below), but this usage does occur frequently in everyday conversation. For example, the root buat ‘do’/‘make’ when reduplicated buat-buat can mean ‘keep doing/making something’ or it can mean ‘make something up’ or ‘make believe’ (as in example \ref{bkm:Ref361055761}). The root suļat ‘to write’, when reduplicated suļat-suļat or sutsuļat may mean ‘continuously write’, in other contexts ‘write repeatedly’, and in still other contexts ‘scribble’ or ‘pretend to write’. Verbs denoting punctual changes in state, such as buong ‘to break’ or punctual changes in location, such as balik ‘return’, cannot express the ‘continuously’ meaning when reduplicated because this would be pragmatically odd---something can’t continuously break or return. Root reduplication for these verbs can only mean to ‘break repeatedly’, ‘return repeatedly’ or conceivably ‘sort of break’, ‘pretend to return’ (though these uses are not attested in the corpus, and are difficult for speakers to use or imagine outside of a specific communicative context). Occasionally there is a slight difference in meaning between complete and partial reduplication for the same root, but there is no consistent pattern. For example, the root sunod means ‘to follow’. Sunod-sunod means `to mimic', whereas sudsunod means `to follow', as in someone’s footsteps. Also, kaan-kaan is the general reduplicated form ‘to keep on eating’ (from kaan ‘eat’) while kankaan means `to graze', that is, animals eating with their heads down.",bkm:Ref361055761,"\gsrc Uyi na isturya matuod, dili ko nang \textbf{buat-buat} na isturya. | \gll U-yi na isturya matuod, dili ko nang \textbf{buat\sim{}buat} na isturya. | \gls EMPH-D1ADJ LK story true NEG.IR 1S.ERG only RED\simmake LK story | \glt ‘This story is true, (it is) not just my made up story.’",bkm:Ref361055761,"\gsrc Uyi na isturya matuod, dili ko nang \textbf{buat-buat} na isturya. | \gll U-yi na isturya matuod, dili ko nang \textbf{buat\sim{}buat} na isturya. | \gls EMPH-D1ADJ LK story true NEG.IR 1S.ERG only RED\simmake LK story | \glt ‘This story is true, (it is) not just my made up story.’",,,,,,,,,,,,,,,,
Stem-forming morphological processes,Pluractional ng- /ŋ/,,,,"The verb tanem ‘to plant’, as in examples \REF{bkm:Ref447198515} and \REF{bkm:Ref444336178}, often takes the pluraction prefix. This is because planting necessarily involves multiple, repetitive actions. Thus, even if one person is planting, the pluraction prefix may be used (example \ref{bkm:Ref447198515}). A verb may optionally take the pluraction prefix when several actors perform the same intransitive action individually (examples \ref{bkm:Ref444336178} and \ref{bkm:Ref394988295}):",bkm:Ref447198515,"\gsrc Ubra ta ake na amay \textbf{manampara} nang daw makwa ta guso \textbf{mananem}, \textbf{manguma}. | \gll Ubra ta ake na amay \textbf{ma-ng-tampara} nang daw ma-kwa ta guso \textbf{ma-ng-tanem}, \textbf{ma-ng-uma}. | \gls work NABS 1S.GEN LK father A.HAP.IR-PL-goggles only/just and A.HAP.IR-whachamacallit NABS seaweed A.HAP.IR-PL-plant A.HAP.IR-PL-field | \glt `The work of my father is to spear fish, to whatchamacallit, to plant agar-agar seaweed, to farm.’",bkm:Ref444336178,\gsrc Tapos duma an \textbf{gananem} ta guso tak uļa iskwila. | \gll Tapos duma an \textbf{ga-ng-tanem} ta guso tak uļa iskwila. | \gls then other DEF.M I.R-PL-plant NABS seaweed because NEG.R school | \glt ‘Then the other (students) were planting agar-agar seaweed because there is no school (in session).’,bkm:Ref447198515,"\gsrc Ubra ta ake na amay \textbf{manampara} nang daw makwa ta guso \textbf{mananem}, \textbf{manguma}. | \gll Ubra ta ake na amay \textbf{ma-ng-tampara} nang daw ma-kwa ta guso \textbf{ma-ng-tanem}, \textbf{ma-ng-uma}. | \gls work NABS 1S.GEN LK father A.HAP.IR-PL-goggles only/just and A.HAP.IR-whachamacallit NABS seaweed A.HAP.IR-PL-plant A.HAP.IR-PL-field | \glt `The work of my father is to spear fish, to whatchamacallit, to plant agar-agar seaweed, to farm.’",bkm:Ref444336178,\gsrc Tapos duma an \textbf{gananem} ta guso tak uļa iskwila. | \gll Tapos duma an \textbf{ga-ng-tanem} ta guso tak uļa iskwila. | \gls then other DEF.M I.R-PL-plant NABS seaweed because NEG.R school | \glt ‘Then the other (students) were planting agar-agar seaweed because there is no school (in session).’,bkm:Ref394988295,Not found,,,,,,,,,,
Stem-forming morphological processes,Pluractional ng- /ŋ/,,,,"Since pluractionality is only expressed in grammatically intransitive constructions, it does not occur with the transitive, realis pa{}-. When it occurs with the ambitransitive happenstantial prefixes, na{}- and ma{}-, the construction must be understood as grammatically intransitive (see examples \ref{bkm:Ref447198515} and \ref{bkm:Ref444336178} above).",bkm:Ref447198515,"\gsrc Ubra ta ake na amay \textbf{manampara} nang daw makwa ta guso \textbf{mananem}, \textbf{manguma}. | \gll Ubra ta ake na amay \textbf{ma-ng-tampara} nang daw ma-kwa ta guso \textbf{ma-ng-tanem}, \textbf{ma-ng-uma}. | \gls work NABS 1S.GEN LK father A.HAP.IR-PL-goggles only/just and A.HAP.IR-whachamacallit NABS seaweed A.HAP.IR-PL-plant A.HAP.IR-PL-field | \glt `The work of my father is to spear fish, to whatchamacallit, to plant agar-agar seaweed, to farm.’",bkm:Ref444336178,\gsrc Tapos duma an \textbf{gananem} ta guso tak uļa iskwila. | \gll Tapos duma an \textbf{ga-ng-tanem} ta guso tak uļa iskwila. | \gls then other DEF.M I.R-PL-plant NABS seaweed because NEG.R school | \glt ‘Then the other (students) were planting agar-agar seaweed because there is no school (in session).’,,,,,,,,,,,,,,,,
Stem-forming morphological processes,Pluractional ng- /ŋ/,,,,"In example \REF{bkm:Ref394988618} the pluraction prefix is used on the verb utang ‘to borrow money’ because this fish was in the habit of making debts, and in the discourse context he enabled himself to make many debts again by changing his appearance:",bkm:Ref394988618,"\gsrc Sunod i eman na mga adlaw sidda na utang-utang \textbf{nangutang} isab. | \gll Sunod i eman na mga adlaw sidda na utang\sim{}utang \textbf{na-ng-utang} isab. | \gls next DEF.N again.as.before LK PL day/sun fish LK RED\simborrow.money A.HAP.R-PL-borrow.money again | \glt `The next days again, as before, the fish (called) always-debting was able again to make debts.’",,,,,,,,,,,,,,,,,,
Stem-forming morphological processes,Pluractional ng- /ŋ/,,,,"Example \REF{bkm:Ref397352255} illustrates pluraction in a semantically transitive\is{semantic transitivity}\is{transitivity!semantic} situation. However, it is clear that this is a grammatically intransitive clause because the Undergoer, “trees”, is marked as non-absolutive. The actor is not mentioned, but is understood to be an absolutive argument mentioned in the previous clause. This is a detransitive (or “actor voice” construction) as described in \chapref{chap:voice}, \sectref{sec:actorvoice}. Note also that the plural marker mga does not occur preceding kaoy ‘tree/trees’. This is because no particular trees are being mentioned, but just the idea that trees (any trees) can now be planted. This is called a generic\is{generic!} plural:",bkm:Ref397352255,Not found,,,,,,,,,,,,,,,,,,
Stem-forming morphological processes,Pluractional ng- /ŋ/,,,,"Pluraction is not synonymous with plural actor. For example, the verb sayaw, ‘to dance’, does not occur with the pluraction prefix, even if several actors are intended. The reason is that dancing is considered one action that several people may do together, whereas the pluraction prefix is only appropriate when there are multiple distinct actions. For example, in \REF{bkm:Ref394988295} the boats are all individually going home. They are scattered over a wide area, and may be going home at different times, and to different places. This is not just one act of “going home”, but rather several individual acts. The apparent optionality of the pluraction prefix may be due to speakers’ varying construals of scenes as being one act by many actors, or multiple individual acts.",bkm:Ref394988295,Not found,,,,,,,,,,,,,,,,,,
Stem-forming morphological processes,Causative pa-,,,,"The stem-forming prefix pa{}- adds a causative sense to any verb root. The result is an inherently transitive stem that can then be inflected with any of the inflectional affixes discussed in \chapref{chap:verbstructure}. Such morphological causatives are discussed from a function-first perspective, along with other types of causatives, in \chapref{chap:voice}, \sectref{sec:causatives}. Examples \REF{bkm:Ref397062399} and \REF{bkm:Ref444336543} illustrate dynamic non-causative and corresponding causative constructions:",bkm:Ref397062399,Not found,bkm:Ref444336543,\gsrc \textbf{Lutuon} ta nanay din suman an kani. | \gll \textbf{Luto-en} ta nanay din suman an kani. | \gls cook-T.IR NABS mother 3SGEN sticky.rice.cake DEF.M later | \glt ‘His/her mother will cook the sticky rice cake later.',,,,,,,,,,,,,,,,
Stem-forming morphological processes,Causative pa-,,,,Example \REF{bkm:Ref122944930} illustrates the causative (inherently transitive) stem pauli ‘send home’ in a detransitive (or “actor voice”) construction:,bkm:Ref122944930,Not found,,,,,,,,,,,,,,,,,,
Stem-forming morphological processes,Causative pa-,,,,"\footnotetext{The detransitive (actor voice) construction is often used when an ergative element needs to occur in the absolutive form for purposes of relativization, or, as in this elicited example based on example \REF{bkm:Ref395074775}, when the causer is fronted for contrastive/focal prominence (see \chapref{chap:voice}, \sectref{sec:causatives}).}",bkm:Ref395074775,\gsrc \textbf{Palutuon} kanen ta nanay din ta suman kani. | \gll \textbf{Pa-luto-en} kanen ta nanay din ta suman kani. | \gls CAUS-cook-T.IR 3S.ABS NABS mother 3S.GEN NABS sticky.rice.cake later | \glt ‘His/her mother will have him/her cook the sticky rice cake later.,,,,,,,,,,,,,,,,,,
Stem-forming morphological processes,Causative pa-,,,,"Although the verb forms are identical in examples \REF{bkm:Ref362342951} and \REF{bkm:Ref122954287}, \REF{bkm:Ref122954287} is clearly the causative because of the construction in which it appears. The midwife is the ergative case agent of cause, and the speaker is the absolutive case causee. As a non-causative this would have to mean ‘The midwife took me (as medicine)’, which is pragmatically nonsensical. Furthermore, the verb form papatumar, with both pa{}- prefixes present, may replace the verb in \REF{bkm:Ref122954287} but not in \REF{bkm:Ref362342951}. When both prefixes occur, the effect is to make the causative notion more forceful or more direct. The causer is the one initiating and forcing the causee to perform the action either with words, threats of punishment or physical force. The causee does not have a choice to perform the action or not.",bkm:Ref362342951,\gsrc \textbf{Patumar} ko antibiotic ya. | \gll \textbf{Pa-tumar} ko antibiotic ya. | \gls T.R-take.meds 1S.ERG antibiotics DEF.F | \glt ‘I took the antibiotics.’,bkm:Ref122954287,\gsrc \textbf{Patumar} a ta midwife ta antibiotic... | \gll \textbf{...-pa-tumar} a ta midwife ta antibiotic... | \gls T.R-CAUS-take.meds 1S.ABS NABS midwife NABS antibiotic | \glt ‘The midwife had me take some antibiotics ...’,bkm:Ref122954287,\gsrc \textbf{Patumar} a ta midwife ta antibiotic... | \gll \textbf{...-pa-tumar} a ta midwife ta antibiotic... | \gls T.R-CAUS-take.meds 1S.ABS NABS midwife NABS antibiotic | \glt ‘The midwife had me take some antibiotics ...’,bkm:Ref122954287,\gsrc \textbf{Patumar} a ta midwife ta antibiotic... | \gll \textbf{...-pa-tumar} a ta midwife ta antibiotic... | \gls T.R-CAUS-take.meds 1S.ABS NABS midwife NABS antibiotic | \glt ‘The midwife had me take some antibiotics ...’,bkm:Ref362342951,\gsrc \textbf{Patumar} ko antibiotic ya. | \gll \textbf{Pa-tumar} ko antibiotic ya. | \gls T.R-take.meds 1S.ERG antibiotics DEF.F | \glt ‘I took the antibiotics.’,,,,,,,,,,
