Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Examples \REF{bkm:Ref148453300}-\REF{bkm:Ref148453302} illustrate buong, ‘shatter’, a Class I root in intransitive, transitive and detransitive frames. Because Class I roots are punctual achievements, they do not take dynamic affixes in the basic intransitive frame. This is because dynamicity involves change over time--in Kagayanen, an object cannot “begin to shatter” or “be shattering”. In a transitive frame, these roots express direct causation, without a causative prefix. They may also take a causative prefix, in which case they express indirect causation (see \chapref{chap:voice}, \sectref{sec:causatives}).\footnote{Direct causation refers to situations in which a causer exerts direct control over the caused situation, for example, Melvin broke the window (caused the window to break), Shelly sank the boat (caused the boat to sink). Indirect causation refers to situations in which the agent of the caused situation (sometimes referred to as the causee), retains some control over the situation, for example, Melvin let Peter run wild, Shelly had Peter get a haircut.} In a detransitive frame, these verbs also express direct causation, but with the causee downplayed.",bkm:Ref148453300,Not found,bkm:Ref148453302,Not found,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Examples \REF{bkm:Ref148516780}-\REF{bkm:Ref148516783} illustrate the root leddang ‘to sink’, a Class II root. These roots occur in the same set of argument structure frames as Class I roots. However, since they express durative accomplishments, they may take dynamic modality in the basic intransitive frame:",bkm:Ref148516780,Not found,bkm:Ref148516783,Not found,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Examples \REF{bkm:Ref148517624}{}-\REF{bkm:Ref148517629} illustrate the root bagting ‘to ring’, a Class III root. Since these roots do not involve a change in state (ringing a bell does not change the bell in any way), they do not allow a resultant state usage. For the same reason, the bare roots do not easily occur in the happenstantial forms. For inherently intransitive non-volitional roots, happenstantial forms imply a change of state.",bkm:Ref148517624,Not found,bkm:Ref148517629,Not found,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"The examples in \REF{bkm:Ref148518761} illustrate the root sayaw ‘to dance’, a Class IV root. Semantically, Class IV roots describe volitional, basically intransitive situations. They do not entail a change in state, therefore there is no resultant state form. Grammatically, Class IV roots do not occur in transitive frames without causative or applicative morphology, therefore the inflected root does not appear in detransitive frames either:",bkm:Ref148518761,Not found,,,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Examples \REF{bkm:Ref150170077} and \REF{bkm:Ref150170080} illustrate the transitive, non-volitional root kita ‘to see’ (Class V). Note that this verb, along with other members of its class, does not easily occur in the dynamic forms. This makes semantic sense, since dynamicity involves movement and/or change, and seeing something does not involve either of these semantic features.",bkm:Ref150170077,Not found,bkm:Ref150170080,Not found,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Class VI can be considered the majority class for roots describing semantically transitive\is{semantic transitivity}\is{transitivity!semantic} situations in which there is a change in state. Like classes V, VII and VIII, Class VI roots expressing transitive situations do not occur in basic intransitive frames.\footnote{Some roots fall into more than one class. The situation types described by root Classes V-VIII are basically (semantically) transitive, so for these meanings basic intransitive forms are not available. Some of these roots also fall into other classes with different meanings. For example, agi as a volitional intransitive activity means ‘to pass through’ (Class IV). This is the only meaning available for this root in a basic intransitive frame. As a non-volitional transitive activity it means ‘to experience X’ (Class V). For this meaning, the root does not appear in a basic intransitive frame.} All intransitive inflections for the transitive meanings are detransitive. Examples \REF{bkm:Ref148531334} and \REF{bkm:Ref148531341} illustrate the Class VI root inem ‘to drink’:",bkm:Ref148531334,Not found,bkm:Ref148531341,Not found,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Examples \REF{bkm:Ref148532039} and \REF{bkm:Ref148532042} illustrate the root atag ‘to give’, a Class VII root. Most Class VII roots describe situations of transfer (sometimes called “ditransitive verbs”) in which the item transferred appears in the Absolutive, and the Recipient in the Non-absolutive case. There are no basic intransitive forms of Class VII roots – all intransitive forms are detransitives, with the item transferred downplayed or omitted. Classes VII and VIII roots are also characterized by the fact that the transitive, irrealis inflection is expressed by the bare verb form (or a “zero” affix; see \ref{bkm:Ref148532039}b):",bkm:Ref148532039,Not found,bkm:Ref148532042,Not found,bkm:Ref148532039,Not found,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Overview of eight classes of verbal roots,,,,"Finally, examples \REF{bkm:Ref148532212} and \REF{bkm:Ref148532215} illustrate the Class VIII root arek ‘to kiss’. Roots of this class obligatorily take the applicative suffix -an in basic transitive constructions in both realis and irrealis modalities. The -an drops in detransitive constructions. Like Class VII roots, the transitive, irrealis inflection is expressed by the bare verb stem, which we represent in glossed examples as a “zero” prefix. These roots describe situations in which the Undergoer is a less than prototypical Patient in that it does not undergo a visible change of state. Rather, the Undergoer is invisibly, partially or superficially affected by the activity described by the root. The examples in \REF{bkm:Ref148532212} illustrate forms of the stem arekan, since the applicative -an is required for basic transitive constructions for this class of verbs.",bkm:Ref148532212,Not found,bkm:Ref148532215,Not found,bkm:Ref148532212,Not found,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Roots describing non-volitional intransitive situations (Classes I – III),,,,"Because of the patterns described above and illustrated in \REF{bkm:Ref148453300} through \REF{bkm:Ref148532215}, we conclude that non-volitionality and change of state are the core semantic features that underlie the use of the happenstantial modality. At times these core features may be extended into other domains (e.g. change of state may include change of place, as in to fall off accidentally). The inherent semantics of Class I roots so strongly favor these features that happenstantial modality is (almost) obligatory. Class II roots, on the other hand, may be interpreted as involving either a change of state, or an activity, depending on the context. Such situations may be expressed in either happenstantial or dynamic modalities, with corresponding differences in meaning. Finally, Class III roots so strongly favor the activity feature that dynamic modality is (almost) required.",bkm:Ref148453300,Not found,bkm:Ref148532215,Not found,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Roots describing non-volitional intransitive situations (Classes I – III),Non-volitional achievements (Class I),,,"Examples \REF{bkm:Ref398301852} and \REF{bkm:Ref398301854} illustrate the root buong ‘shatter’, which is a non-volitio\-nal root of Class I. With no inflectional affixes this root describes a simple state \REF{bkm:Ref398301852}. This may be considered a non-verbal, modification predicate (see \chapref{chap:non-verbalclauses}, \sectref{sec:predicatemodifiers}). In \REF{bkm:Ref398301854}, with happenstantial marking it describes the perfective achievement of shattering. As with all Class I verbs, this root does not occur in dynamic modality (*gabuong/*magbuong). This makes sense since shattering is a punctual event, therefore the root that expresses this concept cannot describe an activity, since activities are inherently non-punctual:",bkm:Ref398301852,\gsrc \textbf{Buong} baso ya.\\ | \gll \textbf{Buong} baso ya. | \gls shatter glass DEF.F | \glt `That glass \textbf{is shattered}.' \hspace{1cm}STATE,bkm:Ref398301854,\gsrc \textbf{Nabuong} baso ya. \textbf{shattered}.’ | \gll \textbf{Na-buong} baso ya. | \gls A.HAP.R-shatter glass DEF.F | \glt `That glass \textbf{shattered}.'\hspace{1cm}ACHIEVEMENT\smallskip,bkm:Ref398301852,\gsrc \textbf{Buong} baso ya.\\ | \gll \textbf{Buong} baso ya. | \gls shatter glass DEF.F | \glt `That glass \textbf{is shattered}.' \hspace{1cm}STATE,bkm:Ref398301854,\gsrc \textbf{Nabuong} baso ya. \textbf{shattered}.’ | \gll \textbf{Na-buong} baso ya. | \gls A.HAP.R-shatter glass DEF.F | \glt `That glass \textbf{shattered}.'\hspace{1cm}ACHIEVEMENT\smallskip,,,,,,,,,,,,
Morphosyntactically defined verb classes,Roots describing non-volitional intransitive situations (Classes I – III),Non-volitional achievements (Class I),,,Examples \REF{bkm:Ref440375076}{}-\REF{bkm:Ref119566298} illustrate additional Class I verbs from the corpus:,bkm:Ref440375076,\gsrc Tiset a nang \textbf{naipit} ta jip. | \gll Tiset a nang \textbf{na-ipit} ta jip. | \gls small 1S.ABS only/just A.HAP.R-pin NABS jeep | \glt ‘A jeep almost \textbf{pinned} me.’,bkm:Ref119566298,"\gsrc \textbf{Naigo} kanen ta granada tak palimpyuan din. | \gll \textbf{Na-igo} kanen ta granada tak pa-limpyo-an din. | \gls A.HAP.R-hit 3S.ABS NABS grenade because T.R-clean-APL 3S.ERG | \glt ‘He \textbf{happened} \textbf{to} \textbf{be} \textbf{hit} by a grenade (explosion), because he cleaned it’ or ‘The grenade (explosion) happened to hit him because he cleaned it.’",,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Roots describing non-volitional intransitive situations (Classes I – III),Non-volitional accomplishments (Class II),,,"Examples \REF{bkm:Ref398301059}{}-\REF{bkm:Ref398301061} illustrate the root gisi ‘torn/tear’, which is a non-volitional root of Class II. In \REF{bkm:Ref398301059} with no inflectional affixes it describes a state. In \REF{bkm:Ref367348391} with happenstantial marking it describes the perfective accomplishment of tearing. In \REF{bkm:Ref398301061} with dynamic marking the same root describes an imperfective activity, with no resultant change in state implied:",bkm:Ref398301059,\gsrc \textbf{Gisi} layag i. | \gll \textbf{Gisi} layag i. | \gls tear sail DEF.N | \glt ‘The sail is \textbf{torn}.’\hspace{1cm}State,bkm:Ref398301061,\gsrc Galayag kay nang en na uļa nay nļami daw indi kay punta asta nang en na \textbf{gagisi} layag i. | \gll Ga-layag kay nang en na uļa nay na-aļam-i daw indi kay punta asta nang en na \textbf{ga-gisi} layag i.\\ | \gls I.R-sail 1P.EXCL.ABS only/just CM LK NEG.R 1P.EXCL.ERG A.HAP.R-know-XC.APL if/when where 1P.EXCL.ABS go until only/just CM LK I.R-tear sail DEF.N | \glt ‘We sailed without knowing where we were going until the sail \textbf{was tearing/began to tear}.’,bkm:Ref398301059,\gsrc \textbf{Gisi} layag i. | \gll \textbf{Gisi} layag i. | \gls tear sail DEF.N | \glt ‘The sail is \textbf{torn}.’\hspace{1cm}State,bkm:Ref367348391,\gsrc \textbf{Nagisi} layag i. | \gll \textbf{Na-gisi} layag i. | \gls A.HAP.R-tear sail DEF.N | \glt ‘The sail \textbf{tore}.’\hspace{1cm}Accomplishment,bkm:Ref398301061,\gsrc Galayag kay nang en na uļa nay nļami daw indi kay punta asta nang en na \textbf{gagisi} layag i. | \gll Ga-layag kay nang en na uļa nay na-aļam-i daw indi kay punta asta nang en na \textbf{ga-gisi} layag i.\\ | \gls I.R-sail 1P.EXCL.ABS only/just CM LK NEG.R 1P.EXCL.ERG A.HAP.R-know-XC.APL if/when where 1P.EXCL.ABS go until only/just CM LK I.R-tear sail DEF.N | \glt ‘We sailed without knowing where we were going until the sail \textbf{was tearing/began to tear}.’,,,,,,,,,,
Morphosyntactically defined verb classes,Roots describing non-volitional intransitive situations (Classes I – III),Non-volitional accomplishments (Class II),,,"The following are some additional examples of Class II verbs from the corpus. Example \REF{bkm:Ref388967079} illustrates leddang, ‘to sink’, in its basic sense:",bkm:Ref388967079,"\gsrc Na magsaļep en adlaw an, naan kay en ta tetenga | \gll Na\footnotemark{} mag-saļep en adlaw an, naan kay en ta te-tenga ta saļangan daw \textbf{na-leddang} kay tak sikad na selleg. | \gls LK I.IR-sunset CM sun/day DEF.M SPAT.DEF 1P.EXCL.ABS CM NABS RED-middle NABS passageway and A.HAP.R-sink 1P.EXCL.ABS because very LK current | \glt ‘When the sun was about to set, we were kind of in the middle of the passageway (through rocks/corals) and \textbf{we} \textbf{sank} because (it was) a strong current.’",,,,,,,,,,,,,,,,,,
Morphosyntactically defined verb classes,Roots describing non-volitional intransitive situations (Classes I – III),Non-volitional accomplishments (Class II),,,"Example \REF{bkm:Ref388967386} illustrates the same verb in dynamic modality, expressing an imperfective, inceptive sense:",bkm:Ref388967386,"\gsrc Paibitan nay ta timbang mama na duma nay daw muoy piro mama an \textbf{galeddang} daw nadaļa din man kami tak mama i bakod kis-a ki kami.\\ | \gll Pa-ibit-an nay ta timbang mama na duma nay daw m-luoy piro mama an \textbf{ga-leddang} daw na-daļa din man kami tak mama i bakod kis-a ki kami.\\ | \gls T.R-hold.on-APL 1P.EXCL.ERG NABS balance man LK companion 1P.EXCL.GEN and I.V.IR-swim but man DEF.M I.R-sink and A.HAP.R-take 3S.ERG also 1P.EXCL.ABS because man DEF.N big than OBL.P 1P.EXCL | \glt ‘We held on to both sides of the man that was our companion and swam, but the man \textbf{was} \textbf{sinking} (or ‘\textbf{began} \textbf{to} \textbf{sink}’) and took us also (down with him) because the man was bigger than us.'",,,,,,,,,,,,,,,,,,
