Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Short grammatical overview of Kalamang,Morphophonology,,,,"The most common morphophonological process is the lenition\is{lenition} of intervocalic stops as illustrated in~(\ref{exe:leni}), followed by the voicing\is{assimilation} of stops following nasals as in~(\ref{exe:voici}). Assimilation of /n/ to velars and of voiceless velar /k/ to voiced\is{voicing} velar /g/ when following /n/, results in /ŋg/, a frequent sound combination illustrated in~(\ref{exe:ngg}).",exe:leni,Not found,exe:voici,Not found,exe:ngg,Not found,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Morphophonology,,,,"Kalamang has few affixes and many clitics. The latter can be divided into two groups: clitics of the first type show morphophonological integration with the unit they are combined with, but can attach to different word classes (typically attaching to the rightmost member of a phrase). Object marker =at, illustrated in~\ref{exe:leni}, as well as attributive =ten, locative =ko and lative =ka (see~\ref{exe:voici} and~\ref{exe:ngg}) are examples of this type of clitic. Clitics of the second type attach to one word class only but do not show morphophonological integration with the unit they are combined with. The applicative proclitic attaches to verbs only, but no lenition takes place when the verb starts with a stop, as illustrated in~(\ref{exe:kokkie}).",exe:leni,Not found,exe:voici,Not found,exe:ngg,Not found,exe:kokkie,Not found,,,,,,,,,,,,
Short grammatical overview of Kalamang,"Nouns, noun phrases and postpositional phrases",,,,"There are eight other postpositions, which indicate the function of peripheral NPs. They are all enclitics that attach to the right edge of the NP. They are the comitative, instrumental, benefactive, similative, locative, ablative/allative (henceforth lative), animate locative and animate lative postpositions. These postpositions head the PP, and are illustrated in~(\ref{exe:ppfirst}) to~(\ref{exe:pplast}) on NPs consisting of a single noun.",exe:ppfirst,\gll ma=bon kiun=bon se bot | \gls 3SG=COM wife.3SG.POSS=COM IAM go | \glt `He and his wife have gone.',exe:pplast,Not found,,,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,"Nouns, noun phrases and postpositional phrases",,,,"The NP is left-headed\is{headedness}, except for nominal possessors\is{possession}, which precede the possessed noun. Besides nominal possessors, nouns can be modified by quantifiers, possessive pronouns, demonstratives, attributively used predicates and relative clauses. The relative ordering of these is not quite clear, and combinations of modifiers is very rare in the Kalamang corpus, so examples illustrating one modifier at a time are given in~(\ref{exe:balfirst}) to~(\ref{exe:ballast}).",exe:balfirst,\gll bal muap-un | \gls dog food-3POSS | \glt `the dog's food',exe:ballast,Not found,,,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Pronouns,,,,All pronouns must be marked with object marker =at when in object position. The possibility and obligatoriness of other postposition marking varies between the paradigms. (\ref{exe:pronfirst}) to (\ref{exe:mumuinat}) illustrate the use of the pronouns. Note that the third person singular may refer to animate males and females as well as inanimates\is{animacy}.,exe:pronfirst,\gll ki pi=at konawaruo | \gls 2PL 1PL.INCL=OBJ forget | \glt `You forget us.',exe:mumuinat,Not found,,,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Pronouns,,,,"Possessive constructions (Chapter~\ref{ch:poss}) can be made with possessive suffixes (example~\ref{exe:safril}), possessive pronouns (example~\ref{exe:mumuinat}) or a combination of both, illustrated in~(\ref{exe:possposs}).",exe:safril,\gll Safril esun Juaria tara-un=at gerket | \gls Safril father.3POSS Juaria grandfather-3POSS=OBJ ask | \glt `Safril's father asks Juaria's grandfather.',exe:mumuinat,Not found,exe:possposs,\gll tumtum per-an anggon na | \gls children water-1SG.POSS 1SG.POSS consume | \glt `Children drink my water.',,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Verbs,,,,"There are two processes of verb derivation: noun-to-verb derivation by reduplication\is{reduplication!verbs}, and \isi{noun incorporation}. These are illustrated in~(\ref{exe:ntv}) and~(\ref{exe:ncrp}).",exe:ntv,Not found,exe:ncrp,"\gll per-na, wat-na | \gls water-consume, coconut-consume | \glt `to drink water, to eat coconut'",,,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Verbs,,,,"The following four \is{valency}valency-changing operations and constructions are attested: \isi{reflexive} constructions, \isi{reciprocal} constructions, applicatives\is{applicative} and causative\is{causative} constructions. Kalamang has no passive\is{passive*}. (\ref{exe:undei}) to~(\ref{exe:rodi}) give examples of the four operations, all of them executed with help of a prefix or proclitic on the predicate. For reflexives and causatives other constructions are available, too.",exe:undei,\gll ma-tain se un-deir=i luk | \gls 3SG-alone IAM REFL-bring=PLNK come | \glt `She came herself.' (Lit. `She brought herself coming.'),exe:rodi,Not found,,,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Simple clauses,,,,"Non-verbal clauses are common, since any property of an argument can act as a predicate with no overt copula\is{copula*} needed. In~(\ref{exe:nonvfirst}) to (\ref{exe:nonvlast}), examples of locative, nominal and quantifier clauses are presented.",exe:nonvfirst,\gll mu tok watko | \gls 3PL still there | \glt `They are still there.',exe:nonvlast,Not found,,,,,,,,,,,,,,,,
Short grammatical overview of Kalamang,Complex predicates,,,,"Complex predicates\is{predicate!complex} (Chapter~\ref{ch:svc}) include serial verb constructions and other monoclausal constructions with more than one verb or verb-like element, most of which are linked with the help of predicate linker =i, as in~(\ref{exe:eni}).",exe:eni,\gll ma ecien=i bara | \gls 3SG return=PLNK descend | \glt `He returns down.',,,,,,,,,,,,,,,,,,
