Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Consonants\is{phonemes!consonants,,,"Minimal and near-minimal sets are given in~(\ref{exe:bilab}) to (\ref{exe:glid}). The sets in~(\ref{exe:bilab}) to (\ref{exe:vela}) have the same places of articulation, while the others are similar in manner of articulation. The sets for voice contrasts for stops, nasals, liquids, fricatives and glides are given in syllable-initial position and in final position where available. The fricatives /s/ and /h/ are not contrastive word-medially. Note also that holang `k.o. dish' in~(\ref{exe:vela}) is a loan from Malay. For more comments on the status of /h/, see §\ref{sec:fric}.",exe:bilab,Not found,exe:glid,Not found,exe:bilab,Not found,exe:vela,Not found,exe:vela,Not found,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Consonants\is{phonemes!consonants,Variation\is{variation!phonemic,,"The [r] ∼ [l] alternation is the most common, especially before and after /o/ or /ou/, as illustrated in~(\ref{exe:rl}).",exe:rl,Not found,,,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Consonants\is{phonemes!consonants,Variation\is{variation!phonemic,,"There is one example of [w] ∼ [b] alternation, given in~(\ref{exe:wesbes}). Some speakers use both forms interchangeably, while others rejected one of the forms when asked.",exe:wesbes,Not found,,,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Vowels\is{phonemes!vowels,,,Minimal and near-minimal sets are given in~(\ref{exe:aeiou}).,exe:aeiou,Not found,,,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Vowels\is{phonemes!vowels,Vowel reduction\is{vowel reduction\is{schwa,,"In fast or casual speech, /a/ and especially /e/ in unstressed syllables (§\ref{sec:stress}) are commonly reduced to [ə]. If both /e/ and /a/ occur in unstressed syllables, as in sedawak `machete', only /e/ is reduced. Examples are given in~(\ref{exe:menadu}).",exe:menadu,Not found,,,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Vowels\is{phonemes!vowels,Free variation\is{variation!phonemic,,Some words have two or more variants where the vowel qualities differ on a larger scale than as described in §\ref{sec:schwa}: there is variation between two or more of the five vowel phonemes. They are listed in~(\ref{exe:vowvar}).,exe:vowvar,Not found,,,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phoneme inventory\is{phonemes,Vowels\is{phonemes!vowels,Free variation\is{variation!phonemic,,"On the basis of the present data, no conclusive explanation can be offered, but note that all variation except the last in~(\ref{exe:vowvar}) occurs after /k/ or /l/, especially after initial /k/, and that several of the words in example~(\ref{exe:vowvar}) have both /k/ and /l/. There could be remnants of (or emerging) vowel harmony: in Mbaham\il{Mbaham} (a language in the same family as Kalamang), disyllabic words with a stressed vowel /i/, /e/, /o/ or /u/ in the second syllable get the same vowel in the first syllable \parencite[][110]{cottet2014}. The forms kelek, kelkem/kolkom, kewe, kibis, kusukusu and melelu obey this rule.",exe:vowvar,Not found,exe:vowvar,Not found,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Phonotactics and syllable structure\is{phonotactics|see{syllable structure\is{syllable structure|(,Vowel sequences\is{vowel sequence\is{diphthong,,,"Vowel sequences with /i/ or /u/ may surface either as disyllabic vowel sequences or as diphthongs, as illustrated for four roots in~(\ref{exe:laus}).",exe:laus,Not found,,,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Prosody\is{prosody|(,Stress assignment\is{stress|(,Stress with clitics and affixes,,"=kin is not always able to attract stress from non-adjacent syllables. In~(\ref{exe:kinstrb}) it shifts from the first to the second syllable in the root, and in~(\ref{exe:kinstrc}) stress remains on the penultimate syllable in the root even when =kin is attached.",exe:kinstrb,Not found,exe:kinstrc,Not found,,,,,,,,,,,,,,,,
"Phonetics, phonology and morphophonology",Prosody\is{prosody|(,Stress assignment\is{stress|(,Compounding and stress\is{compound,,"Also in the compounds in~(\ref{exe:strcomp}), stress is shifted away from the first syllable, resulting in (σ)σˈσσˌσ when the second part of the compound has two syllables (examples~\ref{exe:strcompe} and~\ref{exe:strcompf}), and in σσˈσσ when the second part of the compound is monosyllabic (example~\ref{exe:kacaa}).",exe:strcomp,Not found,exe:strcompe,Not found,exe:strcompf,Not found,exe:kacaa,Not found,,,,,,,,,,,,
