Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Morphological units and processes,Morphological units,Clitic\is{clitic,,,"Clitics follow affixes, as exemplified for the third-person possessive suffix -un and the object clitic =at in~(\ref{exe:pepmang}).",exe:pepmang,\gll   in pep-mang-\textbf{un}=\textbf{at} paruon | \gls 1PL.EXCL pig-language-3POSS=OBJ make | \glt `We're making pig's language [= ugly language].',,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological units,Particle\is{particle,,,"Se is phonologically quite dependent: it does not carry stress, and it usually obeys morphophonological rules. In the great majority of instances, when se follows a word ending in a consonant it takes the form se and when it follows a word ending in a vowel it takes the form he. Se is also grammatically dependent, in the sense that it has no meaning on its own, it does not occur on its own, and it has a fixed position in the clause: it comes right after the subject NP. In these respects se behaves like an enclitic. However, se is not bound to its phrasal host. Consider the question-answer pair in~(\ref{exe:anse}). When answering a question with a subject, se and a verb, a speaker may elide the verb, but answering with the subject and se is ungrammatical, showing that se is not bound to the subject NP.",exe:anse,Not found,,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological units,Particle\is{particle,,,"We also find se in clauses where the subject is elided, as in example \ref{exe:matdani}, which consists of the clauses [after burying him] and [went back up]. The second clause starts with se, and the subject `we' is elided.",exe:matdani,\gll   mat dan=i koyet \textbf{se} ecien=i sara | \gls 3SG.OBJ bury=PLNK finish IAM return=PLNK ascend | \glt `After burying him [we] went back up.',,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological units,Particle\is{particle,,,"But se cannot stand alone as an answer, as in~(\ref{exe:kahebot}).",exe:kahebot,Not found,,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological units,Particle\is{particle,,,"Notice the difference compared to the other aspectual unit tok `yet', also described in §\ref{sec:setok}, which is a word. It carries its own stress, retains its phonological form no matter which units surround it (nothing can be prefixed or suffixed to tok), and, most importantly, it can stand alone as an answer (see also the section on \is{interjection}interjections, \ref{sec:wcyesno}). In~(\ref{exe:kaiatrep}), the speaker acts out a conversation\is{conversation} between two people. (Thus, A and B do not stand for two actual speakers in the recording, but two fictional speakers.)",exe:kaiatrep,Not found,,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological processes,Reduplication\is{reduplication!phonology|(,Partial reduplication,,"Kalamang also makes use of repetition\is{repetition}. Repetition is distinguished from reduplication by two diagnostics: repetition applies to the domain of the word (such that each repeated word carries its own stress) and repetition may have two or more copies (whereas reduplication involves two copies only). Repetition is different from tail-head linking (§\ref{sec:tailhead}) in that it occurs within the clause. As an example, consider the repetition of yal `to paddle' (repeated three times, each repetition carrying a main stress) and war `to fish' in~(\ref{exe:wariw}) (repeated twice and with predicate linker =i). Reduplication is predominantly attested with verbs to indicate iteration or duration. %cite gil 2005?",exe:wariw,"\gll an se koi \textbf{yal} \textbf{yal} \textbf{yal} tebol-suban \textbf{war=i} \textbf{war=i} eh sor nat=nin | \gls 1SG IAM again paddle paddle paddle reef_edge-fish fish=PLNK fish=PLNK INT.E fish consume=NEG | \glt `I paddled and paddled again, fished at the reef edge, fished and fished, the fish didn't bite.'",,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological processes,Reduplication\is{reduplication!phonology|(,Partial reduplication,,"Repetition and reduplication may be combined. In~(\ref{exe:tiririri}), the reduplicated tiri `to sail' is repeated. There are thus two words in~(\ref{exe:tiririri}): [tiˈritiˌri] [tiˈritiˌri].",exe:tiririri,\gll warkin naman=et pi wandi siktak∼tak=i \textbf{tiri∼tiri} \textbf{tiri∼tiri} | \gls tide deep=IRR 1PL.EXCL like_this slow∼INTS=PLNK sail∼PROG sail∼PROG | \glt `When the tide is deep we sail slowly like this.',exe:tiririri,\gll warkin naman=et pi wandi siktak∼tak=i \textbf{tiri∼tiri} \textbf{tiri∼tiri} | \gls tide deep=IRR 1PL.EXCL like_this slow∼INTS=PLNK sail∼PROG sail∼PROG | \glt `When the tide is deep we sail slowly like this.',,,,,,,,,,,,,,,,
Morphological units and processes,Morphological processes,Reduplication\is{reduplication!phonology|(,Partial reduplication,,"In a few rare cases, a reduplicated word is reduplicated. In~(\ref{exe:ewawawa}), the reduplicated reduplication is pronounced [ewaˈwaewaˌwa] (note the stress difference with a singly reduplicated ewa `to speak': /eˈwawa/).",exe:ewawawa,"\gll ma-mun ma neba \textbf{ewa∼wa∼ewawa}=in [...] \textbf{ewa∼wa∼ewawa} | \gls 3SG-PROH 3SG PH talk∼PROG∼PROG=PROH {} talk∼PROG∼PROG | \glt `She shouldn't talk, talk [disturbing].'",,,,,,,,,,,,,,,,,,
Morphological units and processes,Morphological processes,Compounding,,,"Nominal compounds typically consist of two nominal roots. They may be further inflected with possessive suffixes (as in~\ref{exe:yapser}, with a third-person possessive) or case clitics (as in~\ref{exe:minggalorat}, with an object postposition).",exe:yapser,\gll yap_seran-un | \gls yam-3POSS | \glt `their yam',exe:minggalorat,\gll min-kalot=at kasi bersi | \gls sleep-room=OBJ give clean | \glt `clean the bedroom',,,,,,,,,,,,,,,,
Morphological units and processes,Morphological processes,Compounding,,,"Although nominal compounds typically consist of two nouns, they may also be a verb and a noun, such as min-kalot in~(\ref{exe:minggalorat}).",exe:minggalorat,\gll min-kalot=at kasi bersi | \gls sleep-room=OBJ give clean | \glt `clean the bedroom',,,,,,,,,,,,,,,,,,
