Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Morphosyntactic properties,,,"At least the basic pronouns, the -tain series of restricting pronouns and possessive pronouns can be marked with the following clitics in different syntactic and pragmatic roles: object =at (§\ref{sec:at}), \is{causative}causative di= (in give-constructions, §\ref{sec:give}), comitative =bon (§\ref{sec:comi}) and similative =kap (§\ref{sec:simcase}). Lative =ka and locative =ko cannot be suffixed to pronouns, having dedicated animate forms instead that can be used with pronouns referring to animates: =kongga and =konggo, respectively (§\ref{sec:animloclat}). Benefactive marker =ki is the only case enclitic that cannot be attached to pronouns (see §\ref{sec:give}). An instance of instrumental =ki was elicited, see~(\ref{exe:anggonggi}). The comitative and similative postpositions\is{postposition!on pronouns} are illustrated in~(\ref{exe:proncom}) and~(\ref{exe:pronkap}), respectively.",exe:anggonggi,"\gll an \textbf{anggon}=\textbf{ki} kawotman ma \textbf{main}=\textbf{ki} kawotman | \gls 1SG 1SG.POSS=INS cut 3SG 3POSS=INS cut | \glt `I cut with mine, he cuts with his.'",exe:proncom,\gll mu se yal \textbf{marain=bon} | \gls 3PL IAM paddle 3SG.ALONE=COM | \glt `They paddled with him alone.',exe:pronkap,\gll me sama=i nain \textbf{an=kap} | \gls DIST same=PLNK like 1SG=SIM | \glt `That's the same as me.',,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Morphosyntactic properties,,,All pronouns in Table~\ref{tab:pronouns} must carry object marker =at when they function as the (direct or indirect) object of a clause. (\ref{exe:bandrol}) and~(\ref{exe:naluar}) illustrate different kinds of pronouns in object function.,exe:bandrol,\gll an \textbf{anggon=at} naluar=teba | \gls 1SG 1SG.POSS=OBJ slacken=\glteba | \glt `I'm slackening mine.',exe:naluar,Not found,,,,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Morphosyntactic properties,,,"Other nominal morphology that is also carried by pronouns is =nan `too', illustrated in~(\ref{exe:pronnan}).",exe:pronnan,\gll \textbf{ma=nan} koyan amdir-un=ko | \gls 3SG=too plant garden-3POSS=LOC | \glt `He also plants in the garden.',,,,,,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Clusivity\is{clusivity,,,"In all pronominal paradigms, there is a distinction between inclusive and exclusive forms. Forms containing in are first-person exclusive (referring to the speaker and other people, excluding the addressee), while forms containing pi are inclusive (referring to the speaker and the addressee, and (an)other person(s)). The dual form inier refers to the speaker and another person, and the dual form pier refers to the speaker and the addressee. Clusivity is illustrated for the basic pronouns in~(\ref{exe:kimuninbon}) and~(\ref{exe:pibuokbuok}).\footnote{Contra the preliminary analysis of the Kalamang pronominal system in \textcite{visser2016}, clusivity is a well-established distinction in Kalamang.}",exe:kimuninbon,\gll ki-mun \textbf{in}=bon ewa∼wa=in | \gls 2PL-PROH 1PL.EXCL=COM speak∼PROG=PROH | \glt `Don't you guys speak to us!',exe:pibuokbuok,\gll \textbf{pi} buokbuok=et eba \textbf{pi} garung=et | \gls 1PL.INCL chew_betel=IRR then 1PL.INCL talk=IRR | \glt `We chew betel and then we talk.',,,,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Number\is{number!pronominal,,,"Dual number is created by suffixing -ier to the basic pronouns. This might be a metathesis\is{metathesis} of eir `two'. Dual forms are not obligatory, but are used in the great majority of the cases where a pronoun refers to two referents. When there are more than two referents, the speaker can choose between a basic pronoun with or without a suffixed \is{numeral}numeral. The higher the number of referents, the lower the share of pronouns with a suffixed numeral.\footnote{This observation is impressionistic. It is based on a corpus search for pronouns with a suffixed numeral. A confounding factor is that lower numerals are more common than higher numerals.} (\ref{exe:mier}) shows dual number, and~(\ref{exe:munggansuor}) shows the numeral kansuor `four' suffixed to the third-person plural.\is{metathesis}\is{number!pronominal}",exe:mier,\gll \textbf{inier} et-putkaruok koluk | \gls 1DU.EX CLF_AN-thirteen find | \glt `We caught thirteen pieces.',exe:munggansuor,Not found,,,,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Number\is{number!pronominal,,,"Although suffixing a numeral to a pronoun is less and less common the higher the number of referents, there are several instances in the corpus where speakers count the number of referents to make sure they refer to them in the correct way (as in~\ref{exe:muraman}, where the number of people in a picture is counted), or check with their addressee whether they are referring to the correct number of people, as in~(\ref{exe:mupuraman}). In~(\ref{exe:muraman}) it is unclear whether raman=a should be analysed as a suffix to the pronoun or as an independent numeral, but since the corpus contains examples with `two', `three' and `four' that are suffixed, I take it that `six' is, too.",exe:muraman,"\gll kon eir karuok kansuor \textbf{mu-raman=a} melelu | \gls one two three four 3PL-six=FOC sit | \glt `One, two, three, four, they six sit.'",exe:mupuraman,Not found,exe:muraman,"\gll kon eir karuok kansuor \textbf{mu-raman=a} melelu | \gls one two three four 3PL-six=FOC sit | \glt `One, two, three, four, they six sit.'",,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,Number\is{number!pronominal,,,"A common construction with inier, which includes the speaker, is inier N=bon, literally `we two and X'. Rather than referring to three people, it refers to the speaker and X, as illustrated in~(\ref{exe:inierbon}). This is what \textcite{singer2001} refers to as an inclusory construction.",exe:inierbon,\gll \textbf{inier} \textbf{Keca=bon} bo war=kin | \gls 1DU.EX Keca=COM go fish={\glkin} | \glt `Me and Keca wanted to go fishing.',,,,,,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,`Alone' pronouns\is{focus!pronominal\is{pronoun!restricting,,,"(\ref{exe:marain}) and~(\ref{exe:andain}) illustrate the -tain series with restrictive or contrastive focus\is{pronoun!focus}. In~(\ref{exe:marain}), where people describe a picture from the Family problems picture task\is{picture-matching task} \parencite{carroll2009}, there are clearly more referents to choose from, but the speaker wishes to focus on `him alone'. In~(\ref{exe:andain}), from the same recording, the speaker explains that the man in the task, who has come out of jail and has become a better person, improved himself on his own. There were perhaps more candidates for the source of his improvement, but the speaker wishes to convey that the man did it all alone. Strikingly, -tain pronouns often co-occur with the focus enclitic =a.",exe:marain,"\gll \textbf{ma-tain} taikonggo kiun taikonggo | \gls 3SG-alone side.LOC wife.3POSS side.LOC | \glt `He (alone/himself) on one side, his wife on the other side.'",exe:andain,\gll \textbf{an-tain=a} paruo | \gls 1SG-alone=FOC do | \glt `It was I who did it.',exe:marain,"\gll \textbf{ma-tain} taikonggo kiun taikonggo | \gls 3SG-alone side.LOC wife.3POSS side.LOC | \glt `He (alone/himself) on one side, his wife on the other side.'",exe:andain,\gll \textbf{an-tain=a} paruo | \gls 1SG-alone=FOC do | \glt `It was I who did it.',,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,`Alone' pronouns\is{focus!pronominal\is{pronoun!restricting,,,"The -tain series may also be used in \is{reflexive}reflexive constructions, as in~(\ref{exe:undeirii}). See §\ref{sec:rflx} for a further description.",exe:undeirii,\gll ma-\textbf{tain} se un-deir=i luk | \gls 3SG-alone IAM REFL-bring=PLNK come | \glt `She came herself.' (Lit. `She brought herself coming.'),,,,,,,,,,,,,,,,,,
Pronouns and person reference and address\is{person reference|(,Pronominal person reference and address\is{pronoun|(,`Alone' pronouns\is{focus!pronominal\is{pronoun!restricting,,,"(\ref{exe:kahutak}) and~(\ref{exe:mahutak}) illustrate the quantifying -(a)hutak series\is{pronoun!quantifying}. In~(\ref{exe:kahutak}), one speaker leaves the other during a recording session and orders her to speak further on her own. There are no others around, so the speaker is really only talking about the addressee. In~(\ref{exe:mahutak}), people are discussing a picture with a girl named Ramina on it, and no-one else.",exe:kahutak,\gll \textbf{ka-hutak} watko ewa=te | \gls 2SG-alone PROX.LOC speak=IMP | \glt `You talk on your own here!',exe:mahutak,\gll Ramina \textbf{ma-hutak} bara | \gls Ramina 3SG-alone descend | \glt `Ramina alone is coming back.',exe:kahutak,\gll \textbf{ka-hutak} watko ewa=te | \gls 2SG-alone PROX.LOC speak=IMP | \glt `You talk on your own here!',exe:mahutak,\gll Ramina \textbf{ma-hutak} bara | \gls Ramina 3SG-alone descend | \glt `Ramina alone is coming back.',,,,,,,,,,,,
