Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
The clause,Overview,,,,"A simplified template of the clause structure is given in~(\ref{exe:clstr}). A large number of clausal modifiers, including aspect, mood, modal markers and adverbials, occur in different slots in the clause and are described in Chapter~\ref{ch:clausmod}. Many adverbials, aspect markers and mood markers attach to the predicate. The predicate can be complex and is, except in Chapter~\ref{ch:clausmod}, discussed in Chapter~\ref{ch:verbs} and Chapter~\ref{ch:svc}. In this chapter, I focus on simple verbal and non-verbal predicates.",exe:clstr,Not found,,,,,,,,,,,,,,,,,,
The clause,Overview,,,,"Subject and object are formally differentiated by constituent order and object marking (=at) on the last constituent of the object NP. (\ref{exe:tr}) and (\ref{exe:intr}) illustrate these characteristics for a transitive and intransitive clause, respectively.",exe:tr,\gll bal se sor=at koraru | \gls dog IAM fish=OBJ bite | \glt `The dog has bitten the fish.',exe:intr,\gll in se min | \gls 1PL.EXCL IAM sleep | \glt `We slept.',,,,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Transitive and intransitive clauses,,"All intransitive clauses display this pattern irrespective of whether the subject is volitional/actor or non-volitional/undergoer. Active participants such as `they' in~(\ref{exe:SV3}) are formally the same as the undergoer participants such as `he' in~(\ref{exe:SV1}) and `grass' in~(\ref{exe:SV2}), that is, they are unmarked.",exe:SV3,Not found,exe:SV1,\gll ma tur | \gls 3SG fall | \glt `He falls.',exe:SV2,\gll kaman kos=te | \gls grass grow=\glte | \glt `Grass grows.',,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Transitive and intransitive clauses,,"Transitive clauses have two arguments: subject and object. The unmarked constituent order is SOV (APV), although the object can be fronted for \is{focus}focus, which is illustrated in~(\ref{exe:APV2}) and further described in §\ref{sec:leftd} below. The object is marked with an object enclitic =at (\ref{sec:at}), also if it is pronominal, as in~(\ref{exe:APV3}).\is{transitive clause}",exe:APV2,\gll Mujim=at in tok nawanggar | \gls Mujim=OBJ 1PL still wait | \glt `For Mujim we're still waiting.',exe:APV3,\gll bal ma=at sarie | \gls dog 3SG=OBJ follow | \glt `The dog follows him.',,,,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Ditransitive clauses\is{ditransitive clause|(\is{three-participant event|see{ditransitive clause,Showing and sending,"The first strategy, with object marker =at on both theme\is{theme} and recipient\is{recipient}, was elicited with the verbs naunak `to show', kiempanaet `to send' and kama `to send'. The constituent order can be either agent-theme-recipient-verb (ATRV) or agent-recipient-theme-verb (ARTV), as illustrated in~(\ref{exe:naunak}).",exe:naunak,Not found,,,,,,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Ditransitive clauses\is{ditransitive clause|(\is{three-participant event|see{ditransitive clause,Showing and sending,"In elicitation it was easy to get all three participants mentioned, but in the corpus the theme is almost always elided, as in~(\ref{exe:naunakte}). The theme, the object that the speaker wants the addressee to show, is clear from the context.",exe:naunakte,\gll ka\textsubscript{A} enem=at\textsubscript{R} naunak=te | \gls 2SG woman=OBJ show=IMP | \glt `You show [it] to the woman!',,,,,,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Ditransitive clauses\is{ditransitive clause|(\is{three-participant event|see{ditransitive clause,"Selling, buying, asking and saying","The second strategy, with the recipient marked with animate locative =konggo or lative =kongga, can be used with (at least) parin `to sell', jie `to buy', gerket `to ask' and toni `to say'. (\ref{exe:angonggoparin}) shows an object marker on the theme and a locative marker on the pronoun. (\ref{exe:esunkonggara}), on the other hand, has the number object -i suffix on the number (as in~\ref{exe:kamat} above) and both locative and object marking on the recipient. The constituent order is agent-theme-recipient-verb, and in this case theme and recipient cannot be swapped.",exe:angonggoparin,\gll ma\textsubscript{A} sor=at\textsubscript{T} an=konggo\textsubscript{R} parin | \gls 3SG fish=OBJ 1SG=AN.LOC sell | \glt `He sells me fish.',exe:esunkonggara,\gll tumun me me\textsubscript{A} don kon-i=a\textsubscript{T} esun-kongga=at=a\textsubscript{R} gerket | \gls child DIST TOP thing one-PLNK=FOC father.3POSS-AN.LAT=OBJ=FOC ask | \glt `The child asks its father a thing.',exe:kamat,\gll ma\textsubscript{A} reitkon purap-i\textsubscript{T} an=at\textsubscript{R} kama=et | \gls 3SG hundred fifty-OBJQNT 1SG=OBJ send=IRR | \glt `He sent me one hundred and fifty [thousand rupiah].',,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Ditransitive clauses\is{ditransitive clause|(\is{three-participant event|see{ditransitive clause,Giving,"The verb for `give' is a zero morpheme that requires three arguments.\footnote{Other languages with a zero morpheme for `give' are the Gum languages of Papua New Guinea, notably \ili{Amele} \citep{roberts1998give}, and \ili{Koasati}, a Muskogean language \citep{kimball1991koasati}.} The three participants in a give-construction\is{give-construction|(} are the agent (A), the theme (T) and the recipient (R). There are two elements that are combined in various constellations to make give-constructions. These are \is{causative}causative di= (§\ref{sec:di}) and benefactive\is{benefactive} =ki (§\ref{sec:ben}). Give-constructions differ depending on whether the recipient NP is a noun or a pronoun. Constructions with a noun as recipient take the form A T=\textsc{obj} (\textsc{caus}=)R=\textsc{ben} ∅, where the causative proclitic is optional. The benefactive =ki is obligatory here. Constructions with a pronoun as recipient take the form A T=\textsc{obj} (\textsc{caus}=)R ∅. Again, the causative proclitic is optional. Note that in the case of pronominal recipients, however, the benefactive enclitic =ki is ungrammatical. Table~\ref{tab:give} gives an overview of the possible constructions. These were elicited based on the corpus example in~(\ref{exe:give1}). All constructions in the table are found in the corpus.",exe:give1,\gll ma\textsubscript{A} sandal=bon ladan=bon=at\textsubscript{T} di=teman-un=ki\textsubscript{R} ∅ | \gls 3SG sandal=COM shirt=COM=OBJ CAUS=friend-3POSS=BEN give | \glt `He gives the sandals and shirt to his friend.',,,,,,,,,,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Ditransitive clauses\is{ditransitive clause|(\is{three-participant event|see{ditransitive clause,Giving,"The position of the zero morpheme is after the recipient as in~(\ref{exe:main}) and~(\ref{exe:amat}), or after the benefactive if present as in~(\ref{exe:ditumunggi}). This is evident from the position of, for example, mood or negation marking. On the surface, everything that is attached to the verb is attached to the recipient, and is also sometimes morphophonologically integrated, as shown in~(\ref{exe:main}). Give-constructions may also be part of \is{predicate!complex}complex predicates (Chapter~\ref{ch:svc}), such as the one in~(\ref{exe:pada}), where the verbs are linked with predicate linker =i.",exe:main,Not found,exe:amat,\gll ma am=at ma ∅=\textbf{nin} | \gls 3SG breast_milk=OBJ 3SG give=NEG | \glt `She didn't give him milk.',exe:ditumunggi,\gll sor me selet-kon-i tete=ki ∅=\textbf{te} | \gls fish TOP piece-one-OBJQNT grandfather=BEN give=IMP | \glt `Give one piece of fish to grandfather!',exe:main,Not found,exe:pada,\gll naman=a padanual=at \textbf{rep=i} \textbf{ka} ∅ | \gls who=FOC pandanus=OBJ get=PLNK 2SG give | \glt `Who got pandanus [leaf] and gave it to you?',,,,,,,,,,
The clause,Verbal clauses,Valency\is{valency,Ditransitive clauses\is{ditransitive clause|(\is{three-participant event|see{ditransitive clause,Giving,"Benefactive =ki was also elicited in non-give constructions such as the one exemplified in~(\ref{exe:kiunggi}). Benefactive =ki does not occur on pronouns, parallel to =ki in give-constructions.",exe:kiunggi,\gll ma kewe giar=ten=at paruon=i kiun=ki | \gls 3SG house new=AT=OBJ make=PLNK wife.3POSS=BEN | \glt `He makes a new house for his wife.',,,,,,,,,,,,,,,,,,
