Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Complex predicates\is{predicate!complex|(,,,,,"All elements in complex predicates, being part of the same clause, have the same mood\is{mood}, aspect\is{aspect} and polarity\is{polarity}, which is only marked on the last verb. In other words, there can only be one instance of the same mood, aspect or modality marking per clause. An example of shared mood with the plural imperative is given in~(\ref{exe:jieborar}), contrasted with a biclausal example in~(\ref{exe:jierarku}). An example with a complex predicate with predicate linker =i is given in~(\ref{exe:cimei}).",exe:jieborar,\gll jie bo=\textbf{tar} | \gls get go=PL.IMP | \glt `Go get!',exe:jierarku,\gll jie=\textbf{tar} kuet=\textbf{tar} | \gls get=PL.IMP bring=PL.IMP | \glt `Get and bring!',exe:cimei,Not found,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,,,,,"Also in non-contiguous predicates, mood, aspect and negation\is{negation} can only be expressed once. The \is{imperative}imperative marker in~(\ref{exe:yuatnar}) has scope over the entire predicate.",exe:yuatnar,\gll melelu wele yuwa=at narari=\textbf{te} | \gls sit vegetables PROX=OBJ slice=IMP | \glt `Sit and slice these vegetables!',,,,,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,,,,,Shared aspect is illustrated here with progressive =teba. (\ref{exe:mggt}) is a complex predicate; (\ref{exe:mtggt}) contains two clauses with two predicates.,exe:mggt,\gll emumur mambara=\textbf{teba} garung∼garung=\textbf{teba} | \gls woman.PL stand={\glteba} chat∼PROG={\glteba} | \glt `The women are standing and [they] are chatting.',exe:mtggt,Not found,,,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,,,,,"\hspace*{-5pt}Finally, consider an example of a negated predicate, where the negator is marked on the second verb masara `move towards land' in~(\ref{exe:kurumaratnin}).",exe:kurumaratnin,"\gll kalau mat \textbf{kuru} \textbf{masarat=nin=et} me pi barat=nin | \gls if 3SG.OBJ bring move_landwards=NEG=IRR TOP 1PL.INCL descend=NEG | \glt `If [they] don't bring him towards land, we don't go down.'",,,,,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,Complex predicates with predicate linker =i,Aspectual serialisation with koyet `to be finished'\is{aspect,,,"Completive aspect, discussed in greater detail in~§\ref{sec:compl}, is made with help of the verb koyet `to be finished'. This is an independent verb, as illustrated in~(\ref{exe:kaitok}).",exe:kaitok,\gll kai tok \textbf{koyet}=nin | \gls firewood yet finish=NEG | \glt `The firewood isn't finished yet.',,,,,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,Complex predicates with predicate linker =i,Aspectual serialisation with koyet `to be finished'\is{aspect,,,"Completive aspect is expressed with the construction Verb=i koyet, where =i is attached to a matrix verb of any kind. At the same time as being a complex predicate, this construction sequentially links the state, event or action in the first clause (which has to be completed) to a state, event or action in the next clause (which was started after completion of the first). Multiple monoclausal Verb=i koyet constructions may be strung together in this way. There are no restrictions on the first verb in the predicate. Both verbs in the predicate share the same arguments. (\ref{exe:ewunat}) shows the construction with a transitive verb in a narrative about making a canoe from a tree trunk. (\ref{exe:yoriko}) is taken from the end of that narrative, and shows the construction on an intransitive verb. Although it is uncommon, even the verb koyet `to be finished' may be used as the matrix verb in this construction, as in~(\ref{exe:koyeri}).",exe:ewunat,"\gll ewun=at potman=\textbf{i} \textbf{koyet} koi tim-un=at potma | \gls stem=OBJ cut=PLNK finish then tip-3POSS=OBJ cut | \glt `After cutting the stem, [I] cut its tips.'",exe:yoriko,Not found,exe:koyeri,"\gll koyet=\textbf{i} \textbf{koyet} kawarman | \gls finish=PLNK finish fold | \glt `After finishing, fold.'",,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,Complex predicates with predicate linker =i,Aspectual serialisation with koyet `to be finished'\is{aspect,,,"It is also possible, though not often employed, to make aspectual serialisation with two verbs before koyet `to be finished', as in~(\ref{exe:tena}). There is not enough data to determine the relationship between the two verbs marked with =i.",exe:tena,"\gll tena-un=at \textbf{tawaran=i} \textbf{manyor=i} \textbf{koyet} [...] | \gls keel-3POSS=OBJ chop=PLNK adjust=PLNK finish {\ob}...{\cb} | \glt `After chopping the keel straight, {\ob}...{\cb}.'",,,,,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,Complex predicates with predicate linker =i,Motion\is{motion,,,"(\ref{exe:tumkar}) illustrates a manner and directional verb, (\ref{exe:yalipa}) illustrates a manner and other motion verb, and~(\ref{exe:domanis}) shows the verb dorma `to pull out' with a directional verb.",exe:tumkar,\gll setela ma yie=te an=a mat \textbf{yal=i} \textbf{parei∼pareir} | \gls after 3SG swim={\glte} 1SG=FOC 3SG.OBJ paddle=PLNK DISTR∼follow | \glt `After he [started] swimming I followed him paddling.',exe:yalipa,Not found,exe:domanis,\gll ar-un wa-rip ye \textbf{dorman=i} \textbf{sara} | \gls stem-3POSS PROX-QLT or pull_out=PLNK ascend | \glt `Pull up [from the soil] a stem about as big as this.',,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,Complex predicates with predicate linker =i,Motion\is{motion,,,"These constructions are also very common with (y)ecie `to return', making complex centrifugal motion constructions, as illustrated in~(\ref{exe:danik}).",exe:danik,"\gll mat dan=i koyet se \textbf{ecien=i} \textbf{sara} | \gls 3SG.OBJ bury=PLNK finish IAM return=PLNK ascend | \glt `After burying him, [we] went back up.'",,,,,,,,,,,,,,,,,,
Complex predicates\is{predicate!complex|(,Complex predicates with predicate linker =i,Motion\is{motion,,,"As with aspectual serialisation (§\ref{sec:ikoyetsvc}), other complex predicates with predicate linker =i may also contain more than one verb. For example, in the manner + direction construction in~(\ref{exe:sirnag}), both manner verbs are marked with =i. Again, there is not enough data in the corpus to determine patterns in the (semantic) relationship between the verbs in the construction.",exe:sirnag,\gll nasirang=i \textbf{mon∼mon=tun=i} \textbf{ran} | \gls pour=PLNK quick∼INTS=INTS=PLNK go | \glt `Go pour quickly.',,,,,,,,,,,,,,,,,,
