Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Clausal modification,Overview,,,,"There is one slot before the subject, three slots between the subject and the object, two between object and predicate, and three after the predicate. Modifiers that occupy the same slot are mutually exclusive, with the exception of slots 6 and 7, where the waters are a bit murky (see comments below). Some slots (2, 6, 7) are not for words, but for dependent morphology only. The template for clausal modification is given in~(\ref{exe:tamplate}).",exe:tamplate,Not found,,,,,,,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Irrealis =et `\textsc{irr'\is{irrealis,,"(\ref{exe:seteba}) and~(\ref{exe:diwatkok}) are taken from a recording where two women sit with different kinds of fishing gear and explain how they (would) use it. In~(\ref{exe:sortam}), someone asks what they should do with their newly caught fish. (\ref{exe:rumasa}) expresses a command and a possible result or consequence. Irrealis =et comes at the end of a breath group.",exe:seteba,Not found,exe:diwatkok,Not found,exe:sortam,Not found,exe:rumasa,Not found,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Irrealis =et `\textsc{irr'\is{irrealis,,"Irrealis =et is also common in expository texts, where it is usually alternated with predicates that are not marked for irrealis. Consider~(\ref{exe:ramasii}).",exe:ramasii,Not found,,,,,,,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Irrealis =et `\textsc{irr'\is{irrealis,,"\is{conditional}Conditional clauses also make use of irrealis =et on the predicate expressing the condition. They are treated in §\ref{sec:condclause}. Note that volitional =kin, treated in §\ref{sec:kin}, combines with irrealis =et if it is used in its conditional sense, as in~(\ref{exe:saor}). The volitional marker always precedes the irrealis marker.",exe:saor,"\gll et=at saor=kin=\textbf{et} me isetengamati | \gls canoe=OBJ anchor={\glkin}=IRR TOP big_effort | \glt `[Before], if you wanted to anchor your boat, it was very difficult.'",,,,,,,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Volitional =kin `\textsc{vol'\is{volitional,,"Volitional mood enclitic =kin attaches to the predicate. It is mainly used to express plans and wishes, as well as events that are about to happen. The different uses of =kin are exemplified in~(\ref{exe:kin}) to~(\ref{exe:kin2}). (\ref{exe:kin}) expresses a plan or wish. In~(\ref{exe:kintoni}), the common use of =kin with toni `want' is illustrated.\footnote{It is unclear whether toni `want' can be used without volitional =kin. Toni can also mean `say; think' (§\ref{sec:mvctoni}), so many of the corpus instances of toni followed by a verb that is not marked with =kin are ambiguous between the `want' and the `say; think' reading.} The phrase in~(\ref{exe:kinabout}) is used to describe the twelfth picture in the Family problems picture task \parencite{carroll2009}, where a child is falling out of its mother's arms, and illustrates the prospective use of =kin. (\ref{exe:kin2}) is the first utterance in a text where a woman explains how to make a basket. It can be interpreted as an action that is about to happen (at least in the speaker's mind) or as a plan. \is{prospective} \is{irrealis} \is{mood} \is{volitional}",exe:kin,Not found,exe:kin2,Not found,exe:kin,Not found,exe:kintoni,Not found,exe:kinabout,Not found,exe:kin2,Not found,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Volitional =kin `\textsc{vol'\is{volitional,,(An example of volitional =kin and irrealis =et can be found in~(\ref{exe:saor}) in §\ref{sec:et}.),exe:saor,"\gll et=at saor=kin=\textbf{et} me isetengamati | \gls canoe=OBJ anchor={\glkin}=IRR TOP big_effort | \glt `[Before], if you wanted to anchor your boat, it was very difficult.'",,,,,,,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Volitional =kin `\textsc{vol'\is{volitional,,"In \is{predicate!complex}complex predicates, volitional =kin comes on the last constituent of the predicate and has scope over the entire action or event, such as the construction kuru masara `bring towards land' in~(\ref{exe:botak}).",exe:botak,\gll mu se taruo toni mena Botak kiun=at kuru masarat=\textbf{kin} | \gls 3PL IAM say say later Botak wife.3POSS=OBJ bring move_landwards={\glkin} | \glt `They already said that soon Botak will bring his wife.,,,,,,,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Imperative =te `\textsc{imp'\is{imperative,,"Imperative mood, used for commands, is formed by adding =te (singular, though occasionally used for plural) or =tar (plural\is{plural!verbal}) to the predicate. The subject may be elided. (\ref{exe:meieba}) shows the singular imperative cliticised to the verb kome `look', and~(\ref{exe:metkore}) shows it cliticised to the locative demonstrative metko `there', which functions as the predicate in that clause. Of the locative predicates that are marked with the imperative, it only occurs on those locative predicates that express movement towards a goal, not on locatives that express static \is{location}location (§\ref{sec:loc}). The plural imperative\is{person marking}\is{indexing|see{person marking}} is illustrated in~(\ref{exe:borar}). Imperative =te follows aspectual marker =teba, as in~(\ref{exe:tebare}).",exe:meieba,\gll nene mei eba kome=\textbf{te} | \gls grandmother come.IMP then look=IMP | \glt `Grandmother come and look!',exe:metkore,\gll mu toni ka metko=\textbf{te} | \gls 3SG say 2SG DIST.LOC=IMP | \glt `They said: ``You go there!''',exe:borar,"\gll ka marmar=teba=\textbf{te} ka-mun sara=in | \gls 2SG walk={\glteba}=SG.IMP 2SG-PROH ascend=PROH | \glt `You just walk, don't you get up [your bike]!'",exe:tebare,Not found,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Imperative =te `\textsc{imp'\is{imperative,,"Directional verbs (which end in -a) and transitive verbs ending in -ma, described in §\ref{sec:dir} and~§\ref{sec:macie}, have imperative forms where final -a is replaced with \mbox{-ei}. For example, bara `go down' has the imperative form barei (example~\ref{exe:barei}) and potma has the imperative form potmei (example~\ref{exe:potmei}). These are also both examples of \is{predicate!complex}complex predicates, which show that the imperative is marked on the second verb, and has scope over the whole construction. An exception is the imperative of mia, which becomes not miei but mei, as in~(\ref{exe:meieba}) above.",exe:barei,\gll mena ka nasuat=i \textbf{barei} | \gls then 2SG tuck=PLNK descend.IMP | \glt `Then you tuck down.',exe:potmei,\gll ka neba=at era \textbf{potmei} | \gls 2SG PH=OBJ ascend cut.IMP | \glt `You go up and cut a whatsitsname!',exe:meieba,\gll nene mei eba kome=\textbf{te} | \gls grandmother come.IMP then look=IMP | \glt `Grandmother come and look!',,,,,,,,,,,,,,
Clausal modification,"Mood, aspect and modality marking",Mood\is{mood|(,Imperative =te `\textsc{imp'\is{imperative,,"The plural imperative form of all -n/-t verbs is likely =r. At this point there is evidence from directional verbs like sara `go up', illustrated in~(\ref{exe:sarar}), and other -n/-t verbs such as na `consume' and gocie `to stay', illustrated in~(\ref{exe:nar}) and~(\ref{exe:gocier}), respectively.",exe:sarar,"\gll muap se kalar sara=\textbf{r} o | \gls food IAM ready ascend=PL.IMP EMPH | \glt `The food is ready, come up!'",exe:nar,\gll coba ki wat yuwat na=\textbf{r} | \gls try 2PL coconut PROX.OBJ consume=PL.IMP | \glt `You guys try eat this coconut!',exe:gocier,\gll kier tumtum karuok=bon gocie=\textbf{r} | \gls 2DU children four=COM stay=PL.IMP | \glt `You two and the four children stay!',,,,,,,,,,,,,,
