Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Sequential events\is{conjunction!sequential,,"Eba `then' is placed between the two clauses it links, as in~(\ref{exe:ebaan}). Intonationally, it belongs to the second clause. In~(\ref{exe:ebakuru}), eba `then' is used to connect three clauses in a row. Eba is frequently shortened to ba, illustrated in~(\ref{exe:lebaik}). Eba is also used in some conditional clauses, see §\ref{sec:condclause}.",exe:ebaan,"\gll kai-rep=teba se langsung=i gayam=at kajien \textbf{eba} kuru luk=ta \textbf{eba} se paramuan se di=ra kuar=ta metko | \gls firewood-get={\glteba} IAM directly=PLNK chestnut=OBJ pick then bring come=NFIN then IAM cut IAM CAUS=go cook=NFIN DIST.LOC | \glt `[She] went to get firewood and pick chestnuts, then coming back, then [she] cut [them], having cooked [them] there...'",exe:ebakuru,Not found,exe:lebaik,Not found,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Sequential events\is{conjunction!sequential,,"Of the borrowed conjunctions the most frequent is terus `then', illustrated in~(\ref{exe:terterus}).",exe:terterus,\gll ma terima \textbf{terus} ma se ecien=i kewe=ko | \gls 3SG receive then 3SG IAM return=PLNK house=LOC | \glt `He receives [it] and then he returns home.',,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Sequential events\is{conjunction!sequential,,"One combination of an indigenous and a borrowed conjunction marks sequential events: baru eba `then'. In~(\ref{exe:barueba}), this combination marks a new paragraph with a change of subject in the story that the speaker is telling, rather than linking events, actions or states sequentially. Data are lacking to confirm that the double use of these conjunctions has a clearly distinct function.",exe:barueba,Not found,,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Disjunctive\is{conjunction!disjunctive,,"Ye `or' can be used to coordinate NPs or clauses. An example with ye as clause coordinator is given in~(\ref{exe:udabon}). Ye typically follows both the items it coordinates, and belongs to the preceding item intonationally.",exe:udabon,\gll uda=bon=a melelu \textbf{ye} neba=bon=a melelu \textbf{ye} | \gls rice_sieve=COM=FOC sit or what=COM=FOC sit or | \glt `Sitting with a rice sieve or sitting with what?',,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Disjunctive\is{conjunction!disjunctive,,"The AN loan atau `or' is used as a disjunctive coordinator for both NPs and clauses. An example coordinating clauses is given in~(\ref{exe:naunkon}). It is never used on both clauses it connects, unlike ye `or'.",exe:naunkon,"\gll som-kon ∅-te kon∼kon \textbf{atau} som-kon ∅-te naun-kon | \gls person-one give-DISTR one∼DISTR or person-one give-DISTR fruit-one | \glt `Gave each person one, or gave each person one fruit.'",,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Disjunctive\is{conjunction!disjunctive,,A combination of ye `or' and atau `or' is attested eight times in the natural spoken corpus. This is exemplified in~(\ref{exe:ruaye}). This double use of the disjunctive coordinator does not seem to have a special function.,exe:ruaye,"\gll ma pi=at=a ruat=kin \textbf{ye} \textbf{atau} pi=at tamandi=kin | \gls 3SG 1PL.INCL=OBJ=FOC kill=VOL or or 1PL.INCL=OBJ how=VOL | \glt `Does he want to kill us, or what does he want to do with us?'",,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Adversative\is{conjunction!adversative,,"In~(\ref{exe:goba}), ba is used to express opposition between the position of a figurine next to a tree in one picture versus another picture. Intonationally, ba belongs to the first clause.",exe:goba,"\gll kon wa me ror kanggirar-un=ko \textbf{ba} tanbes-pis=ko | \gls one PROX TOP tree face-3POSS=LOC but right-side=LOC | \glt `This one he's facing the tree, but on the right side.'",,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Adversative\is{conjunction!adversative,,"The combination of ba `but' and tapi `but' is also attested, without a different meaning. It has six corpus occurrences, all by the same speaker. (\ref{exe:batap}) contains yet a third AN adversative coordinator: sedangkan `but; whereas'. This conjunction is only found in the speech of this single speaker within the corpus.",exe:batap,"\gll ma koi bo ror kodaet=ko ma koi pareir=taet \textbf{ba} \textbf{tapi} goras wa me \textbf{sedangkan} sor-un ma lapas=nin | \gls 3SG then go tree one_more=LOC 3SG then follow=again but but crow PROX TOP but fish-3POSS 3SG drop.MLY=NEG | \glt `Then he goes to another tree, he follows again, but the crow doesn't drop its fish.'",,,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Consequence and reason\is{conjunction!consequence,,"Sequential conjunction eba `then' can be understood as `so that' when it follows non-final marker =ta (§\ref{sec:ta}), indicating consequence. It is then invariably used in its short form ba. Consider~(\ref{exe:kawettt}) and~(\ref{exe:mangmangg}). A reading where (e)ba means `then' is possible, but a consequential reading is more suitable, and is also reflected by informants' translation of these clauses to AN with use of supaya `so that'.",exe:kawettt,\gll kalamang-mang ewa=\textbf{ta} \textbf{eba} ma tangkap=et | \gls Kalamang-language speak=NFIN so_that 3SG record=IRR | \glt `Speak Kalamang so that she can record.',exe:mangmangg,Not found,,,,,,,,,,,,,,,,
Multiclausal constructions,Coordination-like clause combining\is{clause combining|(,Clause combining with conjunctions,Consequence and reason\is{conjunction!consequence,,"The clitic =tauna links reason to result. It most commonly attaches to \is{demonstrative}demonstrative forms, and then usually the distal form. However, the clitic also has a few occurrences on transitive and intransitive verbs. (\ref{exe:mebarauna}) illustrates =tauna on the distal demonstrative me, which is also marked with \is{focus}focus marker =ba. The example is from a story about diving for lobsters. =tauna serves to link a reason (the subject recognises a good diving spot) to a result (the subject quickly catches a lobster). (\ref{exe:kararaktauna}) shows =tauna on a stative intransitive verb, indicating the reason for suggesting another sailing route. In~(\ref{exe:narauna}), the clitic attaches to a transitive verb, indicating that the fact that the subject (a crow) ate rotten fish is taken not so much as the reason but as proof that it has degraded itself to eating rotten food. That example also shows the combination of a Kalamang and a borrowed conjunction with a slightly different meaning (sehingga `until; so that; with the result that').",exe:mebarauna,"\gll Mel se dalang=i bara mungkin yar-un naunin=ten me=ba=\textbf{tauna} ma se jie kuru sara | \gls Mel IAM jump=PLNK descend maybe stone-3POSS recognise-TEN DIST={\glba}=so 3SG IAM get bring ascend | \glt `Mel jumped down, maybe he recognised his stone, so he got [a lobster] and brought [it] up.'",exe:kararaktauna,"\gll ka don yuwa=at=a na=\textbf{tauna} sehingga don mun=ten wandi=et ka bisa na=ta | \gls 2SG thing PROX=OBJ=FOC eat=so so_that thing rotten=AT like_this=IRR 2SG can eat=NFIN | \glt `You ate this thing, [how has it come so far] that you can eat rotten things like this?'",exe:narauna,Not found,,,,,,,,,,,,,,
