Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Other topics,The structure of narratives\is{narrative|(,Opening\is{narrative!opening,,,"Two speakers fairly consistently start their story with a hortatory\is{formal speech}\is{polite speech} speech, where they introduce themselves, thank the linguist for the opportunity to tell the story, and introduce the kind of story. This ``preamble'' is done in Malay. (\ref{exe:moneytop}) is the preamble of Linglong. After this, the speaker opens the story in Kalamang, with the words in~\ref{exe:lekibon}.",exe:moneytop,"\gll mindi=ta me leki=bon | \gls like_that=NFIN TOP monkey=COM | \glt `Like that, a monkey and...'",exe:lekibon,Not found,,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Supplying background\is{narrative!background,,,"After the preamble and/or the opening words, if there are any, speakers sometimes provide some background to the story. This may come before or after the presentation of the first protagonist(s). Background may consist of details about the protagonist(s) or about the scene (often including place names\is{names!place names}). In about half the analysed narratives, background information is omitted and the speaker jumps straight to the story, giving details when they are absolutely necessary. This may be because the listeners already know the stories and do not need the background information, or because the storytellers have not told the stories in a while and have forgotten to properly introduce them, remembering details while telling the story.\footnote{There are more indications the latter is the case, e.g. speakers asking others for names of protagonists (narr20), giving their names at the end of the story (narr28) or supplying background information (switching to Malay) after the start of the story (narr18). The only story that was recorded twice, once in Kalamang for the camera and an audience of one (besides the linguist) and once in Papuan Malay before a class of school children, has more background information in the second version. This may be due to practice, but it may also be an adaptation to the audience. Alternatively, names and other details I consider to be `background information' are not deemed important by the Kalamang storytellers whose narratives were analysed here.} (\ref{exe:miertet}) gives the first utterance of The providing tree, a narrative where no preamble or opening is provided. The protagonist is presented straight away and a minimal amount of background information is provided before the story starts: the protagonists' living place is described. The background information provided in~\ref{exe:suagibg} is more elaborate. After Suagibaba, the protagonist, is introduced by his name, Suagibaba's vessel is described, as well as how he sails it. The formula that will be repeated throughout the story is also introduced here, along with two important place names. (\ref{exe:kelubg}) gives background information about the age of the protagonists, but omits information about time or place.",exe:miertet,"\gll nene opa me mier tete=bon leng kon=ko tua go_saerak=ko | \gls old_woman {\glopa} TOP 3DU old_man.MLY=COM village one=LOC live place-NEG_EXIST=LOC | \glt `That old woman, she and the old man lived in a village, in an empty place.'",exe:suagibg,Not found,exe:kelubg,Not found,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Presenting the protagonist(s) and participant tracking\is{narrative!participant tracking,,,"First, the protagonist(s) may be introduced by a generic category (e.g. tumun `child'), sometimes together with a \is{numeral}numeral (typically kon `one', see for~\ref{exe:kelubg}). (\ref{exe:turison}) illustrates the introduction of a person that the protagonist had spotted from afar. The person is introduced as `a tourist'. The names of protagonists may or may not be given later in the narrative. In Crab, the names of the protagonists are given at the end of the story. In Married to a mermaid, they are given straight after introducing them (as part of the background information), and in The naked tourist the name of the tourist is never given.",exe:kelubg,Not found,exe:turison,"\gll an tiri mara o padahal turis-sontum | \gls 1SG sail move_landwards EMPH actually tourist-person | \glt `I sailed landwards, oh, in fact it was a tourist.'",,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Presenting the protagonist(s) and participant tracking\is{narrative!participant tracking,,,"Second, the protagonist(s) are introduced by a generic category and anaphoric demonstrative opa (§\ref{sec:demopa}), as was illustrated in~\ref{exe:miertet}. A similar example is~(\ref{exe:kahopa}). The use of opa reveals that the audience has or is supposed to have knowledge of the referent, either because it has been mentioned before (off-camera) or because it is assumed to be shared knowledge. The use of opa is also common in other genres, and can be combined with generic categories as well as with personal names.",exe:miertet,"\gll nene opa me mier tete=bon leng kon=ko tua go_saerak=ko | \gls old_woman {\glopa} TOP 3DU old_man.MLY=COM village one=LOC live place-NEG_EXIST=LOC | \glt `That old woman, she and the old man lived in a village, in an empty place.'",exe:kahopa,"\gll sekarang kahamin opa me mu se | \gls now bird {\glopa} TOP 3PL IAM | \glt `Now, those birds, they...'",,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Presenting the protagonist(s) and participant tracking\is{narrative!participant tracking,,,"Third, the narrator may ``fail'' to introduce the protagonist(s) and refer to them with a pronoun. This happens in two stories that are about the Kalamang forefathers (Kuawi and Finding water at Sui), who are referred to with the third-person plural\is{plural!pronominal} pronoun mu, and in Kelengkeleng woman. The speaker starts the story with a third-person singular pronoun (example~\ref{exe:wakmake}), which refers to the murderer which dominates the first half of the story. It is unclear whether this is the consequence of some kind of introduction that was done off-camera.",exe:wakmake,Not found,,,,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Presenting the protagonist(s) and participant tracking\is{narrative!participant tracking,,,"The switch from generic term to pronoun is illustrated in~\ref{exe:emunmasu}. After the presentation of the protagonists (a mother and her two children) and some background information in Crab (example~\ref{exe:kelubg}), the narrator sets the subject as emun `their mother', and refers to the children as mier `they two'. She repeats `their mother' two times while setting the scene, and then switches to the pronoun. The pronoun use is maintained for three clauses, when there is a change of subject to one of the children.",exe:emunmasu,Not found,exe:kelubg,Not found,,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Presenting the protagonist(s) and participant tracking\is{narrative!participant tracking,,,"The use of pronouns is less common in Linglong, where there is a constant switch between the monkey and the cuscus. However, when they are referred to as a pair, the narrator always uses a third person dual\is{dual} or plural\is{plural!pronominal} pronoun. Only when they are introduced are they referred to as `cuscus and monkey'. (\ref{exe:cusmon}) shows a switch in reference from the monkey to the cuscus, followed by a pronominal reference to both of them.",exe:cusmon,Not found,,,,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Devices for structuring\is{narrative!structuring\is{repetition|(,,,"The money-defecating cow is also highly structured through repetition of events. The narrative can be divided into five chapters, which can be divided into three paragraphs each in which more or less the same events happen. About 70% of all the linguistic material in the narrative is repeated. This is illustrated by the three sentences given in~\ref{exe:kang1} to~\ref{exe:kang3}, from chapter 1. Each sentence is from a different paragraph, but is a near copy of the others.%refer to poster, or better, insert poster here and actually count",exe:kang1,"\gll ma se kanggeit=i kanggeit=i ma se yecie | \gls 3SG IAM play=PLNK play=PLNK 3SG IAM return | \glt `She played and played, she returned...'",exe:kang3,Not found,,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Formulae\is{formula,,,"Makuteli contains a song that, according to the narrator, is in \ili{Seramese} or Geser-Gorom\il{Geser-Gorom}. He gives a rough translation as given in~\ref{exe:makuteli}.",exe:makuteli,Not found,,,,,,,,,,,,,,,,,,
Other topics,The structure of narratives\is{narrative|(,Closing\is{narrative!closing,,,"Different closing formulae are used, either making use of the Malay or Kalamang verb for `to be finished' or referring to the length of the story with a demonstrative. Some speakers also add a `thank you'. Examples~\ref{exe:end1} to~\ref{exe:end4} show some variants.",exe:end1,\gll selesai | \gls finish | \glt `The end.',exe:end4,"\gll oke sampe metko | \gls okay until DIST.LOC | \glt `Okay, until there.'",,,,,,,,,,,,,,,,
