Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Word classes \label{cha:word classes,Nominals \label{nominals-sec,,,,"Agreement in \isi{gender} and \isi{number} is only triggered by nouns. Gender in Komnzo is covert ({\S}\ref{gender-system-sec}), and the agreement target for \isi{gender} is the 3\textsuperscript{rd} singular prefix of the verb. Number agreement is marked at various morphological sites on the \isi{verb} including the \isi{undergoer} prefix, the actor suffix, and the duality affix ({\S}\ref{number-subsec}). Adjectives fail to trigger \isi{gender} or \isi{number} agreement. Property nouns also fail to trigger \isi{gender} agreement, because they are not indexed in the prefix. However, property nouns trigger a default {\Sg} \isi{number} agreement in the suffix, for example in \isi{experiencer-object} constructions where a \isi{property noun} can be the \isi{stimulus} flagged with the \isi{ergative} \isi{case} ({\S}\ref{expobjconstr}). Nouns trigger both \isi{gender} and \isi{number} agreement. Hence, the criterion of agreement groups property nouns with adjectives and singles out nouns.",expobjconstr,Not found,,,,,,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,,,,\multicolumn{4}{l}{\footnotesize \super{a}There is default number agreement ({\Sg}) in \isi{experiencer-object} constructions ({\S}\ref{expobjconstr})},expobjconstr,Not found,,,,,,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Nouns \label{nouns-sec,,,"Nouns are distinct from other \isi{nominal}s in being the only lexical items which trigger \isi{gender} agreement. The agreement target is the third \isi{person} singular prefix of the verb ({\S}\ref{gender-subsec}). The semantics of the \isi{gender} system is described in the following section ({\S}\ref{gender-system-sec}). Additionally, nouns trigger \isi{number} agreement, in this they resemble other \isi{nominal} subclasses such as pronouns. The agreement target for \isi{number} depends on the type of argument, but it involves three distinct verbal affix slots (the \isi{undergoer} prefix, the actor suffix, and the duality marker). The verb morphology will be laid out in chapter \ref{cha:verb morphology}, but we get a glimpse of the agreement system in examples (\ref{ex044}-\ref{ex047}).",ex044,\gsrc \textbf{brbrf} \textbf{garda} bifnza. | \gll brbr=f garda b=y\stem{fn}nza. | \gls spirit=ERG.SG canoe(ABS) MED=STSG:SBJ>TSG.MASC:OBJ:PST:IPFV/hit. | \glt `The spirit was hitting (against) the canoe there.',ex047,\gsrc ŋathayé \textbf{tauri kam} yanathrth. | \gll ŋatha=yé [tauri kam] ya\stem{na}thrth. | \gls dog=ERG.NSG wallaby bone STPL:SBJ>TSG.MASC:OBJ:NONPAST:IPFV/eat. | \glt `The dogs are chewing a wallaby bone.',,,,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Nouns \label{nouns-sec,,,"Nominal \isi{number} marking takes place on the level of the \isi{noun phrase}, leaving aside the use of numerals. Nominal \isi{number} marking is underspecified for three reasons. First, only animates are marked for \isi{number}, especially humans. Example (\ref{ex494}) shows the \isi{allative} \isi{case} marker on several \isi{nominal}s, and only the \isi{animate} referents are marked for \isi{number}. Note that the spatial cases (\isi{locative}, \isi{allative}, \isi{ablative}) have special formatives for \isi{animate} referents ({\S}\ref{spatialcase}). Secondly, \isi{number} marking on the \isi{noun} only occurs when the respective \isi{noun phrase} is flagged with a \isi{case} marker. Thus, nouns out of syntactic context or \isi{noun phrases} in the \isi{absolutive} \isi{case}, which is \isi{zero}, have no \isi{nominal} \isi{number} marking. Thirdly, \isi{nominal} \isi{number} marking is based on a \isi{singular} versus \isi{non-singular} distinction.\footnote{The associative case is an exception. With animate referents it is used for the inclusory construction ({\S}\ref{inclusorycontruction}), and there the values are dual and plural, instead of singular and non-singular.} The full three-way distinction between \isi{singular}, \isi{dual} and \isi{plural} is encoded in the \isi{verb}. It follows that the majority of nouns or \isi{noun phrase}s are underspecified for \isi{number}, and for core \isi{case} arguments, \isi{number} is assigned morpho-syntactically via the agreement system of the verb.",ex494,\gsrc wati \textbf{nzedbo} zanrifthath \textbf{mayawanmedbo} rouku \textbf{bänefo} ... \textbf{masufo}. | \gll wati nzedbo zan\stem{rifth}ath mayawa=nmedbo rouku bäne=fo ... masu=fo. | \gls then FNSG.All STPL:SBJ>TSG.F:OBJ:PST:PFV/send mayawa=All.ANIM.NSG rouku Recog=All ... masu=All. | \glt `Then they send the word to us ... to the Mayawas in Rouku ... to there ... to Masu.',,,,,,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Nouns \label{nouns-sec,,,"Nouns may undergo \isi{reduplication}, which signals plurality and/or non-prototypicality, as in yawiyawi `money, coins' from yawi `seed' or yamyam `marks' from yam `footprint'. An example is given in (\ref{ex503}) and (\ref{ex504}). Example (\ref{ex503}) shows the \isi{noun} znsä `work', while the reduplicant znsäznsä was often used for the kind of elicitation, recording and transcription work that I was doing (\ref{ex504}).",ex503,\gsrc \textbf{znsä} kwabznwrme dagon fawr. | \gll znsä kwa\stem{bz}nwrme dagon faw=r. | \gls work FPL:SBJ:PST:DUR/work food payment=PURP. | \glt `We worked for food.',ex504,"\gsrc thrma n kwot thräre bänema \textbf{znsäznsär} thwanyan. | \gll thrma n kwot thrä\stem{r}e bäne=ma znsä-znsä=r thwan\stem{yan}. | \gls later IMN properly FPL:SBJ>STPL:OBJ:IRR:PFV/do MED=CHAR REDUP-work=PURP STDU:SBJ:Rpst:IPFV:VENIT/walk. | \glt `Later, we will get them out properly because you came for work.'",ex503,\gsrc \textbf{znsä} kwabznwrme dagon fawr. | \gll znsä kwa\stem{bz}nwrme dagon faw=r. | \gls work FPL:SBJ:PST:DUR/work food payment=PURP. | \glt `We worked for food.',ex504,"\gsrc thrma n kwot thräre bänema \textbf{znsäznsär} thwanyan. | \gll thrma n kwot thrä\stem{r}e bäne=ma znsä-znsä=r thwan\stem{yan}. | \gls later IMN properly FPL:SBJ>STPL:OBJ:IRR:PFV/do MED=CHAR REDUP-work=PURP STDU:SBJ:Rpst:IPFV:VENIT/walk. | \glt `Later, we will get them out properly because you came for work.'",,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Nouns \label{nouns-sec,,,"In order to derive adjectives, some nouns take the \isi{adjectivaliser} suffix -thé. We can see this most clearly in the colour terms: kwayanthé `white' from kwayan `light' or frkthé `red' from frk `blood'. The productivity of -thé is rather limited and there are a number of lexical items which show frozen morphology. For example, yfrsé `black' from yfr `Syzygium sp' (used for black paint) shows an irregular variant, -sé instead of -thé. For dbömsé `blunt' there is no corresponding \isi{noun} without the suffix. The restrictions in terms of productivity can be explained by the presence of a class of property nouns to be discussed in {\S}\ref{propertynouns-sec}. There is an alternative strategy for deriving colour and shape adjectives. This involves the formation of a compound with the word woku `skin' which takes the \isi{adjectivaliser} suffix. The Komnzo equivalent for \ili{English} `green' is expressed by wämne taga wokuthé (lit. `tree leaf skin-like') or the translation of `round' is aki wokuthé (lit. `moon skin-like'). An example of this strategy is given in (\ref{ex509}), where the speaker characterises a man as looking a bit `boyish'.",ex509,\gsrc fi \textbf{sraksrak wokuthé} yara. | \gll fi srak-srak woku-thé ya\stem{r}a. | \gls Third.ABS REDUP-boy skin-Adlzr TSG.MASC:SBJ:PST:IPFV/be. | \glt `He was a bit boyish.',,,,,,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Nouns \label{nouns-sec,,,"All common nouns can serve as the host for \isi{case} clitics (\isi{ergative}, \isi{dative}, \isi{possessive}, \isi{locative}, \isi{allative}, \isi{ablative}, \isi{instrumental}, \isi{characteristic}, \isi{purposive}, \isi{associative}, \isi{proprietive}, \isi{privative}, \isi{similative}) or receive other \isi{nominal} morphology (\isi{exclusive}, \isi{emphatic}). As I describe in {\S}\ref{formfunccase}, \isi{case} markers operate at the level of the \isi{noun phrase}. Noun phrases headed by a \isi{noun} can function as arguments or adjuncts, as well as complements of the copula. This is illustrated by the \isi{ergative} and absolutive-marked arguments in example (\ref{ex044}).\footnote{The absolutive case is zero-marked in singular, and the non-singular formative -é is rare throughout the corpus. In example (\ref{ex044}), the word garda `canoe' is glossed with the absolutive case in brackets. Note that for most examples in this grammar, I do not gloss the absolutive if it is zero-marked. Exceptions are those examples, where the case value is important for the decription.} Example (\ref{ex045}) shows a locative-marked \isi{noun} which functions as an adjunct.",ex044,\gsrc \textbf{brbrf} \textbf{garda} bifnza. | \gll brbr=f garda b=y\stem{fn}nza. | \gls spirit=ERG.SG canoe(ABS) MED=STSG:SBJ>TSG.MASC:OBJ:PST:IPFV/hit. | \glt `The spirit was hitting (against) the canoe there.',ex044,\gsrc \textbf{brbrf} \textbf{garda} bifnza. | \gll brbr=f garda b=y\stem{fn}nza. | \gls spirit=ERG.SG canoe(ABS) MED=STSG:SBJ>TSG.MASC:OBJ:PST:IPFV/hit. | \glt `The spirit was hitting (against) the canoe there.',ex045,\gsrc \textbf{masun} ni fä nzwamnzrm. | \gll masu=n ni fä nzwa\stem{m}nzrm. | \gls masu=LOC FNSG DIST FPL:SBJ:PST:DUR/dwell. | \glt `We were staying in Masu over there.',,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Nouns \label{nouns-sec,,,"Nouns typically function as the \isi{head} of a \isi{noun phrase} or as the \isi{head} of a \isi{nominal} compound. Compounds are described in {\S}\ref{compounds-subsec}. Example (\ref{ex046}) shows the \isi{noun} waniwani `picture, shadow' as the \isi{head} of the noun phrase modified by the \isi{demonstrative} zane and the \isi{adjective} katan. Nouns may act as modifiers within a noun phrase. In the \isi{nominal} compound in (\ref{ex047}) the two nouns act as \isi{head} (kam `bone') and \isi{modifier} (tauri `wallaby'). In the examples NPs are marked off by [].",ex046,\gsrc fof zäbth zane katan \textbf{waniwani}. | \gll fof zä\stem{bth} [zane katan waniwani]. | \gls EMPH STSG:SBJ:Rpst:PFV/finish DEM:PROX small picture. | \glt `This little movie is finished.',ex047,\gsrc ŋathayé \textbf{tauri kam} yanathrth. | \gll ŋatha=yé [tauri kam] ya\stem{na}thrth. | \gls dog=ERG.NSG wallaby bone STPL:SBJ>TSG.MASC:OBJ:NONPAST:IPFV/eat. | \glt `The dogs are chewing a wallaby bone.',,,,,,,,,,,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Property nouns \label{propertynouns-sec,,,"Property nouns can act as the \isi{head} of a \isi{noun phrase} and as such they behave as host for all \isi{case} clitics just like nouns. However, with respect to agreement, they are syntactically inert in two ways. First, property nouns do not register in the \isi{undergoer} prefix of verbs and consequently do not trigger \isi{gender} agreement. Consider the two elicited examples in (\ref{ex495}). In (\ref{ex496}), the \isi{undergoer} slot of the verb is filled by an invariant middle marker, an ŋ- prefix.\footnote{See \S\ref{verbprelim} for an explanation of the glossing conventions of verbs in this grammar.} Only the \isi{subject} argument is indexed, which is a zero marker in suffix position. Thus, the \isi{object} is not indexed in the verb.\footnote{The middle construction has a number of functions described in {\S}\ref{middletemplatesubsection}. One of these functions is the suppressed-object function shown in (\ref{ex496}).} This especially occurs with property nouns, which creates an indeterminacy as to the argument status of twof `heat' in (\ref{ex496}). Both translations given in (\ref{ex496}) are possible. In the first, the \isi{property noun} is the \isi{object}, in the latter it is a \isi{nominal} predicate. Example (\ref{ex497}) shows that this ambiguity is resolved, if an object argument is indexed in the undergoer slot, in this case a w- prefix. However, the verb prefix does not index property noun like twof. The \isi{object} argument must be a different \isi{noun}, for example bad `ground, earth', which is put into backets in (\ref{ex497}). Note that, irrespective of whether or not the \isi{object} \isi{noun phrase} is present or omitted from the clause, the third singular feminine indexed in the verb cannot refer to the \isi{property noun} twof.",ex495,Not found,ex496,Not found,ex496,Not found,ex496,Not found,ex496,Not found,ex497,Not found,ex497,Not found,,,,,,
Word classes \label{cha:word classes,Nominals \label{nominals-sec,Property nouns \label{propertynouns-sec,,,"Note that with \isi{intransitive} verbs, like the copula, property nouns function as \isi{nominal} predicates. A clause like (\ref{ex031}) can only be interpreted as having an omitted \isi{subject} noun phrase which is third person singular masculine. It cannot be analysed in a way that frasi `hunger' is the argument of the copula.",ex031,\gsrc \textbf{frasi} yé. | \gll frasi \stem{yé}. | \gls hungry TSGMASC:SBJ:NONPAST:IPFV/be. | \glt `He is hungry.' \uline{not:} `It is hunger.',,,,,,,,,,,,,,,,,,
