Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Sentence types,Questions \label{sec:7.2,Non-polar questions \label{sec:7.2.1,,,"Any argument or peripheral in a clause can be questioned, as well as its constituents \REF{ex:7:x1167}--\REF{ex:7:x1174}.",ex:7:x1167,\gll (\textbf{Mua}) \textbf{naareke} koora ku-am-ika-i-ya? | \gls (man) who.CF house build-SS.SIM-be-Np-3s | \glt  `Who is building a house?',ex:7:x1174,\gll Wi \textbf{kaakew} mua=ke uf-e-mik? | \gls 3p.UNM which.village man=CF dance-PA-1/3p | \glt  `The men of which village danced?',,,,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Non-polar questions \label{sec:7.2.1,,,"The kind of ambiguity between a subject and an object that Usan has, which arises from the fronting of a topicalized element\footnote{A \textsc{theme} in my terminology here.} \citep[294]{Reesink1987}, is not possible in Mauwake. This is because the question words take the contrastive focus marker \nobreakdash-\textstyleStyleVernacularWordsItalic{ke} when functioning as a subject. Because of elision, and the merging of the contrastive focus marker with the question word, the word for `who' in Mauwake actually has a contrasted/nominative \REF{ex:7:x1167}, \REF{ex:7:x1171} and an accusative form \REF{ex:7:x1170}. The object is fronted in \REF{ex:7:x1171} as a theme; in \REF{ex:7:x1172} the object is not fronted.",ex:7:x1167,\gll (\textbf{Mua}) \textbf{naareke} koora ku-am-ika-i-ya? | \gls (man) who.CF house build-SS.SIM-be-Np-3s | \glt  `Who is building a house?',ex:7:x1171,\gll Mua nain\textsubscript{O} \textbf{naareke}\textsubscript{S} aruf-a-k? | \gls man that1 who.CF hit-PA-3s | \glt  `Who hit that man?',ex:7:x1170,\gll Mua nain\textsubscript{S} \textbf{naarew}\textsubscript{O} aruf-a-k? | \gls man that1 who(ACC) hit-PA-3s | \glt  `Who did that man hit?',ex:7:x1171,\gll Mua nain\textsubscript{O} \textbf{naareke}\textsubscript{S} aruf-a-k? | \gls man that1 who.CF hit-PA-3s | \glt  `Who hit that man?',ex:7:x1172,\gll \textbf{(Mua)} \textbf{naareke}\textsubscript{S} mua nain\textsubscript{O} aruf-a-k? | \gls (man) who.CF man that1 hit-PA-3s | \glt  `Who hit that man?',,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Non-polar questions \label{sec:7.2.1,,,"It is most common to have the question in a main clause, but medial clauses also easily allow non-polar questions. The scope of the question word only extends to the clause which contains it. In \REF{ex:7:x1168} the fact that the people ran away is not questioned.",ex:7:x1168,\gll \textbf{Mua} \textbf{naareke} \textbf{wia} \textbf{aruf-eya} baurar-e-mik? | \gls man who.CF 3p.ACC hit-2/3s.DS run.away-PA-1/3p | \glt  `Who hit them (so that) they ran away?',,,,,,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Non-polar questions \label{sec:7.2.1,,,"A constituent in a complement clause (with a nominalized verb) can be questioned \REF{ex:7:x1175}, but not in a relative clause \REF{ex:7:x1176}.",ex:7:x1175,\gll \textbf{Ama} \textbf{kamin} \textbf{ikiw-owa} ma-e-mik? | \gls sun/time how.much go-NMZ say-PA-1/3p | \glt  `At what time did they say to go?',ex:7:x1176,Not found,,,,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Non-polar questions \label{sec:7.2.1,,,"Multiple constituents in the same clause can be questioned with a question word. This is not common, but the following elicited sentences are considered completely natural \REF{ex:7:x1177}, \REF{ex:7:x1178}.",ex:7:x1177,\gll Emeria \textbf{naareke} ama \textbf{kamin=pa} ekap-o-k? | \gls woman who.CF sun/time how.much=LOC come-PA-3s | \glt  `Who (woman) came at what time?',ex:7:x1178,\gll Mua \textbf{kain=ke} emeria \textbf{kain} aaw-o-k? | \gls man which=CF woman which take-PA-3s | \glt  `Which man took/married which woman?',,,,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Non-polar questions \label{sec:7.2.1,,,"When there is a lot of hesitation in the question, the question clitic -\textstyleStyleVernacularWordsItalic{i}, which normally marks a polar question, is added to the end of the question \REF{ex:7:x1187}. This is the same form that the echo questions have (\sectref{sec:7.2.3}).",ex:7:x1187,\gll Auwa efa amukar-e-k nain yo \textbf{kamenap} ar-i-nen=\textbf{i}? | \gls father 1s.ACC scold-PA-3s that 1s.UNM how become-Np-FU.1s=QM | \glt  `(I wonder) what will happen to me because father scolded me?',,,,,,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Polar questions \label{sec:7.2.2,,,"Polar questions , also called nexus questions, or yes-no questions, expect either confirmation or negation of the questioned proposition. According to \citet[63]{Wurm1982}, a polar question in \textstyleAcronymallcaps{tng} languages is often marked by an affix which is part of the verb complex. In Mauwake it is coded by the question clitic -\textstyleStyleVernacularWordsItalic{i} (\sectref{sec:3.12.8}) and slightly rising intonation (\sectref{sec:2.1.3.2}), both occurring sentence-finally. Because Mauwake is an \textstyleAcronymallcaps{sov} language, the clitic most often attaches itself to a verb \REF{ex:7:x1179}, but it can attach to another word class as well, when there is no final verb \REF{ex:7:x1180}, \REF{ex:7:x1181}:",ex:7:x1179,\gll Ni nain me=ko uruf-a-man\textbf{=i}? | \gls 2p.UNM that1 not=NF see-PA-2p=QM | \glt  `Didn't you see that?',ex:7:x1180,\gll Nos=\textbf{i}? | \gls 2s.FC=QM | \glt  `You?',ex:7:x1181,\gll Maa nain eliwa=\textbf{ki}? | \gls thing that1 good=CF.QM | \glt  `Is that thing good?',,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Polar questions \label{sec:7.2.2,,,"The non-final alternatives in a closed question take the question marker -\textstyleStyleVernacularWordsItalic{i}. The final alternative, usually preceded by the disjunctive coordinator \textstyleStyleVernacularWordsItalic{e} `or' (\sectref{sec:3.11.2}), may be just a negation particle \textstyleStyleVernacularWordsItalic{weetak} or \textstyleStyleVernacularWordsItalic{wia} \REF{ex:7:x1182}, a full statement \REF{ex:7:x1183}, or an elliptical clause with only the questioned item \REF{ex:7:x1184}.",ex:7:x1182,\gll Yo emeria=ko efar uruf-a-man=\textbf{i} \textbf{e} weetak? | \gls 1s.UNM woman=NF 1s.DAT see-PA-2p=QM or no | \glt  `Did you see my wife or not?',ex:7:x1183,"\gll Nain kema suuw-i-man=\textbf{i} \textbf{e} kema irin-ar-e-man? | \gls that1 liver push-Np-PR.2p=QM or liver stuck-INCH-PA-2p | \glt  `Do you remember (lit: push the liver) that, or have you forgotten (lit: liver is stuck) it?'",ex:7:x1184,"\gll No Matukar ikiw-i-nan=\textbf{i} Dylup=\textbf{i} \textbf{e} Sarang? | \gls 2s.UNM Matukar go-Np-FU.2s=QM Dylup=QM or Sarang | \glt  `Will you go to Matukar, Dylup, or Sarang?'",,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Polar questions \label{sec:7.2.2,,,"When the alternative question is open, the question marker -\textstyleStyleVernacularWordsItalic{i} marks not only the non-final alternatives but also the final one \REF{ex:7:x1185}, \REF{ex:7:x1186}.",ex:7:x1185,\gll Matukar ikiw-i-nan=\textbf{i} \textbf{e} Dylup ikiw-i-nan=\textbf{i}? | \gls Matukar go-Np-FU.2s=QM or Dylup go-Np-FU.2s=QM | \glt  `Will you go to Matukar or Dylup (or perhaps neither)?',ex:7:x1186,\gll Mukuna=ko wu-a-man=\textbf{i} \textbf{e} mua=ko wia uruf-a-man=\textbf{i}? | \gls fire=NF put-PA-2p=QM or man=NF 3.ACC see-PA-2p=QM | \glt  `Did you light a fire or did you feel (that there was) a man?',,,,,,,,,,,,,,,,
Sentence types,Questions \label{sec:7.2,Polar questions \label{sec:7.2.2,,,"An alternative question is left open also when the last alternative is replaced with the question word \textstyleStyleVernacularWordsItalic{kamenion} '(or) what?'/ `(or) how is it?' \REF{ex:7:x1350}, \REF{ex:7:x1351}.",ex:7:x1350,"\gll Maa en-owa=ko p-ekap-e-mik=\textbf{i} \textbf{kamenion}? | \gls food eat-NMZ=NF BPX-come-PA-1/3p=QM or.what | \glt  `Did they bring food, or what?'",ex:7:x1351,"\gll Beel(a)-al-i-non=\textbf{i} \textbf{kamenion}, naap uruf-am-ik-ua. | \gls rotten-INCH-Np-FU.3s=QM or.what thus see-SS.SIM-be-PA.3s | \glt  `He was watching whether it would rot or what would happen.'",,,,,,,,,,,,,,,,
