Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Consonants\label{consonants,,,,"consonants, however, are realised as geminates phonetically (cf.\ example (\ref{ex:1})):",ex:1,Not found,,,,,,,,,,,,,,,,,,
,Consonants\label{consonants,,,,(\ref{ex:2}–\ref{ex:4})). Younger consultants use the velar stop g instead.,ex:2,Not found,ex:4,Not found,,,,,,,,,,,,,,,,
,Consonants\label{consonants,,,,of older consultants (cf.\ example (\ref{ex:5}a–b)):,ex:5,Not found,,,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,"some roots only oˤ is attested (\ref{ex:9}a), in other forms uˤ",ex:9,Not found,,,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,occurs as a variant (\ref{ex:9}b). This distribution may also depend on individual speakers.,ex:9,Not found,,,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,"e.g.\ plural stem formation, as shown in examples (\ref{ex:10}–\ref{ex:15}); see also",ex:10,Not found,ex:15,Not found,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,\tabref{t3-2} sums up the vowel alternation patterns shown in (\ref{ex:10}) to (\ref{ex:15}).,ex:10,Not found,ex:15,Not found,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,\textsc{sg} & aˤ (\ref{ex:10}a) & aˤ (\ref{ex:11}a) & aˤ (\ref{ex:12}a) &,ex:10,Not found,ex:11,Not found,ex:12,Not found,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,u (\ref{ex:13}a) & u (\ref{ex:14}a) & uˤ (\ref{ex:15}a)\tabularnewline \midrule,ex:13,Not found,ex:14,Not found,ex:15,Not found,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,"\textsc{pl} & aˤ (\ref{ex:10}b) & uˤ (\ref{ex:11}b) & uˤ, oˤ (\ref{ex:12}b) &",ex:10,Not found,ex:11,Not found,ex:12,Not found,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,"uˤ, oˤ (\ref{ex:13}b) & aˤ, uˤ, oˤ (\ref{ex:14}b) & aˤ",ex:13,Not found,ex:14,Not found,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,(\ref{ex:15}b)\tabularnewline,ex:15,Not found,,,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,(\ref{ex:6}–\ref{ex:8}). Pharyngealized\is{pharyngealization} vowels typically appear after radical or uvular,ex:6,Not found,ex:8,Not found,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,"consonants, e.g.\ (\ref{ex:13}a–\ref{ex:15}a); but sometimes they may precede them, e.g.\",ex:13,Not found,ex:15,Not found,,,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,(\ref{ex:13}b–\ref{ex:15}b); or occur both preceding and following them; e.g.\ (\ref{ex:12}a) and,ex:13,Not found,ex:15,Not found,ex:12,Not found,,,,,,,,,,,,,,
,Vowels\label{vowels,,,,(\ref{ex:12}b). For a discussion of an approach to \isi{pharyngealization} as a,ex:12,Not found,,,,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,"CVC, CVCC, VC, VCC, and V (cf.\ (\ref{ex:16}–\ref{ex:21})). If the coda is complex, the",ex:16,Not found,ex:21,Not found,,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,examples (\ref{ex:16}) and (\ref{ex:18}). Clusters of sonorants in the same syllable\is{syllable structure} are,ex:16,Not found,ex:18,Not found,,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,"as in (\ref{ex:21}), and appear only at morphological boundaries. I treat such",ex:21,Not found,,,,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,Noun stems can have from one to five syllables\is{syllable structure} (cf.\ (\ref{ex:22}–\ref{ex:26})). Most,ex:22,Not found,ex:26,Not found,,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,only five are disyllabic (cf.\ (\ref{ex:27})).,ex:27,\gll usaʔʷ-as} | \gls M.sleep:PFV-INF | \glt `sleep',,,,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,"irregular verbal stems (cf.\ (\ref{ex:28}–\ref{ex:32})) which, in some word forms, only consist of",ex:28,\gll k-ib} | \gls bring.to:PFV-AOR | \glt `s/he brought something to somebody',ex:32,\gll χ-ib} | \gls bring:PFV-AOR | \glt `s/he brought',,,,,,,,,,,,,,,,
,Syllable and word structure\label{syllable-and-word-structure,,,,"one consonant or, in the case of `say' (cf.\ (\ref{ex:29})), may be considered to be",ex:29,\gll ib} | \gls say:PFV.AOR | \glt `s/he said',,,,,,,,,,,,,,,,,,
,Stress\label{stress,,,,distinguished by the position of the \isi{stress} (cf.\ (\ref{ex:35}–\ref{ex:38})).,ex:35,Not found,ex:38,\gll d-\textbf{ú}ž-e} | \gls NPL-drink:IPFV-IMP | \glt `drink (it)!',,,,,,,,,,,,,,,,
,Stress\label{stress,,,,"the second syllable\is{syllable structure}, as shown in (\ref{ex:39}–\ref{ex:40}).",ex:39,Not found,ex:40,Not found,,,,,,,,,,,,,,,,
,Stress\label{stress,,,,"Some verbal forms are more complex. In (\ref{ex:41}b) and (\ref{ex:41}c), as compared to",ex:41,Not found,ex:41,Not found,,,,,,,,,,,,,,,,
,Stress\label{stress,,,,"(\ref{ex:41}a), the \isi{stress} is on the second syllable\is{syllable structure}, as expected. Example (\ref{ex:41}d),",ex:41,Not found,ex:41,Not found,,,,,,,,,,,,,,,,
,Stress\label{stress,,,,forms \isi{stress} always on the first syllable\is{syllable structure} (cf.\ (\ref{ex:42}–\ref{ex:43})).,ex:42,Not found,ex:43,Not found,,,,,,,,,,,,,,,,
,Stress\label{stress,,,,stressed (cf.\ (\ref{ex:44}–\ref{ex:45})):,ex:44,\gll l\textbf{ú}č'-ab} | \gls read:IPFV-OPT | \glt `if only he would read',ex:45,\gll \textbf{ú}rc-ab} | \gls fly:IPFV-OPT | \glt `if only he would fly',,,,,,,,,,,,,,,,
,Stress\label{stress,,,,mostly as in Arabic (cf.\ (\ref{ex:48}–\ref{ex:51})):,ex:48,Not found,ex:51,Not found,,,,,,,,,,,,,,,,
