Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Second person imperative\label{second-person-imperative,Formation of imperatives\label{formation-of-imperatives,,,"the suffix -e (\ref{ex:5:1}, \ref{ex:5:2}), unlike the imperative of perfective",ex:5:1,\gll niʔ \textbf{urt'-e}! | \gls milk \textbf{pour:IPFV-IMP} | \glt `Pour the milk!',ex:5:2,\gll ħu \textbf{w-aqnal} \textbf{duc'} \textbf{ulq-e}! | \gls you.sg(NOM) \textbf{M-often} \textbf{run} M.LV:IPFV-IMP | \glt `Run more often!',,,,,,,,,,,,,,,,
,Second person imperative\label{second-person-imperative,Formation of imperatives\label{formation-of-imperatives,,,imperative in -a. Cf. examples (\ref{ex:5:13}) and (\ref{ex:5:14}):,ex:5:13,\gll \textbf{gʷ-e} bet'-a! | \gls \textbf{see:PFV-IMP} say:PFV-IMP.TR | \glt `Let him see!' (he should make attempts to see),ex:5:14,\gll \textbf{gʷ-a} bet'-a! | \gls \textbf{see:PFV-IMP.TR} say:PFV-IMP.TR | \glt `Let him see!' (he should make attempts to see),,,,,,,,,,,,,,,,
,Second person imperative\label{second-person-imperative,Number and gender of the addressee,,,(\ref{ex:5:17}).,ex:5:17,\gll b-ak'-e-na! | \gls HPL-come:PFV-IMP-IMP.PL | \glt `Come to me (addressing several people)!',,,,,,,,,,,,,,,,,,
,Second person imperative\label{second-person-imperative,Number and gender of the addressee,,,are triggered by different arguments (\ref{ex:5:19}).,ex:5:19,\gll \textbf{w-aˤbʡ-a-na} rasul! | \gls \textbf{M-kill:PFV-IMP.TR-IMP.PL} Rasul | \glt `Kill Rasul (addressing several people)!',,,,,,,,,,,,,,,,,,
,Second person imperative\label{second-person-imperative,Imperative with particles,,,"In example (\ref{ex:5:39}), the imperative with the particle -w would have",ex:5:39,"\gll ?Maisarat Magomedovna \textbf{ag-a-ca} di-ze kung. | \gls Maisarat Magomedovna \textbf{give:PFV-IMP.TR-PTCL} I.OBL-INTER(LAT) book | \glt `Maisarat Magomedovna, give me the book please.'",,,,,,,,,,,,,,,,,,
,Prohibitive\label{prohibitive,,,,"involves reduplication, as in (\ref{ex:5:46}) – see the discussion in \citet{daniel2019} [this",ex:5:46,"\gll gurda b-ik'-uwe le-b sinka-li-ze \textbf{b-is-mi-m-is-adi} ħu. | \gls fox N-say:IPFV-CVB.IPFV AUX-N bear-OBL-INTER(LAT) \textbf{N-cry-NEGVOL-N-cry-PROH} you.sg(NOM) | \glt `The fox said [to the bear]: ``Don't cry''.' (Text M. A bear, a wolf",,,,,,,,,,,,,,,,,,
,Hortative (first person inclusive imperative)\label{hortative,,,,"addressee and the nominative participant coincide (\ref{ex:5:64}, \ref{ex:5:65}). In the",ex:5:64,\gll w-aš-e uz-es! | \gls M-come:IPFV-IMP M.work:IPFV-INF | \glt `Let us work! (addressing a boy)',ex:5:65,\gll d-aš-e d-uz-es! | \gls F1-come:IPFV-IMP F1-work:IPFV-INF | \glt `Let us work! (addressing a girl)',,,,,,,,,,,,,,,,
,Hortative (first person inclusive imperative)\label{hortative,,,,form \textsc{cl}-aš-e agree with different arguments (\ref{ex:5:66}–\ref{ex:5:69}).,ex:5:66,\gll d-aš-e deč' b-aq'-as! | \gls F1-come:IPFV-IMP song N-do:PFV-INF | \glt `Let's sing a song! (addressing a girl)',ex:5:69,\gll w-aš-e dursi d-it'-es. | \gls M-go:IPFV-IMP girl F1-draw:PFV-INF | \glt `Let's draw a girl (addressing a boy)',,,,,,,,,,,,,,,,
,Hortative (first person inclusive imperative)\label{hortative,,,,"predicates can be expressed by a perfective converb (\ref{ex:5:76}), or both",ex:5:76,Not found,,,,,,,,,,,,,,,,,,
,Hortative (first person inclusive imperative)\label{hortative,,,,"predicates are expressed by infinitives (\ref{ex:5:77}); in the latter case, one",ex:5:77,"\gll \textbf{b-aš-ina} qali꞊ra \textbf{b-aq'-as,} q'ʷaˤl꞊ra \textbf{as-es}. | \gls \textbf{HPL-go:IPFV-IMP.PL} house꞊ADD \textbf{N-do:PFV-INF} cow꞊ADD \textbf{take-INF} | \glt `Let's build the house and buy the cow.'",,,,,,,,,,,,,,,,,,
,Hortative (first person inclusive imperative)\label{hortative,,,,"constructions (\ref{ex:5:78}), but its final position is not completely",ex:5:78,\gll \textbf{b-aš-ina} qali \textbf{b-aq'-as}. | \gls \textbf{HPL-go:IPFV-IMP.PL} house \textbf{N-do:PFV-CVB} | \glt `Let's build the house.',,,,,,,,,,,,,,,,,,
,Hortative (first person inclusive imperative)\label{hortative,,,,ungrammatical (\ref{ex:5:79}).,ex:5:79,\gll ?qali \textbf{b-aq'-as} \textbf{b-aš-ina}. | \gls house \textbf{N-do:PFV-CVB} \textbf{HPL-go:IPFV-IMP.PL} | \glt `Let's build the house.',,,,,,,,,,,,,,,,,,
