Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,The phonological structure of the verb word\label{sec:7.1%%\is{Clitics!Verb clitics,,,,"The word break is initiated by both the direct and indirect object pronominals such that when either is present, there will be a word break. The word break after the \oldstylenums{3}\textsc{s} indirect object pronominal enclitic is indicated by word-final changes in /n/; in slow speech the \oldstylenums{3}\textsc{s} indirect object pronominal enclitic /=an / is pronounced [aŋ] (showing word-final changes) even when there are other clitics following the verb word (\ref{ex:7:3}, see \sectref{sec:7.3.1.1}). The word break before the \oldstylenums{3}\textsc{s} \DO pronominal is indicated by the fact that the \oldstylenums{3}\textsc{s} \DO pronominal does not neutralise the prosody on the verb stem, and does not cause the /-j/ suffix to drop (\ref{ex:7:4}--\ref{ex:7:5}, see \sectref{sec:7.3.2}).\footnote{The first line in each example is the orthographic form. The second is the phonetic form (slow speech) with morpheme breaks.}",ex:7:3,Not found,ex:7:4,Not found,ex:7:5,Not found,,,,,,,,,,,,,,
,The phonological structure of the verb word\label{sec:7.1%%\is{Clitics!Verb clitics,,,,"When there is no indirect object pronominal enclitic, the extensions cliticise to the direct object pronominal \REF{ex:7:6}. When both direct and indirect object pronominals are present, again the extensions cliticise to the direct object pronominal \REF{ex:7:7}. When there is an indirect object pronominal enclitic but no direct object pronominal, the extensions form a separate phonological word in and of themselves (\ref{ex:7:8}, see also \ref{ex:7:3}).",ex:7:6,Not found,ex:7:7,Not found,ex:7:8,Not found,ex:7:3,Not found,,,,,,,,,,,,
,The phonological structure of the verb word\label{sec:7.1%%\is{Clitics!Verb clitics,,,,"In \REF{ex:7:9} and \REF{ex:7:10}, the verb kəslom has the {\twoP} imperative suffix attached (-om). The indirect object pronominal enclitic and the inserted morpheme an. Other extensions must make a third phonological word since there is a word break following the indirect object pronominal enclitic.",ex:7:9,Not found,ex:7:10,Not found,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Subject pronominal affixes\label{sec:7.3.1,,,"\largerpage \citet{Bow1997c} found that a prosody on the verb stem will spread leftwards from the verb stem over the singular subject prefixes. The fact that palatalisation and labialisation spread over the subject prefixes indicates that the subject markers are fully bound to the verb stem and are not separate words. \REF{ex:7:11} presents the palatalised verb /g\textsuperscript{ e}/ ‘do,’ and \REF{ex:7:12} presents the labialised verb /l\textsuperscript{o}/ ‘go.’",ex:7:11,\gsrc Nege. | \gll [nɛ\textbf{-}g-ɛ] | \gls oneS-do-CL | \glt ‘I did.’,ex:7:12,\gsrc Olo. | \gll [ɔ\textbf{-}lɔ] | \gls 3S-go | \glt ‘he/she went.’,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Subject pronominal affixes\label{sec:7.3.1,,,"\citet{Bow1997c} also discovered that labialisation on the {\oneP} and {\twoP} subject suffixes will spread leftwards from the suffix onto the entire verb word. This fact indicates that these morphemes are fully bound to the verb stem and are not separate words. The verb /ts k-j\textsuperscript{e}/ ‘stand’, shown in example \REF{ex:7:13} in its {\oneS} form, loses its palatalisation and becomes labialised when the (labialised) plural\is{Plurality!Verb plurals|)} suffixes are added \REF{ex:7:14}:",ex:7:13,\gsrc Necəke. | \gll nɛ\textbf{-}tʃɪk-ɛ | \gls oneS-stand-CL | \glt ‘I stand.’,ex:7:14,Not found,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Indirect object pronominal enclitic\label{sec:7.3.1.1,,,"An indirect object pronominal enclitic can attach to the verb word to express the indirect object, which is a core argument of the verb. The indirect object in Moloko is the participant that represents the place where the direct object is directed to – the recipient or beneficiary of the action.\footnote{Employing the Agent-Theme-Location analysis developed by \citet{DeLancey1991}, the indirect object in Moloko expresses the semantic \LOC (see \chapref{chap:9}). The direct object pronominal expresses the semantic Theme -- the participant that changes position or state (see \sectref{sec:7.3.2}).} In \REF{ex:7:15}, the verb /dz -j/ ‘help’ takes the indirect object. The indirect object represents the participant who receives the help.",ex:7:15,\gsrc Ajənaw. | \gll a-dzən=aw | \gls 3S-help=oneS.IO | \glt ‘He/she helped me.’,,,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Indirect object pronominal enclitic\label{sec:7.3.1.1,,,The indirect object pronominal enclitic allows the core indirect object argument to be expressed in a prepositional phrase ana Mana ‘to Mana’ \REF{ex:7:16}.,ex:7:16,\gsrc Ajənan ana Mana. | \gll a-dzən=aŋ ana Mana | \gls 3S-help=3S.IO DAT Mana | \glt ‘He/she helped Mana.’,,,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Indirect object pronominal enclitic\label{sec:7.3.1.1,,,The indirect object pronominal enclitic can also stand in the place of the prepositional phrase \REF{ex:7:17}.,ex:7:17,\gsrc Ajən\textbf{an}. | \gll a-dzən\textbf{=aŋ} | \gls 3S-help=3S.IO | \glt ‘He/she helped him.’,,,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Indirect object pronominal enclitic\label{sec:7.3.1.1,,,"The indirect object pronominal enclitics are phonologically bound to the verb stem and do not comprise separate words. When an indirect object pronominal cliticises to the verb stem, there are no word-final alternations in the verb stem. Compare the following pairs of examples showing verb stems with and without indirect object pronominal enclitics. When the indirect object pronominal enclitic is attached \REF{ex:7:19}, there is no word-final alternation of /h/ → [x] / _#.\footnote{See \sectref{sec:2.6.1}, c.f. \REF{ex:7:18}. Likewise, we do not see the word-final process of n → [ŋ] / _# between the verb stem and the indirect object pronominal.}",ex:7:19,Not found,ex:7:18,\gsrc Aɓah zana. | \gll a-ɓax zana | \gls 3S-sew clothing | \glt ‘He/she sews clothing.’,,,,,,,,,,,,,,,,
,Verb complex pronominals\label{sec:7.3,Indirect object pronominal enclitic\label{sec:7.3.1.1,,,"Similarly, the example pairs \REF{ex:7:20} and \REF{ex:7:21} illustrate that the /-j/ suffix is dropped when the indirect object pronominal is present \REF{ex:7:21}, indicating that the pronominal is phonologically bound to the stem (see \sectref{sec:6.3}).",ex:7:20,\gsrc Ajay. | \gll a-dz-aj | \gls 3S-speak-CL | \glt ‘He/she speaks.’,ex:7:21,\gsrc Ajan. | \gll a-dz=aŋ | \gls 3S-speak=3S.IO | \glt ‘He/she speaks to him/her.’,ex:7:21,\gsrc Ajan. | \gll a-dz=aŋ | \gls 3S-speak=3S.IO | \glt ‘He/she speaks to him/her.’,,,,,,,,,,,,,,
