Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Pronouns,Personal pronouns,,,,"That means that, whereas most nouns only distinguish between nominative and oblique case (beside the genitive forms), and the agent of transitive perfective clauses is expressed in the oblique, the plural personal pronouns have a~unique ergative pronominal form; compare the ergative \textsc{1pl} asím in example (\ref{ex:5-2}) with the nominative be and accusative asaám in example (\ref{ex:5-1}).",ex:5-2,"\gll \textbf{asím} tu na bulaḍíl-u hín-u | \gls 1PL.ERG 2SG.NOM NEG call.PFV""=MSG be.PRS""=MSG | \glt `We haven't called you.'",ex:5-1,"\gll \textbf{be} eetáa yhóol-a ta hiimaál čhinǰ-í \textbf{asaám} híṛ-a | \gls 1PL.NOM there.REM come.PFV""=MPL when avalanche strike-CV 1PL.ACC take.away.PFV""=MPL | \glt `When we came there, an~avalanche hit and swept us away.'",,,,,,,,,,,,,,,,
Pronouns,Personal pronouns,,,,"The first- and second""=person singular pronouns on the other hand make fewer distinctions than most full nouns, with their two""=way case contrast. As in Kohistani Shina, the oblique case has merged with the nominative \citep[82]{schmidtkohistani2008}. The nominative is thus used for intransitive subjects, as the \textsc{1sg} ma in example (\ref{ex:5-3}), all direct objects, as the \textsc{1sg} ma in example (\ref{ex:5-5}), as well as for transitive agents in the imperfective, while the genitive covers the possessor of a~possessive construction, as the \textsc{1sg} míi in example (\ref{ex:5-3}), as well as the agent of perfective clauses, as exemplified by \textsc{1sg} míi in (\ref{ex:5-4}).",ex:5-3,"\gll \textbf{ma} seé hín-u \textbf{míi} kúṛi seé hín-i | \gls 1SG.NOM sleep.CV be.PRS""=MSG 1SG.GEN woman sleep.CV be.PRS-F | \glt `I was asleep and my wife was also asleep.'",ex:5-5,"\gll lo \textbf{ma} kha-áan-u than-íi de | \gls 3SG.DIST.NOM 1SG.NOM eat-PRS""=MSG say-3SG PST | \glt `He said, ``It will eat me up''.'",ex:5-3,"\gll \textbf{ma} seé hín-u \textbf{míi} kúṛi seé hín-i | \gls 1SG.NOM sleep.CV be.PRS""=MSG 1SG.GEN woman sleep.CV be.PRS-F | \glt `I was asleep and my wife was also asleep.'",ex:5-4,"\gll \textbf{míi} lhéṇḍu láad-u | \gls 1SG.GEN bald.one find.PFV""=MSG | \glt `I found the bald one.'",,,,,,,,,,,,
Pronouns,Personal pronouns,,,,"The form used for direct objects is also the form preceding postpositions. It would be possible to analyse some of those combinations of pronoun and postposition (examples (\ref{ex:5-6}) and (\ref{ex:5-7})) as case forms, as the two tend to be phonologically slightly more fused as compared to what is observed with most combinations of full nouns and postpositions. However, for the sake of descriptive economy, I have here chosen to treat them as postpositions.",ex:5-6,"\gll \textbf{asaám} \textbf{the} xabaár dít-i | \gls 1PL.ACC to news give.PFV""=FSG | \glt `We heard about it.'",ex:5-7,\gll \textbf{tu} \textbf{díi} ma ɡóobina lhéest-i | \gls 2SG.NOM from 1SG.NOM nowhere escape.PFV-F | \glt `Nowhere am I safe from you.',,,,,,,,,,,,,,,,
Pronouns,Personal pronouns,,,,"To personal pronouns can also be added a~particle of emphasis or exclusiveness, eé (in B e), to be compared with exclusiveness as expressed with numerals \sectref{subsec:6-4-1}. It seems to be most frequently used together with the genitive form of the first- and second""=person singular pronouns. In example (\ref{ex:5-8}) it has the approximate meaning `my own'.",ex:5-8,\gll fazelnuúr ba \textbf{míi} \textbf{e} ɡaaḍubáabu de | \gls Fazel.Noor TOP 1SG.GEN AMPL grandfather be.PST | \glt `And Fazel Noor was my own grandfather.',,,,,,,,,,,,,,,,,,
Pronouns,Personal pronouns,,,,"However, in uses with nominative pronominal forms, as in (\ref{ex:5-9}), it takes on a~meaning similar to `I myself'. Note that this, in Palula, is a~function distinct from that of the reflexive pronouns (see \sectref{sec:5-4}).",ex:5-9,"\gll típa aní mauǰudá waqt-íi \textbf{ma} \textbf{eé} bakáara-m-ii kasúb th-áan-u | \gls now PROX present time.GEN 1SG.NOM AMPL herd-OBL""=GEN occupation do-PRS""=MSG | \glt `Nowadays I myself am engaged in shepherding.'",,,,,,,,,,,,,,,,,,
Pronouns,Personal pronouns,,,,"A~reduplicated form of a~pronoun and the suffix, as in (\ref{ex:5-10}), is used in approximately the same sense.",ex:5-10,\gll \textbf{mam} \textbf{eé} ɡíi hín-i aḍaphaár tií | \gls 1SG.NOM.RED AMPL go.PFV.FSG be.PRS-F halfways until | \glt `I myself went halfways.',,,,,,,,,,,,,,,,,,
Pronouns,Personal pronouns,,,,"The particle eé can also be used with a demonstrative, as in (\ref{ex:5-11}).",ex:5-11,"\gll dúu ta \textbf{míi} \textbf{ni} \textbf{eé} ac̣híi-a dúu ba tóoruṇ-a wée | \gls two CNTR 1SG.GEN PROX AMPL eye-PL two TOP forehead-OBL in | \glt `Two were those very eyes of mine, and two were up on my forehead.'",,,,,,,,,,,,,,,,,,
Pronouns,Demonstratives,Demonstratives and third person,,,"In example (\ref{ex:5-12}), the masculine noun xooṛá `betrothal' first occurs in the nominative and is preceded by the adnominal demonstrative in its masculine singular nominative form, then it occurs in the genitive and is then preceded by the adnominal demonstrative in its other (non""=nominative, plural or feminine) form.",ex:5-12,Not found,,,,,,,,,,,,,,,,,,
Pronouns,Demonstratives,Demonstratives and third person,,,"The masculine--feminine gender distinction is found only in the singular nominative, compare (\ref{ex:5-13}) and (\ref{ex:5-14}), whereas masculine and feminine are syncretised in the plural, as is evident when comparing (\ref{ex:5-15}) with (\ref{ex:5-15b}).",ex:5-13,"\gll \textbf{so} aní kaafir""=aan-óom sanɡí madád th-áan-u | \gls 3MSG.NOM PROX unbeliever-PL""=OBL.PL with help do-PRS""=MSG | \glt `He is helping these unbelievers.'",ex:5-14,Not found,ex:5-15,"\gll \textbf{se} bhraawú bh-áan-a | \gls 3PL.NOM brother.PL become-PRS""=MPL | \glt `They become brothers.'",ex:5-15b,"\gll kareé=ɡale \textbf{se} múṛ-im ta, asím tenaám ḍhanɡéel-im | \gls when=ever 3PL.NOM die.PFV-FPL SUB 1PL.ERG 3PL.ACC bury.PFV-FPL | \glt `When they [the woman and her daughter] died, we buried them.'",,,,,,,,,,,,
Pronouns,Demonstratives,Demonstratives and third person,,,"The weak--strong opposition is related to accessibility. The strong forms tend to be picked for deictic or anaphoric use in order to keep track of less accessible discourse referents, or to contrast another referent or switch from one referent to another. They are also the ones used in relative""=correlative clauses and in most cases as adnominal demonstratives. In the example sentence (\ref{ex:5-16}), the speaker has for some time been talking about making doors when building a~house, but is here switching to talking about windows instead. The weak forms, on the other hand, are used almost exclusively non""=contrastively and to pick out the most natural or accessible referent in a~discourse. In example (\ref{ex:5-17}) the antecedent of the pronoun (the cupboard) is very close and there is no ambiguity in what is referred to.",ex:5-16,Not found,ex:5-17,\gll aalmaaríi bi muxtalíf dizeen-í yh-éend-i | \gls cupboard.GEN also different design-PL come-PRS-F | \glt `A cupboard can also have different designs.',,,,,,,,,,,,,,,,
