Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"interrogatively. It may, beside its primary static reading, as in (\ref{ex:7-1}), also imply goal, as in",ex:7-1,"\gll áaḍ-a \textbf{índa} bhíl-a áaḍ-a ba naaṛéy-a the ɡíia | \gls half-MPL here become.PFV""=MPL half-MPL TOP Narey-OBL to go.PFV.PL | \glt `Some remained here, while others went to Narey.'",,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,(\ref{ex:7-2}).,ex:7-2,"\gll \textbf{táa} yhaí ba ɡóo hín-u bhraapútr thaníit-u | \gls there come.CV TOP where be.PRS""=MSG nephew say.PFV""=MSG | \glt `When he came there, he said, ``Where is he, nephew?'''",,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"expressing a~movement away from a~location, as in example (\ref{ex:7-3}), or an~origin in a~certain",ex:7-3,"\gll \textbf{eetáai} wheel-í ɡhróom-a phedóol-u | \gls from.there take.down-CV village-OBL bring.PFV""=MSG | \glt `Getting it [the corpse] down from there, we brought it to the village.'",,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"in (\ref{ex:7-4}), the members of the oblique series have to be used instead of those of the",ex:7-4,"\gll ṣiṣ ba \textbf{aníi=wee} bi buṭ-í \textbf{aníi=wee} bi buṭ-í | \gls head TOP 3SG.PROX.OBL=in also plait-CV 3SG.PROX.OBL=in also plait-CV | \glt `As for his hair, it was braided into many braids.'",,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"\spitzmarke{huṇḍ `up'.} This essentially nominal adverb is used for a~location situated in a~more or less vertical upward direction (not necessarily visible) from the point of reference. Used alone it can refer to a~location `up (there)', as in (\ref{ex:7-5}), as well as a~movement to such a~location.",ex:7-5,\gll \textbf{huṇḍ} ta c̣hiítr=ee \textbf{bhun} ba ɡhaawaáz de | \gls above CNTR field=CNJ below TOP stream.bed be.PST | \glt `The field was up above and the sand and stream were down below.',,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"From huṇḍ, a~number of other semantically related adverbs or adverbial phrases can be derived: huṇḍ the/húṇṭe `up (to)', as in (\ref{ex:7-6}); huṇḍíi/huṇḍíi thíi `from above'; huṇḍɡiraá (A), example (\ref{ex:7-7}); or huṇṭeɡiráak/huṇṭráak (B) `upward, uphill', huṇḍaṛáa ({\textless} huṇḍ + eeṛáa) `up there'.",ex:7-6,"\gll sum \textbf{huṇḍ} \textbf{the} ṣuɡal-í ba čo ba thaníit-u | \gls soil up to throw-CV TOP go go.IMP.SG say.PFV""=MSG | \glt `He threw soil up [in the air] and said, ``Go on!'''",ex:7-7,"\gll \textbf{huṇḍɡiraá} dac̣h-íin ta iṇc̣ muṭ-íi phúṭi ǰhulí bheš-í áaṇc̣-a kha-áan-u | \gls upward look-3PL SUB bear tree-GEN top on sit-CV raspberry-PL eat-PRS""=MSG | \glt `They were looking up and saw the bear sitting in the top of the tree eating raspberries.'",,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"\spitzmarke{bhun `down'.} This essentially nominal adverb is used for a~location situated downward or below the point of reference. Used alone it can refer to a~location, `down (there)' as in (\ref{ex:7-5}), as well as a~movement to such a~location, as in (\ref{ex:7-8}). The following adverbs or adverbial phrases are examples of derivations from bhun: bhún the/bhuná `down (to)', bhuníi thíi `from below', bhunɡiraá (A) or bhunteɡiráak/bhuntráak (B) `downward', bhunimaá `(on the way) downhill', exemplified in (\ref{ex:7-9}), bhunaṛáa (and other deictic forms based on it) `down there'.",ex:7-5,\gll \textbf{huṇḍ} ta c̣hiítr=ee \textbf{bhun} ba ɡhaawaáz de | \gls above CNTR field=CNJ below TOP stream.bed be.PST | \glt `The field was up above and the sand and stream were down below.',ex:7-8,"\gll so méeš hatí maǰí-e uṭik-í \textbf{bhun} whaí ba uḍheew-í wháat-u | \gls DEM.MSG.NOM man 3SG.REM.OBL in-GEN jump-CV down come.down.CV TOP flee-CV come.down.PFV""=MSG | \glt `Meanwhile, the man jumped down [from the tree] and fled down [to the village].'",ex:7-9,"\gll tuúš \textbf{bhunimaá} wh-íi ta karáaṛu ukh-áand-u | \gls some downhill come.down-3SG SUB leopard come.up-PRS""=MSG | \glt `Getting some ways downhill, [he meets] the leopard coming up.'",,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"\spitzmarke{aǰá (B aǰé) `up (there)'.} This essentially deictic adverb is used for a~location situated upstream or in a~slightly upward location from the point of reference (compare with huṇḍ which implies a~place more or less straight above the point of reference). Used alone it can refer to a~location, `up/over (there), upstream', as well as a~movement to such a~location, as in (\ref{ex:7-10}). Although not quite as productive as huṇḍ and bhun, this adverb is similarly used as a~building block for other adverbs and adverbial expressions, such as aǰimaá `upward', aǰaṛáa `up/over there', aǰí/aǰí thíi (B) `from upstreams/up""=country'.",ex:7-10,\gll yáab ɡhaš-í \textbf{aǰá} ɡúum ta | \gls canal take-CV up go.PFV.MSG SUB | \glt `I went up along the [irrigation] canal.',,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"\spitzmarke{túuri `down (there)'.} This adverb, otherwise mostly used as a~postposition (see \sectref{subsec:7-2-2}), is only occasionally used without a~noun or pronoun as an~argument. It seems to be contrasting with the aforementioned adverb in describing a~location or movement downstream from the point of reference, such as in (\ref{ex:7-11}). It may also be followed by the postposition wée (see \sectref{subsec:7-2-2}).",ex:7-11,\gll dúe xálaka ba \textbf{túuri} dhrúuk-a ǰe ɡéa | \gls other people TOP down gorge-OBL down.to go.PFV.PL | \glt `The other people went down into the valley.',,,,,,,,,,,,,,,,,,
Adverbs and postpositions,Adverbs,Spatial adverbs,,,"\spitzmarke{rhalá `up (above, on top)'.} This adverbial expression, related to the adjective raál (primarily occurring as as a~host element in conjunct verbs with meanings such as `raise, lift up'), is used for describing the position on top of a~structure or object, as in example (\ref{ex:7-12}). In some sentences its function may rather be analysed as that of a~manner adverb or a~postposition.",ex:7-12,"\gll dúi hiimaál whaí ṭópa traác̣ de asaám \textbf{rhalá} ɡaḍíl-a | \gls other glacier come.down.CV down HOST give.CV 1PL.ACC up take.out.PFV""=MPL | \glt `Another avalanche struck came and brought us out [from under the snow].'",,,,,,,,,,,,,,,,,,
