Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verbs,The verb and its properties,,,,"Distributionally, the verb normally occurs clause""=finally, functioning as the main predicate of the clause. The verb in (\ref{ex:8-1}) is preceded by a~single argument, a~subject, whereas the verb in (\ref{ex:8-2}) is preceded by an~oblique (postpositional) object, a~subject and a~direct object (see \chapref{chap:11}).",ex:8-1,"\gll hazratǰaán \textbf{uthíit-u} | \gls Hazrat.Jan stand.up.PFV""=MSG | \glt `Hazrat Jan stood up.'",ex:8-2,"\gll se ɣar-í the asím tas \textbf{phedóol-u} | \gls DEF peak-OBL to 1PL.ERG 3SG.ACC bring.PFV""=MSG | \glt `We brought him to the peak.'",,,,,,,,,,,,,,,,
Verbs,"Valency""=changing morphology",Valency addition,,,"For the perfective stems, which were analysed as including, e.g., an l-element, valency addition takes place before that element (thus within the stem itself), compare with the stems in examples (\ref{ex:8-5}) and (\ref{ex:8-6}).",ex:8-5,\gll xu bhíilam ma \textbf{nuuṭíl-i} hín-i | \gls but of.fear 1SG.NOM return.PFV-F be.PRS-F | \glt `But because of fear I turned back.',ex:8-6,Not found,,,,,,,,,,,,,,,,
Verbs,"Valency""=changing morphology",Valency addition,,,"First, the formation can be applied to intransitive verbs. Although this, strictly speaking, is not part of our focus here, we can see that the same construction is used regardless of the degree of voluntary control that the causee exercises: compare (\ref{ex:8-7}) with (\ref{ex:8-8}), (\ref{ex:8-9}) with (\ref{ex:8-10}), and (\ref{ex:8-11}) with (\ref{ex:8-12}).",ex:8-7,"\gll hanú \textbf{su-áan-u} | \gls 3MSG.PROX.NOM sleep-PRS""=MSG | \glt `He's sleeping.'",ex:8-8,"\gll ma teeṇíi putr \textbf{su(w)a-(y)áan-u} | \gls 1SG.NOM REFL son make.sleep-PRS""=MSG | \glt `I make my son sleep [I put my son to bed].'",ex:8-9,"\gll ma \textbf{hansíl-u} | \gls 1SG.NOM laugh.PFV""=MSG | \glt `I laughed.'",ex:8-10,\gll míi tas \textbf{hanséel-i} | \gls 1SG.GEN 3SG.ACC make.laugh.PFV-F | \glt `I made her laugh.',ex:8-11,"\gll se éeḍ-im bhíilam \textbf{khonḍíl-im} | \gls DEF half-FPL fearfully speak.PFV""=FPL | \glt `The rest [the other half] of them [the women] spoke fearfully.'",ex:8-12,"\gll eeṛé kúṛi teeṇíi dhi-á \textbf{khoṇḍéel""=im} | \gls REM woman REFL daughter-PL make.speak.PFV""=FPL | \glt `That woman made her daughters speak.'",,,,,,,,
Verbs,"Valency""=changing morphology",Valency addition,,,"The same process of valency addition can also be applied to transitive verbs. Here we start out with a~verbal event involving two participants (as in (\ref{ex:8-13})), a~subject and a~direct object. Through the process of causation we end up with a~verbal event involving three participants (as in (\ref{ex:8-14})): a) a~causer, b) a~manipulee (the person actually carrying out the verb act on behalf of the ultimate causer), and c) a~direct object. The manipulee is marked as such with a~special marker, a~grammaticalised converb of ṣaawá- `dress, turn on'.",ex:8-13,"\gll ǰaanɡul-á ma \textbf{bhanǰóol-u} | \gls Jangul-OBL 1SG.NOM beat.PFV""=MSG | \glt `Jangul beat me.'",ex:8-14,"\gll tíi asáam ṣaawaá kučúru \textbf{bhanǰa-wóol-u} | \gls 3SG.OBL 1PL.ACC MANIP dog beat-CAUS.PFV""=MSG | \glt `She/He made us beat the dog.'",,,,,,,,,,,,,,,,
Verbs,"Valency""=changing morphology",Valency addition,,,"By the same process some transitive verbs can also be made into the equivalent of ditransitive verbs, like pilá- `feed, give to drink (especially used with children and domestic animals as indirect objects)' in example (\ref{ex:8-15}), from pil- `drink'.",ex:8-15,"\gll aníi wée wíi hín-u činaaróom aniniaám wíi keéna \textbf{pil-a-áan-u} thaní | \gls 3SG.PROX.OBL in water be.PRS""=MSG Chinarom 3PL.PROX.ACC water why.not drink-CAUS""=PRS""=MSG QUOT | \glt ` ``Here is water, why not have them [the goats] drink in Chinarom'', he said.'",,,,,,,,,,,,,,,,,,
Verbs,"Valency""=changing morphology",Valency addition,,,"It is also possible to form so""=called second causatives, with a~doubled causative suffix -awá (-á + -á with an~epenthetic -w- in between), as in (\ref{ex:8-16}). Primarily its function is to derive causatives from derived transitives. Here the person uttering the sentence caused or manipulated his son to make the guests drink tea, thus the initiator of the action is one step further removed from the action as compared to (\ref{ex:8-15}), making the verb in (\ref{ex:8-16}) a~four""=argument verb.",ex:8-16,Not found,ex:8-15,"\gll aníi wée wíi hín-u činaaróom aniniaám wíi keéna \textbf{pil-a-áan-u} thaní | \gls 3SG.PROX.OBL in water be.PRS""=MSG Chinarom 3PL.PROX.ACC water why.not drink-CAUS""=PRS""=MSG QUOT | \glt ` ``Here is water, why not have them [the goats] drink in Chinarom'', he said.'",ex:8-16,Not found,,,,,,,,,,,,,,
Verbs,"Valency""=changing morphology",Valency reduction,,,"The valency""=decreasing suffix added to a~transitive stem (bilá-) thus derives an~intransitive (or passive) verb (bilíǰ-). Again, like with valency addition, any inflectional morphology occurs after the derivational suffix: paš-áan-a `are seeing' {\textgreater} pašiǰ-áan-a `are seen', etc. (Compare the transitive (perfective) verb stem ḍhanɡóol- `bury' in (\ref{ex:8-17}) with its corresponding valency""=descreased stem ḍhanɡiǰíl- `be buried' in (\ref{ex:8-18})).",ex:8-17,"\gll qadím ṭópa dít-ii pahúrta tas \textbf{ḍhanɡóol-u} | \gls Qadim down give.PPTC""=GEN after 3SG.ACC bury.PFV""=MSG | \glt `After he had knocked down Qadim, he buried him.'",ex:8-18,\gll aaṣṭ=bhiš-á kaal-á pahúrta míi háat-a ba se \textbf{ḍhanɡiǰíl-i} | \gls eight=twenty-PL year-PL after 1SG.GEN hand-OBL TOP 3FSG.NOM be.buried.PFV-F | \glt `160 years later she was buried by my hand.',,,,,,,,,,,,,,,,
Verbs,Complex predicates,Conjunct verbs,,,"The verb in such a~construction comes from a~small set of verb stems that I will refer to as verbalisers. This verbaliser does not contribute to the construction with much more than the general ``verbness'' (including the ablility to be inflected), whereas it is the host that tends to contribute the main semantic content to the complex. The verb is here merely a ``dummy'' without any semantic weight of its own. Some conjunct verbs formed through such host""=verbaliser combinations are exemplified in \tabref{tab:8-31}. Usually the host element occurs immediately preceding the verbaliser, as can be seen in examples (\ref{ex:8-19})--(\ref{ex:8-20}).",ex:8-19,"\gll tíi ... tanaám bíiḍ-a \textbf{tanɡ} \textbf{thíil-a} \textbf{hín-a} | \gls 3SG.OB ... 3PL.ACC much-PL narrow do.PFV""=MPL be.PRS""=MPL | \glt `He has troubled them a~lot.'",ex:8-20,\gll se phaí se mac̣hook-á the \textbf{ašáq} \textbf{bhíl-i} | \gls DEF girl DEF Machoke-OBL to love become.PFV-F | \glt `The girl fell in love with this Machoke.',,,,,,,,,,,,,,,,
Verbs,Complex predicates,Conjunct verbs,,,"So, what is the function? First, it is a~derivational process, deriving verbs from other parts of speech, primarily~-- but not exclusively~-- from nouns. A wide range of phenomena that are lexicalised as nouns, adjectives or something else can thus easily be depicted as events in Palula, as illustrated in examples (\ref{ex:8-21}) and (\ref{ex:8-22}).",ex:8-21,\gll be teeṇíi maǰí \textbf{ǰarɡá} \textbf{th-íia} | \gls 1PL.NOM REFL inside council do-1PL | \glt `We will discuss it among ourselves.',ex:8-22,"\gll kuṛíina ta támbul""=am""=ii ǰ-íin \textbf{rhoo-á} \textbf{d-íin} | \gls woman.PL CNTR drum-PL.OBL""=GEN beat-3PL song-PL give-3PL | \glt `The women were beating the drums and singing.'",,,,,,,,,,,,,,,,
Verbs,Complex predicates,Conjunct verbs,,,"That is further achieved in an~economical way, limited strictly to only a~few inflectional paradigms. An extended advantage of this ``verbal flexibility'' is the relative ease with which entirely new verbs can be made or brought into the language, sometimes as totally novel constructions, sometimes as calques of conjunct verb constructions in languages of wider communication. This does not necessarily mean that a~new verb will be made just to fill a~gap or to replace one that is already there; instead these constructions could elaborate on or refine the meaning of other verbs. We also find, perhaps not surprisingly, a~substantial number of loan words (primarily from Urdu or Pashto) in the host slot of conjunct verbs, such as daawát and muqaabilá in (\ref{ex:8-23}).",ex:8-23,"\gll deeúl-ii xálak""=am \textbf{daawát} \textbf{dít-i} atsharíit""=am the ki \textbf{muqaabilá} \textbf{th-íia} | \gls Dir-GEN people-PL.OBL invitation give.PFV-F Ashreti-PL.OBL to that contest do-1PL | \glt `The people from Dir invited the the Ashreti people to have a competition with them.'",,,,,,,,,,,,,,,,,,
