Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verbal categories,"Tense""=aspect categories and their functions",Future,,,"This category is almost exclusively used in reference to future, i.e., not yet realised, situations, as in (\ref{ex:9-1}) and (\ref{ex:9-2}), whether close or distant in time, and covers intention as well as prediction \citep[105--108]{dahl1985}:",ex:9-1,"\gll ma nis aáǰ \textbf{kh-úum} ta rhootašíia ba kanaá \textbf{bh-úum} | \gls 1SG.NOM 3SG.PROX.ACC today eat-1SG SUB tomorrow TOP how become-1SG | \glt `If I eat it today, what will I then do tomorrow?'",ex:9-2,"\gll thée míi báabu \textbf{máar-a} yaába tu \textbf{mhaar-íiṛ} yaába ṛo eé \textbf{máar-a} | \gls then 1SG.GEN father die-3SG either 2SG.NOM kill-2SG or 3SG.DIST.NOM AMPL die-3SG | \glt `Then my father will die, either you will kill him or he himself will die.'",,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Future,,,"While Present (\sectref{subsec:9-1-3}) is used for actions started but not yet seen as completed at the time of the utterance, the Future is used with reference to all future situations that have not yet commenced, such as the ones in (\ref{ex:9-3}), regardless of the degree of probability or volitionality. There is no other major construction in the language competing with this verb form.",ex:9-3,"\gll ma aní šaak-á \textbf{háar-um} ɡhooṣṭ-á har-í kúṛi anɡóor ǰheel-í tanaám the ɡúuli \textbf{th-íi} | \gls 1SG.NOM PROX wood-PL take-1SG house-OBL take-CV wife fire light-CV 3PL.ACC to bread do-3SG | \glt `I will bring this wood to the house, and my wife is going to make a~fire and bake bread for",,,,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Future,,,"Future is also often part of a~Conditional expression as the apodosis verb (`may eat' in (\ref{ex:9-4})) and is sometimes used to express hopes and congratulations (as in (\ref{ex:9-5})), i.e., optative modality \citep[179]{bybeeetal1994}.",ex:9-4,"\gll kasée=ɡale máaṭu dhraǰaá ba šúul-a the phedíl-u heentá hasó \textbf{khúu} | \gls whose=ever neck stretch.CV TOP grass.heap-OBL to reach.PFV""=MSG CONDL 3MSG.REM.NOM eat.3SG | \glt `The one whose neck can reach to the heap of grass may eat.'",ex:9-5,"\gll ṛe xu bíiḍ-i šúi baát, mubaarák \textbf{bhíi} | \gls 3FSG.DIST.NOM however much-F good.F talk blessing become.3SG | \glt `That was very good [to hear], congratulations!'",,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Present,,,"Present typically refers to progressive situations, as illustrated in examples (\ref{ex:9-6})--(\ref{ex:9-7}),whether durative or punctual, with present time reference.",ex:9-6,"\gll míi dáand-a \textbf{šila-yáan-a} | \gls 1SG.GEN tooth-PL ache-PRS""=MPL | \glt `I've got a~toothache.'",ex:9-7,"\gll tu ɡubáa \textbf{th-áan-u} | \gls 2SG.NOM what do-PRS""=MSG | \glt `What are you doing?'",,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Present,,,"However, it also covers habitual situations, such as those in examples (\ref{ex:9-8}) and (\ref{ex:9-9}), which can be considered repetitions on a~regular basis, at or after the time of the utterance.",ex:9-8,"\gll ma roošnaám raɣáṣṭi [uth-áan-u] uth-í ba ɣusulxaaná the \textbf{bayáan-u} | \gls 1SG.NOM morning early get.up-PRS""=MSG get.up-CV TOP bathroom to go.PRS""=MSG | \glt `I get up early in the morning. After I get up, I go to the bathroom.'",ex:9-9,"\gll heewand-á dúu diṣṭ-í kir \textbf{d-áan-u} | \gls winter-OBL two hand.span-PL snow give-PRS""=MSG | \glt `In the winter we [usually] get two hand""=spans of snow.'",,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Present,,,"The Present is also used for general statements, as in (\ref{ex:9-10}), or sayings, as in (\ref{ex:9-11}).",ex:9-10,\gll tarkaaṇ-íi dapáara bíiḍ-i saamaán \textbf{laɡaiǰ-éen-i} | \gls carpenter-GEN sake much-F thing be.applied-PRS-F | \glt `A carpenter needs a~lot of tools.',ex:9-11,"\gll har kaantíiru teeṇíi kráam šóo \textbf{ǰhaan-áan-u} | \gls every fool REFL work good.MSG know-PRS""=MSG | \glt `Every fool knows his own work best.'",,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Present,,,"Quite infrequently, Present is used in historical narratives, especially if describing a~situation from the perspective of a~role character. In (\ref{ex:9-12}), the narrator switches from the regular narration tense (i.e., the Simple Past) to the Present.",ex:9-12,"\gll eetáa wháat-u ta tsak=tsák thaní áak šay wíi \textbf{tsak-áan-u} | \gls there come.down.PFV""=MSG SUB RED=IDPH QUOT IDEF thing water lick-PRS""=MSG | \glt `Coming down there he sees a~thing making sounds licking the water.'",,,,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Present,,,"Present is used rather than the Future for imminent future reference, for instance, when someone is just about to do something, as when the speaker in (\ref{ex:9-13}) is just beginning to tell a~story.",ex:9-13,"\gll típa ba ma tasíi paalaweeṇ-íi qiseé \textbf{th-áan-u} | \gls now TOP 1SG.NOM 3SG.GEN strong.man-GEN story.PL do-PRS""=MSG | \glt `Now I'm going to tell you the story about this strong man.'",,,,,,,,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Simple Past,,,"The Simple Past is used to refer to completed events in the past, whether remote or close in time. Examples (\ref{ex:9-14})--(\ref{ex:9-18}) illustrate the use of the Simple Past, from the very remote event in (\ref{ex:9-14}), then gradually decreasing in remoteness in the following examples to the very close at hand reference in (\ref{ex:9-18}).",ex:9-14,"\gll raaǰaá [múṛ-u] ta putr-óom tasíi hukumát \textbf{bulooṣṭéel-i} | \gls king die.PFV""=MSG SUB son-OBL.PL 3SG.GEN government snatch.PFV-F | \glt `When the king died the sons fought for the power [several hundred years ago].'",ex:9-18,"\gll ma tu sanɡí khoṇḍ-í bíiḍ-u xušaán \textbf{bhíl-u} | \gls 1SG.NOM 2SG.NOM with speak-CV much-MSG happy become.PFV""=MSG | \glt `It was really nice to speak to you [the conversation that made the speaker happy is still going on at the time of the utterance.].'",ex:9-14,"\gll raaǰaá [múṛ-u] ta putr-óom tasíi hukumát \textbf{bulooṣṭéel-i} | \gls king die.PFV""=MSG SUB son-OBL.PL 3SG.GEN government snatch.PFV-F | \glt `When the king died the sons fought for the power [several hundred years ago].'",ex:9-18,"\gll ma tu sanɡí khoṇḍ-í bíiḍ-u xušaán \textbf{bhíl-u} | \gls 1SG.NOM 2SG.NOM with speak-CV much-MSG happy become.PFV""=MSG | \glt `It was really nice to speak to you [the conversation that made the speaker happy is still going on at the time of the utterance.].'",,,,,,,,,,,,
Verbal categories,"Tense""=aspect categories and their functions",Simple Past,,,"It is also the category used for the main story line in narratives (whether historical or fictional), referring to sequences of events in the past, such as in (\ref{ex:9-19}).",ex:9-19,"\gll deeúlii xálak-am daawát \textbf{dít-i} atsharíit-am the ki muqaabilá th-íia \textbf{thaníit-u} ta atshareet-íi paalawaaṇ-aán \textbf{ɡíia} paalawaaṇ-aán be deeúli \textbf{phedíl-a} | \gls Dir.GEN people-OBL.PL invitation give.PFV-F Ashreti-OBL.PL to COMP competition do-1PL say.PFV""=MSG SUB Ashret-GEN strong.man-PL go.PFV.PL strong.man-PL go.CV Dir arrive.PFV""=MPL | \glt `The people from Dir invited the Ashreti people to have a~competition with them. When the Ashreti strongmen heard this, they left, and arrived at Dir.'",,,,,,,,,,,,,,,,,,
