Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
"Noun phrases and non""=verbal agreement",Noun phrase properties,Types of noun phrases,,,"A pronoun, as taním and ɡa in (\ref{ex:10-1}).",ex:10-1,"\gll \textbf{taním} \textbf{ɡa} na láad-u | \gls 3PL.ERG anything NEG find.PFV""=MSG | \glt `They didn't find anything.'",,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Types of noun phrases,,,"A nominalised clause, as the one headed by the Verbal Noun thainií in (\ref{ex:10-2}).",ex:10-2,"\gll \textbf{putríi} \textbf{ǰhaní} \textbf{thainií} zarurí bháanu | \gls son-GEN marriage do.VN necessity become.PRS""=MSG | \glt `It is necessary to get one's son married [lit: Making a~son's marriage becomes a~necessity].'",,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Types of noun phrases,,,"Or a~noun head, with or without preceding modifiers, as can be seen in (\ref{ex:10-3}).",ex:10-3,"\gll \textbf{ṣiṣ-íi} \textbf{so} \textbf{tuúš} \textbf{tukṛá} \textbf{mhaás} aṭ-í \textbf{qábur} the aṭ-í tíi wée ḍhanɡóol-u | \gls head-GEN DEF.MSG.NOM some piece flesh bring-CV grave to bring-CV 3SG.OBL in bury.PFV""=MSG | \glt `[He] brought some piece of the flesh to the grave and buried it there.'",,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,"\textbf{Adjectives or adjective phrases} are descriptive in nature, often capturing inherent properties or qualities of the entity referred to by the head noun. They may consist of a~single adjective, as ɡáaḍu in (\ref{ex:10-4}).",ex:10-4,\gll so ba \textbf{ɡáaḍ-u} \textbf{maidóon} | \gls 3MSG.NOM TOP big-MSG field | \glt `It was a~big field.',,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,"An adjective phrase can also be complex. It can consist of two or more adjectives, symmetrically related to each other, such as dhríɡi and bhakúli in (\ref{ex:10-5}), both pointing to certain characteristics of the noun they modify.",ex:10-5,"\gll se insaan-á \textbf{áa} \textbf{dhríɡ-i} \textbf{bhakúl-i} \textbf{lhaléemi} ɡhin-í | \gls DEF human-OBL IDEF long-F thick-F stick take-CV | \glt `The man took a~long, thick stick{...}'",,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,"The adjective head can also itself be modified, usually by a~scalar quantifier, such as bíiḍu modifying mhoóru and šišáwu in (\ref{ex:10-6}), assuming that the noun can have more or less of the quality implied by the modifying adjective phrase.",ex:10-6,"\gll \textbf{bíiḍ-u} \textbf{mhoór-u} \textbf{bíiḍ-u} \textbf{šišáw-u} \textbf{šay} bh-áan-u | \gls very-MSG sweet-MSG very-MSG good-MSG thing become-PRS""=MSG | \glt `It is a very sweet and a very good thing.'",,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,"A repeated adjective, on the other hand, such as muxtalíf in (\ref{ex:10-7}), usually signifies a~distributive meaning.\footnote{Although the adjective phrase in the example is predicative, it still illustrates the point.}",ex:10-7,"\gll tasíi xaaneé \textbf{muxtalíf} \textbf{muxtalíf} yháand-a | \gls 3SG.GEN shelf.PL different different come.PRS""=MPL | \glt `There are different kinds of shelves.'",,,,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,(\ref{ex:10-8})--(\ref{ex:10-11}). They therefore,ex:10-8,"\gll tarkaáṇ \textbf{maṇḍaw-íi} \textbf{kráam} široó th-áan-u | \gls carpenter veranda-GEN work start do-PRS""=MSG | \glt `The carpenter starts making the veranda [lit: starts the work of the veranda].'",ex:10-11,\gll \textbf{díiš-e} \textbf{xálaka} ǰamá bhe | \gls village-GEN people collected become.CV | \glt `The village people used to gather{...}',,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,"\textbf{Quantifiers or quantifier phrases} are as a~modifier category rather heterogeneous and comprise a~few subclasses. One easily distinguishable subclass is cardinal numerals. Used alone, they simply specify quantity, as in (\ref{ex:10-12}). They can also, as seen in (\ref{ex:10-13}), be modified themselves by e.g., taqriibán (often pronounced qariibán) `about, approximately', a~Perso""=Arabic loan, and thereby become a~bit more relative.",ex:10-12,"\gll so ta bač bhil-u \textbf{trúu} \textbf{ǰáan-a} ba hiimeel-í híṛ-a | \gls 3MSG.NOM CNTR saved become.PFV""=MSG three person-PL TOP glacier-OBL take.away.PFV""=MPL | \glt `He was saved, but three persons were taken by the avalanche.'",ex:10-13,\gll \textbf{qaribán} \textbf{bhiíš} \textbf{kaal-á} maxadúši | \gls about twenty year-PL before | \glt `About twenty years ago...',,,,,,,,,,,,,,,,
"Noun phrases and non""=verbal agreement",Noun phrase properties,Modifiers in noun phrases,,,"While cardinal numerals can be used only to modify count nouns, scalar quantifiers, such as tuúš `some' (\ref{ex:10-14}) and úča `a few' (\ref{ex:10-15}) are used to quantify mass nouns as well as count nouns in plural. Some of these are also freely used in adverbial constructions, for instance to modify adjectives, adverbs or entire clauses. One particularly frequent multipurpose modifier is bíiḍu `much, many, very'.",ex:10-14,\gll \textbf{tuúš} \textbf{čhoót} míi se yaar-íi rumeel-í maǰí ɡhaṇḍ-í wíi-a keé-na ɡal-úum | \gls some cheese 1SG.GEN DEF friend-GEN handkerchief-OBL in tie-CV water-OBL why-NEG throw-1SG | \glt `Why don't I put some cheese in my friend's handkerchief and throw it into the water?',ex:10-15,\gll atshareet-á \textbf{úč-a} \textbf{xálak} de | \gls Ashret-OBL few-MPL people be.PST | \glt `There were few people in Ashret.',,,,,,,,,,,,,,,,
