Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with nominal predicates,,,"As seen in examples (\ref{ex:12-1})--(\ref{ex:12-3}), predicate noun phrases typically occur without an overt copula in the present tense. \citet[337]{masica1991} mentions this feature in Eastern NIA languages and in Sinhalese, where NP + NP as well as NP + AP clauses without a~copula are normative, but he also remarks that it is not found in the more central Urdu-Hindi. \citet[118--122]{baart1999a}, likewise, describes left""=out copulas as possible in some Gawri clauses expressing identity, which also seems to be permitted, or even typical, in Khowar (own observations). The copula may be left out in Palula regardless of the phrase being used for classification (ascriptively) or identification.",ex:12-1,Not found,ex:12-3,Not found,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with nominal predicates,,,"The unmarked word order in such clauses is \textsc{sbj - prd}, as in the examples, but a~reverse word order, for focus and various other discourse purposes, is also possible with this type of clause, as in (\ref{ex:12-4}) and (\ref{ex:12-5}). There are also clauses with discontinuous predicates, as in (\ref{ex:12-6}).",ex:12-4,Not found,ex:12-5,Not found,ex:12-6,Not found,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with nominal predicates,,,"The absence of an~overt copula is, as noted above, normally confined to the present tense, whereas clauses of the above type with past tense reference, as in (\ref{ex:12-7}) and (\ref{ex:12-8}), appear with a~Past tense copula de, reflecting a~widespread pattern for languages that allow so""=called copula dropping (\citealt[34]{pustet2003}; \citealt[120]{givon2001a}) as well as other South Asian or neighbouring languages where copula""=less sentences are allowed or normal (\citealt[339]{masica1991}; \citealt[121]{baart1999a}). However, it should be pointed out that an equally plausible analysis (although not adopted in this work) is to regard the form de, which bears no formal resemblance to present tense hin-, as a past tense marker without any actual copular meaning attached to it, regardless of its occurrence with nonverbal predicates (as described in this section) or its auxiliary use in periphrastic tense-aspect formations (see \sectref{subsec:9-1-5}).",ex:12-7,Not found,ex:12-8,Not found,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with nominal predicates,,,"However, the presence of a~copula in the past tense is not an~absolute, as past""=tense copula""=less sentences do occur, especially in list""=like discourses such as in (\ref{ex:12-9}).",ex:12-9,Not found,,,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with nominal predicates,,,"Copular clauses involving a~change of state can be formed with bhe- `become' (not to be confused with the superficially similar bhe-conjuncts, see \sectref{subsec:12-2-8}), as in (\ref{ex:12-10}).",ex:12-10,Not found,,,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with nominal predicates,,,"A special type of subjectless copular clause is illustrated in (\ref{ex:12-11})--(\ref{ex:12-12}), thus referring to a~temporal setting introduced earlier. Often such expressions occur at the beginning of a~story. The standard Past copula de is used.",ex:12-11,Not found,ex:12-12,Not found,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with adjectival predicates,,,"While clauses with a~predicate adjective phrase do occur without an~overt copula, they seem to do so with less regularity than those with a~predicate noun phrase. While it is left out in some fixed expressions, such as in greetings, a~present""=tense form hin- (agreeing in gender and number with the NP) of the standard copula is normally present in running discourse, as seen in examples (\ref{ex:12-13}) and (\ref{ex:12-14}).",ex:12-13,Not found,ex:12-14,Not found,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with adjectival predicates,,,"Examples (\ref{ex:12-15}) and (\ref{ex:12-16}) show that with past""=tense reference, de is used, just as with the nominal predicates.",ex:12-15,Not found,ex:12-16,Not found,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with adjectival predicates,,,"When simple""=present (hin-) or past (de) time reference is not sufficient, the relevant forms of the existential (see \sectref{subsec:12-1-4}) verb háans- `stay, remain, find oneself, be present' is used in place of the standard copula. In (\ref{ex:12-17}), the longer duration of the happiness needs to be expressed with the Past Imperfective of háans-.",ex:12-17,Not found,,,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with adjectival predicates,,,"As with noun phrase predicates, adjective phrase predicates, as in example (\ref{ex:12-18}), also occur with bhe- `become' as a~copula.",ex:12-18,Not found,,,,,,,,,,,,,,,,,,
Simple clauses and argument structure,Nonverbal predicates,Copular clauses with adjectival predicates,,,"Some predicative adverbial phrases can function just like predicative adjective phrases. However, in such clauses the adverbial phrase, `alone' in (\ref{ex:12-19}), in actual fact denotes a~property of the subject.",ex:12-19,Not found,,,,,,,,,,,,,,,,,,
