Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Sentence modification,Interrogative sentences,Polar interrogatives,,,"Polar interrogatives, or `yes/no' questions, are formed by adding a~sentence final particle ee (B aa) to a~declarative sentence without any subsequent change in the word order. This sentence""=final particle is accompanied by a~slight rising intonation. Examples are shown in (\ref{ex:14-1})--(\ref{ex:14-3}).",ex:14-1,\gll baastaár ɡal-úum=\textbf{ee} | \gls bedding throw-1SG=Q | \glt `Should I spread out the bedding?',ex:14-3,"\gll tu c̣hetrúul-a the ba-yáan-u=\textbf{aa} | \gls 2SG.NOM Chitral-OBL to go-PRS""=MSG=Q | \glt `Are you going to Chitral?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Polar interrogatives,,,"The clitical nature of the particle is evident in that it attaches to the sentence""=final word, regardless of its part of speech, and in a~phonological sense becomes part of that word; for instance a~final vowel /a/ coalesces entirely with the particle. As an~SOV language, the sentence normally ends in a~verb, and therefore the particles attach to the verb, but that is not the case in most nominal sentences lacking an~overt copula, as can be seen in (\ref{ex:14-4})--(\ref{ex:14-6}).",ex:14-4,"\gll ux-á díi khooǰóol-u ki tu insaán=\textbf{ee} | \gls camel-OBL from ask.PFV""=MSG COMP 2SG.NOM human.being=Q | \glt `He asked the camel, ``Are you a~man?'''",ex:14-6,"\gll oó méeš séer-i=\textbf{ee} | \gls o aunt.VOC whole-F=Q | \glt `Are you fine, auntie?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Polar interrogatives,,,"Apart from ordinary polar questions, there are at least two different ways of forming tag questions, one (\ref{ex:14-7}) with a~sentence""=final ɡa `what' (see \sectref{subsec:14-2-2}), and another (\ref{ex:14-8}) with nheé (possibly derived from the negation na and the question particle -ee).",ex:14-7,"\gll so ɡúum \textbf{ɡa} | \gls 3SG.NOM go.PFV.MSG what | \glt `He left, didn't he?'",ex:14-8,"\gll míi tu the maníit-u \textbf{nheé} | \gls 1SG.GEN 2SG.NOM to say.PFV""=MSG TAG | \glt `I told you, didn't I?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Polar interrogatives,,,"Alternative questions are expressed with ki na `or not', as in (\ref{ex:14-9}), optionally with a~repetition of the verb, as in (\ref{ex:14-10}). This, too, can be used as a~tag question, as in (\ref{ex:14-11}).",ex:14-9,"\gll tu the phedíl-u \textbf{ki} \textbf{na} | \gls 2SG.NOM to arrive.PFV""=MSG or NEG | \glt `Did you receive it or not?'",ex:14-10,"\gll hasó tohfá phedíl-u \textbf{ki} \textbf{na} \textbf{phedíl-u} | \gls REM.NOM gift arrive.PFV""=MSG or NEG arrive.PFV""=MSG | \glt `Did this gift arrive or not?'",ex:14-11,"\gll búd-u \textbf{ki} \textbf{na} | \gls understand.PFV""=MSG or NEG | \glt `You understood, didn't you? [lit: Did you understand or not?]'",,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Constituent interrogatives,,,"\spitzmarke{Questioning core constituents of the clause.} Examples (\ref{ex:14-12})--(\ref{ex:14-14}) illustrate the questioning of the nominative subject (koó `who'), the oblique (i.e., ergative) subject (kií `who') and the accusative direct object (kaseé `whom'), respectively, when referring to human beings.",ex:14-12,\gll ma \textbf{koó} saat-íin | \gls 1SG.NOM who.NOM look.after-3PL | \glt `Who will look after me?',ex:14-14,"\gll thíi \textbf{kaseé} mheeríl-u | \gls 2SG.GEN who.ACC kill.PFV""=MSG | \glt `Who did you kill?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Constituent interrogatives,,,"When questioning non""=human (in particular inanimate) core constituents, ɡubáa `what' is used instead. As can be seen in (\ref{ex:14-15})--(\ref{ex:14-17}), the form stays the same regardless of its syntactic role (although questioned inanimates only seem to appear either as intransitive subjects in copular clauses or as direct objects in verbal clauses).",ex:14-15,"\gll amzarée thíi káaṇ-a wée \textbf{ɡubáa} maníit-u | \gls lion.OBL 2SG.GEN ear-OBL in what say.PFV""=MSG | \glt `What did the lion whisper in your ear?'",ex:14-17,"\gll thíi ṣiṣ-á ǰhulí ba \textbf{ɡubáa} hín-u | \gls 2SG.GEN head-OBL on TOP what be.PRS""=MSG | \glt `What have you got on your head?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Constituent interrogatives,,,"\spitzmarke{Questioning postpositional constituents of the clause.} For questioning postpositional human constituents, as in (\ref{ex:14-18})--(\ref{ex:14-20}), the accusative form kaseé (the same as the direct object form) is used.",ex:14-18,\gll tu aní kitaáb \textbf{kaseé} \textbf{the} dít-i | \gls 2SG.NOM PROX book who.ACC to give.PFV-F | \glt `Who did you give this book to?',ex:14-20,"\gll tu \textbf{kaseé} \textbf{sanɡí} yhóol-u | \gls 2SG.NOM who.ACC with come.PFV""=MSG | \glt `Who did you come together with?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Constituent interrogatives,,,"Postpositional or non""=core inanimate constituents can also be questioned, as in (\ref{ex:14-21})--(\ref{ex:14-22}), again using ɡubáa `what', supplied with any case inflection required by the postposition in question.",ex:14-21,"\gll anú bel \textbf{ɡubáa-ii} saás bhe hín-u | \gls PROX.NOM.MSG spade what-GEN whole become.CV be.PRS""=MSG | \glt `From what [material] was this spade made?'",ex:14-22,"\gll anú \textbf{ɡubáa-ii} pándee saás bhe hín-u | \gls PROX.MSG.NOM what-GEN for whole become.CV be.PRS""=MSG | \glt `For what [purpose] was this made?'",,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Constituent interrogatives,,,such as a~possessor: kasíi (B kasée) `whose' (\ref{ex:14-23});,ex:14-23,\gll aní \textbf{kasée} ziaarat-í thaní | \gls 3PL.PROX.NOM whose shrine-PL QUOT | \glt `Whose graves are these?',,,,,,,,,,,,,,,,,,
Sentence modification,Interrogative sentences,Constituent interrogatives,,,"a~cardinal numeral or quantifier: katí `how many, how much' (\ref{ex:14-24});",ex:14-24,"\gll thíi \textbf{katí} kuṇaak-á hín-a | \gls 2SG.GEN how.much child-PL be.PRS""=MPL | \glt `How many children do you have?'",,,,,,,,,,,,,,,,,,
