Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Introduction,,,,The lack of a clear opposition between coordination and dependency in terms of structural relations also applies to clause combining in Papuan Malay: clauses marked with a \isi{conjunction} are not distinct from unmarked clauses in terms of their morphosyntax and word order. This is shown in (\ref{Example_14.1}) to (\ref{Example_14.3}) with purpose-marking \textitbf{supaya} ‘so that’. Omitting the \isi{conjunction} from the two purpose clauses in (\ref{Example_14.1}) leaves two grammatically complete and correct clauses: \textitbf{saya harus kas makang dia} ‘I have to give him/her food’ and \textitbf{dia kenal saya lebi} ‘he/she can know me better’.,Example_14.1,"\gll saya harus kas makang dia, supaya dia kenal saya lebi dekat, supaya de bisa taw saya punya nama | \gls 1sg have.to give eat 3sg so.that 3sg know 1sg more near so.that 3sg be.able know 1sg poss name | \glt ‘I have to give him/her food",Example_14.3,Not found,Example_14.1,"\gll saya harus kas makang dia, supaya dia kenal saya lebi dekat, supaya de bisa taw saya punya nama | \gls 1sg have.to give eat 3sg so.that 3sg know 1sg more near so.that 3sg be.able know 1sg poss name | \glt ‘I have to give him/her food",,,,,,,,,,,,,,
,Introduction,,,,"When a \isi{conjunction} is missing an argument, the result is still a grammatically complete and correct clause. In the purpose clause in (\ref{Example_14.2}), for instance, the subject \textitbf{obat} ‘medicine’ is elided. This \isi{elision}, however, does not signify a grammaticalized gap that signals the dependent status of the purpose clause marked with \textitbf{supaya} ‘so that’. Instead, the \isi{elision} is due to the fact that speakers often omit arguments and other constituents if these can be inferred. In (\ref{Example_14.2}) the elided subject \textitbf{obat} ‘medicine’ is understood from the context.",Example_14.2,"\gll ibu itu de mo kasi obat, tapi ko harus priksa dara, supaya Ø harus cocok | \gls woman d.dist 3sg want give medicine but 2sg have.to check blood so.that ... have.to be.suitable | \glt ‘that lady, she wants to give (you) medicine, but you have to (get your) blood checked",Example_14.2,"\gll ibu itu de mo kasi obat, tapi ko harus priksa dara, supaya Ø harus cocok | \gls woman d.dist 3sg want give medicine but 2sg have.to check blood so.that ... have.to be.suitable | \glt ‘that lady, she wants to give (you) medicine, but you have to (get your) blood checked",,,,,,,,,,,,,,,,
,Introduction,,,,"\noindent In Papuan Malay, \isi{elision} of core arguments is not limited to clauses marked with conjunctions. It is a generalized phenomenon, as demonstrated with the reported \isi{direct speech} in (\ref{Example_14.3}) (see also §\ref{Para_11.1}). The original utterance is given in (\ref{Example_14.3a}), while in (\ref{Example_14.3b}) the elided constituents are given in brackets, such as \isi{purposive} \textitbf{supaya} ‘so that’\footnote{Alternatively, the \isi{conjunction} \textitbf{sampe} ‘until, with the result that’ could fill this slot.} or the subject of the purpose clause, \textitbf{kaki} ‘foot, leg’.",Example_14.3,Not found,Para_11.1,Not found,Example_14.3a,Not found,Example_14.3b,"\gll ... malam Kapolsek bilang, kalo [kam] dapat [dia,] tembak [de pu] kaki [supaya] [kaki] pata | \gls ... night head.of.district.police say if [2pl] get [3sg] shoot [3sg poss] foot [so.that] [foot] break | \glt [Reply to the question about who the police were looking for:] ‘[(they’re looking for Martin ...,] (last) night the head of the district police said, ``if (you) get (him), shoot (his) leg (",,,,,,,,,,,,
,Introduction,,,,"In addition to the 21 conjunctions combining same-type constituents, Papuan Malay also has two conjunctions which link different-type constituents, namely \isi{complementizer} \textitbf{bahwa} ‘so that’ and \isi{relativizer} \textitbf{yang} ‘\textsc{rel}’. Both are subordinating conjunctions, in that they “serve to integrate a {\ldots} clause into some larger construction”, adopting \citegen[45]{Schachter.2007} definition. Complementizer \textitbf{bahwa} ‘that’ marks a clause as an argument of the \isi{verb} as illustrated in (\ref{Example_14.4}), while \isi{relativizer} \textitbf{yang} ‘\textsc{rel}’ integrates a relative clause within a \isi{noun} phrase as demonstrated in (\ref{Example_14.5}).",Example_14.4,\gll sa cuma taw bahwa de ada di sini | \gls 1sg just know that 3sg exist at l.prox | \glt ‘I just know,Example_14.5,\gll baru Iskia dia pegang sa punya lutut yang tida baik | \gls and.then Iskia 3sg hold 1sg poss knee rel neg be.good | \glt ‘and then Iskia held my knee,,,,,,,,,,,,,,,,
,Introduction,,,,"Conjunctions linking same-type constituents are described in §\ref{Para_14.2} and those linking different-type constituents are discussed in §\ref{Para_14.3}. Unless mentioned otherwise, the clausal conjunctions combine clauses with same-subject coreference as well as those with a switch in reference. Juxtaposition is briefly mentioned in §\ref{Para_14.4}. The main points of this chapter are summarized in §\ref{Para_14.5}.",Para_14.2,Not found,Para_14.3,Not found,Para_14.4,Not found,Para_14.5,Not found,,,,,,,,,,,,
,Conjunctions combining same-type constituents,,,,"This section discusses conjunctions which combine same-type constituents. In terms of the semantic relations which they signal, the conjunctions fall into six groups, that is conjunctions marking addition (§\ref{Para_14.2.1}), alternative (§\ref{Para_14.2.2}), time and/or conditions (§\ref{Para_14.2.3}), consequence (§\ref{Para_14.2.4}), contrast (§\ref{Para_14.2.5}), and \isi{similarity} (§\ref{Para_14.2.6}).",Para_14.2.1,Not found,Para_14.2.2,Not found,Para_14.2.3,Not found,Para_14.2.4,Not found,Para_14.2.5,Not found,Para_14.2.6,Not found,,,,,,,,
,Conjunctions combining same-type constituents,Addition,,,"Papuan Malay employs three addition-marking conjunctions. Most often addition is encoded with the \isi{comitative} \isi{preposition} \textitbf{dengang} ‘with’ (670 tokens); as a \isi{conjunction}, it typically conjoins \isi{noun} phrases, as discussed in §\ref{Para_14.2.1.1}. Much less often, Papuan Malay employs \isi{conjunctive} \textitbf{dang} ‘and’ (24 tokens); it typically joins two clauses, as described in §\ref{Para_14.2.1.2}. Even less often, addition is encoded with the \isi{goal-oriented} \isi{preposition} \textitbf{sama} ‘to’; as a \isi{conjunction} it links \isi{noun} phrases with human referents (8 tokens), as shown in §\ref{Para_14.2.1.3}. (For details on \isi{variation} in \isi{word class membership} see §\ref{Para_5.14}.)",Para_14.2.1.1,Not found,Para_14.2.1.2,Not found,Para_14.2.1.3,Not found,Para_5.14,Not found,,,,,,,,,,,,
,Conjunctions combining same-type constituents,Addition,,,"The \isi{comitative} \isi{preposition} \textitbf{dengang} ‘with’, with its short form \textitbf{deng}, typically conjoins \isi{noun} phrases (654 tokens). The conjoined referents can be animate as in (\ref{Example_14.6}), or inanimate as in (\ref{Example_14.7}). The fact that Papuan Malay employs the same marker for “\isi{noun} phrase \isi{conjunction} and \isi{comitative} phrases” suggests that, in terms of \citegen[1]{Stassen.2013b} typology, Papuan Malay is a ``\textsc{with}{}-language''. Occasionally, \textitbf{deng(ang)} ‘with’ also links \isi{verb} phrases (16 tokens) as in (\ref{Example_14.8}). The linking of clauses with \isi{comitative} \textitbf{dengang} ‘with’ is unattested in the corpus. (Besides, \isi{comitative} \textitbf{dengang} ‘with’ is also used to encode inclusory \isi{conjunction} constructions, as discussed in §\ref{Para_6.1.4}; for a detailed discussion of \isi{preposition} \textitbf{dengang} ‘with’, see §\ref{Para_10.2.1}.)",Example_14.6,Not found,Example_14.7,"\gll ... apa biologi \textbf{dengang} apa astronomi \textbf{dengang} bahasa Inggris | \gls ... what biology with what astronomy with language England | \glt [About a school competition] ‘[later they’ll participate in the Olympiad contest in,] what-is-it, biology \textbf{and}, what-is-it, astronomy \textbf{and} English’",Example_14.8,\gll nene jam dua malam datang \textbf{deng} menangis | \gls grandmother hour two night come with cry | \glt ‘at two o’clock in the morning grandmother came crying’ (Lit. ‘come \textbf{with} cry’),Para_6.1.4,Not found,Para_10.2.1,Not found,,,,,,,,,,
,Conjunctions combining same-type constituents,Addition,,,"The \isi{conjunction} \textitbf{dang} ‘and’ typically links two clauses (168 tokens), as in (\ref{Example_14.9}). Less often, it links \isi{noun} phrases (24 tokens) as in (\ref{Example_14.10}) and (\ref{Example_14.11}), or \isi{verb} phrases (10 tokens) as in (\ref{Example_14.12}). Usually, the \isi{noun} phrases have human referents as in (\ref{Example_14.10}); coordination of inanimate referents, as in (\ref{Example_14.11}), is rare.",Example_14.9,Not found,Example_14.10,Not found,Example_14.11,\gll de suda taw ruma \textbf{dang} kampung | \gls 3SG already know house and village | \glt ‘he already knew the house \textbf{and} the village’,Example_14.12,\gll pagi helikopter turung \textbf{dang} kembali ke Anggruk | \gls morning helicopter descend and return to Anggruk | \glt ‘in the morning the helicopter came down \textbf{and} returned to Anggruk’,Example_14.10,Not found,Example_14.11,\gll de suda taw ruma \textbf{dang} kampung | \gls 3SG already know house and village | \glt ‘he already knew the house \textbf{and} the village’,,,,,,,,
,Conjunctions combining same-type constituents,Addition,,,"The \isi{goal-oriented} \isi{preposition} \textitbf{sama} ‘to’ occasionally links \isi{noun} phrases with human referents (8 tokens), as in (\ref{Example_14.13}). The coordination of clauses or \isi{verb} phrases with \textitbf{sama} ‘to’ is unattested in the corpus. Goal-oriented \textitbf{sama} ‘to’ has trial \isi{word class membership}. That is, besides being used as a \isi{preposition} and an addition-marking \isi{conjunction}, it is also used as the stative \isi{verb} \textitbf{sama} ‘be same’ (see §\ref{Para_5.14}; see also §\ref{Para_10.2.2} for a detailed discussion of \isi{preposition} \textitbf{sama} ‘to’ and how it is distinct from \isi{comitative} \textitbf{dengang} ‘with’).\footnote{As mentioned in §\ref{Para_10.2.2}, the goal \isi{preposition} \textitbf{sama} ‘to’ is rather general in its meaning. Typically it translates with ‘to’ but depending on its context it also translates with ‘of, from, with’. For more information regarding the etymology of \textitbf{sama} ‘to’, see Footnote \ref{Footnote_10.225} in §\ref{Para_10.2.2} (p. \pageref{Footnote_10.225}).}",Example_14.13,"\gll ... Aris sama Siduasi deng dei pu maytua, sama depi, dei punya maytua | \gls ... Aris to Siduas with 3sg poss wife to 3sg:poss 3sg poss wife | \glt ‘[all (of you will) be taken (on board ...,)] Aris",Para_5.14,Not found,Para_10.2.2,Not found,Para_10.2.2,Not found,Footnote_10.225,Not found,Para_10.2.2,Not found,,,,,,,,
