Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,"Pichi has a subject-verb word order\is{word order} in intransitive clauses (cf. \ref{ex:key:515} below), and a subject-verb-object order in transitive clauses \REF{ex:key:513}:",ex:key:515,"\gll Di chía blák, di \textbf{chía}, \textbf{e} blák. | \gls DEF chair be.black DEF chair 3SG.SBJ be.black | \glt ‘The chair is black, the chair (it) is black.’",ex:key:513,\gll E sɛ́n di bɔ́l. | \gls 3SG.SBJ send DEF ball | \glt ‘She threw the ball.’,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,Full nouns occur on their own as subjects. But a coreferential dependent pronoun may additionally occur in the clause which picks up the definite subject. Such structures may be seen to involve topicalisation by dislocation (cf. \sectref{sec:7.5.1}). Example \REF{ex:key:515} features both alternatives:,ex:key:515,"\gll Di chía blák, di \textbf{chía}, \textbf{e} blák. | \gls DEF chair be.black DEF chair 3SG.SBJ be.black | \glt ‘The chair is black, the chair (it) is black.’",,,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,"Pronoun resumption is also found with objects{\fff}. The following two examples illustrate the use of pronominal copying with fronted and topical object NPs. In \REF{ex:key:516}, the full NP dán mán ‘that man’ and in \REF{ex:key:517} the emphatic \textsc{3pl} pronoun dɛ́n are set off from the rest of the clause by an intonation break and resumed by object pronouns:",ex:key:516,"\gll \textbf{Dán} \textbf{mán}, a dɔ́n sí=\textbf{an} sɛ́f. | \gls that man 1SG.SBJ PRF see=3SG.OBJ EMP | \glt ‘That man, I have even seen him.’",ex:key:517,"\gll \textbf{Dɛ́n}, a nó de pút \textbf{dɛ́n} ínsay. | \gls 3PL.INDP 1SG.SBJ NEG IPFV put 3PL.INDP inside | \glt ‘As for them, I don’t put them inside.’",,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,"An indication that subject pronoun copying may also involve a topic-comment structure comes from examples such as \REF{ex:key:518}. This sentence features the independent, emphatic personal pronoun dɛ́n at the beginning of the clause, followed by a coreferential dependent pronoun:",ex:key:518,"\gll \textbf{Dɛ́n}, \textbf{dɛn} bin de, dɛn bin dɔ́n sabí (...) | \gls 3PL.INDP 3PL PST IPFV 3PL PST PRF know (...) | \glt ‘As for them, they were, they had already found out (...)’",,,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,"Constructions like \REF{ex:key:518}, in which a personal pronoun is fronted for focus or emphasis\is{emphasis} and immediately followed by a resumptive dependent personal pronoun, are, however, rare. Instead, emphatic personal pronouns appear more often on their own. This pattern suggests that subject pronoun copying is pragmatically less marked than object pronoun copying as encountered in \REF{ex:key:516} and \REF{ex:key:517}. This observation fits with the high frequency of resumptive pronoun\is{resumptive pronouns} usage in the relativised position of subject relative clause\is{relative clauses}s as compared to the lower frequency in object relative clauses (cf. \sectref{sec:10.6.2}):",ex:key:518,"\gll \textbf{Dɛ́n}, \textbf{dɛn} bin de, dɛn bin dɔ́n sabí (...) | \gls 3PL.INDP 3PL PST IPFV 3PL PST PRF know (...) | \glt ‘As for them, they were, they had already found out (...)’",ex:key:516,"\gll \textbf{Dán} \textbf{mán}, a dɔ́n sí=\textbf{an} sɛ́f. | \gls that man 1SG.SBJ PRF see=3SG.OBJ EMP | \glt ‘That man, I have even seen him.’",ex:key:517,"\gll \textbf{Dɛ́n}, a nó de pút \textbf{dɛ́n} ínsay. | \gls 3PL.INDP 1SG.SBJ NEG IPFV put 3PL.INDP inside | \glt ‘As for them, I don’t put them inside.’",,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,"In \REF{ex:key:521}, tú ‘too (much)’ occurs before the stative verb évi ‘be heavy’. In \REF{ex:key:522}, tú appears before the locative-existential copula dé:",ex:key:521,\gll Di bɔ́ks e \textbf{tú} \textbf{évi}. | \gls DEF box 3SG.SBJ too be.heavy | \glt ‘The box (it) is too heavy.’,ex:key:522,\gll Di strít \textbf{tú} \textbf{dé} wɔwɔ́. | \gls DEF street too BE.LOC ugly | \glt ‘The street is too messed up.’,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Verbal clauses\label{sec:7.1.1,,,Other adverbs and adverbials are usually found at the clause margins. Compare the clause-final degree adverb smɔ́l ‘a bit’ (< ‘(be) small’) in \REF{ex:key:523}:,ex:key:523,\gll Djunais dɔ́n dríng \textbf{smɔ́l}. | \gls NAME PRF drink a.bit | \glt ‘Djunais has drunk a bit [of alcohol].’,,,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Copula clauses,,,"Two types of copula clauses should be distinguished. Equative clauses feature the focus markers na \textsc{‘foc’} and nóto \textsc{‘neg.foc’} in a copula function. I analyse na{}-copula clauses as grammaticalised topic-comment structures, in which the notional subject is topicalised, and the nominal functioning as the copula complement is under focus. These clauses differ from verbal clauses and predicate adjective clauses involving the copula dé ‘\textsc{be.loc}’ in two ways: Pronominal subjects are always from the emphatic series \REF{ex:key:524}, and more often than not, the \textsc{3sg} and \textsc{3pl} pronouns remain unexpressed \REF{ex:key:525} because na and nóto incorporate \textsc{3sg} reference by default:",ex:key:524,"\gll Mí \textbf{na} di chíf nɔ́. | \gls 1SG.INDP FOC DEF chief INTJ | \glt ‘I’m the boss, right.’",ex:key:525,\gll \textbf{Nóto} mecánico. | \gls NEG.FOC mechanic | \glt ‘(He’s) not a mecanic.’,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Copula clauses,,,"Predicate adjective clauses constitute the second type of copula clause. A small set of property-denoting verbs may also function as predicate adjectives and appear as complements \is{complements}to the locative-existential copula dé \textsc{‘be.loc’} \REF{ex:key:526}. Unlike other property items, these adjectives may therefore appear in the same syntactic position as adverbials in this type of copula clause \REF{ex:key:527}:",ex:key:526,\gll Tidé di húman \textbf{dé} \textbf{fáyn}. | \gls today DEF woman BE.LOC fine | \glt ‘Today the woman is fine.’,ex:key:527,\gll E \textbf{dé} \textbf{na} \textbf{grɔ́n}. | \gls 3SG.SBJ BE.LOC LOC ground | \glt ‘He is [lying] on the ground.’,,,,,,,,,,,,,,,,
The clause,Clause structure\label{sec:7.1,Directive clauses,,,"The syntax of \textsc{2sg} directive (imperative\is{imperatives}) clauses is distinct from other clause types and other directive clauses in that the \textsc{2sg} subject remains unexpressed \REF{ex:key:528}. However, a \textsc{2pl} subject must be overtly expressed \REF{ex:key:529}:",ex:key:528,\gll Nó \textbf{láf}! | \gls NEG laugh | \glt ‘Don’t laugh!’,ex:key:529,\gll \textbf{Una} \textbf{púl} di torí! | \gls 2PL pull DEF story | \glt ‘Tell [PL] the story!’,,,,,,,,,,,,,,,,
