Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Pronouns\label{sec:4.2,Uses of pronouns\label{sec:4.2.4,,,"As \REF{ex:4.7} shows, even when the participant is “addressed” in this way, for all other purposes it is still a third-person participant (\textit{tō{\ꞌ}ona hoi}, ‘his horse’).",ex:4.7,\gll He tu\ꞌu \textbf{koe} \textbf{e} \textbf{te} \textbf{korohu\ꞌa} \textbf{nei} \textbf{ē} \ꞌi ruŋa i tō\ꞌona hoi pakiroki. | \gls NTR arrive 2SG VOC ART old_man PROX VOC at above at POSS.3SG.O horse thin | \glt ‘The old man arrived on his skinny horse.’,,,,,,,,,,,,,,,,,,
,Pronouns\label{sec:4.2,Uses of pronouns\label{sec:4.2.4,,,"In \REF{ex:4.8}, two people are discussing a photograph. One of them points out a woman they both know:",ex:4.8,"\gll —\ꞌAi \textbf{ta\ꞌu} vi\ꞌe ko Eva. —\ꞌAi te rū\ꞌau era ko Eva. | \gls ~~~~there POSS.2SG.A woman PROM Eva ~~~~there ART old_woman DIST PROM Eva | \glt ‘—Here is the (lit. ‘your’) woman Eva. —(Indeed), here is the old woman Eva.’",,,,,,,,,,,,,,,,,,
,Numerals\label{sec:4.3,Forms of the numerals\label{sec:4.3.1,Basic and alternative forms\label{sec:4.3.1.0,,"With spatial measuring words like mētera ‘meter’, māroa ‘fathom’ and \textit{{\ꞌ}umi} ‘ten fathoms’, both Rapa Nui and \ili{Tahitian} numerals are used: \REF{ex:4.19} has the \ili{Tahitian} term pae, while \REF{ex:4.20} has the Rapa Nui term rua.",ex:4.19,\gll Te tumu nei tumu nikoniko e ko oŋa te \textbf{pae} \textbf{mētera} o te roaroa. | \gls ART tree PROX tree curl:RED IPFV NEG.IPFV appear ART five meter of ART long | \glt ‘This tree is a twisted tree which doesn’t surpass five meters of length.’,ex:4.20,\gll E \textbf{rua} \textbf{mētera} mā pae o te roaroa. | \gls NUM two meter plus five of ART long:RED | \glt ‘He was 2.05 meters tall.’,,,,,,,,,,,,,,,,
,Numerals\label{sec:4.3,The numeral phrase\label{sec:4.3.2,,,"When used within a noun phrase, like ka tahi mahana in \REF{ex:4.26}, ka + numeral always occurs before the noun, never after the noun (different from e).",ex:4.26,"\gll He oho ki te hare hāpī, ka tahi mahana, ka rua, ka toru. | \gls NTR go to ART house learn CNTG one day CNTG two CNTG three | \glt ‘He went to school, one day, two, three.’",,,,,,,,,,,,,,,,,,
,Numerals\label{sec:4.3,The numeral phrase\label{sec:4.3.2,,,"As ka\is{ka (numeral particle)} indicates a quantity which has been reached, it may emphasise the amount: ‘up to, as many as’. In \REF{ex:4.28} this emphasis is further enhanced by the use of rō atu:",ex:4.28,"\gll Mo ai rō kona hore iho hai \ꞌārote e pu\ꞌa era e ono \ꞌo \textbf{ka} \textbf{va}\ꞌ\textbf{u} \textbf{rō} \textbf{atu} \ꞌuei. | \gls if exist EMPH place cut just_then INS plough IPFV cover DIST NUM six or CNTG eight EMPH away ox | \glt ‘When a field was ploughed for the first time, it was ploughed with six or even eight oxen.’",,,,,,,,,,,,,,,,,,
,Numerals\label{sec:4.3,The numeral phrase\label{sec:4.3.2,,,"Numerals preceded by hoko may occur after the noun as in \REF{ex:4.30}, before the noun as in \REF{ex:4.31} (though this is relatively rare), or on their own as in \REF{ex:4.32}:",ex:4.30,\gll He e\ꞌa ia tou ŋā kope era \textbf{hoko} \textbf{toru} \ꞌi ruŋa o te vaka. | \gls NTR go_out then DEM PL person DIST NUM.PERS three at above of ART boat | \glt ‘Those three people went out by boat.’,ex:4.31,\gll I e\ꞌa mai ai \textbf{hoko} \textbf{iva} taŋata o ruŋa i te \ꞌavione mau \ꞌana... | \gls PFV go_out hither PVP NUM.PERS nine man of above at ART airplane really IDENT | \glt ‘When nine men had come out of the airplane...’,ex:4.32,"\gll He ha\ꞌuru \textbf{hoko} \textbf{hā}, \textbf{hoko} \textbf{toru} ka \ꞌara ka vānaŋanaŋa nō. | \gls NTR sleep NUM.PERS four NUM.PERS three CNTG wake_up CNTG talk:RED just | \glt ‘Four (men) slept, three were awake and were talking.’",,,,,,,,,,,,,,
,Numerals\label{sec:4.3,Ordinal numerals\label{sec:4.3.3,,,"The determiner can be the article te as in the examples above, but also a possessive pronoun as in \REF{ex:4.39}, or the predicate marker he\is{he (nominal predicate marker)} as in \REF{ex:4.40}:",ex:4.39,\gll Ku aŋa \ꞌana i \textbf{tō\ꞌona} \textbf{rua} vaka era. | \gls PRF make CONT ACC POSS.3SG.O two boat DIST | \glt ‘He built his second boat.’,ex:4.40,\gll Te hare pure \textbf{he} \textbf{rua} hare pure era. | \gls ART house pray PRED two house pray DIST | \glt ‘The church (shown in this picture) is the second church.’,,,,,,,,,,,,,,,,
,Numerals\label{sec:4.3,Definite numerals\label{sec:4.3.4,,,"The definite numerals often occur on their own as in \REF{ex:4.43} below, but they are also used in the noun phrase. In the latter case they may placed either before the noun as in \REF{ex:4.44}, or after the noun as in \REF{ex:4.45}.",ex:4.43,\gll He e\ꞌa ia \textbf{a} \textbf{totoru} he oho he runu i te rāua tūava. | \gls NTR go_out then PROP RED:three NTR go NTR gather ACC ART 3PL guava | \glt ‘The three went out and gathered their guavas.’,ex:4.44,"\gll He oho mai \textbf{a} \textbf{oono} \textbf{ŋā} \textbf{io}, he tu\ꞌu ki te hare o Kave Heke. | \gls NTR go hither PROP RED:six PL young_man NTR arrive to ART house of Kave Heke | \glt ‘The six young men came and arrived at the house of Kave Heke.’",ex:4.45,\gll He oŋe te \textbf{\ꞌaro} \textbf{a} \textbf{hahā} o nei. | \gls NTR shortage ART side PROP RED:four of PROX | \glt ‘The four sides of the island (lit. of here) here suffered shortage.’,,,,,,,,,,,,,,
,Quantifiers\label{sec:4.4,\textit{Ta{\ꞌato{\ꞌa ‘all’\label{sec:4.4.2,,,"Yet there is also a slight difference in meaning: at least for some speakers, prenominal \textit{ta{\ꞌ}ato{\ꞌ}a}\is{taatoa ‘all’@ta{\ꞌ}ato{\ꞌ}a ‘all’} is somewhat emphatic. Compare \REF{ex:4.52} with \REF{ex:4.51} above: \REF{ex:4.51} indicates ‘all without exception’, while \REF{ex:4.52} is more neutral.",ex:4.52,\gll \ꞌI te mahana nei te ŋā poki \textbf{ta\ꞌato\ꞌa} he porotē. | \gls at ART day PROX ART PL child all NTR parade | \glt ‘Today all the children participate in the parade.’,ex:4.51,\gll \ꞌI te mahana nei \textbf{te} \textbf{ta\ꞌato\ꞌa} ŋā poki he porotē. | \gls at ART day PROX ART all PL child NTR parade | \glt ‘Today all the children participate in the parade.’,ex:4.51,\gll \ꞌI te mahana nei \textbf{te} \textbf{ta\ꞌato\ꞌa} ŋā poki he porotē. | \gls at ART day PROX ART all PL child NTR parade | \glt ‘Today all the children participate in the parade.’,ex:4.52,\gll \ꞌI te mahana nei te ŋā poki \textbf{ta\ꞌato\ꞌa} he porotē. | \gls at ART day PROX ART PL child all NTR parade | \glt ‘Today all the children participate in the parade.’,,,,,,,,,,,,
,Quantifiers\label{sec:4.4,\textit{Ta{\ꞌato{\ꞌa ‘all’\label{sec:4.4.2,,,"As \REF{ex:4.51} and \REF{ex:4.52} show, the noun phrase containing \textit{ta{\ꞌ}ato{\ꞌ}a} may include a plural marker. In most cases, however, no plural marker is used; the use of \textit{ta{\ꞌ}ato{\ꞌ}a} itself is a sufficient indication of the plurality of the noun phrase.",ex:4.51,\gll \ꞌI te mahana nei \textbf{te} \textbf{ta\ꞌato\ꞌa} ŋā poki he porotē. | \gls at ART day PROX ART all PL child NTR parade | \glt ‘Today all the children participate in the parade.’,ex:4.52,\gll \ꞌI te mahana nei te ŋā poki \textbf{ta\ꞌato\ꞌa} he porotē. | \gls at ART day PROX ART PL child all NTR parade | \glt ‘Today all the children participate in the parade.’,,,,,,,,,,,,,,,,
