Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Possessive constructions\label{sec:6.2,Possessives in the noun phrase\label{sec:6.2.1,,,"Possessive noun phrases also appear in headless\is{Noun phrase!headless} noun phrases\is{Noun phrase!headless}, in which case o/\textit{{\ꞌ}a} coalesces with the determiner to to/ta (examples (\ref{ex:5.102}–\ref{ex:5.103}) in \sectref{sec:5.6}).",ex:5.102,"\gll Ko Koka te \ꞌīŋoa o tō\ꞌona hoi... ko Parasa \textbf{to} \textbf{te} \textbf{rū\ꞌau} era \ꞌā\ꞌana. | \gls PROM Koka ART name of POSS.3SG.O horse PROM Parasa ART:of ART old_woman DIST POSS.3SG.A | \glt ‘Koka was the name of his horse, Parasa the (name) of his old wife.’",ex:5.103,\gll ¿Ko ai te \ꞌīŋoa o te taŋata? ¿\textbf{To} \textbf{te} \textbf{vi\ꞌe}? | \gls ~PROM who ART name of ART name ART:of ART woman | \glt ‘What is the man’s name? And the woman’s?’,,,,,,,,,,,,,,,,
,Possessive constructions\label{sec:6.2,Possessives in the noun phrase\label{sec:6.2.1,,,"That the possessive pronoun is in determiner position, is also confirmed by the fact that prenominal quantifiers\is{Quantifier} occur after the possessor\is{Possession}, as in \REF{ex:6.4}.",ex:6.4,\gll ¿He aha \textbf{tō\ꞌona} rua \ꞌīŋoa? | \gls ~PRED what POSS.3SG.O two name | \glt ‘What is his second name?’,,,,,,,,,,,,,,,,,,
,Possessive constructions\label{sec:6.2,Possessives in the noun phrase\label{sec:6.2.1,,,"After the noun, these pronouns do have the o, as illustrated in \REF{ex:6.12} below.",ex:6.12,"\gll He hiŋa \ꞌi tū kori haŋa rahi era \textbf{o} \textbf{rāua} he haka nininini \ꞌi ruŋa o te ma\ꞌuŋa. | \gls NTR fall at DEM play love much DIST of 3PL PRED CAUS spin:RED at above of ART mountain | \glt ‘He fell during that much-loved game of theirs, (which was) sliding down the hill.’",,,,,,,,,,,,,,,,,,
,Possessive constructions\label{sec:6.2,Possessives in the noun phrase\label{sec:6.2.1,,,"Finally, possessive pronouns\is{Pronoun!possessive} may occur at the end of the noun phrase, in the same position as possessive noun phrases (see (\ref{ex:6.1}–\ref{ex:6.3}) above). In this position, Ø-possessives\is{Pronoun!possessive!Ø-class} are used:",ex:6.1,\gll ko te vaka tama\ꞌi era \textbf{o} \textbf{te} \textbf{\ꞌariki} | \gls PROM ART canoe fight DIST of ART king | \glt ‘the battle canoe of the king’,ex:6.3,\gll mai tū \ꞌōpata nei \ꞌā \textbf{o} \textbf{te} \textbf{karikari} | \gls from DEM cliff PROX IDENT of ART narrow_part | \glt ‘from this same cliff of the narrow rock’,,,,,,,,,,,,,,,,
,Possessive constructions\label{sec:6.2,The partitive construction\label{sec:6.2.2,,,"There is an important difference though: while in \REF{ex:6.25} \textit{to te rū{\ꞌ}au} has a straightforward possessive sense (parallel to the possessive phrase \textit{o tō{\ꞌ}ona hoi}), in (\ref{ex:6.23}–\ref{ex:6.24}) the possessive phrase occurs in a context where normally the dative preposition ki would be used.",ex:6.25,"\gll Ko Koka te \ꞌīŋoa o tō\ꞌona hoi... ko Parasa \textbf{to} \textbf{te} \textbf{rū\ꞌau} era \ꞌā\ꞌana. | \gls PROM Koka ART name of POSS.3SG.O horse PROM Parasa ART:of ART old_woman DIST POSS.3SG.A | \glt ‘Koka was the name of the horse he went on, Parasa the (name) of his old wife.’",ex:6.23,"\gll Te taŋata e ai rō \ꞌā tā\ꞌana kai, ka va\ꞌai \textbf{to} \textbf{te} \textbf{taŋata} \ꞌina \ꞌā\ꞌana kai. | \gls ART man IPFV exist EMPH CONT POSS.3SG.A food IMP give ART:of ART man NEG POSS.3SG.A food | \glt ‘The man who has food, should give some to the man who does not have food.’",ex:6.24,\gll Te ŋā kai \ꞌāpī ra\ꞌe era... e ma\ꞌu \textbf{to} \textbf{te} \textbf{hare} \textbf{pure} \ꞌi ra\ꞌe. | \gls ART PL food new first DIST IPFV carry ART:of ART house prayer at first | \glt ‘The first food... they first had to take some to the church (lit. carry those of the church)’,,,,,,,,,,,,,,
,Possessive constructions\label{sec:6.2,The partitive construction\label{sec:6.2.2,,,"Semantically, (\ref{ex:6.23}–\ref{ex:6.24}) are similar to the partitive\is{Partitive} construction discussed above. In both cases, the noun phrase refers to something which is destined for the person referred to; moreover, the sense is partitive\is{Partitive}: ‘some of the food, some of the clothes’. Also, in both cases the to{}-phrase is independent: there is no head noun to which it is attached. The difference is that in the partitive\is{Partitive} construction in (\ref{ex:6.16}–\ref{ex:6.18}) above the possessee is expressed by a genitive phrase o te kahu which is semantically the head of the phrase (the noun phrase as a whole refers to ‘clothes’, not to ‘Vaha’), while in (\ref{ex:6.23}–\ref{ex:6.24}) it is not expressed at all.",ex:6.23,"\gll Te taŋata e ai rō \ꞌā tā\ꞌana kai, ka va\ꞌai \textbf{to} \textbf{te} \textbf{taŋata} \ꞌina \ꞌā\ꞌana kai. | \gls ART man IPFV exist EMPH CONT POSS.3SG.A food IMP give ART:of ART man NEG POSS.3SG.A food | \glt ‘The man who has food, should give some to the man who does not have food.’",ex:6.24,\gll Te ŋā kai \ꞌāpī ra\ꞌe era... e ma\ꞌu \textbf{to} \textbf{te} \textbf{hare} \textbf{pure} \ꞌi ra\ꞌe. | \gls ART PL food new first DIST IPFV carry ART:of ART house prayer at first | \glt ‘The first food... they first had to take some to the church (lit. carry those of the church)’,ex:6.16,\gll Mai \textbf{tā\ꞌaku} \textbf{o} \textbf{te} \textbf{vai}. | \gls hither POSS.1SG.A of ART water | \glt ‘Give me some water.’,ex:6.18,\gll He ta\ꞌo tako\ꞌa \textbf{to} \textbf{rāua} \textbf{o} \textbf{te} \textbf{taŋata} mo kai. | \gls NTR cook_in_earth_oven also ART:of 3PL of ART man for eat | \glt ‘They also cooked people for them(selves) to eat.’,ex:6.23,"\gll Te taŋata e ai rō \ꞌā tā\ꞌana kai, ka va\ꞌai \textbf{to} \textbf{te} \textbf{taŋata} \ꞌina \ꞌā\ꞌana kai. | \gls ART man IPFV exist EMPH CONT POSS.3SG.A food IMP give ART:of ART man NEG POSS.3SG.A food | \glt ‘The man who has food, should give some to the man who does not have food.’",ex:6.24,\gll Te ŋā kai \ꞌāpī ra\ꞌe era... e ma\ꞌu \textbf{to} \textbf{te} \textbf{hare} \textbf{pure} \ꞌi ra\ꞌe. | \gls ART PL food new first DIST IPFV carry ART:of ART house prayer at first | \glt ‘The first food... they first had to take some to the church (lit. carry those of the church)’,,,,,,,,
,Possessive constructions\label{sec:6.2,Other possessive constructions\label{sec:6.2.3,,,"Possessive constructions occur not only as modifiers in the noun phrase, but in a range of other constructions as well. This section gives a concise listing; all of these constructions (with the exception of the elliptic construction in \REF{ex:6.34} below) are discussed in more detail elsewhere in this grammar.\footnote{\label{fn:287}Not included here are possessives expressing the subject of a relative clause in the “possessive-relative construction”; as argued in \sectref{sec:11.4.4}, these should be considered as normal noun-phrase possessors which are syntactically separate from the relative clause.}",ex:6.34,"\gll He toe e toru te \ꞌaŋahuru nō toe, ku oti \ꞌā \textbf{to} \textbf{haho}. | \gls NTR remain NUM three ART ten just remain PRF finish CONT ART:of outside | \glt ‘Only thirty (men) were left, those outside were finished.’",,,,,,,,,,,,,,,,,,
,Possessive constructions\label{sec:6.2,Other possessive constructions\label{sec:6.2.3,,,"\subparagraph{\ref{sec:6.2.3}.5} Possessives of the o{}-class may serve as the predicate of existential-locative clauses (\sectref{sec:9.3.2}); see \sectref{sec:6.3.1}.8 below on the locative use of possessives. In modern Rapa Nui, Ø-possessives are used as in \REF{ex:6.31}; in older Rapa Nui, t{}-possessives were used as in (\ref{ex:6.32}–\ref{ex:6.33}).",ex:6.31,\gll ¿E ai rō \ꞌā te ika \textbf{o} \textbf{roto}? | \gls ~IPFV exist EMPH CONT ART fish of inside | \glt ‘Are there fish inside (the net)?’,ex:6.32,"\gll He taŋata \textbf{to} \textbf{nei}... Ŋata Vake te \ꞌīŋoa. | \gls PRED person ART:of PROX Ngata Vake ART name | \glt ‘There was a man here, called Ngata Vake.’",ex:6.33,"\gll He taŋata \textbf{to} \textbf{ruŋa} to te motu, ko Motu Tapu te \ꞌīŋoa. | \gls PRED man ART:of above ART:of ART islet PROM Motu Tapu ART name | \glt ‘There was a man on the islet which was called Motu Tapu’",,,,,,,,,,,,,,
,The semantics of possessives\label{sec:6.3,Relationships expressed by possessives\label{sec:6.3.1,,,"\subparagraph{\ref{sec:6.3.1}.8} The possessor may be a location to which the possessee belongs as in \REF{ex:6.44}, or a place where the possessee is located at a given time, as in (\ref{ex:6.45}–\ref{ex:6.46}).",ex:6.44,"\gll Te me\ꞌe nei he heke, he \ꞌanimare e tahi \textbf{o} \textbf{rote} \textbf{vaikava}. | \gls ART thing PROX PRED octopus PRED animal NUM one of inside_the ocean | \glt ‘The octopus is an animal of (lit. of inside) the ocean.’",ex:6.45,\gll \ꞌIna he ika \textbf{o} \textbf{\ꞌApina}. | \gls NEG PROM fish of Apina | \glt ‘There are no fish at Apina.’,ex:6.46,\gll Ko Alfredo te me\ꞌe era \textbf{o} \textbf{mu\ꞌa} i te microfono. | \gls PROM Alfredo ART thing DIST of front at ART microphone | \glt ‘Alfredo is the one in front of the microphone.’,,,,,,,,,,,,,,
,The semantics of possessives\label{sec:6.3,Relationships expressed by possessives\label{sec:6.3.1,,,"In (\ref{ex:6.45}–\ref{ex:6.46}), o is close in meaning to the locative \textit{{\ꞌ}i} ‘in, at’. As these examples show, the possessive is used especially in negative\is{Negation} or interrogative\is{Question} clauses. In those sentences, \textit{{\ꞌ}i}\is{i ‘in, at’@{\ꞌ}i ‘in, at’} is considered awkward.",ex:6.45,\gll \ꞌIna he ika \textbf{o} \textbf{\ꞌApina}. | \gls NEG PROM fish of Apina | \glt ‘There are no fish at Apina.’,ex:6.46,\gll Ko Alfredo te me\ꞌe era \textbf{o} \textbf{mu\ꞌa} i te microfono. | \gls PROM Alfredo ART thing DIST of front at ART microphone | \glt ‘Alfredo is the one in front of the microphone.’,,,,,,,,,,,,,,,,
