Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Imperative mood\label{sec:10.2,\is{ImperativeThe imperative \label{sec:10.2.1,,,"As these examples show, the subject can be either omitted \REF{ex:10.1} or expressed (\ref{ex:10.2}–\ref{ex:10.5}). If expressed, it is a 2\textsuperscript{nd} person pronoun placed after the verb. Unlike other subject pronouns, it is not preceded by the proper article\is{a (proper article)} a (\sectref{sec:5.13.2.1}).",ex:10.1,\gll \textbf{Ka} \textbf{e\ꞌa} ki haho \textbf{ka} \textbf{to\ꞌo} mai hai vai mā\ꞌaku mo unu. | \gls IMP go_out to outside IMP take hither INS water BEN.1SG.A for drink | \glt ‘Go outside and bring water for me to drink.’,ex:10.2,\gll \textbf{Ka} \textbf{uru} mai kōrua ki roto. | \gls IMP enter hither 2PL to inside | \glt ‘Come in (said to two people).’,ex:10.5,\gll \textbf{E} \textbf{hāpa\ꞌo} kōrua i a Puakiva. | \gls EXH care_for 2PL ACC PROP Puakiva | \glt ‘Take care of Puakiva.’,,,,,,,,,,,,,,
,Imperative mood\label{sec:10.2,\is{ImperativeThe imperative \label{sec:10.2.1,,,"As discussed in \sectref{sec:8.4.1}, the direct object has the accusative marker i when the subject is expressed (as in \ref{ex:10.5}); when the subject is not expressed, the accusative marker\is{i (accusative marker)} is omitted.",ex:10.5,\gll \textbf{E} \textbf{hāpa\ꞌo} kōrua i a Puakiva. | \gls EXH care_for 2PL ACC PROP Puakiva | \glt ‘Take care of Puakiva.’,,,,,,,,,,,,,,,,,,
,Imperative mood\label{sec:10.2,\is{ImperativeThe imperative \label{sec:10.2.1,,,"The imperative\is{Imperative} can be used with any verb. It is rarely used with adjectives, but this may have pragmatic rather than syntactic reasons: there are simply not many situations in which it is appropriate to order someone to have a certain property. For an example of an imperative-marked adjective, see \REF{ex:3.90} on p.~\pageref{ex:3.90}.",ex:3.90,\gll \textbf{Ka} \textbf{koa} mai \ꞌāpī \ꞌe mai nehenehe a koe. | \gls IMP happy while new and while beautiful PROP 2SG | \glt ‘Be happy as long as you are young and beautiful.’,,,,,,,,,,,,,,,,,,
,Imperative mood\label{sec:10.2,First-person injunctions (hortatives)\label{sec:10.2.3,,,"As \REF{ex:10.14} shows, ki is also used to mark proposals in question form.",ex:10.14,\gll ¿Ki aŋa te \ꞌāriŋa ora mo to mātou korohu\ꞌa? | \gls ~HORT make ART face live for ART:of 1PL.EXCL old_man | \glt ‘Shall we make a memento (lit. living face) for our father?’,,,,,,,,,,,,,,,,,,
,Interrogatives\label{sec:10.3,Polar questions\label{sec:10.3.1,,,"\textit{{\ꞌ}Ō}\is{o (asseverative)@{\ꞌ}ō (asseverative)} in \REF{ex:10.18} and \REF{ex:10.20} indicates counterexpectation\is{Counterexpectation} (\sectref{sec:4.5.4.5}); it is used in rhetorical questions to which a negative answer is expected, or in negative rhetorical questions to which a positive answer is expected.",ex:10.18,\gll ¿\ꞌIna \ꞌō koe he oho ki te hāpī? | \gls ~NEG really 2SG NTR go to ART learn | \glt ‘Don’t you go to school?’,ex:10.20,\gll ¿Hai kai piropiro \ꞌō ana va\ꞌai mai ki a māua? | \gls ~INS food rotten:RED really IRR give hither to PROP 1DU.EXCL | \glt ‘Are you giving us rotten food?’,,,,,,,,,,,,,,,,
,Interrogatives\label{sec:10.3,Polar questions\label{sec:10.3.1,,,Hō\is{ho (dubitative)@hō (dubitative)} in \REF{ex:10.19} indicates doubt (\sectref{sec:4.5.4.6}).,ex:10.19,\gll ¿E tano rō hō te me\ꞌe mana\ꞌu era e Tuki mo aŋa? | \gls ~IPFV correct EMPH DUB ART thing think DIST AG Tuki for do | \glt ‘Is it correct what Tuki plans to do?’,,,,,,,,,,,,,,,,,,
,Interrogatives\label{sec:10.3,Polar questions\label{sec:10.3.1,,,"When a constituent within the clause is questioned, it is in focus\is{Focus} position: it is fronted as in \REF{ex:10.20}.",ex:10.20,\gll ¿Hai kai piropiro \ꞌō ana va\ꞌai mai ki a māua? | \gls ~INS food rotten:RED really IRR give hither to PROP 1DU.EXCL | \glt ‘Are you giving us rotten food?’,,,,,,,,,,,,,,,,,,
,Interrogatives\label{sec:10.3,Polar questions\label{sec:10.3.1,,,"\is{hoki (polar questions)|(}Polar questions may be marked with hoki (glossed \textsc{pq} = polar question), which is placed at the start of the sentence. Hoki is less common in modern Rapa Nui than in older texts, but it does occur. It is used especially when the speaker expects a certain answer to the question, whether affirmative as in (\ref{ex:10.21}–\ref{ex:10.22}) or negative as in (\ref{ex:10.23}–\ref{ex:10.24}). For example, in \REF{ex:10.22} the context makes clear that the speaker assumes that the hearer has indeed heard the dream; on the other hand, in \REF{ex:10.23}, the speaker does not believe that the hearer has ever seen a devil.",ex:10.21,\gll ¿Hoki e ai rō \ꞌā te famiria? | \gls ~~PQ IPFV exist EMPH CONT ART family | \glt ‘You have a family (don’t you)?’,ex:10.22,\gll ¿Hoki ko ŋaro\ꞌa \ꞌā e koe te vārua nei \ꞌa Hina? | \gls ~~PQ PRF perceive CONT AG 2SG ART spirit PROX of.A Hina | \glt ‘Did you hear Hina’s dream?’,ex:10.23,\gll ¿Hoki ko tike\ꞌa \ꞌā e koe te tātane ra\ꞌe? | \gls ~~PQ PRF see CONT AG 2SG ART devil first | \glt ‘Have you ever seen a devil?’,ex:10.24,\gll ¿Hoki e ketu rō koe i te hare o te taŋata ki raro? | \gls ~~PQ IPFV raise EMPH 2SG ACC ART house of ART man to below | \glt ‘(one wind to another:) Could you destroy someone’s house (lit. raise down a house of a man)?!’,ex:10.22,\gll ¿Hoki ko ŋaro\ꞌa \ꞌā e koe te vārua nei \ꞌa Hina? | \gls ~~PQ PRF perceive CONT AG 2SG ART spirit PROX of.A Hina | \glt ‘Did you hear Hina’s dream?’,ex:10.23,\gll ¿Hoki ko tike\ꞌa \ꞌā e koe te tātane ra\ꞌe? | \gls ~~PQ PRF see CONT AG 2SG ART devil first | \glt ‘Have you ever seen a devil?’,,,,,,,,
,Interrogatives\label{sec:10.3,Polar questions\label{sec:10.3.1,,,"When a question contains a negation, it depends on the underlying presupposition which answering strategy (‘yes’ or ‘no’) is appropriate. In the following examples, the person asking the question presupposes that the underlying proposition is true; in \REF{ex:10.25} for example, the speaker expects that the person pointed out is indeed Vivika. The positive reply ‘yes’ confirms this expectation. In \REF{ex:10.26}, the asker expects the addressee to want to have him as father; negative response ‘no’ refutes this expectation.",ex:10.25,"\gll —¿Ta\ꞌe ko Vivika? —\ꞌĒē. Ko ia. | \gls ~~~~~CONNEG PROM Vivika ~~~yes PROM 3SG | \glt ‘—Isn’t that Vivika? —Yes, it’s her.’",ex:10.26,"\gll —¿Kai haŋa \ꞌō koe ko au \ꞌā tō\ꞌou matu\ꞌa? —\ꞌIna, tō\ꞌoku mau \ꞌā. | \gls ~~~~~NEG.PFV want really 2SG PROM 1SG IDENT POSS.2SG.O parent ~~~NEG~ POSS.1SG.O really IDENT | \glt ‘—Don’t you want me to be your father? —No, I want my own (father).’",,,,,,,,,,,,,,,,
,Interrogatives\label{sec:10.3,Content questions\label{sec:10.3.2,\textit{Ai/{\ꞌai ‘who’\label{sec:10.3.2.1,,"When ai is any core argument (regardless of its semantic role), a cleft\is{Cleft} construction can be used (\sectref{sec:9.2.6}).\footnote{\label{fn:487}\citet{PotsdamPolinsky2011} distinguish three questioning strategies in Polynesian: displacement (= preposing the Wh-constituent), clefts, and pseudo-clefts (=clefts in which the relative clause\is{Clause!relative} has a head noun; in Rapa Nui, this is the only cleft\is{Cleft} strategy possible, see sec. \sectref{sec:9.2.6} and \sectref{sec:8.6.2.1}). They tentatively analyse Rapa Nui as using the displacement strategy, but admit that data are scarce. One example is given of a construction as in \REF{ex:10.36}, as well as a number of oblique examples (which indeed have a displacement structure), and one example of he aha in the sense of ‘why’ (which is also an oblique with displacement). However, in Rapa Nui texts, pseudo-clefts abound in questions, both with ai ‘who’ (such as in (\ref{ex:10.33}–\ref{ex:10.35})) and with aha ‘what’ (such as \REF{ex:10.44} in the next section).} In this construction, ko ai is a nominal predicate, followed by a subject containing a relative clause\is{Clause!relative}. The subject noun is usually the generic \is{mee ‘thing’@me{\ꞌ}e ‘thing’}\textit{me{\ꞌ}e}, though other nouns are also used. A few examples:",ex:10.36,\gll ¿Ko ai i mate? | \gls ~PROM who PFV die | \glt ‘Who died?’,ex:10.33,\gll ¿Ko ai te me\ꞌe ŋau era i te kiko \ꞌai? | \gls ~PROM who ART thing bite DIST ACC ART meat there | \glt ‘Who is the one biting the meat there?’,ex:10.35,"\gll ¿Ko ai te me\ꞌe ena e kōrua ka haka tere ena? | \gls ~PROM who ART thing MED AG 2PL CNTG CAUS run MED | \glt ‘(If everybody wants to govern the island,) whom will you govern?’",ex:10.44,\gll ¿He aha te me\ꞌe i topa ki a koro? | \gls ~PRED who ART thing PFV happen to PROP Dad | \glt ‘What happened to Dad?’,,,,,,,,,,,,
