Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verb phrase,The verb\label{sec:4.1,,,,"Tuatschin possesses \isi{impersonal}, \isi{intransitive} (\ref{ex:intrans1}), mono-, and \isi{ditransitive verbs}. \isi{Impersonal verb}s require an \isi{expletive pronoun} in \isi{subject} position (\ref{ex:impers1}). \isi{Monotransitive verbs} usually have a \isi{direct object} (\ref{ex:trans1} and \ref{ex:trans2}), but in rare cases they may have an \isi{indirect object} (\ref{ex:trans:indir})\footnote{udí da is a calque from German. udí `hear' is hören in German, and belong is gehören, which triggers dative case.}. Ditransitive verbs (\ref{ex:ditrans1} and \ref{ex:ditrans2}) have a direct and an \isi{indirect object}, the latter being marked by da/dad.\footnote{As shown in \sectref{sec:3.2.1.2} and \sectref{sec:3.6.1}, the dative articles li (see (\ref{ex:ditrans2}) as well as di are obsolescent, and the \isi{dative marker} a, which is used in rare cases, is a loan from \ili{Standard Sursilvan}.}. An exception is the verb \isi{dumandá}, which has two direct objects (\ref{ex:trans:2DO}) (see \sectref{sec:4.2.2}). Note that if the two objects are pronominal, the object of asking is usually not mentioned (\ref{ex:trans:2DO}). The \isi{indirect object} usually precedes the \isi{direct object} (\ref{ex:ditrans2}).",ex:intrans1,\gll Quèl \textbf{durméva} sc’ in tajs. | \gls DEM.M.SG sleep.IMPF.3SG like INDEF.M.SG badger | \glt `He used to sleep like a log.',ex:impers1,\gll Ad \textbf{i} \textbf{èr}’ è bitga úsit tg’ ins mava a scùlèta. | \gls and EXPL COP.IMPF.3SG also NEG usage.M.SG REL GNR go.IMPF.3SG to nursery_school.F.SG | \glt `And it was not usual that one attended nursery school.',ex:trans1,\gll In da Méjdal \textbf{vèv'} [\textbf{in}' \textbf{ura} \textbf{da} \textbf{Schwarzwald} \textbf{tg}' \textbf{èra} \textbf{rùta}]. | \gls one.M.SG of PN have.IMPF.3SG \DB{INDEF.F.SG} clock of PN REL COP.IMPF.3SG break.PTCP.F.SG | \glt `An inhabitant of Medel had a clock from the Black Forest that was broken.',ex:trans2,\gll In dé […] \textbf{partgirava} in buép [\textbf{laṣ} \textbf{vacas}] sén Vòns. | \gls INDEF.M.SG day … mind.IMPF.3SG INDEF.M.SG boy \DB{DEF.F.PL} cow.PL up PN | \glt `One day [...] a boy was taking care of the cows at Vons.',ex:trans:indir,\gll A quaj gang \textbf{udéva} [\textbf{dad} \textbf{òmaṣdús}]. | \gls and DEM.M.SG corridor belong.IMPF.3SG \DB{DAT} both.M.PL | \glt `And this corridor belonged to both [families].',ex:ditrans1,\gll [...] [\textbf{mia} \textbf{carèzja}] tgu stù \textbf{dá} [\textbf{da} \textbf{quèlas}]. | \gls … \DB{POSS.1SG.F.SG} love REL.1SG must.PRS.1SG give.INF \DB{DAT} DEM.F.PL | \glt `[...] my love that I have to give them.',ex:ditrans2,\gll […] Nossadùna lèva \textbf{dá} [\textbf{li} \textbf{gjuven} \textbf{préjr}] [\textbf{ina} \textbf{rancùnusciantscha} pal \textbf{survètsch}]. | \gls … Our_Lady.F.SG want.IMPF.3SG give \DB{DAT} young.M.SG priest \DB{INDEF.F.SG} mark_of_gratitude.F.SG for.DEF.M.SG favour | \glt `[…] the Holy Virgin wanted to give the young priest a mark of gratitude for the favour [he had done her].',ex:ditrans2,\gll […] Nossadùna lèva \textbf{dá} [\textbf{li} \textbf{gjuven} \textbf{préjr}] [\textbf{ina} \textbf{rancùnusciantscha} pal \textbf{survètsch}]. | \gls … Our_Lady.F.SG want.IMPF.3SG give \DB{DAT} young.M.SG priest \DB{INDEF.F.SG} mark_of_gratitude.F.SG for.DEF.M.SG favour | \glt `[…] the Holy Virgin wanted to give the young priest a mark of gratitude for the favour [he had done her].',ex:trans:2DO,\gll [...] ina zagríndara […] \textbf{ò} \textbf{dumandau} [\textbf{la} \textbf{mùma} \textbf{da} \textbf{tgèsa}] [\textbf{in} \textbf{tgavégl} \textbf{da} \textbf{sia} \textbf{buéba}]. | \gls … INDEF.F.SG Yenish … have.PRS.3SG ask.PTCP.UNM \DB{DEF.F.SG} mother of house.F \db{one} hair of POSS.3SG.F.SG girl | \glt `[…] a Yenish woman [...] asked the mother of the house for one hair from her daughter.',ex:trans:2DO,\gll [...] ina zagríndara […] \textbf{ò} \textbf{dumandau} [\textbf{la} \textbf{mùma} \textbf{da} \textbf{tgèsa}] [\textbf{in} \textbf{tgavégl} \textbf{da} \textbf{sia} \textbf{buéba}]. | \gls … INDEF.F.SG Yenish … have.PRS.3SG ask.PTCP.UNM \DB{DEF.F.SG} mother of house.F \db{one} hair of POSS.3SG.F.SG girl | \glt `[…] a Yenish woman [...] asked the mother of the house for one hair from her daughter.'
Verb phrase,The verb\label{sec:4.1,Verbal morphology\label{sec:4.1.1,,,Verb forms that end in -n in the first and third person singular \isi{present indicative} take a \isi{euphonic} -d before /j/ (\ref{ex:euph1} and \ref{ex:euph2}) or a vowel (\ref{ex:euph3}).,ex:euph1,Not found,ex:euph2,Not found,ex:euph3,Not found,,,,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Verbal morphology\label{sec:4.1.1,Auxiliary verbs\label{sec:4.1.1.1,,"In the third person singular and plural present and \isi{imperfect}, the verb èssar `be' has a special form when there is \isi{subject inversion} (which includes polar interrogatives): ásaj, ṣaj ṣè, and ṣèn, as well as ṣèra and ṣèran (\ref{ex:se1}--\ref{ex:se3}). These forms go back to \ili{Standard Sursilvan}, where igl ei `\textsc{expl} + \textsc{cop.prs.3sg}' is realised as eiṣ ei `is it' with \isi{subject inversion} (/ajzaj/ > /azaj/ > /zaj/ < /zɛ/). In contrast to \ili{Standard Sursilvan}, the form of the copula does not include an \isi{expletive pronoun} in (\ref{ex:se1}--\ref{ex:se3}).",ex:se1,"\gll Òz \textbf{ṣè} quaj ah, òz \textbf{ṣèni} schòn autar, òz \textbf{ṣèn} \textbf{aj} ... la stradún. | \gls today COP.PRS.3SG DEM.UNM eh today COP.PRS.3PL.3PL in_fact different today COP.PRS.3PL 3PL … DEF.F.SG street.M.SG.AUGM | \glt `Nowadays this is, eh, as a matter of fact they are different, nowadays they are [called] ... the «big street».'",ex:se3,\gll \textbf{Ṣè} quaj usché? | \gls COP.PRS.3SG DEM.UNM so | \glt `Is this so?',ex:se1,"\gll Òz \textbf{ṣè} quaj ah, òz \textbf{ṣèni} schòn autar, òz \textbf{ṣèn} \textbf{aj} ... la stradún. | \gls today COP.PRS.3SG DEM.UNM eh today COP.PRS.3PL.3PL in_fact different today COP.PRS.3PL 3PL … DEF.F.SG street.M.SG.AUGM | \glt `Nowadays this is, eh, as a matter of fact they are different, nowadays they are [called] ... the «big street».'",ex:se3,\gll \textbf{Ṣè} quaj usché? | \gls COP.PRS.3SG DEM.UNM so | \glt `Is this so?',,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Verbal morphology\label{sec:4.1.1,Auxiliary verbs\label{sec:4.1.1.1,,Children and very occasionally also older people generalise this form and use it without \isi{subject inversion} (\ref{ex:se4}--\ref{ex:se6}).,ex:se4,\gll \textbf{I} \textbf{ṣè} vit. | \gls EXPL COP.PRS.3SG empty.ADJ.UNM | \glt `It is empty.',ex:se6,Not found,,,,,,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Verbal morphology\label{sec:4.1.1,Auxiliary verbs\label{sec:4.1.1.1,,In (\ref{ex:copexpl}) the form of the copula ṣè does include an \isi{expletive pronoun} as in the \ili{Standard Sursilvan} form noted above.,ex:copexpl,Not found,,,,,,,,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Usage of non-finite and finite verbal categories\label{sec:4.1.2,Non-finite categories\label{sec:4.1.2.1,Past participle\label{sec:4.1.2.1.1,"The \isi{past participle} is used to form compound (\ref{ex:ptcp1}) and \isi{doubly-compound tenses} (\ref{ex:dcomp:3}) as well as \isi{passive voice} (\ref{ex:ptcp2}); it is furthermore used attributively and predicatively and may also be nominalised (\ref{ex:ptcp3} and \ref{ex:ptcp4}), usually in its feminine form. If the \isi{auxiliary verb} is èssar `be', the participle agrees with the \isi{subject} (\ref{ex:ptcp1}).",ex:ptcp1,\gll [...] ju \textbf{sùn} \textbf{stauṣ} al davùs purtgè … da Sadrún~[...]. | \gls … 1SG be.PRS.1SG COP.PTCP.M.SG DEF.M.SG last swineherd … of PN | \glt `[...] I was the last swineherd … of Sedrun [...].',ex:dcomp:3,\gll Nuṣ \textbf{vajn} adina \textbf{gju} \textbf{fatg} parada. | \gls 1PL have.PRS.1PL always have.PTCP.UNM make.PTCP.UNM parade.F.SG | \glt `We always held a parade.',ex:ptcp2,"\gll A … tgu \textbf{sùn} \textbf{vagnida} \textbf{panṣjunada} scha … ju fagèva zuar schòn avaun majnadistríct~[...]. | \gls and … when.1SG be.PRS.1SG PASS.AUX.PTCP.F.SG pension_off.PTCP.F.SG CORR … 1SG do.IMPF.1SG although already before head_of_district.M.SG | \glt `And … when I got pensioned off … as a matter of fact, I had already worked as head of district before [...].'",ex:ptcp3,Not found,ex:ptcp4,Not found,ex:ptcp1,\gll [...] ju \textbf{sùn} \textbf{stauṣ} al davùs purtgè … da Sadrún~[...]. | \gls … 1SG be.PRS.1SG COP.PTCP.M.SG DEF.M.SG last swineherd … of PN | \glt `[...] I was the last swineherd … of Sedrun [...].',,,,,,,,
Verb phrase,The verb\label{sec:4.1,Usage of non-finite and finite verbal categories\label{sec:4.1.2,Non-finite categories\label{sec:4.1.2.1,Past participle\label{sec:4.1.2.1.1,"If the \isi{past participle} is used in compound tenses with the \isi{auxiliary} \isi{èssar} `be' or in \isi{passive} constructions, it is treated like an \isi{adjective}, which means that (a) it agrees with the \isi{subject} of the \isi{verb} (\ref{ex:ptcp:agr1}), thus if the \isi{subject} has no \isi{gender}, the participle takes its \isi{unmarked} form (\ref{ex:ptcp:agr2}), and (b) if in a \isi{passive} construction the \isi{subject} follows the participle, it does not agree with it (\ref{ex:ptcp:agr3} and \ref{ex:ptcp:agr5}) (see also \sectref{sec:5.5.4}).",ex:ptcp:agr1,Not found,ex:ptcp:agr2,"\gll Òh \textbf{gl’} \textbf{ampréndar} \textbf{tudèstg} è \textbf{stau}, l’ antschata ṣè \textbf{quaj} schòn \textbf{stau} in téc curjù̱s. | \gls oh DEF.M.SG learn.INF German.M.SG be.PRS.3SG COP.PTCP.UNM DEF.F.SG beginning be.PRS.3SG DEM.UNM indeed COP.PTCP.UNM INDEF.M.SG bit strange.ADJ.UNM | \glt `Oh, to learn German was, at the beginning this was indeed a little bit strange.'",ex:ptcp:agr3,"\gll Quaj è pròpi in ljuc ... nù tg’ \textbf{i} \textbf{vagnéva} \textbf{schau} tùt \textbf{la} \textbf{munizjun} tg’ i vèva, sigir. | \gls DEM.UNM COP.PRS.3SG exactly INDEF.M.SG place … where REL EXPL PASS.AUX.IMPF.3SG leave.PTCP.UNM all DEF.F.SG munition REL EXPL EXIST.IMPF.3SG sure.ADJ.UNM | \glt `This is exactly a place ... where all the munition was stored, for sure.'",ex:ptcp:agr5,\gll A lò … sén quaj intènt ségi è \textbf{vagnú} \textbf{bagagjau} \textbf{quèla} \textbf{caplùta}. | \gls and there … upon DEM.M.SG undertaking be.PRS.SBJV.3SG also PASS.AUX.PTCP.UNM build.PTCP.UNM DEM.F.SG chapel | \glt `And there … after this undertaking this chapel was built.',,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Usage of non-finite and finite verbal categories\label{sec:4.1.2,Non-finite categories\label{sec:4.1.2.1,Past participle\label{sec:4.1.2.1.1,"If the \isi{past participle} is used attributively, the masculine singular form does not take the \isi{predicative} -s if it has no complements as in in ùm panṣjunau `a retired man'; if it has complements, the participle is treated like a \isi{predicative adjective} and takes -s and can thus be considered an elliptic \isi{relative clause} (\ref{ex:ptcp:pred2}).",ex:ptcp:pred2,\gll Al \textbf{tètg} da duaṣ alas \textbf{fatg-} \textbf{s} \textbf{cun} \textbf{ajssas} \textbf{bétga} \textbf{splanadas} […] aj sén latas. | \gls DEF.M.SG roof of two.F side.PL make.PTCP- M.SG with plank.F.PL NEG plane.PTCP.F.PL … COP.PRS.3SG on slat.F.PL | \glt `The two-sided roof made of planks that haven',,,,,,,,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Usage of non-finite and finite verbal categories\label{sec:4.1.2,Non-finite categories\label{sec:4.1.2.1,Past participle\label{sec:4.1.2.1.1,The negator bétga and some \isi{temporal adverbs} may intervene between the \isi{auxiliary verb} and the \isi{past participle} (\ref{ex:betgasynt1}--\ref{ex:betgasynt5}).,ex:betgasynt1,Not found,ex:betgasynt5,"\gll [...] avaun nus èra sagir al tgavrè \textbf{era} \textbf{schòn} jus culas tgauras, lèz mava lu èra. | \gls … before 1PL be.IMPF.3SG sure DEF.M.SG goatherd also already go.PTCP.M.SG with.DEF.F.PL goat.PL DEM.M.SG go.IMPF.3SG then also | \glt `[...] before us the goatherd had certainly already gone with the goats, he also used to go.'",,,,,,,,,,,,,,,,
Verb phrase,The verb\label{sec:4.1,Usage of non-finite and finite verbal categories\label{sec:4.1.2,Non-finite categories\label{sec:4.1.2.1,Past participle\label{sec:4.1.2.1.1,"If two clauses which both contain a a compound verb form are conjoined, either the \isi{subject} (\ref{ex:diff:aux1}) or the \isi{subject} and the \isi{auxiliary} of the second or third verb may be omitted (\ref{ex:diff:aux3}). Note that the \isi{subject} and the \isi{auxiliary verb} may also be omitted if the second or third verb requires another \isi{auxiliary} as in the first clause. An example is (\ref{ex:diff:aux2}), where lavá `get up' requires èssar `be' and mirá `look' vaj `have'.",ex:diff:aux1,Not found,ex:diff:aux3,\gll Èl \textbf{ò} \textbf{príu} las duas sadjalas groma ad \textbf{è} \textbf{juṣ} òd tégja a \textbf{ṣvanjus}. | \gls 3SG have.PRS.3SG take.PTCP.UNM DEF.F.PL two.F bucket.PL cream.F.SG and be.PRS.3SG go.PTCP.M.SG out_of hut.F.SG and disappear.PTCP.M.SG | \glt `He [the devil] took the two buckets full of cream and left the hut and disappeared.',ex:diff:aux2,\gll La damaun \textbf{èssan} aun \textbf{lavaj} baud a \textbf{mirau} da nòs tiars. | \gls DEF.F.SG morning be.PRS.1PL still get_up.PTCP.M.PL early and look.PTCP.UNM of POSS.1PL.M.PL animal.PL | \glt `In the morning we got up early and looked after our animals.',,,,,,,,,,,,,,
