Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Clause-level syntax\label{sec:11,Basic constituent order\label{sec:11.1,,,,"The minimal constituents of an \isi{intransitive} clause are a subject (S) and a verb (V); a \isi{transitive} clause consists of these two elements as well as an object (O). Stated in terms more agnostic with respect to notions of subjecthood and objecthood, an \isi{intransitive} clause consists of a single argument (S) and a verb (V), whereas a \isi{transitive} clause consists of a more \isi{agent}-like argument (A), a more \isi{patient}-like argument (P), and a verb (V). The basic ordering of these elements is given in \REF{ex:clause:1}.",ex:clause:1,Not found,,,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Basic constituent order\label{sec:11.1,,,,"Although various \isi{pragmatic} factors may affect the ordering (or overt expression) of elements in a clause, Ulwa nevertheless has a fairly rigid ordering of constituents. The order presented in \REF{ex:clause:1} is used for essentially all \isi{active-voice} clauses. In the \isi{intransitive} clauses presented in \REF{ex:clause:2} through \REF{ex:clause:6}, the subject is in \textbf{bold}. The verb is always the final element of the clause.",ex:clause:1,Not found,ex:clause:2,\gsrc \textbf{Alum mï} sap. | \gll \textbf{alum} \textbf{mï} sa-p | \gls child 3SG.SUBJ cry-PFV | \glt `The baby cried.’,ex:clause:6,\gsrc \textbf{Alum} uleplïnda. | \gll \textbf{alum} ulep-lï-nda | \gls child jump-put-IRR | \glt `The child will jump.’,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Basic constituent order\label{sec:11.1,,,,"In the \isi{transitive} clauses given in \REF{ex:clause:7}, \REF{ex:clause:8}, and \REF{ex:clause:9}, the subject (or more \isi{agent}ive participant) is in \textbf{bold}, and the object (or more \isi{patient}ive participant) is underlined. The verb is always the final element of the clause.\footnote{Note that \isi{object-marker} \isi{clitic}s have been underlined in examples \REF{ex:clause:8} and \REF{ex:clause:9}, although they \isi{clitic}ize to the following verb. See \sectref{sec:7.2} for more on \isi{object marker}s and \sectref{sec:9.2} for a discussion of their \isi{syntactic} place within the \isi{verb phrase}.}",ex:clause:7,\gsrc \textbf{Itom mï} uta walinda. | \gll \textbf{itom} \textbf{mï} uta wali-nda | \gls father 3SG.SUBJ bird hit-IRR | \glt `Father will shoot a bird.’,ex:clause:8,\gsrc \textbf{Alimban mï} apa mayte. | \gll \textbf{Alimban} \textbf{mï} apa ma=ita-e | \gls [name] 3SG.SUBJ house 3SG.OBJ=build-IPFV | \glt `Alimban is building the house.’,ex:clause:9,\gsrc \textbf{Apa mï} alum masap. | \gll \textbf{apa} \textbf{mï} alum ma=asa-p | \gls house 3SG.SUBJ child 3SG.OBJ=hit-PFV | \glt `The house killed the child.’,ex:clause:8,\gsrc \textbf{Alimban mï} apa mayte. | \gll \textbf{Alimban} \textbf{mï} apa ma=ita-e | \gls [name] 3SG.SUBJ house 3SG.OBJ=build-IPFV | \glt `Alimban is building the house.’,ex:clause:9,\gsrc \textbf{Apa mï} alum masap. | \gll \textbf{apa} \textbf{mï} alum ma=asa-p | \gls house 3SG.SUBJ child 3SG.OBJ=hit-PFV | \glt `The house killed the child.’,,,,,,,,,,
Clause-level syntax\label{sec:11,Basic constituent order\label{sec:11.1,,,,"As is suggested by example \REF{ex:clause:9}, in which the subject/\isi{agent} is \isi{inanimate} and the object/\isi{patient} is \isi{animate}, notions of \isi{agent}ivity or \isi{patient}ivity are not intrinsic to NPs based on their referents. That is, principles such as the \isi{animacy hierarchy} \label{ref:RNDui1Xjf4uVA}\citep{Silverstein1976} play no role in determining \isi{constituent order} (or \isi{core argument alignment}, \sectref{sec:11.2}) in Ulwa.",ex:clause:9,\gsrc \textbf{Apa mï} alum masap. | \gll \textbf{apa} \textbf{mï} alum ma=asa-p | \gls house 3SG.SUBJ child 3SG.OBJ=hit-PFV | \glt `The house killed the child.’,,,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Basic constituent order\label{sec:11.1,,,,"This S(O)V order is rigid for most clause types. However, it is possible for the subject (S) constituent to be omitted when its referent is clear from context. Ulwa may thus be considered a \isi{pro-drop} language. However, while subjects may be omitted, it is not common for objects to be omitted: a \isi{transitive} clause generally must, at the very least, contain an \isi{object marker} \isi{proclitic}. Sentences \REF{ex:clause:10} through \REF{ex:clause:20} illustrate sentences with unexpressed subjects.",ex:clause:10,\gsrc Wop. | \gll wo-p | \gls sleep-PFV | \glt `[He] slept.’,ex:clause:20,\gsrc Ko angwena man inim atïna ne? | \gll ko angwena ma=n inim atï-na na-i | \gls just why 3SG.OBJ=OBL water hit-IRR DETR-go.PFV | \glt `Why did [you] just go to throw it in the water?’,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Basic constituent order\label{sec:11.1,,,,"Sometimes, in \isi{transitive} clauses, emphasis can be placed on an object by fronting it to the beginning of the clause. Even in such instances, however, the order of the clause (following this arguably preclausal element) is usually still SOV, since the referent of the fronted object invariably appears again in the clause, marked by an \isi{agreement} marker immediately preceding the verb, as in examples \REF{ex:clause:21} through \REF{ex:clause:24}.",ex:clause:21,\gsrc \textbf{Nïnji alum ndï} nï Wopata ndape \textbf{ndinap}. | \gll \textbf{nï-nji} \textbf{alum} \textbf{ndï} nï Wopata anda=p-e \textbf{ndï=}ina-p | \gls 1SG-POSS child 3PL 1SG [place] SG.DIST=be{-dep} 3PL=get-PFV | \glt `My children -- I had them when I was there at Wopata.’,ex:clause:24,\gsrc \textbf{Nïnji yenat ngala} nï nan \textbf{ndït}: … | \gll \textbf{nï-nji} \textbf{yenat} \textbf{ngala} nï na=n \textbf{ndï}=ta | \gls 1SG-POSS daughter PL.PROX 1SG talk=OBL 3PL=say | \glt `My daughters -- I told them: …’,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Core argument alignment\label{sec:11.2,,,,"The three basic core arguments of all clause types may be considered to be S, A, and P \REF{ex:clause:24a}.\footnote{P is also sometimes identified as O in the literature.}",ex:clause:24a,Not found,,,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Core argument alignment\label{sec:11.2,,,,"S and A occur in the same position in the clause (namely, clause-initially), whereas P occurs after S and before the verb. Since there is no \is{core argument} core-argument \isi{case morphology} in Ulwa, it is generally fruitless to talk about “\isi{nominative}” and “\isi{accusative}” or “\isi{ergative}” and “\isi{absolutive}” NPs in Ulwa (at least in terms of \isi{morphological} marking). There is, however, one important distinction found in 3\textsc{sg} \isi{pronoun}s and \isi{determiner}s (i.e., \isi{subject marker}s and \isi{object marker}s). Whereas the 3\textsc{sg} subject form is /mï/, the 3\textsc{sg} object form is /ma=/ \REF{ex:clause:24b}. The fact that third-\isi{singular} S and A NPs are both marked with mï ‘3\textsc{sg.subj}’, whereas third-\isi{singular} P NPs are marked with ma= ‘3\textsc{sg.obj}’ is further indication of \isi{accusative alignment}.",ex:clause:24b,Not found,,,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Core argument alignment\label{sec:11.2,,,,"Finally, there is no evidence of Ulwa exhibiting \isi{syntactic ergativity} (\citealt[62--63]{Dixon1979}). Thus, for example, in \isi{coordinate} constructions (\sectref{sec:12.1}), coreference is possible between S and A but not between S and P. In \REF{ex:clause:25}, the omitted S argument of the second clause must be understood to refer to the stated A argument (yana ‘woman’) of the first clause.",ex:clause:25,Not found,,,,,,,,,,,,,,,,,,
Clause-level syntax\label{sec:11,Core argument alignment\label{sec:11.2,,,,"Similarly, in sentence \REF{ex:clause:26}, the A argument Kolpe must be understood to be the omitted S argument of the second clause, and it would be impossible for the P argument mana ‘spear’ to be understood as such.",ex:clause:26,Not found,,,,,,,,,,,,,,,,,,
