Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"Ulwa makes frequent use of a class of what are termed here “subject markers”. These are a set of postnominal determiners that occur in subject \isi{noun phrase}s. Though never obligatory, they are very common. When present, they always occur as the final element of their NP. The three basic subject markers have the same form as, and are clearly related to, the third \isi{person} subject \isi{pronoun}s described in \sectref{sec:6.1}. The subject markers are given in \REF{ex:det:1}.\footnote{The 3\textsc{sg} subject-marker \is{subject marker} form /mï/ is glossed as ‘3\textsc{sg.subj}’, since it is formally distinct from the 3\textsc{sg} \isi{object-marker} form /ma=/, which is glossed as ‘3\textsc{sg.obj’}.}",ex:det:1,Not found,,,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"The \isi{subject marker} can occur with either \isi{animate} or \isi{inanimate} referents, as seen in examples \REF{ex:det:2} through \REF{ex:det:7}. In these examples, each NP marked by a \isi{subject marker} is translated with the \ili{English} definite article ‘the’. This reflects the fact that subject markers (as determiners) may function to signal \isi{definiteness} (or \isi{specificity}) in a referent. That said, it is often possible to translate NPs with subject markers with the \ili{English} \isi{indefinite} article ‘a, an’ or with no article at all. Indeed, the \isi{semantic} range and discourse functions of these articles remain largely unknown to me.",ex:det:2,\gsrc Mana \textbf{mï} liyu. | \gll mana \textbf{mï} li-u | \gls spear 3SG.SUBJ down-put | \glt `The spear fell.’,ex:det:7,\gsrc Tïn \textbf{min} mo maka lamndu kon anmbas. | \gll tïn \textbf{min} ma=u maka lamndu ko=n an-mbï-asa | \gls dog 3DU 3SG.OBJ=from thus pig INDF=OBL out-here-hit | \glt `The two dogs thus chased a pig out from there.’,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"These examples illustrate how subject markers can indicate whether a \isi{common noun} subject is \isi{singular}, as in \REF{ex:det:2}, \REF{ex:det:3}, and \REF{ex:det:4}; \isi{plural}, as in \REF{ex:det:5} and \REF{ex:det:6}; or \isi{dual}, as in \REF{ex:det:7}. Subject markers can also be used with \isi{proper noun}s, as in \REF{ex:det:8} and \REF{ex:det:9}.",ex:det:2,\gsrc Mana \textbf{mï} liyu. | \gll mana \textbf{mï} li-u | \gls spear 3SG.SUBJ down-put | \glt `The spear fell.’,ex:det:3,\gsrc Wot yana \textbf{mï} lïmndï mala. | \gll wot yana \textbf{mï} lïmndï ma=ala | \gls younger woman 3SG.SUBJ eye 3SG.OBJ=see | \glt `The younger sister saw her.’,ex:det:4,\gsrc Sokoy \textbf{mï} ango anmap tembi. | \gll sokoy \textbf{mï} ango anma=p tembi | \gls tobacco 3SG.SUBJ NEG good=COP bad | \glt `The tobacco isn’t good; [it’s] bad.’,ex:det:5,\gsrc Itom \textbf{ndï} isin ndïwanap. | \gll itom \textbf{ndï} isi=n ndï=wana-p | \gls father 3PL soup=OBL 3PL=cook-PFV | \glt `The men cooked them in soup.’,ex:det:6,\gsrc Alum \textbf{ndï} se. | \gll alum \textbf{ndï} sa-e | \gls child 3PL cry-IPFV | \glt `The children were crying.’,ex:det:7,\gsrc Tïn \textbf{min} mo maka lamndu kon anmbas. | \gll tïn \textbf{min} ma=u maka lamndu ko=n an-mbï-asa | \gls dog 3DU 3SG.OBJ=from thus pig INDF=OBL out-here-hit | \glt `The two dogs thus chased a pig out from there.’,ex:det:8,"\gsrc Tarambi \textbf{mï} ita nï asilaka man makïna. | \gll Tarambi \textbf{mï} i-ta nï asi-la-ka ma=n ma=kï-na | \gls [name] 3SG.SUBJ go.PFV-COND 1SG sit-IRR-let 3SG.OBJ=OBL 3SG.OBJ=say-IRR | \glt `When Tarambi comes, I will sit and tell him.’",ex:det:9,\gsrc Kumba \textbf{ndï} wolka anul anmbi. | \gll Kumba \textbf{ndï} wolka an=ul an-mbï-i | \gls Bun 3PL again 1PL.EXCL=with out-here-go.PFV | \glt `Again the [people from] Bun [village] came out with us.’,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"Subject markers can also be used with recent \isi{loanword}s, as in \REF{ex:det:10}, which contains the \ili{Tok Pisin} word polis ‘police’.",ex:det:10,\gsrc Polis \textbf{ndï} ndiya ata ma keka namndu ndïwalinda. | \gll polis \textbf{ndï} ndï=iya ata ma keka namndu ndï=wali-nda | \gls police 3PL 3PL=toward up go completely pig 3PL=hit-IRR | \glt `The police will go up to them and completely kill the pigs.’,,,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"Throughout the examples in this grammar, subject markers are glossed with a ‘3’ (for third \isi{person}).\footnote{This is done for two reasons: first, the forms of the subject markers are identical to those of the third \isi{person} \isi{personal pronoun}s; second, subject markers can only appear with third \isi{person} \isi{noun phrase}s. They never occur with first \isi{person} or second \isi{person} \isi{noun phrase}s. Thus, they do indeed index the third \isi{person}.} Subject markers never appear with \isi{personal pronoun}s.\footnote{Thus, the following sequences are ungrammatical: *nï mï, *ngunan min, *min min, *un ndï, *ndï ndï, and so on. However, subject markers may follow certain other pronominal forms, such as \is{indefinite pronoun} indefinite or \isi{interrogative pronoun}s, although some usages may be only marginally acceptable (see \sectref{sec:6.4} and \sectref{sec:6.5}).} Although apparently not obligatory, subject markers can be useful for clarifying meaning in certain circumstances. First, since \isi{adjective}s (as well as \isi{possessive pronoun}s) may be used substantively, the presence of a \isi{subject marker} may clarify that an \isi{adjective} or other modifier is functioning as the subject of the sentence, as in \REF{ex:det:11} and \REF{ex:det:12}.",ex:det:11,\gsrc \textbf{Ambi mï} keka mat nin ndïl. | \gll \textbf{ambi} \textbf{mï} keka ma=tï nin ndï=lï | \gls big 3SG.SUBJ completely 3SG.OBJ=take thorn 3PL=put | \glt `The big one [= a pig] completely got him and put [him] on thorns.’,ex:det:12,\gsrc \textbf{Nïnji ndï} anma iye. | \gll \textbf{nï-nji} \textbf{ndï} anma i-e | \gls 1SG-POSS 3PL good go.PFV-DEP | \glt `My [comrades] came [home] well.’,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"Also, in \is{equative predication} equative or \is{attributive predication} attributive sentences that lack any overt verb form (i.e., sentences that contain no overt \isi{copula}, \sectref{sec:10.1}), the \isi{subject marker} helps to break the clause into two halves: everything up to and including the \isi{subject marker} is clearly the subject of the clause; everything following must be the \isi{predicate}, as illustrated by sentences \REF{ex:det:13} through \REF{ex:det:16}, in which square brackets enclose first the [subject] and then the [\isi{predicate}].",ex:det:13,\gsrc Ulum \textbf{ndï} ndïnji alo. | \gll {[ulum} {\textbf{ndï}]} {[ndï-nji} ala {wo]} | \gls {[palm} {3PL]} {[3PL-POSS} PL.DIST {own]} | \glt ‘The sago palms are their very own.’,ex:det:16,\gsrc Supam Sinanam \textbf{min} atana wot. | \gll {[Supam} Sinanam {\textbf{min}]} {[atana} {wot]} | \gls {[[name]} {[name]} {3DU]} {[older.sister} {younger]} | \glt `Supam and Sinanam were sisters.’,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"Example \REF{ex:det:16} further illustrates how \isi{coordinate}d subjects that lack any overt \isi{coordinator} (\sectref{sec:12.1}) may be clarified as such by means of the \isi{subject marker}. The \isi{subject marker} is all the more valuable in this regard when one or more of the members of the conjoined subject is left unexpressed. In example \REF{ex:det:17}, the \isi{dual} marker indicates that there are two subjects, even though only one is expressed.",ex:det:16,\gsrc Supam Sinanam \textbf{min} atana wot. | \gll {[Supam} Sinanam {\textbf{min}]} {[atana} {wot]} | \gls {[[name]} {[name]} {3DU]} {[older.sister} {younger]} | \glt `Supam and Sinanam were sisters.’,ex:det:17,\gsrc \textbf{Carobim min} wa mape. | \gll \textbf{Carobim} \textbf{min} wa ma=p-e | \gls [name] 3DU village 3SG.OBJ=be{-ipfv} | \glt `Carobim and he [= Danny] were in the village.’,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"Thus, in addition to serving as an indicator of \isi{number}, the \isi{subject marker} can function as an \isi{associative plural} marker (or \isi{associative dual} marker) -- that is, when following a noun, a \isi{subject marker} can be used to give the interpretation of “that noun plus others associated with it”. In this way, the \isi{dual} \isi{subject marker} indexes that exactly one associated referent is to be understood, whereas the \isi{plural} \isi{subject marker} indexes that two or more additional referents are to be understood. This \isi{associative plural} function of subject markers (or \isi{object marker}s) is most commonly used with \isi{personal noun}s. An example with a \isi{plural} \isi{subject marker} is given in \REF{ex:det:18}.",ex:det:18,\gsrc \textbf{Dorothy ndï} molop. | \gll \textbf{Dorothy} \textbf{ndï} ma=lo-p | \gls [name] 3PL 3SG.OBJ=go-PFV | \glt `Dorothy and the others went there.’,,,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,An example of an \isi{object marker} (\sectref{sec:7.3}) functioning as an \isi{associative plural} marker is given in \REF{ex:det:19}.,ex:det:19,\gsrc \textbf{Otto} \textbf{ndïkïna}. | \gll \textbf{Otto} \textbf{ndï}=kï-na | \gls [name] 3PL=say-IRR | \glt `[We] will tell Otto and the others.’,,,,,,,,,,,,,,,,,,
Determiners\label{sec:7,Subject markers\label{sec:7.1,,,,"In other circumstances, the \isi{subject marker} can help prevent a subject from being misinterpreted as being an object or \isi{oblique}. Since it is common for subjects to be omitted, the absence of a \isi{subject marker} could lead to such a miscue. The elicited sentence \REF{ex:det:20} is ambiguous, since yeta nungol ‘boys’ could be interpreted either as the subject (without a \isi{subject marker}) or as the object (with a \isi{pro-drop}ped subject); in sentence \REF{ex:det:21}, on the other hand, the subject is clearly defined because it contains the \isi{subject marker}.",ex:det:20,\gsrc Yeta nungol ndïnap le. | \gll yeta nungol ndï=nap lo-e | \gls man child 3PL=for go-IPFV | \glt (a) ‘The boys would go around on account of them [the girls].’\\’,ex:det:21,\gsrc \textbf{Yeta nungol ndï} ndïnap le. | \gll \textbf{yeta} \textbf{nungol} \textbf{ndï} ndï=nap lo-e | \gls man child 3PL 3PL=for go-IPFV | \glt `The boys would go around on account of them [= the girls].’,,,,,,,,,,,,,,,,
