Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
The structural consequences of language loss\label{sec:15,Phonological changes\label{sec:15.2,,,,"Even though the number of native \isi{lexical} items used in speech appears to have diminished, even among the oldest speakers, Ulwa’s native \isi{phonology} seems still to be intact. In other words, there are not any indications that older speakers have \isi{shift}ed their \is{phonology} phonologies due to influences from \ili{Tok Pisin}. In fact, many speakers impose Ulwa \isi{phonotactics} on their variety of \ili{Tok Pisin}. For example, older Ulwa speakers often produce [l] for /r/ in \ili{Tok Pisin} words, as in \REF{ex:loss:1a}.",ex:loss:1a,Not found,,,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Phonological changes\label{sec:15.2,,,,"Ulwa speakers often also \isi{prenasalize} all \isi{voiced} \isi{stop}s in \ili{Tok Pisin}, as in \REF{ex:loss:1b}.",ex:loss:1b,Not found,,,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"A very common form of this \isi{morphosyntactic} calquing from \ili{Tok Pisin} is the use of the \isi{locative verb} form wap ‘be.\textsc{pst}’ as an \isi{auxiliary verb} following the main verb to signal \isi{continuous}, \isi{progressive}, or \isi{habitual} \isi{aspect}. This may have been derived thanks to the very similar role of stap ‘be’ in \ili{Tok Pisin}. Not only does the Ulwa \isi{suffix} parallel the \ili{Tok Pisin} word in meaning (both are used in \isi{locative clause}s), but it also resembles the \ili{Tok Pisin} word \isi{phonological}ly (the two forms rhyme). In example \REF{ex:loss:1}, the \isi{perfective} form of the verb is used, but with the form wap ‘be.\textsc{pst’} following it to signal \isi{continuous} action in the past.",ex:loss:1,"\gsrc Iya nï imba pe \textbf{i wap}. | \gll iya nï imba p-e \textbf{i} \textbf{wap} | \gls yes 1SG night be-DEP go.PFV be.PST | \glt `Yes, I was going at night.’",,,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"In the immediately following sentence, however, the speaker “corrects” to the more traditional means of expressing \isi{past} \isi{continuous} action, which is an \isi{imperfective} verb form \REF{ex:loss:2}.",ex:loss:2,\gsrc Imba pe \textbf{mane} … | \gll imba p-e \textbf{ma-n-e} | \gls night be-DEP go-IPFV-DEP | \glt `[I] was going at night and …’,,,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"Sentences such as \REF{ex:loss:1} are thus likely influenced by structures in \ili{Tok Pisin}. To express \isi{continuous} action, \ili{Tok Pisin} employs the marker i stap (the \isi{predicate marker} i ‘\textsc{pred’} + stap ‘be’). Moreover, the chance similarity between the \ili{Tok Pisin} \isi{predicate marker} i ‘\textsc{pred’} and the Ulwa verb i ‘go.\textsc{pfv}’ has perhaps further influenced the adoption of this construction.",ex:loss:1,"\gsrc Iya nï imba pe \textbf{i wap}. | \gll iya nï imba p-e \textbf{i} \textbf{wap} | \gls yes 1SG night be-DEP go.PFV be.PST | \glt `Yes, I was going at night.’",,,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"In \REF{ex:loss:3}, wap ‘be.\textsc{pst’} serves a \isi{habitual} function. Here it follows a verb that is already marked as \isi{imperfective}.",ex:loss:3,\gsrc Kapos wapata anda matï inde wap. | \gll Kapos wapata anda ma=tï inda-e \textbf{wap} | \gls [name] old SG.DIST 3SG.OBJ=take walk-IPFV be.PST | \glt `That old [man] Kapos used to carry it.’,,,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"Some speakers of Ulwa also make use of \isi{iconic} repetition of verbs to signal \isi{iterative} (or, occasionally, \isi{durative}) \isi{aspect}. This, too, seems influenced from \ili{Tok Pisin}, in which verbs may be repeated to signal \isi{iterative} action (although this could, of course, also reflect a general tendency in languages towards \isi{iconic} representation of iterated activity). Thus, repeated verbs may be used to signal repetitive \REF{ex:loss:4} or \isi{durative} \REF{ex:loss:5} action.",ex:loss:4,"\gsrc \textbf{Ndalep ndalep ndalep} yawt tï nduwep. | \gll \textbf{ndï=ale-p} \textbf{ndï=ale-p} \textbf{ndï=ale-p} yawt tï ndï=we-[u-]p | \gls 3PL=scrape-PFV 3PL=scrape-PFV 3PL=scrape-PFV machete take 3PL=cut-[put-]PFV | \glt `[They] scraped and scraped and scraped them, [and then] got machetes and cut them.’",ex:loss:5,\gsrc Kwa Yalamba wa wap \textbf{mawap mawap mawap}. | \gll kwa Yalamba wa wap \textbf{ma=wap} \textbf{ma=wap} \textbf{ma=wap} | \gls just Korokopa village be.PST 3SG.OBJ=be.PST 3SG.OBJ=be.PS 3SG.OBJ=be.PST | \glt `[He] just stayed at Korokopa village for quite some time.’,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"A form of the verb ‘go’ (often either the root ma- ‘go’ alone or the \isi{suppletive} \isi{perfective} form i ‘go.\textsc{pfv’} with the \isi{detransitivizing} \isi{prefix}, i.e., [nay] or [ne]) may be used to show \isi{iterative} or \isi{durative} \isi{aspect} as well. This, too, parallels some uses of the \ili{Tok Pisin} \isi{progressive} marker i go, and is illustrated in \REF{ex:loss:6} and \REF{ex:loss:7}.",ex:loss:6,\gsrc Mï minyam tï ambïlïp \textbf{naye}. | \gll mï minyam tï ambï=lï-p \textbf{na-i-e} | \gls 3SG.SUBJ feces take SG.REFL=put-PFV DETR-go.PFV-DEP | \glt `He kept soiling himself.’,ex:loss:7,"\gsrc Wopata mapen makape wombïn ndïn ne \textbf{i}. | \gll Wopata ma=p-en maka=p-e wombïn ndï=n ni-e \textbf{i} | \gls [place] 3SG.OBJ=be{-nmlz} thus=be{-dep} work 3PL=OBL act-DEP go.PFV | \glt `Those who lived in Wopata were like this, doing work, for some time.’",,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"As in the \ili{Tok Pisin} \isi{progressive} i go construction, the ‘go’ element in Ulwa may be repeated, even multiple times, as in \REF{ex:loss:8} and \REF{ex:loss:9}.",ex:loss:8,"\gsrc Una awal matane \textbf{nay nay nay nay}. | \gll unan awal ma=ta-n-e \textbf{na-i} \textbf{na-i} \textbf{na-i} \textbf{na-i} | \gls 1PL.INCL yesterday 3SG.OBJ=say-IPFV-DEP DETR-go.PFV DETR-go.PFV DETR-go.PFV DETR-go.PFV | \glt `We kept discussing it yesterday, over and over.’",ex:loss:9,\gsrc Una wombïn nita \textbf{ma ma ma} … | \gll unan wombïn=n ni-ta \textbf{ma} \textbf{ma} \textbf{ma} | \gls 1PL.INCL work=OBL act{-cond} go go go | \glt `And when we work on and on …’,,,,,,,,,,,,,,,,
The structural consequences of language loss\label{sec:15,Morphological changes\label{sec:15.3,,,,"Also likely \isi{calque}d from \ili{Tok Pisin} are some \isi{idiom}atic expressions, such as using the equivalent of stap na kam ‘be (in a place) and come’ to express the notion of coming from a place (here, too, employing wap ‘be.\textsc{pst}’). The Ulwa equivalent of the \ili{Tok Pisin} construction may be seen in \REF{ex:loss:10}.",ex:loss:10,Not found,,,,,,,,,,,,,,,,,,
