Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Nouns\label{sec:3,,,,,"This chapter provides a description of the \isi{morphosyntactic} attributes of nouns in Ulwa. Nouns comprise a large, open class of words. There is no canonical syllabic structure peculiar to nouns beyond the general patterns found in the language (\sectref{sec:2.3}). Nouns can vary in length from being \isi{monosyllabic} (even monophonemic) to being triysllabic or even longer, although it is not common for underived nouns to have more than two \isi{syllable}s. Indeed, many longer nouns appear to \isi{derive} from \isi{compound}ing, \isi{onomatopoeia}, or \isi{loan}s. Some \isi{monosyllabic} nouns are provided in \REF{ex:nouns:1}, some \isi{disyllabic} nouns in \REF{ex:nouns:2}, and some \isi{trisyllabic} nouns in \REF{ex:nouns:3}.",ex:nouns:1,Not found,ex:nouns:2,Not found,ex:nouns:3,Not found,,,,,,,,,,,,,,
Nouns\label{sec:3,,,,,There are not many nouns longer than three \isi{syllable}s. Those that do exist seem mainly to refer to particular flora or fauna \REF{ex:nouns:4}.,ex:nouns:4,Not found,,,,,,,,,,,,,,,,,,
Nouns\label{sec:3,,,,,"Nouns can be defined by their distribution. Only nouns (or \isi{pronoun}s) can serve as subjects or objects of verbs. In practical terms, this means that the first word in a basic \isi{indicative} sentence with overtly expressed arguments will be either a noun or a \isi{pronoun}, since the unmarked SOV \isi{word order} demands a sentence-initial subject and only nouns and \isi{pronoun}s can serve that role.\footnote{However, see \sectref{sec:11.1} on argument omission; \sectref{sec:5.3} on the nominal uses of \isi{adjective}s; and \sectref{sec:8.2} on \isi{adverb}s, whose freer \isi{word order} allows sentence-initial placement.} In examples \REF{ex:nouns:5} and \REF{ex:nouns:6}, both \isi{intransitive} clauses, the noun is the first element in the sentence.",ex:nouns:5,\gsrc \textbf{Alum} mï se. | \gll \textbf{alum} mï sa-e | \gls child 3SG.SUBJ cry-IPFV | \glt `The baby is crying.’,ex:nouns:6,\gsrc \textbf{Ankam} mï nip. | \gll \textbf{ankam} mï ni-p | \gls person 3SG.SUBJ die-PFV | \glt ‘The person died.’,,,,,,,,,,,,,,,,
Nouns\label{sec:3,,,,,"In \isi{transitive} clauses that have overtly expressed objects, there is also typically a noun preceding the verb (again, in accordance with the demands of SOV \isi{word order}). Examples \REF{ex:nouns:7} and \REF{ex:nouns:8} are both \isi{transitive} clauses. In each, there is one noun that is at the beginning of the clause (the subject) and one noun that precedes the verb (the object).",ex:nouns:7,\gsrc \textbf{Tïn} ndï \textbf{mïnda} ndamap. | \gll \textbf{tïn} ndï \textbf{mïnda} ndï=ama-p | \gls dog 3PL banana 3PL=eat-PFV | \glt `The dogs ate the bananas.’,ex:nouns:8,\gsrc \textbf{Sina} mï \textbf{lam} maweyunda. | \gll \textbf{sina} mï \textbf{lam} ma=we-u-nda | \gls knife 3SG.SUBJ meat 3SG.OBJ=cut-put-IRR | \glt `The knife will cut the meat.’,,,,,,,,,,,,,,,,
Nouns\label{sec:3,,,,,"Nouns may also be objects within \isi{postpositional phrase}s, such as the second noun, itom ‘father’, in \REF{ex:nouns:9}.",ex:nouns:9,\gsrc \textbf{I} anma mï keka \textbf{itom} alol i. | \gll \textbf{i} anma mï keka \textbf{itom} ala=ul i | \gls way good 3SG.SUBJ completely father PL.DIST=with go.PFV | \glt `Good behavior has completely gone with [our] fathers.’,,,,,,,,,,,,,,,,,,
Nouns\label{sec:3,,,,,"Nouns may also occur as the subjects of \isi{non-verbal clause}s, such as the noun na ‘talk’ in \REF{ex:nouns:10}.",ex:nouns:10,\gsrc \textbf{Na} ndï tïngïnpe. | \gll \textbf{na} ndï tïngïn=p-e | \gls talk 3PL many=COP-DEP | \glt `There are many arguments.’,,,,,,,,,,,,,,,,,,
Nouns\label{sec:3,,,,,"Nouns may refer to humans, as in \REF{ex:nouns:5}, \REF{ex:nouns:6}, and \REF{ex:nouns:9}; to non-human \isi{animate}s, as in \REF{ex:nouns:7}; or to \isi{inanimate} objects, as in \REF{ex:nouns:8}. They may also refer to abstract concepts, as in \REF{ex:nouns:9} and \REF{ex:nouns:10}. Example \REF{ex:nouns:11} illustrates the use of a \isi{proper noun} that signifies a \isi{location}.",ex:nouns:5,\gsrc \textbf{Alum} mï se. | \gll \textbf{alum} mï sa-e | \gls child 3SG.SUBJ cry-IPFV | \glt `The baby is crying.’,ex:nouns:6,\gsrc \textbf{Ankam} mï nip. | \gll \textbf{ankam} mï ni-p | \gls person 3SG.SUBJ die-PFV | \glt ‘The person died.’,ex:nouns:9,\gsrc \textbf{I} anma mï keka \textbf{itom} alol i. | \gll \textbf{i} anma mï keka \textbf{itom} ala=ul i | \gls way good 3SG.SUBJ completely father PL.DIST=with go.PFV | \glt `Good behavior has completely gone with [our] fathers.’,ex:nouns:7,\gsrc \textbf{Tïn} ndï \textbf{mïnda} ndamap. | \gll \textbf{tïn} ndï \textbf{mïnda} ndï=ama-p | \gls dog 3PL banana 3PL=eat-PFV | \glt `The dogs ate the bananas.’,ex:nouns:8,\gsrc \textbf{Sina} mï \textbf{lam} maweyunda. | \gll \textbf{sina} mï \textbf{lam} ma=we-u-nda | \gls knife 3SG.SUBJ meat 3SG.OBJ=cut-put-IRR | \glt `The knife will cut the meat.’,ex:nouns:9,\gsrc \textbf{I} anma mï keka \textbf{itom} alol i. | \gll \textbf{i} anma mï keka \textbf{itom} ala=ul i | \gls way good 3SG.SUBJ completely father PL.DIST=with go.PFV | \glt `Good behavior has completely gone with [our] fathers.’,ex:nouns:10,\gsrc \textbf{Na} ndï tïngïnpe. | \gll \textbf{na} ndï tïngïn=p-e | \gls talk 3PL many=COP-DEP | \glt `There are many arguments.’,ex:nouns:11,\gsrc U \textbf{Wopata} may. | \gll u \textbf{Wopata} ma=i | \gls 2SG [place] 3SG.OBJ=go.PFV | \glt `You went to Wopata.’,,,,
Nouns\label{sec:3,Nominal inflection\label{sec:3.1,,,,"Sentences \REF{ex:nouns:12} and \REF{ex:nouns:13} illustrate the lack of contrast in nouns according to \isi{grammatical relation} and according to \isi{number}. In \REF{ex:nouns:12}, uta ‘bird’ is a grammatical subject and has a \isi{singular} referent (‘the bird’). In \REF{ex:nouns:13}, uta ‘bird’ is a grammatical object and has a \isi{plural} referent (‘the birds’).",ex:nouns:12,\gsrc \textbf{Uta} mï im may. | \gll \textbf{uta} mï im ma=i | \gls bird 3SG.SUBJ tree 3SG.OBJ=go.PFV | \glt `The bird flew to the tree.’,ex:nouns:13,\gsrc Itom mï \textbf{uta} nduwalinda. | \gll itom mï \textbf{uta} ndï=wali-nda | \gls father 3SG.SUBJ bird 3PL=hit-IRR | \glt `Father will shoot the birds.’,ex:nouns:12,\gsrc \textbf{Uta} mï im may. | \gll \textbf{uta} mï im ma=i | \gls bird 3SG.SUBJ tree 3SG.OBJ=go.PFV | \glt `The bird flew to the tree.’,ex:nouns:13,\gsrc Itom mï \textbf{uta} nduwalinda. | \gll itom mï \textbf{uta} ndï=wali-nda | \gls father 3SG.SUBJ bird 3PL=hit-IRR | \glt `Father will shoot the birds.’,,,,,,,,,,,,
Nouns\label{sec:3,Nominal inflection\label{sec:3.1,,,,"This absence of \isi{number} and \isi{case} marking holds for nouns with human referents as well. In sentence \REF{ex:nouns:14}, ankam ‘person’ is a grammatical object and has a \isi{singular} referent; in sentence \REF{ex:nouns:15}, on the other hand, ankam ‘person’ is a grammatical subject and has a \isi{plural} referent.",ex:nouns:14,\gsrc Nï lïmndï \textbf{ankam} ambi mala. | \gll nï lïmndï \textbf{ankam} ambi ma=ala | \gls 1SG eye person big 3SG.OBJ=see | \glt `I saw the big person.’,ex:nouns:15,\gsrc \textbf{Ankam} ndï awal imba wondi anglalop. | \gll \textbf{ankam} ndï awal imba wondi angla-lo-p | \gls person 3PL yesterday night bandicoot await-go-PFV | \glt `The people hunted bandicoot(s) last night.’,,,,,,,,,,,,,,,,
Nouns\label{sec:3,Nominal inflection\label{sec:3.1,,,,"It should be noted that optional \isi{subject marker}s and \isi{object marker}s can be used to indicate \isi{number} in \isi{noun phrase}s. When such a marker is not included, however, the noun is underspecified for number, as may be seen for the object wondi ‘bandicoot’ in \REF{ex:nouns:15}, whose verb lacks an \isi{object-marker} \isi{enclitic} (\sectref{sec:7.2}).",ex:nouns:15,\gsrc \textbf{Ankam} ndï awal imba wondi anglalop. | \gll \textbf{ankam} ndï awal imba wondi angla-lo-p | \gls person 3PL yesterday night bandicoot await-go-PFV | \glt `The people hunted bandicoot(s) last night.’,,,,,,,,,,,,,,,,,,
