Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,The most frequent postpositions in Ulwa are listed in \REF{ex:otherwc:1}.,ex:otherwc:1,Not found,,,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,"Sentences \REF{ex:otherwc:2} through \REF{ex:otherwc:21} illustrate various use of these postpositions. When an NP ends in (or consists entirely of) an \isi{object marker}, this \isi{object marker} \isi{clitic}izes to the following \isi{postposition}.",ex:otherwc:2,\gsrc \textbf{Mala} ay mankap. | \gll ma=\textbf{ala} ay ma=nïkï-p | \gls 3SG.OBJ=for sago 3SG.OBJ=dig-PFV | \glt `[They] made sago for him.’,ex:otherwc:21,"\gsrc Ata ma mïka \textbf{ndawat} namana. | \gll ata ma mïka anda=\textbf{wat} na-ma-na | \gls up go tree.species SG.DIST=atop DETR-go-IRR | \glt `[He] will go up, go onto that tree.’",,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,"Postpositions may be followed by the \isi{locative verb} p- ‘be at’ (or its \isi{suppletive} \isi{past} form wap ‘be.\textsc{pst}’) to encode predicative spatial meaning. When \isi{spatial postposition}s can convey either stationary or \isi{direction}al meaning (e.g., in ‘in, into’), generally only the static sense is felt (e.g., in p- ‘is in’), as in examples \REF{ex:otherwc:22} through \REF{ex:otherwc:27}.",ex:otherwc:22,\gsrc Yawat mï Sinda \textbf{kanam pe} ame. | \gll Yawat mï Sinda \textbf{kanam} \textbf{p-e} ama-e | \gls [name] 3SG.SUBJ [name] beside be-DEP eat-IPFV | \glt `The spear is next to the tree.’,ex:otherwc:27,\gsrc Inom ndï umbe nungol \textbf{ndul pïna}. | \gll inom ndï umbe nungol ndï=\textbf{ul} \textbf{p-na} | \gls mother 3PL tomorrow child 3PL=with be-IRR | \glt `The mothers will be with the children tomorrow.’,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,"These \isi{verb phrase}s \isi{head}ed by \isi{locative verb}s and containing \isi{postpositional phrase}s can further take the \isi{nominalizing} \isi{suffix} -en ‘\textsc{nmlz}’ (\sectref{sec:3.2}), as in \REF{ex:otherwc:28} and \REF{ex:otherwc:29}.",ex:otherwc:28,\gsrc ngunan ato inkaw \textbf{ngawat pen} ngala | \gll ngunan=n ata-u inkaw nga=\textbf{wat} \textbf{p-en} ngala | \gls 1DU.INCL=OBL up-from mountain SG.PROX=atop be{-nmlz} PL.PROX | \glt `these [people] who live atop the mountains above us’,ex:otherwc:29,\gsrc sïtik mï kïka tïlwa \textbf{men pen} | \gll sïtik mï kïka tïlwa ma=\textbf{in} \textbf{p-en} | \gls stick 3SG.SUBJ white.ant road 3SG.OBJ=in be{-nmlz} | \glt `the stick that is in the white ant track’,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,"Some postpositions seem to function like verbs even without being followed by a \isi{locative verb} form. When such forms occur clause-finally and express the action or event of the \isi{predicate}, they may be considered to be verbs (albeit somewhat \isi{defective} ones). Indeed, they are likely verbs in origin, having begun a process of \isi{grammaticalization}, losing their \isi{verbal morphology} as they come to function more as postpositions. This seems to be the case with the \isi{suppletive} verb ala {\textasciitilde} andï(m/n) ‘see’, both \isi{stem}s of which are used as postpositions with the meaning ‘for’ or ‘from’. However, as \isi{separable verb}s (\sectref{sec:9.2.1}), these forms -- along with the \isi{nominal adjunct} lïmndï ‘eye’ -- convey the verbal meaning ‘see’, as in \REF{ex:otherwc:30}.",ex:otherwc:30,\gsrc Unan amun lïmndï makape i \textbf{mandïm}. | \gll unan amun lïmndï maka=p-e i ma=\textbf{andï-m} | \gls 1PL.INCL now eye thus=COP-DEP way 3SG.OBJ=see-PFV | \glt `We have now seen this kind of behavior.’,,,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,"Indeed, even when functioning as a verb, ala {\textasciitilde} andï(m/n) ‘see’ generally does not take any \isi{TAM} \isi{suffix}ation \REF{ex:otherwc:31}. It can, however, receive a \isi{dependent marker} \REF{ex:otherwc:32}.",ex:otherwc:31,\gsrc Nïnji itom mï lïmndï \textbf{nala}. | \gll nï-nji itom mï lïmndï nï=\textbf{ala} | \gls 1SG-POSS father 3SG.SUBJ eye 1SG=see | \glt `My father saw me.’,ex:otherwc:32,\gsrc Ndï wa i lïmndï wa \textbf{male}. | \gll ndï wa i lïmndï wa ma=\textbf{ala-e} | \gls 3PL village go.PFV eye village 3SG.OBJ=see-DEP | \glt `They went home and saw the village.’,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Postpositions\label{sec:8.1,,,,"The \isi{stem} andï- ‘see’ does, however, permit at least one \isi{TAM} \isi{suffix}, the \isi{irrealis} \isi{suffix} -na ‘\textsc{irr}’, as in \REF{ex:otherwc:33}.",ex:otherwc:33,\gsrc Ankam moweka ango lïmndï \textbf{mandïna}. | \gll ankam moweka ango lïmndï ma=\textbf{andï-na} | \gls person also NEG eye 3SG.OBJ=see-IRR | \glt `Nor would people see it.’,,,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Adverbs\label{sec:8.2,Temporal adverbs\label{sec:8.2.1,,,The most frequent \isi{temporal adverb}s are given in \REF{ex:otherwc:34}.,ex:otherwc:34,Not found,,,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Adverbs\label{sec:8.2,Temporal adverbs\label{sec:8.2.1,,,Sentences \REF{ex:otherwc:35} through \REF{ex:otherwc:41} illustrate some uses of these \isi{temporal adverb}s.,ex:otherwc:35,\gsrc Una \textbf{amun} mbi. | \gll unan \textbf{amun} mbï-i | \gls 1PL.INCL now here-go.PFV | \glt `We’ve now come here.’,ex:otherwc:41,\gsrc \textbf{Umbe} una angos wombïn ninda? | \gll \textbf{umbe} unan angos wombïn=n ni-nda | \gls tomorrow 1PL.INCL what work=OBL act-IRR | \glt `What [sort of] work will we do tomorrow?’,,,,,,,,,,,,,,,,
Other word classes\label{sec:8,Adverbs\label{sec:8.2,Temporal adverbs\label{sec:8.2.1,,,"Although the three basic \isi{temporal adverb}s (amun ‘now’, awal ‘yesterday’, and umbe ‘tomorrow’) generally occur immediately after the subject (when it is expressed), they may alternatively occur before the subject (i.e., clause-initially), as in \REF{ex:otherwc:36}, \REF{ex:otherwc:39}, and \REF{ex:otherwc:41}. There is a tendency to place the \isi{temporal adverb} before \isi{postpositional phrase}s, as in \REF{ex:otherwc:42} and \REF{ex:otherwc:43}.",ex:otherwc:36,\gsrc \textbf{Amun} una kalam. | \gll \textbf{amun} unan kalam | \gls now 1PL.INCL knowledge | \glt `Now we know.’,ex:otherwc:39,"\gsrc \textbf{Awal} anambi keka we ulwap. | \gll \textbf{awal} an-ambi keka we ulwa=p | \gls yesterday 1PL.EXCL-TOP completely sago nothing=COP | \glt `As for us, we were completely out of sago yesterday.’",ex:otherwc:41,\gsrc \textbf{Umbe} una angos wombïn ninda? | \gll \textbf{umbe} unan angos wombïn=n ni-nda | \gls tomorrow 1PL.INCL what work=OBL act-IRR | \glt `What [sort of] work will we do tomorrow?’,ex:otherwc:42,\gsrc Nï \textbf{umbe} mol mana. | \gll nï \textbf{umbe} ma=ul ma-na | \gls 1SG tomorrow 3SG.OBJ=with go-IRR | \glt `I would go with her tomorrow.’,ex:otherwc:43,\gsrc Nï \textbf{amun} wiya may wap. | \gll nï \textbf{amun} u=iya ma=i wap | \gls 1SG now 2SG=toward 3SG.OBJ=go.PFV be.PST | \glt `I went there to you today.’,,,,,,,,,,
