Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,There are several \isi{morphophonemic process}es that result in different surface forms. The \isi{high vowel}s /i/ and /u/ become \isi{glide}s when immediately following the \is{low vowel} low \isi{central vowel} /a/ \REF{ex:overview:1}.,ex:overview:1,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,"The sequences [ay] and [aw] may optionally \isi{monophthongize} to [e] and [o], respectively \REF{ex:overview:2}.",ex:overview:2,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,"When the \is{low vowel} low \isi{central vowel} /a/ is immediately followed by a non-\isi{high vowel}, however, /a/ is \isi{deleted} \REF{ex:overview:3}.",ex:overview:3,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,The \is{high vowel} high \isi{central vowel} /ï/ is \isi{deleted} when immediately followed by any \isi{vowel} \REF{ex:overview:4}.,ex:overview:4,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,All \isi{vowel}s are \isi{deleted} before an immediately following \is{mid vowel} mid \isi{front vowel} /e/ \REF{ex:overview:5}.,ex:overview:5,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,The \is{high vowel} high \isi{back vowel} /u/ becomes a \isi{glide} [w] when immediately before a \isi{vowel} occurring in the same \isi{syllable} \REF{ex:overview:6}.,ex:overview:6,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,The high \isi{central vowel} /ï/ optionally assimilates in place and \isi{rounding} to the high back rounded \isi{vowel} [u] when immediately preceding the \isi{glide} /w/ \REF{ex:overview:7}.,ex:overview:7,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,The \is{low vowel} low \isi{central vowel} /a/ harmonizes to the \is{mid vowel} mid \isi{back vowel} [o] when immediately following \isi{labial} /m/ and preceding /o/ in the subsequent \isi{syllable} \REF{ex:overview:8}.,ex:overview:8,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,\isi{Geminate} \isi{consonant}s are reduced to single segments \REF{ex:overview:9}.,ex:overview:9,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,"There is also a sort of \isi{quasi-degemination}, whereby a \isi{nasal} \isi{consonant} is \isi{elide}d when immediately preceding a \is{homorganic consonant} homorganic \isi{prenasalized} \isi{voiced} \isi{stop} \REF{ex:overview:10}.",ex:overview:10,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,"There are \isi{morphophonological} alternations that either are fairly restricted in their environments or are \isi{morphological}ly conditioned. For example, in \isi{perfective} verbs whose \isi{stem}s end in /kï/, the final /ï/ is lowered to [a] \REF{ex:overview:11}.",ex:overview:11,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,"In \isi{irrealis} verbs whose \isi{stem}s end in /le/ or /lo/, the final \isi{vowel} is raised to [i] or [u], respectively \REF{ex:overview:12}.",ex:overview:12,Not found,,,,,,,,,,,,,,,,,,
A grammatical overview of Ulwa\label{sec:overview,Morphophonology\label{sec:overview:2.2,,,,"Finally, there are a number of \isi{lexical}ly determined \isi{phonological} alternations. Notably, in the verb lï- ‘put’, the \is{high vowel} high \isi{central vowel} [ï] is often \isi{elide}d, sometimes obligatorily, sometimes only optionally \REF{ex:overview:13}.",ex:overview:13,Not found,,,,,,,,,,,,,,,,,,
