Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,,,,"A \isi{noun phrase} (NP) consists minimally of a noun or a \isi{pronoun}, but may contain additional elements, such as \is{possession} possessive markers, \isi{adjective}s, \isi{numeral}s, or \isi{determiner}s. The canonical order of elements in an Ulwa NP is given in \REF{ex:phrase:1}.",ex:phrase:1,Not found,,,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,,,,The \isi{noun phrase} given in \REF{ex:phrase:2} illustrates all these elements occurring together. The \isi{head noun} is indicated in \textbf{bold}.,ex:phrase:2,\gsrc nïnji \textbf{lamndu} ambi kwe anda | \gll nï-nji \textbf{lamndu} ambi kwe anda | \gls 1SG-POSS pig big one SG.DIST | \glt `that one big pig of mine’,,,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,The head of the noun phrase\label{sec:9.1.1,,,"The \isi{head} of a \isi{noun phrase} need not be a prototypical noun. It may, instead, be an \isi{adjective} functioning as a noun \REF{ex:phrase:3} (see \sectref{sec:5.3} on substantive uses of \isi{adjective}s). Similarly, like \isi{personal pronoun}s, \isi{possessive pronoun}s (\sectref{sec:6.2}) may also function as the \isi{head} of an NP \REF{ex:phrase:4}.",ex:phrase:3,\gsrc \textbf{Ambi} \textbf{anda} wa lolop man. | \gll \textbf{ambi} anda wa lolop ma-n | \gls big SG.DIST just just go-IPFV | \glt `That big [man] just goes around.’,ex:phrase:4,\gsrc Nï \textbf{nïnji ngalat} unanda. | \gll nï \textbf{nï-nji} ngala=tï u=na-nda | \gls 1SG 1SG-POSS PL.PROX=take 2SG=give-IRR | \glt `I will give mine to you.’,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Plural for dual\label{sec:9.1.2,,,"As discussed in \sectref{sec:7.1} and \sectref{sec:7.2}, \isi{subject marker}s and \isi{object marker}s do not always occur in NPs that function as subjects or as objects. When they do occur, however, they mark their respective NPs for \isi{number}. The three \isi{number} categories in Ulwa are \isi{singular}, \isi{dual}, and \isi{plural} (\sectref{sec:7.1}--\sectref{sec:7.3}). Whereas the category of \isi{dual} is never employed when there are three or more referents, the category of \isi{plural} is sometimes found even when there are exactly two referents, as in \REF{ex:phrase:5}.",ex:phrase:5,\gsrc Wonmbi \textbf{ndïtumulka}. | \gll wonmbi \textbf{ndï}=tumul-ka | \gls tusk 3PL=bend-let | \glt `[They] bent the tusks.’,,,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Multiple adjectives\label{sec:9.1.3,,,"Multiple \isi{adjective}s may occur within a single NP. When there are multiple \isi{adjective}s, they simply stack up after the \isi{head noun} (and before any \isi{determiner}s), as seen in \REF{ex:phrase:6} and \REF{ex:phrase:7}.",ex:phrase:6,"\gsrc Wapa \textbf{ambi tembi} ndawe nï mat inde. | \gll wapa \textbf{ambi} \textbf{tembi} anda-we nï ma=tï inda-e | \gls leaf big bad SG.DIST-PART.INT 1SG 3SG.OBJ=take walk-IPFV | \glt `That big, bad leaf alone -- I’m taking it.’",ex:phrase:7,"\gsrc Tïmbïl \textbf{ambi nïpat ngata} maytana mane. | \gll tïmbïl \textbf{ambi} \textbf{nïpat} \textbf{ngata} ma=ita-na ma-n-e | \gls fence big giant grand 3SG.OBJ=build-IRR go-IPFV-DEP | \glt `[You] are going to build a big, huge, giant fence.’",,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Apposition\label{sec:9.1.4,,,"Two noun phrases may be in \isi{apposition} to each other, as in \REF{ex:phrase:8}. Here, the two NPs in \isi{apposition} are the \isi{compound noun} wot yana ‘younger sister’ and the \isi{proper noun} Sinanam, a woman’s name. Each NP serves as the \isi{singular} grammatical object of the verb na- ‘give’.",ex:phrase:8,\gsrc \textbf{Wot yana Sinanam} manana. | \gll \textbf{wot} \textbf{yana} \textbf{Sinanam} ma=na-na | \gls younger woman [name] 3SG.OBJ=give-PFV | \glt `[He] gave it to the younger sister Sinanam.’,,,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Ways of indicating possession\label{sec:9.1.5,,,The possessive \isi{suffix} \textit{{}-nji} \textsc{`poss’} affixes to \isi{pronoun}s and \isi{determiner}s to create \isi{possessive pronoun}s and possessive \isi{demonstrative}s \sectref{sec:6.2}. These so-formed \isi{possessive pronoun}s may in turn occur in NPs (following the \isi{possessor} argument) to indicate \isi{possession}. Sentences \REF{ex:phrase:9} through \REF{ex:phrase:12} illustrate \isi{possession} marked on full NPs. The \isi{possessor} is indicated in \textbf{bold}.,ex:phrase:9,\gsrc \textbf{Itom manji} lamndu mï nip. | \gll \textbf{itom} \textbf{ma-nji} lamndu mï ni-p | \gls father 3SG.OBJ-POSS pig 3SG.SUBJ die-PFV | \glt `Father’s pig died.’,ex:phrase:12,\gsrc \textbf{Nïnji atuma manji} aweta mï tembip. | \gll \textbf{nï-nji} \textbf{atuma} \textbf{ma-nji} aweta mï tembi=p | \gls 1SG-POSS older.brother 3SG.OBJ-POSS friend 3SG.SUBJ bad=COP | \glt `My older brother’s friend is sick.’,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Ways of indicating possession\label{sec:9.1.5,,,"To intensify \isi{possessor} NPs that contain \isi{possessive pronoun}s, the modifier wo ‘very own’ may be added. Whereas the \isi{possessive pronoun} precedes the \isi{head noun}, the \isi{emphatic} modifier wo ‘very own’ follows it, as in examples \REF{ex:phrase:13} through \REF{ex:phrase:16}.",ex:phrase:13,\gsrc \textbf{Manji} tïn \textbf{wo} lamndu masap. | \gll \textbf{ma-nji} tïn \textbf{wo} lamndu ma=asa-p | \gls 3SG.OBJ-POSS dog own pig 3SG.OBJ=hit-PFV | \glt `His very own dog killed the pig.’,ex:phrase:16,\gsrc Yetani \textbf{lanji} \textbf{wo}. | \gll Yetani \textbf{ala-nji} \textbf{wo} | \gls Yamen PL.DIST-POSS own | \glt `[He was] the Yamen people’s very own [ancestor].’,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Ways of indicating possession\label{sec:9.1.5,,,"Another means of signaling that an NP has a \isi{possessor} role is the \isi{oblique-marker} \isi{enclitic} =n \textsc{‘obl'} (\sectref{sec:11.4.1}). This strategy is mainly limited to pronominal \isi{possessor}s. In such constructions, the \isi{pronoun} or \isi{demonstrative} marked with =n \textsc{‘obl'} is the \isi{possessor} of the NP that immediately follows, as in examples \REF{ex:phrase:17} through \REF{ex:phrase:20}.",ex:phrase:17,\gsrc Upan nungol ndïn \textbf{nïn} ani up. | \gll upan nungol ndï=\textbf{n} nï=n ani u-p | \gls fish.species child 3PL=OBL 1SG=OBL bilum put-PFV | \glt `[She] put some small fish in my bilum [= string bag].’,ex:phrase:20,\gsrc Atana mï liyu matïn mat \textbf{ambïn} ame menlïp. | \gll atana mï li-u ma=tï-n ma=tï ambï=\textbf{n} ame ma=in-lï-p | \gls older.sister 3SG.SUBJ down-from 3SG.OBJ=take-PFV 3SG.OBJ=take SG.REFL=OBL basket 3SG.OBJ=in-put-PFV | \glt `The older sister got him down and put him in her basket.’,,,,,,,,,,,,,,,,
Phrase-level syntax\label{sec:9,Noun phrases\label{sec:9.1,Ways of indicating possession\label{sec:9.1.5,,,"See \sectref{sec:11.4.2} for other \isi{case}-like uses of the \isi{oblique marker}. It may be noted here that there is some overlap in function between the \isi{oblique marker} and the possessive marker. Just as the \isi{oblique marker} =n \textsc{‘obl'} can function very much like a possessive marker, \isi{possessive pronoun}s marked with -nji \textsc{‘poss'} can serve \isi{oblique}-like functions -- namely, they may indicate a beneficiary, as in sentences \REF{ex:phrase:21}, \REF{ex:phrase:22}, and \REF{ex:phrase:23}.",ex:phrase:21,\gsrc Nï i \textbf{ngunji} mundu ilum kuma wananda. | \gll nï i ngun-\textbf{nji} mundu ilum kuma wana-nda | \gls 1SG go.PFV 2DU-POSS food little some cook-IRR | \glt `I will come and cook some food for you.’,ex:phrase:22,\gsrc \textbf{Ndïnji} na tïna mbïlop. | \gll ndï-\textbf{nji} na tï-na mbï-lo-p | \gls 3PL-POSS talk take-IRR here-go-PFV | \glt `[They] came here to have a talk for them [= their children].’,ex:phrase:23,\gsrc Nï \textbf{manji} ana mat manana. | \gll nï ma-\textbf{nji} ana ma=tï ma=na-na | \gls 1SG 3SG.OBJ-POSS grass.skirt 3SG.OBJ=take 3SG.OBJ=give-PFV | \glt `I gave her a grass skirt.’,,,,,,,,,,,,,,
