Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"Locative clauses are indicated with the \isi{locative verb} p- ‘be, be at (be located at)’ (\sectref{sec:4.3}). The verb p- ‘be’ may be used to express \isi{location} at a place, whether permanent or temporary. The \isi{locative verb} p- ‘be’ can follow either proper \isi{place name}s \REF{ex:pred:1} or \isi{common noun} \isi{location}s \REF{ex:pred:2}.",ex:pred:1,\gsrc Tumbuna la mbïpe \textbf{Wopata pe} ala ando. | \gll tumbuna ala mbï-p-e \textbf{Wopata} \textbf{p-e} ala anda=u | \gls grandparent PL.DIST here-be-DEP [place] be-DEP PL.DIST SG.DIST=from | \glt `When the grandparents were here at Wopata they [went] from there.’,ex:pred:2,"\gsrc Alum ala ndï wa lolop ala \textbf{wandam pe} mundu ame. | \gll alum ala ndï wa lolop ala \textbf{wandam} \textbf{p-e} mundu ama-e | \gls child PL.DIST 3PL just just PL.DIST jungle be-DEP food eat-IPFV | \glt `Those children -- they just, they’re just in the jungle eating food.’",,,,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"This verb is irregular in both form and function. First, it is \isi{defective} in that it lacks a \isi{perfective} form.\footnote{This is perhaps unsurprising, given both the \isi{semantic} properties of the verb and the fact that a \isi{perfective} form like \textsuperscript{†}/pp/ very well might just \isi{degeminate} to [p] anyway. On the other hand, \isi{double perfective} forms such as [p-ap], [p-op], and [p-ïp], manage to solve this problem by means of \isi{vowel} insertion (\sectref{sec:4.8}).} Also, given the function of the verb -- often used along with other, non-\isi{locative verb}s -- it is often difficult to interpret the ending [-e] as being either \isi{imperfective} marking or \is{dependent marker} dependent marking. The \isi{irrealis} form of the verb, however, is rather simple to analyze: it takes the form [pïna] -- that is, the \isi{stem} p- ‘be’ plus the regular \isi{irrealis} \isi{suffix} -na ‘\textsc{irr}’, with an \isi{epenthetic} [ï] to break up the underlying \isi{consonant cluster}. The forms of p- ‘be’ are given in \REF{ex:pred:2a}.",ex:pred:2a,Not found,,,,,,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"The un\isi{inflect}ed form [p] may refer either to \isi{past} \isi{time} or to \isi{present} \isi{time}. With reference to \isi{location} in the \isi{future}, however, the \isi{locative verb}, as other verbs, typically receives the \isi{irrealis} \isi{suffix} -na ‘\textsc{irr}’ \REF{ex:pred:3}.",ex:pred:3,\gsrc Uta nungol kwa \textbf{wandam pïna}. | \gll uta nungol kwa \textbf{wandam} \textbf{p-na} | \gls bird child one jungle be-IRR | \glt `[Not] one little bird will be [left] in the jungle!’,,,,,,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"As with other verbs, the \isi{irrealis} \isi{suffix} encodes not only \isi{future} \isi{time} for the verb p- ‘be’, but also other non-real \isi{modal}ities, such as \isi{counterfactual}s \REF{ex:pred:4}.",ex:pred:4,\gsrc Ango kwe kuma wa \textbf{mapïna}. | \gll ango kwe kuma wa ma=\textbf{p-na} | \gls NEG one some just 3SG.OBJ=be-IRR | \glt `Not just one or a few would be staying there.’,,,,,,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"Sentence \REF{ex:pred:4} further illustrates how the \isi{locative verb} p- ‘be’ can be indexed with \isi{proclitic} \isi{object marker}s or \isi{deictic} forms. In some instances, it may perhaps even be considered a \isi{transitive} verb, taking as its object the place at which something is or was located. In such situations, the verb can be translated as ‘be located at’, ‘stay at’, ‘live at’, ‘reside at’, and so on. This function is illustrated by sentences \REF{ex:pred:5} through \REF{ex:pred:12}.",ex:pred:4,\gsrc Ango kwe kuma wa \textbf{mapïna}. | \gll ango kwe kuma wa ma=\textbf{p-na} | \gls NEG one some just 3SG.OBJ=be-IRR | \glt `Not just one or a few would be staying there.’,ex:pred:5,\gsrc Mï \textbf{wa mape}. | \gll mï \textbf{wa} \textbf{ma=p}-e | \gls 3SG.SUBJ village 3SG.OBJ=be-IPFV | \glt `She stayed in the village.’,ex:pred:12,"\gsrc Ase itom ala mïka \textbf{apa ndape}. | \gll ase itom ala mïka \textbf{apa} \textbf{anda=p}-e | \gls no father PL.DIST thus house SG.DIST=be-IPFV | \glt `No, the fathers are in the house.’",,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"The \isi{locative verb} p- ‘be’ can take other verbal \isi{affix}ation, such as the \isi{dependent marker} -e ‘\textsc{dep}’, as exemplified in examples \REF{ex:pred:1} and \REF{ex:pred:2}. Examples \REF{ex:pred:13} and \REF{ex:pred:14} show p- ‘be’ with the \isi{conditional} marker -ta ‘\textsc{cond}’.",ex:pred:1,\gsrc Tumbuna la mbïpe \textbf{Wopata pe} ala ando. | \gll tumbuna ala mbï-p-e \textbf{Wopata} \textbf{p-e} ala anda=u | \gls grandparent PL.DIST here-be-DEP [place] be-DEP PL.DIST SG.DIST=from | \glt `When the grandparents were here at Wopata they [went] from there.’,ex:pred:2,"\gsrc Alum ala ndï wa lolop ala \textbf{wandam pe} mundu ame. | \gll alum ala ndï wa lolop ala \textbf{wandam} \textbf{p-e} mundu ama-e | \gls child PL.DIST 3PL just just PL.DIST jungle be-DEP food eat-IPFV | \glt `Those children -- they just, they’re just in the jungle eating food.’",ex:pred:13,\gsrc Ndï wa \textbf{pïta} | \gll ndï wa p-\textbf{ta} | \gls 3PL village be-COND | \glt `If they were home …’,ex:pred:14,"\gsrc … maka amba \textbf{ngapta} ndïlanda man. | \gll maka amba nga=p-\textbf{ta} ndï=la-nda ma-n | \gls thus mens.house SG.PROX=be-COND 3PL=eat-IRR go-IPFV | \glt `… if [we] stay like this in the men’s house, then [we] are going to eat them.’",,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,It is also possible for p- ‘be’ to take the \isi{nominalizing} \isi{suffix} -en ‘\textsc{nmlz}’. The force of the \isi{nominalization} is not always felt \REF{ex:pred:15}.,ex:pred:15,"\gsrc A nïplopa im in pe wandam \textbf{pen}. | \gll a nïplopa im in p-e wandam p-\textbf{en} | \gls INTERJ flying.fox tree in be-DEP jungle be-NMLZ | \glt `Ah, there are [still] flying foxes in the trees in the jungle.’",,,,,,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"Example \REF{ex:pred:15} further illustrates the use of the \isi{locative verb} in combination with a \isi{postpositional phrase} (here, with the \isi{postposition} in ‘in’). Further examples of \isi{locative predication} with \isi{spatial postposition}s are given in \REF{ex:pred:16}, \REF{ex:pred:17}, and \REF{ex:pred:18}.",ex:pred:15,"\gsrc A nïplopa im in pe wandam \textbf{pen}. | \gll a nïplopa im in p-e wandam p-\textbf{en} | \gls INTERJ flying.fox tree in be-DEP jungle be-NMLZ | \glt `Ah, there are [still] flying foxes in the trees in the jungle.’",ex:pred:16,\gsrc Nïtet nïmal \textbf{kanam mapen} ndï manji wo. | \gll Nïtet nïmal \textbf{kanam} \textbf{ma=p}-en ndï ma-nji wo | \gls [place] river beside 3SG.OBJ=be-NMLZ 3PL 3SG.OBJ-POSS own | \glt `Those [palms] that are next to Nïtet river are her very own.’\footnote{This example additionally illustrates the use of the \isi{nominalizing} \isi{suffix} -en ‘NMLZ’.} [ulwa037_42:24]’,ex:pred:17,"\gsrc Way mï minïn twa \textbf{kana map}. | \gll way mï min=n twa \textbf{kana} \textbf{ma=p} | \gls turtle 3SG.SUBJ 3DU=OBL hearth beside 3SG.OBJ=be | \glt `The turtle stayed there with them next to the hearth.’\footnote{Sentences such as \REF{ex:pred:16} and \REF{ex:pred:17}, which contain the \isi{object marker} ma= ‘3SG.OBJ’",ex:pred:18,\gsrc Nï ango unul ini \textbf{ngawat pïna}. | \gll nï ango un=ul ini nga=\textbf{wat} \textbf{p-}na | \gls 1SG NEG 2PL=with ground this.SG=atop be-IRR | \glt `I will not live on this land with you.’,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"\glt `The turtle stayed there with them next to the hearth.’\footnote{Sentences such as \REF{ex:pred:16} and \REF{ex:pred:17}, which contain the \isi{object marker} ma= ‘\textsc{3sg.obj}’ following the \isi{postposition} \textit{kana {\textasciitilde} kanam} ‘beside’, are perhaps better translated as ‘there beside …’ or ‘there next to …’.} [ulwa006_06:09]",ex:pred:16,\gsrc Nïtet nïmal \textbf{kanam mapen} ndï manji wo. | \gll Nïtet nïmal \textbf{kanam} \textbf{ma=p}-en ndï ma-nji wo | \gls [place] river beside 3SG.OBJ=be-NMLZ 3PL 3SG.OBJ-POSS own | \glt `Those [palms] that are next to Nïtet river are her very own.’\footnote{This example additionally illustrates the use of the \isi{nominalizing} \isi{suffix} -en ‘NMLZ’.} [ulwa037_42:24]’,ex:pred:17,"\gsrc Way mï minïn twa \textbf{kana map}. | \gll way mï min=n twa \textbf{kana} \textbf{ma=p} | \gls turtle 3SG.SUBJ 3DU=OBL hearth beside 3SG.OBJ=be | \glt `The turtle stayed there with them next to the hearth.’\footnote{Sentences such as \REF{ex:pred:16} and \REF{ex:pred:17}, which contain the \isi{object marker} ma= ‘3SG.OBJ’",,,,,,,,,,,,,,,,
Predicates\label{sec:10,Locational predication\label{sec:10.1,,,,"The distinction between \isi{locative predication} and \isi{existential predication} is often not clear in Ulwa, since there are no formal distinctions between the two constructions. Like \isi{locative predication}, \isi{existential predication} can be expressed with the \isi{locative verb} p- ‘be’, as in \REF{ex:pred:19}, \REF{ex:pred:20}, and \REF{ex:pred:21}.",ex:pred:19,\gsrc Anmoka ndï wandam \textbf{map} | \gll anmoka ndï wandam ma=\textbf{p} | \gls snake 3PL jungle 3SG.OBJ=be | \glt `There are snakes in the jungle.’,ex:pred:20,\gsrc Inim mï ini mawat \textbf{pe}. | \gll inim mï ini ma=wat \textbf{p}-e | \gls water 3SG.SUBJ ground 3SG.OBJ=atop be{-ipfv} | \glt `There is water on the ground.’,ex:pred:21,"\gsrc Wanmbi ani \textbf{mapta} u mat nïnata nï ansi lan. | \gll wanmbi ani ma=\textbf{p}-ta u ma=tï nï=na-ta nï ansi la-n[da] | \gls daka bilum 3SG.OBJ=be{-cond} 2SG 3SG.OBJ=TAKE 1SG=give-COND 1SG red.buai eat-IRR | \glt `If there is daka [= betel pepper] in [your] bilum [= string bag], [then] give it to me so I can chew red buai [= betel nut].’",,,,,,,,,,,,,,
