Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Aspect and mood,,,,,"Most of the aspectual morphemes' effects depend on the verb phrase's aktionsart. Compare bo \qu{\gl{irr}} in (\ref{ex:bo1}) and bwa \qu{\gl{ipfv}} in (\ref{ex:bwa1}): the atelic verb triggers an imperfective meaning of bwa (which otherwise means certain future for telic verbs), and an ambiguous irrealis/future meaning for bo.",ex:bo1,\gll e={bo} xaleke | \gls 1SG=IRR see | \glt I will/would see.,ex:bwa1,\gll e={bwa} xaleke | \gls 1SG=IPFV see | \glt I am still looking.,,,,,,,,,,,,,,,,
Aspect and mood,Irrealis bo,,,,"The irrealis\slash future particle bo \sim o, probably cognate with Nelêmwa o \qu{virtual} and Bwatoo's eponymous bwatoo \qu{irrealis}, expresses a state removed from reality, be it because it is yet to happen (\ref{ex:bo_fut1}), hypothetical (\ref{ex:bo_irr}), or otherwise unreal.",ex:bo_fut1,"\gll tha gau han tha gau tha gase bo arriver hman | \gls ASS 2DU go ASS 2DU ASS 1PL.INCL IRR arrive too | \glt You go (first), you, and we'll arrive as well.",ex:bo_irr,\gll tha cika eca=o fa-siit hapi na tha i=xayu hato a=cami | \gls ASS there.is.not some=IRR CAUS-sacred that DEM ASS DEF.SG=man alone 3SG=plant | \glt There is nothing that would impose that it's only the man who plants it.,,,,,,,,,,,,,,,,
Aspect and mood,Irrealis bo,,,,"The purely irrealis function, without marking tense, is less frequently encountered (\ref{ex:bo_irr}), though the exact meaning of bo may be left ambiguous in some contexts.",ex:bo_irr,\gll tha cika eca=o fa-siit hapi na tha i=xayu hato a=cami | \gls ASS there.is.not some=IRR CAUS-sacred that DEM ASS DEF.SG=man alone 3SG=plant | \glt There is nothing that would impose that it's only the man who plants it.,,,,,,,,,,,,,,,,,,
Aspect and mood,Irrealis bo,,,,"Whereas usually, (b)o \qu{\gl{irr}} and tha \qu{\gl{ass}} are not seen together, one exception was recorded: when stating a past situation when something then still unreal was already asserted by somebody, this is expressed with tha go bo vwa \qu{you would surely do it}, as in (\ref{ex:tha_bo_vwa}).",ex:tha_bo_vwa,\gll e=caihnan hapi tha go=bo vwa | \gls 1SG=know COMP ASS 2SG=IRR do | \glt I knew that you would do it.,,,,,,,,,,,,,,,,,,
Aspect and mood,Imperfective and future bwa,,,,"The aspect marker bwa has two main meanings depending on aktionsart and context. Atelic verbs with bwa express events that include the starting point of the action tᵒ in a progressive way (i.e. \qu{it has begun and is still going on}), see (\ref{ex:bwa_tena}). The event has a border, which is the main difference with kon \qu{\gl{prog}}. Telic verbs with bwa are set in the certain future. bwa readily combines with other aspect particles, for example to attenuate the predicate, and it can even modify an entire clause, outside the usual post-subject marker environment. This last case concerns negated predicates, but bwa is also attested as an attenuating discourse marker (see \sectref{sec:bwa_disc}).",ex:bwa_tena,"\gll koin ai=kon {a}ii={bwa} tena-ai ka i={ibwen}ii | \gls afterwards 3SG=PROG 3SG=IPFV hear-3SG.OBJ SBJ DEF.SG=squid | \glt During this, he was heard (all along) by the squid.",,,,,,,,,,,,,,,,,,
Aspect and mood,Imperfective and future bwa,Imperfective bwa,,,"Predicates denoting states or ongoing events, if preceded by bwa, usually have an imperfective meaning, i.e. with a starting point in the past, and no implicit border in the future (\ref{bwa_still}). Note that while verbal predicates tolerate bwa to the left of a (negated) subject index (\ref{ex:bwa_cipe}), nominal ones do not (compare (\ref{ex:pn-asp-nomp}) and (\ref{ex:asp-nomp})).",ex:bwa_cipe,\gll bwa cip=e caihnan | \gls IPFV NEG=1SG know | \glt I still don't know.,ex:pn-asp-nomp,\gll le=bwa xhwaawe li=a= le=cuut xahan | \gls 3PL=IPFV child DEF.PL=REL= 3PL=stand over.there | \glt They who stand over there are still children.,ex:asp-nomp,Not found,,,,,,,,,,,,,,
Aspect and mood,Imperfective and future bwa,Attenuating bwa ju,,,"The imperfective meaning described for bwa can also, apart from meaning \qu{still}, signify a brief impermanent state, as in \qu{I am just, quickly, for a moment, doing X}, a function which can be attenuating. In (\ref{ex:bwa_koin}) below, the action of reading is interrupted for now (\qu{I am impermanently stopping reading the book}).",ex:bwa_koin,\gll e bwa koin fine i=tii | \gls 1SG IPFV finish read DEF.SG=book | \glt I am interrupting my reading (lit. I am briefly stopping reading the book).%Je m'arrête de lire (pour un moment),,,,,,,,,,,,,,,,,,
Aspect and mood,Imperfective and future bwa,Attenuating bwa ju,,,"bwa ju \qu{\gl{ipfv} real} is a common expression, meaning \qu{really just} or \qu{simply}. While bwa and juu also combine as individual particles (\ref{ex:bwa_ju}), they can form a morpheme in its own right. This is possibly the only such combination between an aspect marker and an intensifier. The abbreviated form of juu used in combination with bwa may be a hint at the former's decategorialized status; although the two particles do not form a single p-word. %(see \sectref{sec:VQuantity} for a discussion of phonemic vowel quantity).",ex:bwa_ju,\gll na tha bwa ju | \gls DEM ASS IPFV really | \glt It's still really...,,,,,,,,,,,,,,,,,,
Aspect and mood,Imperfective and future bwa,Attenuating bwa ju,,,"%further illustrated in (\ref{ex:bwa_ju3a}) and (\ref{ex:bwa_ju3}),",ex:bwa_ju3a,Not found,ex:bwa_ju3,Not found,,,,,,,,,,,,,,,,
Aspect and mood,Imperfective and future bwa,Attenuating bwa ju,,,"a third, more aspectual function is also attested: in example (\ref{ex:bwa_ju_asp}), the telic verb hma \qu{arrive} is not set in the future, and the intensifier ju means \qu{only, just}. bwa ju with a telic verb can thus have a very immediate meaning.\footnote{Note that as ra \qu{to do afterwards} would not fit with the meaning, the free variant of xa- \qu{\gl{hab}} is posited as the gloss of ra, but this is speculative.}% where juu in its abbreviated position",ex:bwa_ju_asp,\gll a=bwa ju (ra) hma | \gls 3SG=IPFV real HAB arrive | \glt S/he only just arrived. (ra increases the immediacy) {[G5:59]},,,,,,,,,,,,,,,,,,
