Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Complex clauses,,,,,"Some morphemes have both subordinating and coordinating functions, e.g. ma (\sectref{ssec:ma}, \sectref{ssec:cond_ma}), and the presence of insubordination, usually with adhortative or optative function, confronts us with matrix and subordinate clauses that look the same. Insubordinate clauses are structurally identical to subordinate clauses, with the exception that they do not depend on a matrix clause (\sectref{ssec:Insub}). Apart from complement clauses, which are unambiguous, there are cases of two subordinate clauses coordinated by a conjunction, showing that they do not occupy the same slot (ex. \ref{ex:hapi_ma} in \sectref{ssec:hapi}). Furthermore, coordinate clauses cannot be fronted (though a coordinating conjunction may be the first element of a clause), whereas some subordinate ones can.",ex:hapi_ma,\gll e=caihnan hapi ma a=bo vwa | \gls 1SG=know COMP SUBR 3SG=IRR do | \glt I know with certainty that he will do it.,,,,,,,,,,,,,,,,,,
Complex clauses,,,,,"Coordination reduction constructions, in the sense that subjects are omitted from consecutive coordinated clauses if they are the same, exist in Vamale (\ref{ex:co_ma}), contrary to the typical Oceanic pattern \parencite[517]{ross_morphosyntactic_2004}.",ex:co_ma,Not found,,,,,,,,,,,,,,,,,,
Complex clauses,,,,,"The same is the case for subordinate clauses, though an absence of subject means a more immediate sequence: compare (\ref{ex:sub_red}), where killing is the underlying purpose of the matrix verb, to (\ref{ex:ma_silaa1}), where raising children is a more general and long-term goal not immediately tied to going into the house.",ex:sub_red,\gll le=hma wati-le ma xaa-le hnuuda-me cahni | \gls 3PL=arrive chase-3OBJ SUBR beat-3PL.OBJ upstream-DIR.CP here | \glt They came to hunt them in order to strike them coming here up the river.,ex:ma_silaa1,Not found,,,,,,,,,,,,,,,,
Complex clauses,,,,,"To give an overview of a complex sentence, (\ref{ex:tree2}) shows a clause containing an equative clause, a relative clause, a verb phrase with an argument, and a second relative clause modifying the argument.",ex:tree2,\gll tha le li=a= le=xhwat xhwi li=nyu a= xhopwen ka li=apuli-aen | \gls ASS 3PL DEF.PL=REL= 3PL=almost eat DEF.PL=fish REL= big SBJ DEF.PL=person-DEM.DIST | \glt These people are the ones who almost eat/ate the big fish.,,,,,,,,,,,,,,,,,,
Complex clauses,,,,,"\caption{Tree-diagram of the sentence structure of example (\ref{ex:tree2}), with le \qu{3\gl{pl}} instead of li apuli-aen \qu{these people}}",ex:tree2,\gll tha le li=a= le=xhwat xhwi li=nyu a= xhopwen ka li=apuli-aen | \gls ASS 3PL DEF.PL=REL= 3PL=almost eat DEF.PL=fish REL= big SBJ DEF.PL=person-DEM.DIST | \glt These people are the ones who almost eat/ate the big fish.,,,,,,,,,,,,,,,,,,
Complex clauses,Coordination,,,,"Coordination of clauses in Vamale holds no deep secrets. The string of clauses is articulated via elements which, in many cases, also appear in the coordination of noun and verb phrases. Both clauses maintain the same word order as single clauses. Coordination reduction constructions which would remove subject marking, are rare. One case of this is (\ref{ex:co_ma}) below.",ex:co_ma,Not found,,,,,,,,,,,,,,,,,,
Complex clauses,Coordination,Comitative ma,,,"Contrary to most other coordinators, ma is not attested linking complete clauses, both with their own subject marking, TAM contour, etc. Instead, ma is a common coordinator for noun phrases, and is found with verb phrases as well. As for noun phrases, the clauses linked must be semantically part of the same group (\ref{ex:co_ma}). I mention ma here because ma vwa-tau is a coordination reduction construction: as the subject and the TAM contour are the same, indeed the verbs are semantically close (hunt and fish), vwa-tau \qu{fish} does not need any of the usual particles surrounding it.",ex:co_ma,Not found,,,,,,,,,,,,,,,,,,
Complex clauses,Coordination,"kona, kon \qu{then",,,"The classic coordinators kona (\ref{ex:kona}) and kon (\ref{ex:kon}) both mean \qu{so, and then}, though ko na \qu{and/but \gl{dem}} also exists, identical in syntactic distribution and phonological shape. kona and kon are semantically close and present a similar form, and may in fact be allomorphs or free variants.",ex:kona,Not found,ex:kon,\gll kon abe=kon xaahni ca=piece-abe ma abe=thake-bigo | \gls CNJ 1PL.EXCL=PROG watch INDF.PL=coin-1PL.EXCL SUBR 1PL.EXCL=throw-bingo | \glt And we're saving some money for ourselves to play bingo.,,,,,,,,,,,,,,,,
Complex clauses,Coordination,hai \qu{or,,,"The coordinator hai is used in three contexts: to coordinate two noun phrases or clauses (introduced in \sectref{ssec:cntr_hai}), to close a clause, implying that a list of possibilities goes on (\ref{ex:final_a}), and to begin a clause that is in direct contrast with the preceding one (\ref{ex:hai_first}). In most unmarked scenarios, hai is realised {[a]}. The hai form cannot be substituted by a when contrasting two noun phrases hai X hai Y? \qu{X or Y?} (see \sectref{ssec:cntr_hai}), but is otherwise an allomorph of a. Note that in (\ref{ex:hai_ma}), hai coordinates two subordinate clauses introduced by ma.",ex:final_a,"\gll naen mwa a xahmaen mwa a | \gls now REP CNJ tomorrow REP CNJ | \glt See you later, or tomorrow, or\ldots",ex:hai_first,Not found,ex:hai_ma,Not found,,,,,,,,,,,,,,
Complex clauses,Coordination,ko \qu{but,,,"ko \qu{on} is one of the most versatile particles in the language, i.e. ko appears with many different functions. Apart from a preposition \qu{on}, and an oblique marker, ko is also used on an interclausal level, ranging from the coordinating \qu{and, but} (\ref{ex:ko_but1}) and (\ref{ex:ko_but2}), to the subordinating, adjunct-adding \qu{because} (\ref{ex:ko_reason}).",ex:ko_but1,Not found,ex:ko_but2,Not found,ex:ko_reason,Not found,,,,,,,,,,,,,,
