Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verb phrases,What is a verb phrase?,,,,"A verb phrase in Vamale will be defined as the syntactic unit depending on a verb, i.e. which moves with the verb, disappears if the verb is replaced by a light verb like vwa \qu{do} or hmwaana \qu{do like this} (\ref{ex:VP}). The verb phrase includes the head verb, its subject and other arguments, and other verbs that stand in a more or less integrated relationship to the head verb, but are neither coordinated nor subordinated verb phrases. Whether TAM markers, subject indexes and other particles should count as part of the verb phrase may be debated, because they still occur with placeholder morphemes, but since the latter were treated under \Cref{ChapterVerbs} and the former are described in \Cref{ChapterAspect}, we shall concentrate on the elements to the right of the verb. A verb phrase has the following slots available:",ex:VP,\gll e=\textbf{vwa-suki-n} xaleke nyako i=mwani-n-eong | \gls 1SG=do-price-NSPEC look OBL DEF.SG=money-POSS-1SG.POSS | \glt I buy according to my means.\\\relax,,,,,,,,,,,,,,,,,,
Verb phrases,What is a verb phrase?,,,,"Example (\ref{ex:VP}) shows a complex verb phrase, where vwa-suki-n \qu{do-price-\gl{nspec}} \qu{to buy} is the main verb from which depends xaleke \qu{to see, according to} with its oblique argument i mwani-n-eong \qu{my money}. Example (\ref{ex:VP1}) shows the same sentence with the placeholder verb vwa \qu{do}.",ex:VP,\gll e=\textbf{vwa-suki-n} xaleke nyako i=mwani-n-eong | \gls 1SG=do-price-NSPEC look OBL DEF.SG=money-POSS-1SG.POSS | \glt I buy according to my means.\\\relax,ex:VP1,\gll e=\textbf{vwa} xaleke nyako i=mwani-n-eong | \gls 1SG=do look OBL DEF.SG=money-POSS-1SG.POSS | \glt I do it according to my means.\\\relax,,,,,,,,,,,,,,,,
Verb phrases,Negation,Verbal negation cipa,,,"The negating particle cipa is the most common negator. It negates predicates in general, both nominal and verbal ones. This also applies to the other negative forms mentioned above, with the exception of the verb ci-(e)-a-n \qu{be absent}. The negating particles occur at the very left of the clause, second only to the assertive tha (\ref{ex:neg}). %Like aspect markers and subject indexes, cipa can also precede nominal predicates.",ex:neg,\gll tha cipa=le=caihnan | \gls ASS NEG=3PL=know | \glt They don't know.,,,,,,,,,,,,,,,,,,
Verb phrases,Negation,Existential negation cika,,,"The negative existential cika is used to express that something does not exist (\ref{ex:cika2}). It is the opposite of vwa \qu{exist}. There is no word for \qu{to have} in Vamale; this is expressed with a \gl{exist} X-\gl{poss} construction, i.e. by possessing an NP (\ref{ex:cika1}). cika is also used as a more formal, or more marked, equivalent of ûhû \qu{no}. %\todo{It might be interesting to take a look at the various articles on negation in Kanak lang in the volume edited by E. Hovdhaugen & U. Mosel, Negation in Oceanic languages, Munich, lincom Europa (lincom Studies in Austronesian Linguistics 02). In particular the POc neg is mentioned as *tika (if remember well)",ex:cika2,\gll cika we | \gls NEG.EXIST water | \glt There is no water.,ex:cika1,\gll cika nyamaa-n | \gls NEG.EXIST eye-POSS | \glt He is blind (there are no eyes of his).,,,,,,,,,,,,,,,,
Verb phrases,Negation,Other negative expressions and lexical items,,,"cika is also used to express a ``negative comitative"" for inanimate nouns, using ko- \qu{on} i.e. \qu{I don't have it on me}, see (\ref{ex:cika}). A dedicated stative verb expresses absence: ci-eo/cia-ko/ci-ea. Like the dependent verbs discussed in \sectref{ssec:Verbs_n}, ci- is able to take generic -n, for non-specific and recently mentioned inanimate participants, see (\ref{ex:cian}). This latter form is also part of vacian \qu{lose} which I assume was formerly complex: va(-)cia-n \qu{lose (lit. make absent)}. While there are a few other forms that can be decomposed into va- and a verb, e.g. va-tipwe \qu{drop (lit. make-fall.\gl{tr})} and va-cut-i \qu{raise (lit. make-stand-\gl{tr})}, this is not a productive word-formation process any more. %\todo{Is ci- historically the negating verb and we have a ci-ka \qu{neg-poss}?}",ex:cika,\gll cika ca=mwani ko-ong | \gls NEG.EXIST INDF.SG=money on-1SG | \glt I have no money with me.,ex:cian,"\gll li=xhaohmu habu cipa gase=mu vwa mwa ja mu cia-n mwa | \gls DEF.PL=elder long.ago NEG 1PL.INCL=FREQ do house PRF ITER absent-NSPEC REP | \glt The elders back in the day, we don't build houses anymore, this has progressively been lost, now. (lit. this is absent, now) {[KL:80]}",,,,,,,,,,,,,,,,
Verb phrases,Negation,Other negative expressions and lexical items,,,"Focused negation, used to negate one element rather than another (\qu{not sticks but rocks}), is achieved by fronting (\ref{ex:foc_neg}), like other focusing strategies in Vamale: tha cipa sukaa kavi tapang \qu{\gl{ass} \gl{neg} sugar but tobacco} \qu{this is not sugar but tobacco}.",ex:foc_neg,"\gll cipa sinu kavi cika wîî-n xaleke | \gls NEG suffer but NEG.EXIST strength-3SG.POSS see | \glt It doesn't hurt but there's no strength in it, you see.",,,,,,,,,,,,,,,,,,
Verb phrases,Verbal elements of the verb phrase,,,,"To this, \citeauthor{bril_complex_2004} adds a criterion of contiguity for Nêlêmwa, with directionals such as in (\ref{ex:contig}) counting as the only valid disruption of the verb chain \parencite[169]{bril_complex_2004}. This may be present in Vamale, but could not be distinguished safely from primed calques in elicitation contexts, and was not (to the knowledge of the author) found in unprompted speech. %This is also attested in Vamale (\ref{ex:contig2}).",ex:contig,"\gll I u â kuut \textbf{mwadu} axi axamalileny ebai nu malileny. | \gls 3SG PRF leave stand down.there see these2.DIST then coconut these2.DIST | \glt ‘He leaves, stands down there, sees these two coconuts.’",ex:contig2,Not found,,,,,,,,,,,,,,,,
Verb phrases,Verbal elements of the verb phrase,,,,"Another type of verb phrase including various verbs are asymmetric strings, called ``complex predicates""\footnote{As predicates can be formed with other word classes as well, I use a more explicitly verb-focused term.} elsewhere \parencite[168]{bril_complex_2004}. These can include a head and an adjunct as in (\ref{ex:siva_taeke}) (manner verbs are adjuncts), a head and a modal verb, e.g. thapoke mapeke \qu{begin bright}, \qu{it is beginning to dawn} (preverbs are modal verbs), or a compound whose meaning is different from the meanings of its components \parencite[168]{bril_complex_2004}. A Vamale example of the latter would be moo han \qu{stay go} \qu{be a nomad}, or han thêên \qu{walk run} \qu{chase after}, see \sectref{ssec:CompoundV}. In any case, where serial verb constructions feature several main verbs, an asymmetric verb string is characterized by a head verb and a dependent one. Two classes of these are the preverbs and manner verbs discussed under \sectref{ssec:Preverbs} and \sectref{ssec:MannerV}, respectively.",ex:siva_taeke,\gll a=siva taeke i=oot | \gls 3SG=attach do.badly DEF.SG=rope | \glt He attached the rope badly.\\\relax [vamale-181107-jpnelemwa-05: 00:01:06-00:01:07],,,,,,,,,,,,,,,,,,
Verb phrases,Verbal elements of the verb phrase,Serial verb constructions,,,"Serial verb constructions in Vamale are commonly used to link a motion to a purpose (\ref{ex:ta_controler}), with the motion verb always first, e.g. han moo \qu{go stay} \qu{go to stay somewhere}. Most SVCs combine two verbs, but there are longer ones, e.g. (\ref{ex:wati}) and (\ref{ex:tame}). Both the motion and purpose are carried out by the same subject.",ex:ta_controler,Not found,ex:wati,"\gll \ldots ma le=bwa hup-e wati thapi-bwa-le, watii-le koma bwa vwa ca=le=vwa-suki-aman | \gls \ldots SUBR 3PL=IPFV go.down-DIR.CP chase.after smash-head-3PL.POSS, chase.after-3PL to IPFV do INDF.PL=3PL=do-price-thing | \glt When they came north, chased and slew them, chased them to them [lit. do something that they would pay the price punish].",ex:tame,"\gll kona e=ta-me ta-me thaloot hup-wa sohmun | \gls CNJ 1SG=go.up-DIR.CP go.up-DIR.CP appear go.down-REP study | \glt Then I would go up, up, come out (on top of the hill), walk down again (on the other side) to study.",,,,,,,,,,,,,,
Verb phrases,Verbal elements of the verb phrase,Serial verb constructions,,,"A motion verb han \qu{go}, hut \qu{go down}, ta \qu{go up}, hnuut \qu{move upstream} etc. may also be introduced because it can host a centripetal suffix -me (\ref{ex:hame_kito}), unlike non-motion verbs. This allows the construction to have a centripetal suffix. In (\ref{ex:oro}), hame \qu{come} means that the drinks are aligned in such a way that the tastes change as one moves along them. Crucially, the movement does happen, meaning the motion verb is a full verb and not grammaticalized (for which see \sectref{ssec:gramm_mot_v}).",ex:hame_kito,"\gll kona sili sahmwa ha-me sili sahmwa ha-me | \gls CNJ sew the.other.way go-DIR.CP sew the.other.way go-DIR.CP | \glt And then he backs up, backs up.",ex:oro,"\gll thapoke cuut aligner li=parfum ha-me hmwaani, tulem li, aligner ha-me li=oro li=joakan aman | \gls begin stand align DEF.PL=flavor go-DIR.CP like.this tulem DEF.PL align go-DIR.CP DEF.PL=oro DEF.PL=big thing | \glt (So I) start and stand there and align the flavors while coming (out of the container), the tulem sodas, the\ldots align the oro sodas, the big ones.",,,,,,,,,,,,,,,,
Verb phrases,Verbal elements of the verb phrase,Serial verb constructions,,,"Motion verbs can also co-occur in an SVC, to describe the path of the subject more precisely. In (\ref{ex:thana_saxhuti}), the motion is first specified as aimless and slow (strolling), then a Ground is linked to it (beach) with a precise motion verb (follow). In (\ref{ex:tame}), however, the speaker describes in detail a long journey to school, with studying as a purpose in the end.",ex:thana_saxhuti,\gll a e-thana saxhuti hmeewan | \gls 3SG MID-stroll follow sand | \glt She goes for a stroll along the beach.,ex:tame,"\gll kona e=ta-me ta-me thaloot hup-wa sohmun | \gls CNJ 1SG=go.up-DIR.CP go.up-DIR.CP appear go.down-REP study | \glt Then I would go up, up, come out (on top of the hill), walk down again (on the other side) to study.",,,,,,,,,,,,,,,,
