Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Voice,Reflexive and reciprocal,Reflexive,,,"Reflexive constructions function in two ways. Either the subject marker and the object marker denote the same referent, as in example (\ref{ex:refl1}).\footnote{khêt originally meant \qu{quartz}. Knives were also made from shells (mangrove oysters (thala) gave their name to today's steel knives, though the word may have come from a Polynesian word for knife (h)ele, \citealt{hollyman_polynesian_1959}), or reed and bamboo shards called xadan o \qu{shard of bamboo}.} This is the most common way of forming a reflexive construction.",ex:refl1,\gll e=vwa-khêt-eo | \gls 1SG=do-blade-1SG.OBJ | \glt I shave myself.,,,,,,,,,,,,,,,,,,
Voice,Reflexive and reciprocal,Reflexive,,,"The other possibility is with the prefix e- \qu{\gl{refl}}, formerly ve- \parencite[585]{leenhardt_langues_1946},\footnote{Chief Luc Katelia Oué still uses veca \qu{learn}, where most younger speakers use eca. Usa Vamale, Temala Hmwaveke, and Fa Tiéta (still) tend to use vi \qu{\gl{def}.\gl{sg}} where Coastal Vamale has i.} see (\ref{ex:refl2})% and (\ref{ex:refl_old})",ex:refl2,\gll go=e-vwa-khêt | \gls 2SG=REFL-do-blade | \glt You shave yourself.,ex:refl_old,Not found,,,,,,,,,,,,,,,,
Voice,Reflexive and reciprocal,Reciprocal,,,"The prefix follows the subject marker, but e- and the object markers are mutually exclusive in a reflexive context (a possible, poorly understood exception are grooming verbs). They can (and actually do) however cooccur in a reciprocal reading. The construction in (\ref{ex:refl3}) without the object suffix (lu=e-xaleke) means \qu{they see themselves}. Reciprocal prefixes are also found on nouns (\ref{ex:refl3c}).",ex:refl3,\gll lu=e-xale-lu | \gls 3DU=RECP-see-3DU.OBJ | \glt They see each other.,ex:refl3c,\gll lu=e-copain-copine | \gls 3DU=RECP-boyfriend-girlfriend | \glt They are boyfriend-girlfriend.,,,,,,,,,,,,,,,,
Voice,Reflexive and reciprocal,Reciprocal,Comparison and symmetry,,"This meaning of \qu{same} expressed with e- \qu{\gl{mid}} rather than se \qu{one, same} appears reliably on verbs and their derivates, such as e-hmwakan \qu{\gl{mid}-same} \qu{be the same} and e-hmwa-goon \qu{\gl{mid}-same-body}, \qu{be of same length} (\ref{ex:hmwagoon}), whereas nouns differ. Compare se fedala-lu \qu{They have the same blood (same blood-3\gl{du}.\gl{poss})} and e-wada-lu \qu{They have the same age} (\ref{ex:same_age}).",ex:hmwagoon,\gll e-hmwaa-go-lu | \gls RECP-like-body-3PL.POSS | \glt They are equally long.,ex:same_age,\gll e-wada-lu | \gls RECP-time-2DU.POSS | \glt They(2) have the same age. (but:nievit joo-n? how.many year-3\gl{sg}.\gl{poss} how old is s/he?) {[07.11.18 p.95]}\,,,,,,,,,,,,,,,,
Voice,Reflexive and reciprocal,Reciprocal,Reciprocal relationships,,"The prefix e- also occurs on possessed nominals to express a reciprocal relationship outside of the family (\ref{ex:refl3c}) and (\ref{ex:rcp_rel}). Reciprocal relationship nouns for family members (``symmetrical kinship and dyadic relationship"", \citealt[48]{bril_semantic_2005b}) are an own lexical field, prefixed with xa-.\footnote{This is likely not related to the agentive nominalizer, as the cognates for both in other Northern languages are different. For example, in Pije, kee- is the reciprocal prefix and the agentive one is ka-.} A non-exhaustive list is found in \Cref{tab:recp_rel}. These reciprocal relations\is{Nouns!Reciprocal relations} do not extend beyond the lexical fields of kinship and marriage.",ex:refl3c,\gll lu=e-copain-copine | \gls 3DU=RECP-boyfriend-girlfriend | \glt They are boyfriend-girlfriend.,ex:rcp_rel,"\gll calibeen ma le=moo ma li=ehni e-bee-le | \gls sometimes if 3PL=stay COM DEF.PL=DEM.PROX RECP-peer-3PL.POSS | \glt Sometimes when they stay together with those, they are each other's cousins.",,,,,,,,,,,,,,,,
Voice,Middle,"Lack of volitional agent%: Spontaneous, unintentional actor, generic properties.",,,"e-vwa nyakoo- \qu{\gl{mid}-\gl{exist} for-} \qu{take note of something, become aware} (\ref{ex:evwa}), and e-vaaya ko- \qu{\gl{mid}-move on}\qu{shake, move on one's own} (\ref{ex:evaaya}). The first uses a non-volitional verb anyway, vwa \qu{there is}, which casts doubt upon an analysis of e- as marking a lack of initiator. %Note that both use ko, though we are not sure which meaning ko has here, nor whether -n is an anaphoric or possessive morpheme.",ex:evwa,Not found,ex:evaaya,\gll e-vaaya ko-n ka i=that | \gls MID-move on-NSPEC SBJ DEF.SG=wind | \glt The wind shakes [the leaves].,,,,,,,,,,,,,,,,
Voice,Middle,Mode of grouping,,,"e-thaloo moo koon \qu{there are two kinds, they stay on this as two}. The word e-see \qu{be rare} shown in (\ref{ex:e-see}) is derived from se \qu{be alone, be one}.",ex:e-see,"\gll xaleke, go, cahma wadat, tha e-see | \gls see well concerning gun ASS MID-be.one | \glt You see, and well, guns were rare.",,,,,,,,,,,,,,,,,,
Voice,Middle,Symmetrical point% or space between some landmarks,,,"While can dawee- \qu{inbetween} can be used to describe a member of a group, as in (\ref{ex:can_daweelu}), a derived form can e-dawee- \qu{among} also exists, see (\ref{ex:can_e}). There is not enough data yet to precisely pinpoint the difference, though the indistinguishability of the group members may be a nuance introduced by e-, given that this is a function of e- attested in other contexts (see \sectref{ssec:pluriactional}). Other languages in the area use the middle prefix with a ``symmetrical point or space between some landmarks"" \parencite[50]{bril_semantic_2005b}, but Vamale speakers were content with either form and only one unprompted occurrence of can e-dawee- is attested.",ex:can_daweelu,\gll lu=e-vi hapi na kai eca=a= nya wî- vwa wîî-n can dawee- can dawee-lu | \gls 3DU=RECP-say COMP TOP who INDF.SG=REL= give strength EXIST strength-3SG.POSS in between in between-3DU | \glt They discussed who was the stronger between the two of them.,ex:can_e,\gll ma can e-dawee-le i=a= yata-n In-Thu | \gls CNJ in-NSPEC MID-between-3PL DEF.SG=REL= name-3SG.POSS Bark-Banyan | \glt And among them was the one called Banyan Bark.,,,,,,,,,,,,,,,,
Voice,Causatives,,,,"The causative prefix fa- is probably a reflex of Proto-Oceanic *pa- \qu{\gl{caus}} \parencite[510]{ross_morphosyntactic_2004}. It can be applied to active (\ref{ex:caus}), stative (\ref{ex:stat_caus1}), and possessible verbs (\ref{ex:poss_caus}) alike. The Vamale causative is prototypical in \citeauthor{zuniga_grammatical_2019}'s sense, as it increases the base verb's valency by one, and introduces a new agent, which acts as the new subject of the clause, and is ``formally coded on the predicate complex"" \parencite[15--16]{zuniga_grammatical_2019}.",ex:caus,\gll ya a=fa-thuat {i}={apuli} | \gls 3SG 3SG=CAUS-go.out DEF.SG=person | \glt He had the man released.,ex:stat_caus1,\gll a=fa-xhopwen | \gls 3SG=CAUS-big | \glt S/he is conceited.,ex:poss_caus,\gll {go}=fa-mu-nyima-n | \gls 2SG=CAUS-?-heart-3SG.POSS | \glt You scare him/her.,,,,,,,,,,,,,,
Voice,Causatives,,,,"Possessible verbs which are subject to a causative derivation mark the demoted S exactly the same as it was for the base verb, adding the agentive argument in the beginning (\ref{ex:poss2_caus}).",ex:poss2_caus,\gll mu-nyima-n | \gls DEF.DU?-heart-3SG.POSS | \glt S/he is afraid.,,,,,,,,,,,,,,,,,,
Voice,Causatives,,,,"\gl{S\textsubscript{A}}-indexed verbs can be transitive or intransitive. Intransitive verbs, as expected of a prototypical causative construction, are derived to a transitive one, and the former S subject is demoted to the object, in bold in example (\ref{ex:2caus}). Base transitive verbs are more interesting: the partipant made to perform the action by the causer receives the Recipient or Experiencer marker nyako- \qu{\gl{obl}; put on}\footnote{See \sectref{ssec:nyako}.} (\ref{ex:caus2}), since Vamale has no ditransitive verbs and cannot demote the causee to a core argument.",ex:2caus,\gll ya a=fa-thuat {i}={apuli} | \gls 3SG 3SG=CAUS-go.out DEF.SG=person | \glt He had the man released.,ex:caus2,\gll a=fa-tena nyakoo-n meeka-n li=aman | \gls 3SG=CAUS-hear OBL-3SG all-NSPEC DEF.PL=thing | \glt He let him know everything (that was going on).,,,,,,,,,,,,,,,,
