Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Word classes % Main chapter title,What is a word?,Concerning vwa,,,"The compounds that these combinations create are mostly intransitive verbs with often idiosyncratic meanings: vwa vua lit. \qu{do net}, \qu{throw a net}. Vwa uvu \qu{do yam}, \qu{wind yam sprouts around a tutor}, vwa xhwaeo \qu{do taro}, \qu{harvest taro}. Undergoers would be added as oblique arguments with ko \qu{\gl{obl}}, see example (\ref{ex:vwa_ko}). Since vwa is semantically vague and thus readily used as a filler verb, new compounds are often formed (e.g. vwa toki \qu{do metal}, \qu{make a telephone call}), established compounds can broken up ad hoc into verb phrases with specific arguments (see example \ref{ex:vwa_ref}) and many remain transparent phrases. With few exceptions, this grammar will thus avoid marking vwa-constructions clearly as compounds by connecting vwa to its modifier or argument. \sectref{sec:ZeroTrans} takes a closer look at intransitive verbs.",ex:vwa_ko,\gll goagt=vwa-vua ko [i=vuman nyu]obl nya-xahut | \gls 2SG=do-net OBL DEF.SG=group fish send-down.there | \glt You cast-net upon the fish school down there.,ex:vwa_ref,\gll goagt=vwa li=xhwaeop nya-an | \gls 2SG=do DEF.PL=taro towards-same.level | \glt You harvest the taros over there.,,,,,,,,,,,,,,,,
Word classes % Main chapter title,What is a word?,Prosodic words and grammatical words,,,"Vamale's wealth in different classes of morphemes is mirrored on the phonological level: phonological units overlap or not with syntactic units, and the latter can be derived and re-analyzed relatively easily, compare (\ref{ex:rea1}) to (\ref{ex:rea2}). %For example, nouns that are alienably possessed are marked with -n \qu{\gl{poss}}. When the possessor is indexed via a personal possessive suffix (1\gl{sg} etc.) rather than a noun, the possessed noun takes the suffixes -n-eong, -n-go, -n-gau,\ldots See \Cref{tab:morph_overview} for a complete list.",ex:rea1,\gll hnyimake (eca)=aman | \gls think.about INDF.SG=thing | \glt think about something.,ex:rea2,\gll i=hnyimake-aman | \gls DEF.SG=think-thing | \glt the thinking of something,,,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,,,,"A common problem in Oceanic linguistics concerns the distinction between verbs and nouns, which can be considered blurry. A verb phrase can be nominalized just by putting an article in front of it, after which it functions as an argument. A noun phrase can be used as a predicate, and preceded by aspect and modality markers. As discussed by \textcite[3]{creissels_non-verbal_}, one can distinguish three types of non-verbal predicates: nominal, adjectival, and locative. Vamale has no adjectives, but nominal and locative predicates are well attested. example (\ref{ex:le_niehni}) is an example of a pronominal predicate, (\ref{ex:ca_i_bureau}) shows a predicative locative noun phrase, composed of a prepositional noun ca \qu{in} and a common noun, and a nominal predicate is shown in (\ref{ex:predN}).",ex:le_niehni,"\gll li=bee-m, le=niehni | \gls DEF.PL=peer-2SG.POSS 3PL=all.those | \glt Your friends, they are those over there.",ex:ca_i_bureau,Not found,ex:predN,\gll go=bo i=daahma | \gls 2SG=IRR DEF.SG=chief | \glt You would be chief.,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,Syntactic criteria,,,"Within a noun phrase, modifiers are either nominalized verbs that precede the noun, as in (\ref{ex:WCadj1}), possessors, or relative clauses, as in (\ref{ex:WCadj2}). Verbal modifiers are either adverbs or adverbial clauses, or verbs that integrate the verb phrase.",ex:WCadj1,\gll i=bwaakala a=xhopwen | \gls DEF.SG=boat REL=big | \glt the big boat,ex:WCadj2,\gll i=joakan sapwen | \gls DEF.SG=thick dress | \glt the thick dress,,,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,Morphological criteria,,,"Reflexive/reciprocal e-, mostly found on verbs, also occurs with nouns in predicate function, as shown in (\ref{ex:refl_nouns}–\ref{ex:refl_nouns2}). This is a relatively rare occurrence and was only attested with a reciprocal meaning.",ex:refl_nouns,\gll lu=e-copain-copine | \gls 3DU=RECP-boyfriend-girlfriend | \glt The two are boyfriend and girlfriend.,ex:refl_nouns2,"\gll calibeen ma le=moo ma li=ehni, e-bee-le | \gls sometimes SUBR 3PL=stay COM DEF.PL=DEM.PROX RECP-peer-3PL.POSS | \glt Sometimes when they stay together with those, they are each other's cousins.",,,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,Morphological criteria,,,"Some particles and affixes, however, mark the resulting construction as definitely verbal. This includes causative fa-, transitive markers -ke and -i, and manner prefixes (discussed in \sectref{sec:Manner}). For example, xhaavwa in (\ref{ex:xhavwa}) has a different stem than xhavwaleke in (\ref{ex:xhavwaleke}), both in vowel quantity and the last syllable -le.",ex:xhavwa,\gll e=xhaavwa | \gls 1SG=wait | \glt I'm waiting around.,ex:xhavwaleke,\gll e=xhavwale-ke (aman) | \gls 1SG=wait.for-TR something | \glt I'm waiting for something.,,,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,Morphological criteria,%-n,,"The suffix -n \qu{\gl{nspec}, \gl{ana}} warrants an early introduction, as it occurs across word classes, affecting dependent verbs, prepositional nouns and regular inalienable nouns alike. In essence, -n has two functions: one is to mark the generic nature of the argument of its verbal host (\ref{ex:verbal-n}), or the generic possessor of its nominal host (\ref{ex:nominal-n}), while the other function is anaphoric or cataphoric. Generic nouns do not take an article, whereas specific nouns take definite or indefinite articles (see \sectref{sec:WCArticles}).",ex:verbal-n,"\gll ka na naen cipa hmwaka-n habu | \gls CNJ DEM now NEG be.like-NSPEC long.ago | \glt But this is today, not like [things were) yesterday.",ex:nominal-n,\gll kon th=e ra-ta-meebam nyeca-n sohmun | \gls then ASS=1SG NMLZ-be.sitting-sleep inside-NSPEC school | \glt You must know that I kept sleeping on my chair at school.,,,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,Morphological criteria,%-n,,"%Two other suffixes -n must be mentioned: in noun phrases, a suffix -n indexes inalienable 3\gl{sg} possessors on the possessed noun, be it specific (\ref{ex:inalienable}) or generic (\ref{ex:nspec}). Another suffix -n serves as an alienable possessum-marking construct suffix (no indication of person), as in (\ref{ex:alienable}) (see \sectref{sec:Poss} for a more detailed discussion). The two -n are distinguished on the basis of their different distribution. Inalienable -n \qu{3\gl{sg}.\gl{poss}} is part of a paradigm of possessive pronoun marking suffixes, excluding a possessor NP following, while the construct suffix has no allomorphs, grammatically conditioned or otherwise, and occurs between a nominal possessor and its possessum. As the (in)alienability of nouns is lexically conditioned, the two suffixes do not contrast on the same word.",ex:inalienable,Not found,ex:nspec,Not found,ex:alienable,Not found,,,,,,,,,,,,,,
Word classes % Main chapter title,The distinction between verbs and nouns,Morphological criteria,%-n,,"\is{Anaphoric -n}The other function mentioned above is anaphora in the wider sense: relating to something already mentioned (\ref{ex:n_ana}), mentioned in another clause soon after, or known in general (\ref{ex:hmwaana_koon}). The referent's specificity is not important in this case. %The syntactic roles avalailable to the participant indexed with -n are lower ones: objects, the modifiers of prepositional phrases, and, in the case of nominalizations featuring ka-n, intransitive or inanimate subjects.",ex:n_ana,"\gll ehni xhwan da, abe=fate gavwe koo-\textbf{n} go abe=sate-\textbf{n}, cipa hmai-n, cipa-bu ju-vaa udu hmwaka-u | \gls PROX little what 1PL.EXCL=share 2PL OBL-ANA then 1PL.EXCL=be.different-ANA NEG be.many-NSPEC NEG-1DU.EXCL real-too drink like-2DU | \glt This [wine and beer) is nothing much, we share with you of this, and [as for) us, it's different, not much, we don't drink as hard as you do.",ex:hmwaana_koon,\gll hmwaa-na koo-n! | \gls like-DIST on-ANA | \glt Like that!/Now that's a proper way of doing it!,,,,,,,,,,,,,,,,
Word classes % Main chapter title,Articles,,,,"Vamale makes the wide-spread distinction between singular, dual and plural (see \Cref{tab:articles}), and what this study considers to be degrees of definiteness rather than specificity (an argument for this analysis follows in \sectref{ssec:WCArt_specificity}). Using a noun phrase without an article makes it non-specific, as seen in (\ref{ex:noArt2}) and (\ref{ex:Art2}).",ex:noArt2,\gll go=han can hnyimake thamo | \gls 2SG=walk SUBR think woman | \glt You walk while thinking about a woman.,ex:Art2,\gll go=han can hnyimake i=thamo | \gls 2SG=walk SUBR think DEF.SG=woman | \glt You walk while thinking about the woman.,,,,,,,,,,,,,,,,
