Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Enclitics\label{ch:enclitics,,,,,"\phono{-shI} (evidential~--~reportative/quotative) indicates that the speaker has non-perso\-nal-experience evidence for the proposition under the scope of the evidential. \phono{-shI} appears systematically in stories. Often translated as ‘they say.’ \phono{-trI} (evidential~--~conjectural) indicates that the speaker is making a conjecture to the proposition under the scope of the evidential from a set of propositions for which she has either direct or not-direct evidence. Generally translated in Spanish as \spanish{seguro} ‘for sure’, indicating possibility or probability. \phono{-ari} (assertive force) indicates conviction on the part of the speaker. Translated as ‘certainly’ or ‘of course’.\footnote{An anonymous reviewer writes that in other varieties of Quechuan, “\phono{-ari} is interpersonal. It expresses solidarity, affirming what someone else says, thinks or believes to be true.”} \phono{-ik} and \phono{-iki} (evidential modifiers) indicate increasing evidence strength (and increased assertive force or conjectural certainty, in the case of the direct and conjectural modifiers, \phono{-mI} and \phono{-trI}, respectively). Generally translated in Spanish as \spanish{pues} and \spanish{seguro}, respectively. Examples in Table~\ref{Tab30} are fully glossed in the corresponding sections.",Tab30,Not found,,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,,,,"In \SYQ, as in other Quechuan languages, the enclitics can be divided into two classes: (a)~those which position the utterance with regard to others salient in the discourse (restrictive/limitative \phono{-lla}, discontinuative \phono{-ña}, additive \phono{-pis}, topic marking \phono{-qa}, continuative \phono{-Raq}, sequential \phono{-taq}, and interrogative/negative/disjunctive \phono{-chu}); and (b)~those that position the speaker with regard to the utterance (emphatic \phono{-YÁ}, certainty marker \phono{-puni}, and the evidentials \phono{-mi}, \phono{-shi}, and \phono{-tri} along with their modifiers \phono{-ik}, \phono{-iki}, and \phono{-aRi}.). \sectref{ssec:emphatic}--\ref{ssec:emotive} cover all enclitics except the evidentials and their modifiers, in alphabetical order. The evidentials and their modifiers are the subject of \sectref{ssec:evidence}.",ssec:emotive,Not found,,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,Emphatic \phono{-Yá\label{ssec:emphatic\index[sub]{emphatic,,,"Realized as \phono{-yá} in all environments~(\ref{Glo6:Ari}--\ref{Glo6:Sirbisatatr}) except following an evidential, in which case both the \phono{I} of the evidential and the \phono{Y} of the emphatic are elided and \phono{Yá} is realized as \phono{á}~(\ref{Glo6:Balikushatr}--\ref{Glo6:Unayqa}).\\",Glo6:Ari,\gsrc ¡Ari\textbf{yá}! | \gll ari-yá | \gls yes-EMPH | \glt Yes \textbf{indeed}.,Glo6:Sirbisatatr,"\gsrc Sirbisatatr mas mastaqa rantikurun. Sirbisatayá. | \gll sirbisa-ta-tr mas mas-ta-qa ranti-ku-ru-n sirbisa-ta-yá | \gls beer-ACC-EVC more more-ACC-TOP buy-REFL-URGT-3 beer-ACC-EMPH | \glt \spkr~1: “They must have sold a lot more beer.” \spkr~2: “Beer, \textbf{all right}!”",Glo6:Balikushatr,\gsrc Balikushatr kara. Payta\textbf{má} rikarani. | \gll baliku-sha-tr ka-ra pay-ta-m-á rika-ra-ni | \gls request.a.service-PRF-EVC be-PST he-ACC-EVD-EMPH see-PST-1 | \glt He must have been requested. I saw him.,Glo6:Unayqa,"\gsrc Unayqa Awkichanka inkantakura\textbf{shá} wak altupa yantaman riptiki. | \gll unay-qa Awkichanka inkanta-ku-ra-sh-á wak altu-pa yanta-man ri-pti-ki | \gls before-TOP Awkichanka enchant-REFL-PST-EVR-EMPH DEM.D high-LOC firewood-ALL go-SUBDS-2 | \glt In olden times, Awkichanka, too, bewitched, \textbf{they say}, up hill if you went for firewood.",,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,"\phono{-chu} indicates absolute~(\ref{Glo6:Iskwilaman}) and disjunctive questions~(\ref{Glo6:Qari}), (\ref{Glo6:Don}), negation~(\ref{Glo6:Chaytri}), and disjunction~(\ref{Glo6:Kandilaryapa}).\footnote{An anonymous reviewer points out that in \ili{Huaylas} Q, negative \phono{-tsu} is distinguished from polar question \phono{-ku}. \ili{Huaylas} is not unique among Quechuan languages in making this distinction.}",Glo6:Iskwilaman,\gsrc ¿Iskwilaman trurashurqanki\textbf{chu} mamayki? | \gll iskwila-man trura-shu-rqa-nki-chu mama-yki | \gls school-ALL put-2.OBJ-PST-2-Q mother-3 | \glt \textbf{Did} your mother put you in school?,Glo6:Qari,\gsrc ¿Qari\textbf{chu} kanki warmi\textbf{chu} kanki? | \gll ¿qari-chu ka-nki warmi-chu ka-nki | \gls man-Q be-2 woman-Q be-2 | \glt Are you a man \textbf{or} a woman?,Glo6:Don,"\gsrc ¿Don Juan\textbf{chu} icha alman\textbf{chu} hamuyan? | \gll Don Juan-chu icha alma-n-chu hamu-ya-n | \gls Don Juan-Q or soul-3-Q come-PROG-3 | \glt Is it Don Juan, \textbf{or} is his spirit coming?",Glo6:Chaytri,\gsrc Chaytri \textbf{mana} suyawarqa\textbf{chu}. | \gll chay-tri mana suya-wa-rqa-chu | \gls DEM.D-EVC no wait-1.OBJ-PST-NEG | \glt That’s why she would\textbf{n’t} have waited for me.,Glo6:Kandilaryapa,\gsrc Kandilaryapa\textbf{chu} bintisinkupa\textbf{chu}. | \gll kandilarya-pa-chu binti-sinku-pa-chu | \gls Candelaria-LOC-DISJ twenty-five-LOC-DISJ | \glt \textbf{Either} on Candelaria \textbf{or} on the twenty-fifth.,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,"Where it functions to indicate interrogation\index[sub]{interrogation!\phono{-chu}} or negation\index[sub]{negation!\phono{-chu}}, \phono{-chu} attaches to the sentence fragment that is the focus of the interrogation or negation~(\ref{Glo6:Chaypachu}).",Glo6:Chaypachu,\gsrc ¿Chaypa\textbf{chu} tumarqanki? | \gll chay-pa-chu tuma-rqa-nki | \gls DEM.D-LOC-Q take-PST-2 | \glt Did you take [pictures] \textbf{there}?,,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,Where it functions to indicate disjunction\index[sub]{disjunction} --~in either disjunctive questions or disjunctive statements~-- \phono{-chu} generally attaches to each of the disjuncts~(\ref{Glo6:Mario}).,Glo6:Mario,\gsrc Mario\textbf{chu} karqa Julián\textbf{chu} karqa. | \gll Mario-chu ka-rqa Julián-chu ka-rqa | \gls Mario-DISJ be-PST Julián-DISJ be-PST | \glt It was \textbf{either} Mario \textbf{or} Julián.,,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,Questions that anticipate a negative answer are indicated by \phono{mana-chu}~(\ref{Glo6:Manachu}).,Glo6:Manachu,\gsrc ¿\textbf{Manachu} kuska linman? | \gll mana-chu kuska li-n-man | \gls no-Q together go-3-COND | \glt \textbf{Couldn’t} they go together?,,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,\phono{mana-chu} may also “soften” questions~(\ref{Glo6:Paysanu}).,Glo6:Paysanu,"\gsrc Paysanu, ¿\textbf{manachu} vakata rantiyta munanki? | \gll paysanu mana-chu vaka-ta ranti-y-ta muna-nki | \gls countryman no-Q cow-ACC buy-INF-ACC want-2 | \glt My countryman, \textbf{do you not} want to buy a cow?",,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,"It may also be used, like \phono{aw} ‘yes’, in the formation of tag questions~(\ref{Glo6:Lliw}).",Glo6:Lliw,"\gsrc Lliw lliwtriki wañukushun, puchukashun entonces, ¿\textbf{manachu}? | \gll lliw lliw-tr-iki wañu-ku-shun puchuka-shun intunsis mana-chu | \gls all all-EVC-IKI die-REFL-1PL.FUT finish.off-1PL.FUT therefore no-Q | \glt We’ll all have to die, to finish off then, \textbf{isn’t that so}?",,,,,,,,,,,,,,,,,,
Enclitics\label{ch:enclitics,Individual enclitics\label{sec:indenc,"Interrogation, negation, disjunction \phono{-chu\label{ssec:innedi",,,"In negative sentences, \phono{-chu} generally co-occurs with \phono{mana} ‘not’~(\ref{Glo6:mana}); \phono{-chu} is also licensed by additive enclitic \phono{-pis}~(\ref{Glo6:Kaspin}), (\ref{Glo6:Manchakushpa}) and \phono{ni} ‘nor’~(\ref{Glo6:Apuraw}), (\ref{Glo6:wayta}).",Glo6:mana,"\gsrc Aa, \textbf{mana}yá kan\textbf{chu}. \textbf{Mana}yá bula kan\textbf{chu}. | \gll aa mana-yá ka-n-chu mana-yá bula ka-n-chu | \gls ah no-EMPH be-3-NEG no-EMPH ball be-3-NEG | \glt Ah, there are\textbf{n’t} any. There are\textbf{n’t} any balls.",Glo6:Kaspin,\gsrc Kaspin\textbf{pis} kan\textbf{chu}. | \gll kaspi-n-pis ka-n-chu | \gls stick-3-ADD be-3-NEG | \glt She does\textbf{n’t} have a stick.,Glo6:Manchakushpa,"\gsrc Manchakushpa tuta\textbf{s} puñu:\textbf{chu}. | \gll mancha-ku-shpa tuta-s puñu-:-chu | \gls scare-REFL-SUBIS night-ADD sleep-1-NEG | \glt Being scared, I \textbf{don’t} sleep at night.",Glo6:Apuraw,\gsrc Apuraw wañururqariki. \textbf{Ni} apanña\textbf{chu}. | \gll apuraw wañu-ru-rqa-r-iki ni apa-n-ña-chu | \gls quick die-URGT-PST-R-IKI nor bring-3-DISC-NEG | \glt He died quickly. They \textbf{didn’t even} bring him [to the hospital].,Glo6:wayta,\gsrc \textbf{Manam} wayta\textbf{chu} \textbf{ni} pishqu\textbf{chu}. | \gll mana-m wayta-chu ni pishqu-chu | \gls no-EVD flower-NEG nor bird-NEG | \glt \textbf{Neither} a flower \textbf{nor} a bird.,,,,,,,,,,
