Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Nominal morphology,Noun classes,,,,"Fwe nouns are divided into genders, which are commonly referred to as noun classes in Bantu linguistics. Fwe uses 19 noun classes, which are numbered 1-18 (including 1a) according to the Bantu tradition. Noun class agreement is marked on modifiers, as discussed in \sectref{bkm:Ref74305906}, and on verbs, as discussed in Chapter \ref{bkm:Ref98512234}. Noun class membership is also marked on the noun itself by nominal prefixes. The nominal and pronominal prefixes for each noun class are presented in \tabref{tab:4:1}.",bkm:Ref98512234,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"As seen in \tabref{tab:4:2}, some nominal prefixes have one or two allomorphs. One of these is lexically conditioned: the allomorph r(i)- of class 5 only appears on two nouns, given in (\ref{bkm:Ref492314485}). As the prefix r(i)- is lost when the noun is used in class 6 to mark a plural, the initial segment r(i)- can be analyzed as a prefix of class 5. The presence of /i/ in this allomorph cannot be proven, as the combination of the putative /i/ of the nominal prefix and the following /i/ of the nominal stem may account for the deletion of the initial /i/. Comparison with the paradigm of pronominal prefixes, where the class 5 prefix is ri- (see \tabref{tab:4:1}), suggests an underlying vowel /i/ is likely.",bkm:Ref492314485,\gsrc rínò \tab\tab ménò | \gll ri-inó \tab\tab ma-inó | \gls NP5-tooth \tab\tab NP6-tooth | \glt ‘tooth’ \tab\tab ‘teeth’,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"The other allomorphs of nominal prefixes are the result of two morphophonological processes that play a role when combining the prefix with the nominal root: vowel hiatus resolution and prenasalization. As discussed in \sectref{bkm:Ref491962181}, vowel hiatus resolution may take place when a nominal prefix with a CV-shape combines with a vowel-initial noun stem. Nominal prefixes of class 1, 3, 11, and 14 have two allomorphs that are used with vowel-initial stems. One of these allomorphs is created by deleting the vowel /u/ of the prefix and replacing it with a glide /w/. This allomorph is used when the stem of the noun begins with a vowel /a/, /i/ or /e/; examples are given in (\ref{bkm:Ref492314403}).",bkm:Ref492314403,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,Nominal prefixes with /u/ have a second allomorph used with vowel-initial stems with a back vowel /o/ or /u/. This allomorph is created by deleting the vowel /u/ of the nominal prefix without glide formation. Examples of these allomorphs are given in (\ref{bkm:Ref492314369}).,bkm:Ref492314369,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"The nominal prefixes that have a vowel /i/ or /a/ are usually not changed when combined with a vowel-initial root, as in (\ref{bkm:Ref492314322}).",bkm:Ref492314322,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"There are a few exceptions to this rule, which are lexically determined. With the two vowel-initial noun stems listed in (\ref{bkm:Ref98512328}), the vowel /i/ of the nominal prefix is deleted.",bkm:Ref98512328,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"There are also vowel-initial stems where the vowel of the nominal prefix is not deleted, but merges with the vowel of the nominal root, as in (\ref{bkm:Ref99539773}), where the vowel /i/ of the root is maintained in the singular, but merges with the vowel /a/ of the nominal prefix in the plural form.",bkm:Ref99539773,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"A second set of nominal prefix allomorphs are those of class 9 and 10. The basic form of the prefixes of both class 9 and class 10 is a homorganic nasal, segmented in the phonological transcription as N-, that combines with the initial consonant of the nominal root. Morphophonological changes that accompany this prefix have been discussed in \sectref{bkm:Ref451507060}. That the homorganic nasal functions as a nominal prefix can be seen from the loss of the nasal when a nominal root shifts from class 9/10 to another noun class which does not have a homorganic nasal as its nominal prefix, as in (\ref{bkm:Ref491959291}).",bkm:Ref491959291,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"There are also indications that the homorganic nasal is losing its function as a nominal prefix of class 9/10. Most nouns with an apparent N\nobreakdash- prefix in class 9/10 do not lose the homorganic nasal when used in a different class, as in (\ref{bkm:Ref99541502}), showing that in these nouns, the homorganic nasal has been reanalyzed as part of the nominal root. There seems to be no conditioning on where the homorganic nasal loses its status as a separate morpheme, and there is also inter-speaker variation in its realization.",bkm:Ref99541502,Not found,,,,,,,,,,,,,,,,,,
Nominal morphology,Noun classes,Nominal prefixes,,,"Some borrowed stems that are assigned to class 9 take the N- prefix, as in (\ref{bkm:Ref99541539}a). and (\ref{bkm:Ref99541539}b)., others take a zero prefix, as in (\ref{bkm:Ref99541539}c). and (\ref{bkm:Ref99541539}d). Note that in all cases, these nouns function as class 9 nouns, that is, they trigger class 9 agreement on their dependents.",bkm:Ref99541539,Not found,bkm:Ref99541539,Not found,bkm:Ref99541539,Not found,bkm:Ref99541539,Not found,,,,,,,,,,,,
