Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Parts of speech,Nouns,Noun types,Common nouns,,"Structurally, common nouns in Gyeli consist minimally of a nominal stem with up to three prefixes maximally added, the first of which is tonal, as shown in the template in \REF{Nstruc}. The different prefix types are described in \sectref{sec:Prefix}.\footnote{Further information as well as an explanation of terminological distinctions of ``noun class'', ``agreement class'', and ``gender'' are provided in \sectref{sec:Gender}.}",Nstruc,Not found,,,,,,,,,,,,,,,,,,
Parts of speech,Nouns,Noun types,Proper names,,"Finally, person and place names differ in their marking of noun + noun genitive constructions when the possessor is a proper name. While all examples in \REF{GenAtt} are structurally identical, person names take a special genitive marker (\sectref{sec:GEN}), as shown in \REF{GenAtt1}. In contrast, place names \REF{GenAtt2} pattern with common nouns \REF{GenAtt3} in that they take an attributive marker (\sectref{sec:ATT}).",GenAtt,\ea \label{GenAtt1} person name | \gll j-ínɔ̀ \textbf{ngá} Námpùndì | \gls le5-name GEN ∅1.PN | \glt `the name of [the woman] Nampoundi',GenAtt1,Not found,GenAtt2,Not found,GenAtt3,Not found,,,,,,,,,,,,
Parts of speech,Nouns,Noun types,Nominalized past participles,,"Nominalized past participles are defective nouns that are the most deviant noun type.\footnote{Their category label does not imply that there are non-nominalized participles.} All nouns of this category are derived from verbs and function like a past participle, as illustrated in \REF{NounPart1}. More information on the derivation process is provided in \sectref{sec:NOMPart}.",NounPart1,\gsrc yíì nkɛ̀lá | \gll yíì n-kɛ̀l-a | \gls 7.ID N-hang-NOM | \glt `It is hung up [lit. a hung-up person/thing].',,,,,,,,,,,,,,,,,,
Parts of speech,Nouns,Noun types,Nominalized past participles,,"Unlike full nouns, nominalized past participles never allow a plural form. Thus, while the nominal predicate in \REF{NounPart2a} takes the plural noun class marker {\itshape ba}-, agreeing in number with the subject, this is not the case for the nominalized past participle in \REF{NounPart2b}.",NounPart2a,\gsrc Àdà nà Màmbì báà \textbf{bà}ngɛ̀lɛ́nɛ̀ | \gll Àdà nà Màmbì báà ba-ngɛ̀lɛ́nɛ̀ | \gls ∅1.PN COM ∅1.PN 2.COP ba2-teacher | \glt `Ada and Mambi are teachers.',NounPart2b,\gsrc Àdà nà Màmbì báà \textbf{mbánâ} | \gll Àdà nà Màmbì báà m-bán-a | \gls ∅1.PN COM ∅1.PN 2.COP N-marry-NOM | \glt `Ada and Mambi are married [lit. are married ones].',,,,,,,,,,,,,,,,
Parts of speech,Nouns,Noun types,Nominalized past participles,,"The occurrence of nominalized past participles is restricted to the predicate position of a \textsc{stamp} copula construction (\sectref{sec:SCOP}), as shown in \REF{NounPart1} and \REF{NounPart2}. Consequently, they do not serve as an argument or adjunct, unlike common nouns and proper names. Given their distributional restriction, they never occur in a position where they would trigger agreement, for instance through the addition of agreement targets in the predicate {\NP}. Likewise, speakers would not replace the nominalized past participle with a pronoun that could indicate its affiliation with an agreement class.",NounPart1,\gsrc yíì nkɛ̀lá | \gll yíì n-kɛ̀l-a | \gls 7.ID N-hang-NOM | \glt `It is hung up [lit. a hung-up person/thing].',NounPart2,Not found,,,,,,,,,,,,,,,,
Parts of speech,Nouns,Noun types,Nominalized past participles,,"Another hypothesis would be to consider these forms as verbs, given their verbal stem and translation. Despite significant differences from common nouns and proper names, I do not adopt this analysis, but instead classify nominalized past participles as a defective noun type. Evidence for this comes from their prefixation and tonal behavior, and their distribution in sentences which distinguishes them from verbs. Morphologically, verbs do not take prefixes, but only suffixes. The nominalized past participle, however, consistently takes a nasal prefix. Verbs only have tonal specifications for the first syllable while the potential second and third syllables are underlyingly toneless and thus surface as L in isolation, as explained in \sectref{sec:Tonology}. In contrast, nominalized past participles never surface L on the last syllables, but either H or HL. Also in terms of their distribution in sentences, nominalized past participle forms cannot be verbs since verbs follow the subject-tense-aspect-mood-polarity (\textsc{stamp}) marker, as described in \sectref{sec:SCOP}. These participles cannot combine with the \textsc{stamp} marker. They only occur in \textsc{stamp} copula constructions (\sectref{sec:COP}). There are several predication types for copula constructions, including nominal and adjectival copulas, but never verbs. \REF{COPNom} contrasts a nominalized past participle with a passive construction in \REF{COPNomb}, as the translation of the nominalized past participle construction might suggest a passive reading.",COPNom,Not found,COPNomb,\gsrc ndáwɔ̀ nyí búyá (nà vìyɔ́) | \gll ndáwɔ̀ nyi-H búy-a-H nà vìyɔ́ | \gls 9emptyset.house 9-PRS destroy-PASS-R COM 8emptyset.fire | \glt `The house is being destroyed by fire.',,,,,,,,,,,,,,,,
Parts of speech,Nouns,Noun types,Nominalized past participles,,"The nominalized past participle and the passive construction both allow for an instrumental oblique. The form of the \textsc{stamp} copula in \REF{COPNoma} and the \textsc{stamp} marker in \REF{COPNomb} are, however, distinct, as is the participle form with its nasal and its tonal pattern in which it differs from the verbal form in the passive.",COPNoma,\gsrc ndáwɔ̀ nyíì mbúyâ (nà vìyɔ́) | \gll ndáwɔ̀ nyíì m-búy-a (nà vìyɔ́) | \gls 9∅.house 9.COP N-destroy-NOM COM 8∅.fire | \glt `The house is destroyed (by fire).',COPNomb,\gsrc ndáwɔ̀ nyí búyá (nà vìyɔ́) | \gll ndáwɔ̀ nyi-H búy-a-H nà vìyɔ́ | \gls 9emptyset.house 9-PRS destroy-PASS-R COM 8emptyset.fire | \glt `The house is being destroyed by fire.',,,,,,,,,,,,,,,,
Parts of speech,Nouns,Nouns and countability,,,"Non-countable nouns are most frequently and regularly found in the transnumeral gender 6. (More information on the gender and agreement system is provided in \sectref{sec:Gender}.) Semantically, all liquids fall into this class, as exemplified in \REF{LMN}.",LMN,Not found,,,,,,,,,,,,,,,,,,
Parts of speech,Nouns,Nouns and countability,,,"\noindent In addition, deverbal event nouns of gender 6, as in \REF{DEN}, are uncountable. More information on their derivation process is provided in \sectref{sec:NOM6}.",DEN,Not found,,,,,,,,,,,,,,,,,,
Parts of speech,Nouns,Nouns and countability,,,"Then there are nouns that only have a singular form. Most often, they are abstract nouns of class 7, as illustrated in \REF{AN}.",AN,Not found,,,,,,,,,,,,,,,,,,
Parts of speech,Verbs,Verb structure,,,"The root in Gyeli can function as an independent word without any further bound morphemes attached, as exemplified in \REF{Vroot1} for monosyllabic verb roots. All monosyllabic verbs consist of a root only. Under derivation, a root-final consonant (or variants thereof) will surface, as described in \sectref{sec:RFCV}. This root-final consonant is deleted in monosyllabic roots in order to adhere to an open syllable structure.",Vroot1,Not found,,,,,,,,,,,,,,,,,,
Parts of speech,Verbs,Verb structure,,,"\noindent Also some disyllabic verb roots satisfy the criterion of an irreducible core, as in \REF{Vroot2}.",Vroot2,Not found,,,,,,,,,,,,,,,,,,
Parts of speech,Verbs,Verb structure,,,"There are also disyllabic verbs that consist of a root plus extension suffix, as shown in \REF{Vroot3}. Derivation with extension and expansion suffixes is described in \sectref{sec:VDeriv}.",Vroot3,Not found,,,,,,,,,,,,,,,,,,
