Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Morphology,Morpheme types,Prefixes,,,"A noun stem can maximally take three prefixes, as illustrated in \REF{Prefix-extent}.",Prefix-extent,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Prefixes,Derivational prefixes,,"The derivational similative marker {\itshape ná}- forms a functional category on its own expressing the meaning `like'. The prefix is related to the free morpheme {\itshape ná} which serves as a similative marker in noun + noun naming constructions, as discussed in \sectref{sec:SIMword}. Words with the prefix {\itshape ná}- are (historically) derived from either a verb or noun or are synchronically opaque. The application of {\itshape ná}- results in common nouns, proper names, and some adjectives, as shown for each type in \REF{SIMNouns}.",SIMNouns,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Prefixes,Derivational prefixes,,"The {\itshape ná}- similative marker is the most lexicalized prefix in the language since its use is not productive. Instead, it is lexically specified which nouns and adjectives occur with this marker. Especially in the case of nouns with the {\itshape ná}- prefix, one could even argue that the prefix is synchronically frozen to the lexical stem since, in many instances, the meaning of the lexical stem is opaque. There are several reasons, however, why I consider {\itshape ná}- a prefix and not part of the lexical stem. First, nouns with the {\itshape ná}- prefix are structurally different from other common nouns. If one counted {\itshape ná}- as part of the nominal stem, some of these stems would have a syllable length of four syllables. As discussed in \sectref{sec:SyllN}, however, the maximum syllable length in stems is three syllables (and even this is dispreferred, accounting for only 10% of the nouns in the database). Second, the {\itshape ná}- prefix occurs quite frequently and regularly, especially in the derivation of female names from male names and in adjectives. This suggests that there is a formal pattern (rather than just a random CV syllable shape). Third, there is a clear function attributed to {\itshape ná}-, namely that of expressing similarity, as shown in the examples in \REF{SIMNouns}. Derivation with the prefix {\itshape ná}- is discussed in greater detail in \sectref{sec:NOMSIM}.",SIMNouns,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Prefixes,The object-linking H tone,,"Some morphemes in Gyeli are not segmental, but solely tonal. This is the case for the H tone that attaches to the left of common nouns in certain contexts.\footnote{Proper names do not take an object-linking H tone, which is tied to the fact that proper names do not usually take noun class prefixes. Therefore, the object-linking H tone does not have a toneless TBU to attach to.} In terms of its function, this H tone prefix marks a noun as the object. Where there is more than one object, only the object closest to the verb is marked by the object linker. As such, it is an inflectional morpheme that is obligatorily in this environment. I call this prefix ``object-linking H tone'' and gloss it as `{\OBJ}.{\LINK}', as shown in \REF{OBJ40}.",OBJ40,\gsrc nkɛ̀ nyì nzí sílɛ̃́ɛ̃̀ \textbf{bé}déwò. | \gll nkɛ̀ nyi nzí sílɛ̃́ɛ̃̀ \textbf{H}-be-déwò | \gls ∅9.field 9 PROG.PST finish.COMPL bfseries OBJ.LINK-be8-food | \glt `The field was already running out of food.',,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Nominalization suffixes,,"The fourth suffix, -{\itshape á}/-{\itshape â}, is productively used in the derivation of nominalized past participles (\sectref{sec:NOMPart}), as in \REF{nomp}. The tonal pattern of an H tone or a falling tone is phonologically determined by the tone on the lexical root. An H tone lexical root takes a falling -{\itshape â} nominalization suffix, while an L tone verb stem takes an H suffix -{\itshape á}. This makes it a distinct pattern from the -H and -{\itshape a} suffixes in full deverbal nouns, whose tonal patterns seem lexically specified and not conditioned by phonology.",nomp,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Nominalization suffixes,,"In contrast to nominalized past participles, not all full deverbal nouns take a nominalization suffix. In fact, they frequently do not use any nominalization suffix at all. In these cases, the noun class marker that is used with the verb stem is the only nominal marker, as shown in \REF{NOMb}. The toneless TBUs of the verb stem are specified for L tones in the nominal forms.",NOMb,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Nominalization suffixes,,"It is lexically specified which nouns take a nominalization suffix and also if the noun will take both the suffix -{\itshape a} and the tonal suffix -H, as shown in \REF{NOMa}, or just one of them.",NOMa,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Nominalization suffixes,,"While the suffixes -{\itshape a} and -H most often occur together, there are also cases where only -H or only -{\itshape a} is used, as shown in \REF{NOMx}.",NOMx,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Nominalization suffixes,,"There are some constraints on the occurrence of -{\itshape a}. In terms of phonological constraints, the suffix only attaches to stems that end in /ɛ/ or /ɔ/, as shown in \REF{NOMa}.\footnote{Nouns derived from verbs with other final vowels such as /i/, /o/, and /a/ never undergo vowel change.} As for its distribution over various genders, -{\itshape a} is only used in non-agentive deverbal nouns, excluding nominalizations in gender 1/2 (\sectref{sec:NOM12}).",NOMa,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Nominalization suffixes,,"There are only two known occurrences of the -{\itshape ɛ̀dɛ̀} suffix in the lexical database, which are listed in \REF{NOMede}.",NOMede,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Negation suffix -{\itshape lɛ,,"There are two suffixes -{\itshape lɛ}, which are homophonous but have two distinct functions. One is a derivational expansion suffix (\sectref{sec:DiaEx}) and the other is an inflectional negation suffix. Both suffixes can co-occur, as shown in \REF{EXPNEG}. In these instances, the negation suffix follows the expansion suffix, as expansion suffixes generally follow the verb root, while the negation suffix attaches to the verb stem.",EXPNEG,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Negation suffix -{\itshape lɛ,,"As a negation suffix, -{\itshape lɛ} productively attaches to all verb stems in the present tense, as exemplified in \REF{negle}. Tonal changes depend on the verb's stem tones and are discussed in detail in \sectref{sec:NEGPRES}.",negle,Not found,,,,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Contrastive marker -{\itshape gà,,"The morpheme -{\itshape gà} is an inflectional suffix that attaches to subject pronouns, as shown in \REF{122t}, and to object pronouns, as in \REF{122s}.",122t,"\gsrc wɛ́ kɛ́ nà nyɛ̂ nkɔ̃̀wáká \textbf{nyɛ̀gà} à nzíí wɛ̂ vã́ã̀kɛ́ sâ mpù | \gll wɛ-H kɛ̀-H nà nyɛ̂ nkɔ̃̀wáká nyɛ̀-gà a nzíí wɛ̂ vã́ã̀kɛ́ sâ mpù | \gls 2SG-PRS go-R COM 1 equal.sharing 1.SBJ-CONTR 1 PROG.PRS 2SG.OBJ go[Bulu] do like.this | \glt `You go with him equally sharing, he tries to trick you [lit. he is going to do you like this].'",122s,"\gsrc mɛ́ nyɛ́ \textbf{wɛ̀gà} | \gll mɛ-H nyɛ̂-H wɛ̂-gà | \gls 1SG-PRS see-R 2.SG-CONTR | \glt `I see YOU/you, too.",,,,,,,,,,,,,,,,
Morphology,Morpheme types,Suffixes,Vocative marker -{\itshape o,,"The vocative suffix is not exclusively restricted to proper names, but can also be used with common nouns. These occurrences are, however, limited to common nouns expressing a relation that can be used as address, such as {\itshape nyá-ò} `mother' and {\itshape tá-ò} `father'. The vocative can also attach to the locative adverb {\itshape wɛ̂} `there', as shown in \REF{VOC}, where it also combines with the distal H tone.",VOC,\gsrc mùdì kí tàtɔ̀ wú\textbf{ó} | \gll m-ùdì kí tàtɔ wû-o-H | \gls N1-person NEG scream there-VOC-DIST | \glt `Nobody scream over there!',,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,,,"The tonal suffix -H occurs in full deverbal nouns of all genders except for gender 1/2. The -H suffix spreads across all toneless TBUs of a verb, namely all syllables after the first one (see \sectref{sec:toneless}). In deverbal nominalization, all the tones become lexicalized, i.e. there are no toneless TBUs in noun stems. The verbal toneless units lexicalize either as an L, as in \REF{NomTBU1} or an H, as in \REF{NomTBU2}.",NomTBU1,Not found,NomTBU2,Not found,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"The type of nasal prefix in class 1 depends on the phonological properties of the noun's stem-initial consonant (\sectref{sec:NPlaceAss}). If the stem starts with a bilabial consonant, the nasal will be a labial nasal /m/ as in \REF{prem}.",prem,Not found,,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"\noindent On the other hand, if the consonant is an alveolar consonant, it will be an alveolar nasal /n/ as in \REF{pren}.",pren,Not found,,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"\noindent Finally, if the consonant is a velar, as in \REF{preN}, the nasal will be a velar nasal /ŋ/.\footnote{In general orthography, however, I do not distinguish alveolar and velar nasals, as explained in \chapref{sec:Phon}.}",preN,Not found,,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"Most deverbal nouns in gender 1/2 do not take any nominalization suffix, but retain the original verb stem, as shown in \REF{BiN} with the examples displaying different final vowels of /a/, /ɛ/, and /ɔ/.",BiN,Not found,,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"All known deverbal nouns in gender 1/2 that do not take a nominalization suffix are disyllabic. In the examples in \REF{BiN}, this is obvious since the verb stem is disyllabic as well. There are, however, also cases where a disyllabic version of a monosyllabic verb is, at least synchronically, not used in the language, as in \REF{Napp}. The derived noun is still disyllabic, receiving the non-productive extension -{\itshape lɛ} which is discussed in \sectref{sec:DiaEx}. Trisyllabic derived nouns without an extension suffix are not known.",BiN,Not found,Napp,Not found,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"\noindent Another opaque exception to the general retention of the verb stem is \REF{Napp2}. Not only is the derivation process not clear, also the final vowel of the noun changes to /i/. There are no other nouns that follow this pattern.",Napp2,Not found,,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal agentive nouns in gender 1/2,,"When suffixation of deverbal nouns in gender 1/2 occurs, it is always with -{\itshape ɛ̀dɛ̀}, but never -{\itshape a} or -H). Examples of this are given in \REF{ede}.",ede,Not found,,,,,,,,,,,,,,,,,,
Morphology,Derivation and compounding,Nominalization,Deverbal nouns in gender 3/4,,"Deverbal nouns in gender 3/4 are less frequent than those in gender 1/2 or 6. They are, however, formally very similar to nominalized past participles, discussed in \sectref{sec:NOMPart}. All of them take a nasal prefix (in class 3), they all take the nominalization suffix -{\itshape a}, and disyllabic nouns also take the tonal nominalization suffix -H on the final vowel, as shown in \REF{34dNa}. This pattern is distinct from nominalized past participles, since lexical stems with an H tone take the -H suffix. Nominalized past participles surface with a final HL if the stem is H.",34dNa,Not found,,,,,,,,,,,,,,,,,,
