Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Basic syntax\label{sec:10,Noun phrases\label{sec:10.1,,,The syntactical structure of noun phrases formalized in \REF{ex:syn:1} is fleshed out among the real Ik noun phrases presented below in examples \REF{ex:syn:2}-\REF{ex:syn:10}:,ex:syn:1,Not found,ex:syn:2,Not found,ex:syn:10,Not found,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Intransitive\label{sec:10.2.1,,"Ik \textsc{intransitive} clauses consist minimally of a verb (\textsc{v}) and a subject (\textsc{s}) in a \textsc{vs} \isi{constituent order}. The subject may be explicit, in which case it follows the verb, or it may be implicit, in which case it is merely marked on the verb. Basic \isi{intransitive} \isi{clause structure} is illustrated in example \REF{ex:syn:11}:",ex:syn:11,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Intransitive\label{sec:10.2.1,,"When a \isi{tense} \isi{adverb} is needed, it comes directly after the verb and before any explicit subject. And any other adverbial elements like extended objects (\textsc{e}) or adverbs, in that order, come after the subject. This word order is shown in \REF{ex:syn:12}:",ex:syn:12,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Transitive\label{sec:10.2.2,,"Ik \textsc{transitive} clauses consist minimally of a transitive verb (\textsc{v}), an agent (\textsc{a}), and an object (\textsc{o}) in a \textsc{vao} \isi{constituent order}. The subject may be explicit, in which case it comes between the verb and object, or it may merely be marked on the verb with a suffix. The object may also be dropped, in which case it is inferred from the context. Example \REF{ex:syn:13} illustrates basic transitive \isi{clause structure}:",ex:syn:13,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Transitive\label{sec:10.2.2,,"When a \isi{tense} \isi{adverb} is needed, it comes directly after the verb and before any explicit subject. And any other adverbial elements like extended objects (\textsc{e}) or adverbs, in that order, come after the subject. This syntax is shown in \REF{ex:syn:14}:",ex:syn:14,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Ditransitive\label{sec:10.2.3,,"Ik \textsc{ditransitive} clauses consist minimally of a ditransitive verb (\textsc{v}), an agent (\textsc{a}), an object (\textsc{o}), and an extended object (\textsc{e}) in a \textsc{vaoe} \isi{constituent order}. If the agent is not mentioned explicitly, then it will still be marked with a suffix on the verb. The object and extended object may be left implicit but will be understood from context. The basic ditransitive \isi{clause structure} is illustrated in \REF{ex:syn:15}:",ex:syn:15,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Causative\label{sec:10.2.4,,"By adding an extra element in the form of a causing agent, Ik \textsc{causative} verbs change the structure of a clause. If the original clause was a \textsc{vs} \isi{intransitive} one, then the \isi{causative} changes it to a transitive \textsc{vao}. If the original clause was a transitive \textsc{vao}, then the \isi{causative} changes it to a ditransitive \textsc{vaoe}. The following two examples, \REF{ex:syn:16}-\REF{ex:syn:19}, show \isi{causative} verbs making these structural changes:\\",ex:syn:16,Not found,ex:syn:19,Not found,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Auxiliary\label{sec:10.2.5,,Example \REF{ex:syn:20} illustrates the use of the recentive aspectual \isi{auxiliary verb} erúts- in an \isi{intransitive} clause with the structure \textsc{auxSVE:},ex:syn:20,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Auxiliary\label{sec:10.2.5,,"Example \REF{ex:syn:21}, on the other hand, shows the use of the anticipative verb \textit{ŋ\'{ɔ}r-} in a transitive clause with the structure \textsc{auxAVOE}:",ex:syn:21,Not found,,,,,,,,,,,,,,,,,,
,Basic syntax\label{sec:10,Clause structure\label{sec:10.2,Auxiliary\label{sec:10.2.5,,"Lastly, sentence \REF{ex:syn:22} exemplifies the durative aspectual verb sár- in a simple transitive clause working with the defective verb tsʼágwa-:",ex:syn:22,Not found,,,,,,,,,,,,,,,,,,
