Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Intransitive subject \label{sec:absolutive.S,,,"The only argument of morphologically intransitive and syntactically monoactantial verbs, the intransitive subject (S), is in absolutive form and is indexed on the verb, as \forme{tɕʰeme nɯra} `the women' with plural indexation in (\ref{ex:tCheme.nWra.thWstanW}).",ex:tCheme.nWra.thWstanW,\gll tɕʰeme nɯra tʰɯ-sta-nɯ | \gls woman DEM:PL AOR-wake.up-PL | \glt `The women woke up.',,,,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Intransitive subject \label{sec:absolutive.S,,,"Apparent examples of ergative \forme{kɯ} with third person intransitive subjects are due to the effect of long distance ergative marking (§\ref{sec:long.distance.kW}), due to bracketing issues between main clause and complement clause (§\ref{sec:complement.clause.case.marking}) or to errors, as in example (\ref{ex:kW.chAsta}): the intransitive \japhug{sta}{wake up} only takes an absolutive argument (as in \ref{ex:tCheme.nWra.thWstanW} above), and the ergative \forme{kɯ} is preceded and followed by pauses, reflecting the hesitation of the narrator. As an isolated sentence, the use of ergative is considered to be agrammatical in this example.",ex:kW.chAsta,"\gll nɯ jamar kóʁmɯz nɯ lɯlu nɯ, /kɯ/, cʰɤ-sta. | \gls DEM about only.then DEM cat DEM ERG IFR-wake.up | \glt (150826 shier shengxiao) | '",ex:tCheme.nWra.thWstanW,\gll tɕʰeme nɯra tʰɯ-sta-nɯ | \gls woman DEM:PL AOR-wake.up-PL | \glt `The women woke up.',,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Object \label{sec:absolutive.P,,,"Morphologically transitive verbs (§\ref{sec:transitivity.morphology}) take an object (O argument) in absolutive form, indexed by the verb morphology (§\ref{sec:polypersonal}). For instance \forme{tsuku tɯrme ra} `some people' in (\ref{ex:tsuku.tWrme.ra.kuwGmtsWGnW}) has no case marking, and is coreferent with the plural indexation on \forme{kú-wɣ-mtsɯɣ-nɯ} `they are stung' (with inverse marking, §\ref{sec:direct-inverse}). Only absolutive phrases can be indexed as objects; there are no verbs in Japhug indexing a postpositional phrase other than an ergatively marked transitive subjects.",ex:tsuku.tWrme.ra.kuwGmtsWGnW,"\gll tsuku tɯrme ra kú-wɣ-mtsɯɣ-nɯ tɕe mɯ́j-ʁdɯɣ, | \gls some people PL IPFV-INV-bite-PL LNK NEG.SENS-be.serious | \glt `Some people, when they are stung [by bees] are fine.'",,,,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Object \label{sec:absolutive.P,,,"Most transitive verbs have a strict requirement on the semantic role of the object. However, speakers can in limited cases select an object with a different role with stylistic effect. For instance, the verb \japhug{ʑmbri}{play} (an instrument), `make noise with' normally takes a object a musical instrument or any other noise-making implement (§\ref{sec:caus.Z}), as in (\ref{ex:taZmbri}). However, in the next sentence of the same story (\ref{ex:taZmbri2}), this verb appears with the phrase \forme{ɯ-mu cʰo ndʑi-kɤ-ndza kɤ-tsʰi kɯ-dɯ\redp{}dɤn} `a lot of food and drink for (him) and his mother' as object, a resultative construction: the direct object is not the instrument used to make the noise, but rather the boon obtained by making noise with the wish-granting \japhug{pʰantsɯt}{plate}.",ex:taZmbri,\gll [iɕqʰa pʰantsɯt nɯ] ta-ʑmbri ɲɯ-ŋu | \gls the.aforementioned plate DEM AOR:3\flobv{}-make.noise SENS-be | \glt `He made noise with the (magical wish-granting) plate (by hitting on it). (2003 tWxtsa) | ',ex:taZmbri2,"\gll [ɯ-mu cʰo ndʑi-kɤ-ndza kɤ-tsʰi kɯ-dɯ\redp{}dɤn ʑo nɯ] ta-ʑmbri nɤ, | \gls 3SG.POSS-mother COMIT 3DU.POSS-OBJ:PCP-eat OBJ:PCP-drink SBJ:PCP-EMPH\redp{}be.many EMPH DEM AOR:3\flobv{}-make.noise ADD | \glt `He [made appear] a lot of food and drink for him and his mother by making noise (with the wish-granting plate).'",,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Sole argument of predicates of natural forces \label{sec:absolutive.nature,,,"While some verbs referring to natural forces are intransitive (\japhug{nmu}{shake (of earthquakes)}), §\ref{sec:volitional.mW}), most are morphologically transitive auxiliary verbs (mainly \japhug{lɤt}{release}, \japhug{βzu}{make}, \japhug{ta}{put} and \japhug{rku}{put in}), used in collocation with a noun in absolutive form, as in (\ref{ex:tWmW.YAsWlAt}) and (\ref{ex:qale.taBzu}).",ex:tWmW.YAsWlAt,\gll tɯ-mɯ ɲɯ-ɤsɯ-lɤt | \gls INDEF.POSS-sky SENS-PROG-release | \glt `It is raining.',ex:qale.taBzu,"\gll ɕlaʁ ʑo cʰɯ-mda ɕɯŋgɯ tɕe tɕe qale ta-βzu tɕe tɕe cʰɯ-tʂaβ ŋu tɕe, | \gls IDPH(I):suddenly EMPH IPFV-be.the.time before LNK LNK wind AOR:3\flobv{}-make LNK LNK IPFV-cause.to.fall be:FACT LNK | \glt `When there is wind suddenly before [the barley] is fully ripe, it presses them [on the ground, and it cannot grow any more].'",,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Sole argument of predicates of natural forces \label{sec:absolutive.nature,,,The presence of the progressive \forme{asɯ-} prefix in (\ref{ex:tWmW.YAsWlAt}) and of the C-type Aorist \forme{ta-} preverb (§\ref{sec:kamnyu.preverbs}) in (\ref{ex:qale.taBzu}) show that these verbs are morphologically transitive (§\ref{sec:transitivity.morphology}). The noun in these collocations is also relativized like a direct object (§\ref{sec:semi.object.relativization}).,ex:tWmW.YAsWlAt,\gll tɯ-mɯ ɲɯ-ɤsɯ-lɤt | \gls INDEF.POSS-sky SENS-PROG-release | \glt `It is raining.',ex:qale.taBzu,"\gll ɕlaʁ ʑo cʰɯ-mda ɕɯŋgɯ tɕe tɕe qale ta-βzu tɕe tɕe cʰɯ-tʂaβ ŋu tɕe, | \gls IDPH(I):suddenly EMPH IPFV-be.the.time before LNK LNK wind AOR:3\flobv{}-make LNK LNK IPFV-cause.to.fall be:FACT LNK | \glt `When there is wind suddenly before [the barley] is fully ripe, it presses them [on the ground, and it cannot grow any more].'",,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Sole argument of predicates of natural forces \label{sec:absolutive.nature,,,"However, these constructions have intransitive-like properties: no ergatively marked argument can occur, they are in dental infinitive rather than bare infinitive form when used with phasal com\-ple\-ment-taking verbs (see \ref{ex:tWlAt.pjAZa}, §\ref{sec:dental.inf} and §\ref{sec:bare.inf.dental.complementary}), and they are relativized like intransitive subjects (§\ref{sec:dummy.subj.object.relativization}).",ex:tWlAt.pjAZa,\gll tɯ-mɯ kɯ-wxtɯ\redp{}wxti ʑo tɯ-lɤt pjɤ-ʑa | \gls INDEF.POSS-sky SBJ:PCP-EMPH\redp{}be.big EMPH INF-throw IFR-start | \glt `A heavy rain started.',,,,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Semi-object \label{sec:semi.object,,,"Some morphologically intransitive verbs in Japhug can take a second absolutive argument (§\ref{sec:semi.transitive}, \citealt[4--5]{jacques16relatives}, \citealt[224]{jacques16complementation}). The verb \japhug{rga}{like} is such an example; in (\ref{ex:aZo.Ro.nW.mArgaa}) the intransitive subject \forme{paʁ ra} `pigs' and \japhug{nɯŋa}{cow} are in absolutive form, with \textsc{3pl} indexation on the verb for the first. The second argument \japhug{ɕirɴɢo}{Anisodus tanguticus} is topicalized. In (\ref{ex:aZo.Ro.nW.mArgaa}), the subject is topicalized, and the second argument \japhug{nɯ}{that} appears just before the verb, in absolutive form (in this particular case, the \textsc{1sg} indexation suffix merges with the verb stem in the Kamnyu dialect, §\ref{sec:synizesis}).\footnote{The semi-transitive \japhug{rga}{like}, though it can take an overt object as in (\ref{ex:aZo.Ro.nW.mArgaa}), tends to be used more often with complement clauses or left-dislocated objects, the applicative \japhug{nɯrga}{like} being preferred with definite objects, §\ref{sec:applicative.promoted}.} This second argument is called semi-object.",ex:aZo.Ro.nW.mArgaa,"\gll aʑo ʁo nɯ mɤ-rga-a | \gls 1SG TOP.ADVERS DEM NEG-like-1SG | \glt `But as for me, I don't like it.' | '",ex:aZo.Ro.nW.mArgaa,"\gll aʑo ʁo nɯ mɤ-rga-a | \gls 1SG TOP.ADVERS DEM NEG-like-1SG | \glt `But as for me, I don't like it.' | '",ex:aZo.Ro.nW.mArgaa,"\gll aʑo ʁo nɯ mɤ-rga-a | \gls 1SG TOP.ADVERS DEM NEG-like-1SG | \glt `But as for me, I don't like it.' | '",,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Theme \label{sec:theme.ditransitive,,,"There are both secundative and indirective ditransitive verbs in Japhug (§\ref{sec:ditransitive}). In the case of indirective verbs, the theme is the object, while the recipient being marked with an oblique case, as in example (\ref{ex:tAtsxu.YAkho}) with the verb \japhug{kʰo}{give}, `pass over'. With this type of verbs, the theme is relativized in exactly the same way as the object of a monotransitive verb (§\ref{sec:ditransitive.indirective}) and is indexed on the verb.",ex:tAtsxu.YAkho,\gll ɯ-mu ɯ-ɕki tɤtʂu nɯ ɲɤ-kʰo. | \gls 3SG.POSS-mother 3SG.POSS-DAT lamp DEM IFR-give | \glt `He gave the lamp to his mother.',,,,,,,,,,,,,,,,,,
Postpositions and relator nouns \label{chap:postpositions.relators,Absolutive \label{sec:absolutive,Theme \label{sec:theme.ditransitive,,,"With secundative verbs, the recipient is the object and appears in absolutive form, with object indexation. The theme of these verb is also in the absolutive, as \forme{a-me} `my daughter' in (\ref{ex:ame.tambi}).",ex:ame.tambi,\gll a-me ta-mbi ra | \gls 1SG.POSS-daughter 1\fl{}2-give:FACT be.needed:FACT | \glt `I will give you my daughter.',,,,,,,,,,,,,,,,,,
