Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Non-concatenative verbal morphology \label{chap:nonconcatenative,Stem alternations \label{sec:stem.alternation,Stem II \label{sec:stem2,Morphology \label{sec:stem2.form,,"The transitive verb \japhug{sɯxɕe}{send}, `let go' is the causative of \japhug{ɕe}{go}, and its stem II presents an irregular vowel merger \forme{sɯɣ+ari} \rightarrow \forme{sɤɣri}, instead of expected \dagger\forme{sɤri} or \dagger\forme{asɯɣri} (§\ref{sec:caus.sAG}). Other derivations from \japhug{ɕe}{go} also have suppletion, but the alternations are regular. The autive and the vertitive \forme{nɯ-} prefixes (§\ref{sec:autobenefactive} , §\ref{sec:vertitive}) in \forme{nɯ-ɕe} `go by oneself'/`go back' are predictably infixed (§\ref{sec:inner.prefixal.chain}) within the stem II \forme{ari} as \forme{a<nɯ>ri} (see examples \ref{ex:Wrte.YAnWBde2} in §\ref{sec:autoben.lexicalized} and \ref{ex:tWZo.kW} in §\ref{sec:genr.pro}). the distributed action derivation \japhug{nɤɕɯɕe}{go around} likewise has the expected reduplicated stem \forme{-anɤrɯri}.",ex:Wrte.YAnWBde2,"\gll jɤ-a<nɯ>ri ri, ɯ-rte ɲɤ-nɯβde | \gls AOR-<VERT>go[II] LNK 3SG.POSS-hat IFR-lose | \glt `He went away, but lost his hat.'",ex:tWZo.kW,"\gll tɯʑo kɯ tɯ-χti ɲɯ́-wɣ-nɯ-ɕar kɯ-maʁ kɯ, tɯ-pʰama ra kɯ tɯ-χti ɲɯ-ɕar-nɯ | \gls GENR ERG GENR.POSS-spouse IPFV-INV-AUTO-search INF:STAT-not.be ERG GENR.POSS-parent PL ERG GENR.POSS-spouse IPFV-search-PL | \glt `One could not choose one's spouse, one's parents chose one's spouse.'",,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Stem alternations \label{sec:stem.alternation,Stem III \label{sec:stem3,Backformation \label{sec:stem3.backformation,,"The regular stem III \forme{βze} of the verb \japhug{βzu}{make} does appear in some non-finite forms such as \forme{cʰɯ-kɯ-βze} in (\ref{ex:Wmat.chWkWBze}) (see also \ref{ex:YWkWnWBze} in §\ref{sec:autoben.spontaneous}), in the dummy transitive subject construction (§\ref{sec:transitive.dummy}), meaning `grow' or in collocation with the noun \forme{ɯ-tsa} (in the meaning `be suitable', §\ref{sec:Bzu.lv}) for instance.",ex:Wmat.chWkWBze,"\gll <hulu> nɯ si ci ɲɯ-ŋu, ɯ-mat cʰɯ-kɯ-βze ci. tɕe ɯ-mat nɯnɯ, ɯ-taʁ ku-kɯ-xtsʰɯm, ɯ-pa ɲɯ-kɯ-jpum ci cʰɯ-βze ɲɯ-ŋu tɕe, nɯ <hulu> tu-sɤrmi-nɯ. | \gls gourd DEM tree INDEF SENS-be 3SG.POSS-fruit IPFV-SBJ:PCP-make[III] INDEF LNK 3SG.POSS-fruit DEM 3SG.POSS-top IPFV:EAST-SBJ:PCP-be.thin 3SG.POSS-bottom IPFV:WEST-SBJ:PCP-be.thick INDEF IPFV-make[III] SENS-be LNK DEM gourd IPFV-call-PL | \glt `The gourd is a tree, one which grows fruits. It grows fruits that are thinner on the top part and thicker in the bottom, they are called `gourd'.'",ex:YWkWnWBze,"\gll tɕe zrɯɣ nɯ tɕe, tsuku kɯ tɯ-pɤcʰaʁ ɯ-ŋgɯ tu-nɯ-ɬoʁ ŋu tu-ti-nɯ ŋu tɕe mɤ-xsi ma ɯʑo ɲɯ-kɯ-nɯ-βze ci ɲɯ-ɕti tɕe, | \gls LNK louse DEM LNK some ERG INDEF.POSS-navel 3SG-inside IPFV-AUTO-come.out be:FACT IPFV-say-PL be:FACT LNK NEG-GENR:A:know LNK 3SG IPFV-SBJ:PCP-AUTO-grow INDEF SENS-be.AFF LNK | \glt `The louse, some say that it comes from the navel, I don't know, it grows by itself.'",,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Stem alternations \label{sec:stem.alternation,Stem III \label{sec:stem3,Backformation \label{sec:stem3.backformation,,"Rather than an exception to the rules described in §\ref{sec:stem3.distribution}, it is simpler to consider that a synchronic verb root \japhug{βze}{grow} different from \japhug{βzu}{make} has been created by backformation (§\ref{sec:stem3.backformation}) from finite imperfective forms such as \forme{cʰɯ-βze} `it grows' in (\ref{ex:Wmat.chWkWBze}). The stem \forme{βze} however never occurs in past tenses (Inferential and Aorist), so that this verb is an example of partial and ongoing backformation.",ex:Wmat.chWkWBze,"\gll <hulu> nɯ si ci ɲɯ-ŋu, ɯ-mat cʰɯ-kɯ-βze ci. tɕe ɯ-mat nɯnɯ, ɯ-taʁ ku-kɯ-xtsʰɯm, ɯ-pa ɲɯ-kɯ-jpum ci cʰɯ-βze ɲɯ-ŋu tɕe, nɯ <hulu> tu-sɤrmi-nɯ. | \gls gourd DEM tree INDEF SENS-be 3SG.POSS-fruit IPFV-SBJ:PCP-make[III] INDEF LNK 3SG.POSS-fruit DEM 3SG.POSS-top IPFV:EAST-SBJ:PCP-be.thin 3SG.POSS-bottom IPFV:WEST-SBJ:PCP-be.thick INDEF IPFV-make[III] SENS-be LNK DEM gourd IPFV-call-PL | \glt `The gourd is a tree, one which grows fruits. It grows fruits that are thinner on the top part and thicker in the bottom, they are called `gourd'.'",,,,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Stem alternations \label{sec:stem.alternation,Frozen \forme{-t suffix \label{sec:t.free.variation,,,"Three verbs presented in \tabref{tab:frozen.t} have two alternative stem forms in free variation, with an optional \forme{-t} suffix. This suffix appears in all person and TAME forms without any semantic change; compare for instance the Imperfective \textsc{1pl} forms \forme{ku-rɤʑit-i} (\textsc{ipfv}-stay-\textsc{1pl}, example \ref{ex:jisAxCe.maNe}, §\ref{sec:other.oblique.participle.relatives}) and \forme{ku-rɤʑi-j} (\textsc{ipfv}-stay-\textsc{1pl}, example \ref{ex:iZo.kWBde}, §\ref{sec:uses.numerals}), uttered by the same speaker. The two variants are freely interchangeable, but some speakers use the \forme{-t} suffixed forms more frequently that others.",ex:jisAxCe.maNe,"\gll iʑora tɕe kʰa ɯ-ŋgɯ kɤ-kɤ-ja ʑo ɲɯ-fse-j ku-rɤʑit-i ma [ji-sɤx-ɕe] maŋe | \gls 1PL LNK house 3SG.POSS-inside AOR-OBJ:PCP-close EMPH SENS-be.like-1PL IPFV-stay-1PL LNK 1PL.POSS-OBL:PCP-go not.exist:SENS | \glt `It was like we were locked in the house, with nowhere to go.'",ex:iZo.kWBde,"\gll tɕe iʑo kɯβde nɯ tɯtɯrca ku-rɤʑi-j tɕe, | \gls LNK 1PL four DEM together IPFV-stay-1PL LNK | \glt `The four of us were living together.'",,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Vowel contraction \label{sec:contraction,,,,"In Factual Non-Past unprefixed verb forms, the \forme{a-} element surfaces without alternation, as in (§\ref{ex:aroa.me}).",ex:aroa.me,"\gll nɯ ma aro-a me qʰe, | \gls DEM apart.from possess:FACT-1SG not.exist:FACT LNK | \glt `I don't have anything else.'",,,,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Vowel contraction \label{sec:contraction,,,,"The prefixes in slots -6, -5 and -4 can occur in direct contact with the contracting vowel \forme{a-} only in Factual Non-Past non-second person forms (§\ref{sec:fact.morphology}). The vowel of Rhetorical Interrogative \forme{ɯβrɤ\trt}, Proximative aspect \forme{jɯ-} (-6) negative \forme{mɤ-} (-5) and associated motion prefixes \forme{ɕɯ-} and \forme{ɣɯ-} (-4) merge as \forme{a-}: \forme{ɯβrɤ-a-} \rightarrow \ipa{ɯβra\trt}, \forme{jɯ-a-} \rightarrow \ipa{ja\trt}, \forme{mɤ-a-} \rightarrow \ipa{ma\trt}, \forme{ɕɯ-a-} \rightarrow \ipa{ɕa-} and \forme{ɣɯ-a-} \rightarrow \ipa{ɣa\trt}, as shown in \forme{ɕɯ-anbaʁ-i} `we go and hide' \ipa{ɕanbaʁi} in (\ref{ex:CanbaRi}), \forme{mɤ-a-rɤt} `it has not yet been written' \ipa{marɤt} (example \ref{ex:marAt}, §\ref{sec:passive.stative}).",ex:CanbaRi,"\gll rŋgɯ ɯ-ŋgɯ nɯtɕu ɕɯ-anbaʁ-i ɯmɤ-kɯ-ntsʰi-ci ma, | \gls boulder 3SG.POSS-in DEM:LOC TRAL-hide:FACT-1PL PROB-PEG-be.better-PEG LNK | \glt `It looks like we should go and hide in the [hollow] boulder.'",ex:marAt,"\gll jaʁmɤzdoʁzdoʁ nɯ kɯnɤ pɣa ŋu, mɤ-a-rɤt | \gls bird.sp. DEM also bird be:FACT NEG-PASS-write:FACT | \glt `The \forme{jaʁmɤzdoʁzdoʁ} is also a bird, it is not written (in the list of bird's names that had been prepared beforehand to ask about all known bird species).'",,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Vowel contraction \label{sec:contraction,,,,"The interrogative \forme{ɯ-} in slot -6 does not merge with \forme{a-}. Rather, an epenthetic \forme{-j-} consonant is inserted between the two, as in (\ref{ex:WjatsWtsu}) with the verb \japhug{atsɯtsu}{have time}.",ex:WjatsWtsu,"\gll a-wa tɯrju χsɯ-ŋka tu-ti-a ɯ-j-átsɯtsu | \gls 1SG.POSS-father word three-word IPFV-say-1SG QU-X-have.time:FACT | \glt `Father, do I have time to say three sentences?'",,,,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Vowel contraction \label{sec:contraction,,,,"These rules are not purely phonological, since the outcome of the vowel fusion with type A preverbs depends on the TAME category. For instance, in the case of the contracting verb \japhug{atɤr}{fall}, the type A \textsc{downwards} \forme{pɯ-} preverbs merges as \ipa{pɤ-} in the Irrealis and Imperative (for example \forme{a-mɤ-pɯ-ɤtɤr} \ipa{amɤpɤtɤr} in \ref{ex:amApAtAr}) and as \ipa{pa-} in the Past Imperfective and Perfective (\forme{pɯ-atɤr} \ipa{patɤr} in \ref{ex:li.patAr}).",ex:amApAtAr,"\gll a-mɤ-pɯ-ɤtɤr kɤ-sɯso kɯ, | \gls IRR-NEG-PFV-fall INF-think ERG | \glt `In order to prevent [the child] from falling down...'",ex:li.patAr,\gll li pɯ-atɤr ɲɯ-ŋu | \gls again AOR-fall SENS-be | \glt `He fell down again.',,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Vowel contraction \label{sec:contraction,,,,"In slot -2, since contracting verbs are all intransitive, only the second person \forme{tɯ-} and the generic \forme{kɯ-} prefixes and the prefixal element \forme{k(ɯ)-} of the peg circumfix can occur before the contracting vowel \forme{a-}. The outcome of vowel contraction depends on the TAME category (§\ref{sec:intr.23}: \forme{tɯ-a-} \ipa{ta-} in Factual Non-Past (\forme{tɯ-atɤr} `you will fall') and Aorist (\forme{pɯ-tɯ-atɤr} `you fell down') and \forme{tɯ-ɤ-} \ipa{tɤ-} Imperfective (\forme{pjɯ-tɯ-ɤtɤr} `you fall down'), Sensory, Egophoric Present, Irrealis, Imperative and Prohibitive (\forme{ma-pɯ-tɯ-ɤtɤr} `don't fall down'). With the peg circumfix, which appears in the Inferential, the vowel fusion is always \forme{-k-ɤ-} (see example \ref{ex:mWYAkAtWGnWci}, §\ref{sec:peg.circumfix}).",ex:mWYAkAtWGnWci,"\gll ndʑi-ɣi ra, nɯni mɯ-ɲɤ-\rouge{k}-ɤtɯɣ-nɯ-\rouge{ci} | \gls 3DU.POSS-relative PL DEM:DU NEG-IFR-PEG-meet-PL-PEG | \glt `Their relatives did not meet them (again).'",,,,,,,,,,,,,,,,,,
Non-concatenative verbal morphology \label{chap:nonconcatenative,Partial reduplication in verbal morphology  \label{sec:redp.verb,Initial reduplication \label{sec:verb.initial.redp,Morphophonology \label{sec:initial.redp.morpho,,"Second, when the initial syllable of the word contains more than one morpheme, as in the case of the \forme{ɕ-} or \forme{ʑ-} allomorphs of the translocative prefix combined with an orientation preverb (§\ref{sec:translocative.morpho}), reduplication can disregard morpheme boundaries, resulting in a replication of the two morphemes: \forme{ɕ-kɤ-tsʰi-t-a} (\textsc{tral}-\textsc{aor}-drink-\textsc{pst}:\textsc{tr}-\textsc{1sg}) thus yields \forme{\rouge{ɕ-kɯ}\redp{}ɕ-kɤ-tsʰi-t-a} as in (\ref{ex:CkWCkAtshita}). \iai{Tshendzin} however also accepts reduplication of the first morpheme only, reduplicated with addition of \forme{-ɯ} (\forme{\rouge{ɕɯ}\redp{}ɕ-kɤ-tsʰi-t-a}).",ex:CkWCkAtshita,\gll cʰa ɕkɯ\redp{}ɕ-kɤ-tsʰi-t-a ʑo lu-βzi-a ŋu | \gls alcohol ITER\redp{}TRAL-AOR-drink-PST:TR-1SG EMPH IPFV-be.drunk-1SG be:FACT | \glt `Each time I go and drink alcohol I get drunk.',,,,,,,,,,,,,,,,,,
