Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Voice,Grammatical relations,,,,"The most commonly attested alternative to the nominative/accusative system is called an ergative/absolutive system. In this way of organizing grammatical relations, the S and O are treated as “the same” grammatical relation, whereas the A is treated distinctly for purposes of case marking, pronominal form and other grammatical features. If any grammatical relation includes A alone it can be called the ergative relation\is{case!ergative}\is{ergative case}, and any grammatical relation that encompasses S and O can be termed the absolutive relation\is{case!absolutive}\is{absolutive case}. This is the system exhibited in basic clauses of many languages of the world, including Kagayanen. The examples in \REF{bkm:Ref482781620} illustrate an ergative/absolutive system in personal pronouns\is{ergative/absolutive system}:",bkm:Ref482781620,Not found,,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"and \REF{ex:padakeptapulismatakawan}. However, the phrases preceded by ta do not have the same structural properties of A arguments in examples \REF{ex:padakeptapulismatakawan} and \REF{ex:padakeptapulismatakawan}. The ta-marked argument in \REF{bkm:Ref482789597} is in a different grammatical relation. We know this for several reasons. First, when non-agent arguments are pronominalized, they do not occur in the case we have identified as “ergative” above.",bkm:Ref482789597,\gsrc Gadakep pulis an ta matakaw. | \gll Ga-dakep pulis an ta matakaw. | \gls I.R-catch police DEF.M NABS thief | \glt ‘The police caught/are catching a/the thief/thieves.’,,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"In example \REF{bkm:Ref118364790v} the root tan-aw ‘to look’ describes an activity that necessarily involves an Actor (the looker) and an Undergoer (the thing looked at). However, in this example, the verb is marked as intransitive, and the Actor, “we”, is in the absolutive case. Like all intransitive clauses, this is a statement about the referent of the absolutive element; it is not about the particular movie. The Undergoer is mentioned, but in a non-absolutive role marked by the prenominal case marker ta. The story goes on to talk about the Actors going home and then going other places.",bkm:Ref118364790v,"\gsrc Pagtapos nay igma, gatan-aw kay ta sini. | \gll Pag-tapos nay igma, ga-tan-aw kay ta sini. | \gls NR.ACT-finish 1P.EXCL.ERG lunch I.R-look 1P.EXCL.ABS NABS movie | \glt ‘After we finished lunch, we were watching a movie.’",,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"Similarly, example \REF{bkm:Ref117000014} is about the unstated absolutive participant, “us”, and not about any particular trees. Again, as in all intransitive constructions, the absolutive is presented as the most salient or highly affected participant in the situation being described. The Undergoer is presented in a less “privileged” syntactic role. In fact, in such constructions, the Undergoer is often omitted altogether, as in example \REF{bkm:Ref117000205} further below.",bkm:Ref117000014,Not found,bkm:Ref117000205,\gsrc Dili ka mabutaļ daw naan ta lamisaan na gakaan. | \gll Dili ka ma-butaļ daw naan ta lamisa-an na ga-kaan. | \gls NEG.IR 2S.ABS A.HAP.IR-fight if/when SPAT.DEF NABS table-NR LK I.R-eat | \glt `You should not fight/argue when at the table when eating.',,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,In \REF{bkm:Ref117000354} there is no particular orchid flower on stage in the situation being described. Rather the speaker is saying something about “you”. Seeing an orchid flower in the wild is more likely to affect the person than the flower.,bkm:Ref117000354,Not found,,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"Finally, in example \REF{bkm:Ref117000205}, there are two verbs that have the same absolutive argument, the enclitic ka ‘you’. Both verbs butaļ ‘fight’ and kaan ‘eat’ describe semantically transitive\is{semantic transitivity}\is{transitivity!semantic} situations – fighting involves at least two people, and eating necessarily involves an eater and something that gets eaten. Yet each of these verbs is presented as grammatically intransitive with no mention of any Undergoer. This is because this is an admonition from a parent to a child about how the child should behave. It is all about the Actor, and not about any particular Undergoer.",bkm:Ref117000205,\gsrc Dili ka mabutaļ daw naan ta lamisaan na gakaan. | \gll Dili ka ma-butaļ daw naan ta lamisa-an na ga-kaan. | \gls NEG.IR 2S.ABS A.HAP.IR-fight if/when SPAT.DEF NABS table-NR LK I.R-eat | \glt `You should not fight/argue when at the table when eating.',,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"Detransitive constructions such as these serve a communicative function that is similar to what have been called “Oblique Object” or “Object Omission” constructions in English, illustrated in \REF{bkm:Ref117062761}:",bkm:Ref117062761,Not found,,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"Finally, some linguists have argued that the Undergoer in examples such as \REF{bkm:Ref482789597} and \REF{ex:gadakeppulisankikanen} is not an oblique argument at all, but is a core argument, similar to a direct object (see, e.g., \citealt{kroeger1993, foley2008} for other Philippine languages). In Kagayanen, there is no doubt that the demoted Undergoer in a detransitive construction is structurally distinct from other oblique elements. For example, demoted Undergoers cannot naturally be expressed before the verb:",bkm:Ref482789597,\gsrc Gadakep pulis an ta matakaw. | \gll Ga-dakep pulis an ta matakaw. | \gls I.R-catch police DEF.M NABS thief | \glt ‘The police caught/are catching a/the thief/thieves.’,,,,,,,,,,,,,,,,,,
Voice,Grammatical relations,,,,"However, in \REF{bkm:Ref497135842} and \REF{bkm:Ref497135845}, the spatial element naan must occur before the fronted oblique phrase. These examples are as ungrammatical as \REF{bkm:Ref497135886} if naan is omitted. In fact, it is very odd for any non-absolutive RP to be fronted without including naan, though they may occur post-verbally without it:",bkm:Ref497135842,\gsrc Naan ta uma nay patanem nay kamuti an. | \gll Naan ta uma nay pa-tanem nay kamuti an. | \gls SPAT.DEF NABS field 1P.EXCL.ERG T.R-plant 1P.EXCL.ERG camote DEF.M | \glt ‘In our field we planted camote.’,bkm:Ref497135845,\gsrc Naan ki kanen paatag ko bayo no ya. | \gll Naan ki kanen pa-atag ko bayo no ya. | \gls SPAT.DEF OBL.P 3s T.R-give 1S.ERG clothes 2S.GEN DEF.F | \glt ‘To him/her I gave your shirt/clothes.’,bkm:Ref497135886,Not found,,,,,,,,,,,,,,
Voice,“The Kagayanen choir”,Intransitive constructions (Actor voice),,,"In an intransitive clause, there is only one Referring Expression that has a grammatical relation to the Predicate. Any additional elements are optional. Referring Expressions that have a grammatical relation to the Predicate are called arguments\is{arguments}, or sometimes core arguments\is{core arguments}. In each of these examples, the absolutive is the only argument of the clause. It is marked as absolutive by either the lack of a prenominal case marker (\ref{bkm:Ref116980651} and \ref{bkm:Ref116980654}), or the absolutive form of a pronoun (\ref{bkm:Ref116980701}, \ref{bkm:Ref116980703} and \ref{bkm:Ref116980658}). In all the verbal predicates (\ref{bkm:Ref116980651}-\ref{bkm:Ref116980703}), the verb is marked as intransitive, either realis (\ref{bkm:Ref116980651}, \ref{bkm:Ref116980654} and \ref{bkm:Ref116980701}), or irrealis (twice in \ref{bkm:Ref116980703}). Example \ref{bkm:Ref116980658} is a non-verbal predicate. Non-verbal predicates\is{non-verbal predicates} are always intransitive, and are not marked for transitivity or modality (see \chapref{chap:non-verbalclauses}).",bkm:Ref116980651,Not found,bkm:Ref116980654,Not found,bkm:Ref116980701,Not found,bkm:Ref116980703,Not found,bkm:Ref116980658,Not found,bkm:Ref116980651,Not found,bkm:Ref116980703,Not found,bkm:Ref116980651,Not found,bkm:Ref116980654,Not found,bkm:Ref116980701,Not found
