Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Pragmatically marked structures,Negative constructions,Realis negative: uļa,,,"The adjunct adverb uļa negates verbal clauses in realis moods (examples \ref{bkm:Ref446045407}--\ref{bkm:Ref373140065}). Like other preverbal adjunct adverbs, uļa attracts second position adverbs and enclitics. In examples \REF{bkm:Ref230081554} and \REF{bkm:Ref80941165}, the ergative enclitic pronouns din and ko follow uļa. In example \REF{bkm:Ref80941209} both din and the referential expression kami i follow uļa:",bkm:Ref446045407,Not found,bkm:Ref373140065,\gsrc Pila kon bisis tilipunuan danen piro \textbf{uļa} \textbf{may} \textbf{gasabat}. | \gll Pila kon bisis tilipuno-an danen piro \textbf{uļa} \textbf{may} \textbf{ga-sabat}. | \gls few HSY times telephone-APL 3P.ERG but NEG.R EXT.IN I.R-answer | \glt ‘A few times they telephoned (him/her) but no one answered.’,bkm:Ref230081554,\gsrc Mangngod din ya a \textbf{uļa} din gid tagi. | \gll Mangngod din ya a \textbf{uļa} din gid ...-atag-i. | \gls younger.sibling 3S.ERG DEF.F CTR NEG.R 3S.ERG INT T.R-give-XC.APL | \glt ‘His younger sibling he did not give (him anything)!’,bkm:Ref80941165,Not found,bkm:Ref80941209,\gsrc Salamat nang man ta Dios tak \textbf{uļa} din kami i patandega. | \gll Salamat nang man ta Dios tak \textbf{uļa} din kami i pa-tandeg-a. | \gls thank only EMPH NABS God because NEG.R 3S.ERG 1P.EXCL.ABS DEF.N T.R-touch-XC | \glt ‘Thanks to God also because he did not touch us!’ (This is a text about an attack by pirates.),,,,,,,,,,
Pragmatically marked structures,Negative constructions,Realis negative: uļa,,,Examples \REF{bkm:Ref80941234} through \REF{bkm:Ref373140065} illustrate various \isi{second-position adverbs} following uļa:,bkm:Ref80941234,\gsrc Duma an \textbf{uļa} man gatanem ta guso. | \gll Duma an \textbf{uļa} man ga-tanem ta guso. | \gls some DEF.M NEG.R EMPH T.R-plant NABS seaweed | \glt ‘Some do not really plant agar-agar seaweed.’,bkm:Ref373140065,\gsrc Pila kon bisis tilipunuan danen piro \textbf{uļa} \textbf{may} \textbf{gasabat}. | \gll Pila kon bisis tilipuno-an danen piro \textbf{uļa} \textbf{may} \textbf{ga-sabat}. | \gls few HSY times telephone-APL 3P.ERG but NEG.R EXT.IN I.R-answer | \glt ‘A few times they telephoned (him/her) but no one answered.’,,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions, Irrealis negative: dili,,,The form dili negates all types of irrealis clauses (examples \ref{bkm:Ref373243062}{}-\ref{bkm:Ref446617639}):,bkm:Ref373243062,"\gsrc Daw balikiren ko kanen ya, \textbf{dili} ko man nya makita. | \gll daw balikid-en ko kanen ya, \textbf{dili} ko man nya ma-kita | \gls if/when look.back-T.IR 1S.ERG 3S.ABS DEF.F NEG.IR 1S.ERG also D4ABS A.HAP.IR-see | \glt ‘If I look back at him/her, I will not be able to see that one.’",bkm:Ref446617639,"\gsrc Ambaļ ko, “Daw may tirador ka dyan \textbf{dili} no tiraduron tak yan, yupan i, yan gatabyang ta ate na uma daw tanto na danen i makakaan ta luod.” | \gll Ambaļ ko, “Daw may tirador ka dyan \textbf{dili} no tirador-en tak yan, yupan i, yan ga-tabyang ta ate na uma daw tanto na danen i maka-kaan ta luod.” | \gls say 1S.ERG if/when EXT.IN slingshot 2S.ABS D2LOC NEG.IR 2S.ERG slingshot-T.IR because D2ABS bird DEF.N D2ABS I.R-help NABS 1P.INCL.GEN LK field and reason.why LK 3P.ABS DEF.N I.HAP.IR-eat NABS worm | \glt `I said, “If you have a slingshot there, do not shoot (it) with the slingshot because that one, the bird, that one helps our fields and for the reason they can eat worms.”'",,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions, Irrealis negative: dili,,,"The form dili also negates predicate nominal and other \isi{non-verbal predicates}, except existentials (see the functions of uļa above). With non-verbal clauses the negative marker occurs before the Predicate, in both Predicate+Argument (exs. \ref{bkm:Ref80941751} through \ref{bkm:Ref80941878}) and Argument+Predicate structures (exs. \ref{bkm:Ref113700006} and \ref{bkm:Ref80941881}).",bkm:Ref80941751,Not found,bkm:Ref80941878,\gsrc \textbf{Dili} keļeng buok din an. | \gll \textbf{Dili} keļeng buok din an. | \gls NEG.IR curly shair 3S.GEN DEF.M | \glt ‘Her hair is not curly.’,bkm:Ref113700006,\gsrc Isya din na mari a maļbaļ daw isya ya a \textbf{dili} maļbaļ. | \gll Isya din na mari a maļbaļ daw isya ya a \textbf{dili} maļbaļ. | \gls one 3SGEN LK godmother INJ witch and one DEF.F INJ NEG.IR witch | \glt ‘One of her godmothers is a witch and the (other) one is not a witch.’,bkm:Ref80941881,"\gsrc Paryo ta makay ta lunday, “manaog” \textbf{dili} man igo. | \gll Paryo ta m-sakay ta lunday, “m-panaog” \textbf{dili} man igo. | \gls like NABS I.V.IR-ride NABS outrigger.canoe I.V.IR-go.down.stairs NEG.IR also right | \glt ‘Like riding an outrigger canoe, “manaog” (going down stairs) is not right.’ (This is about the words makay ta lunday, which do not collocate with manaog ‘go down stairs’ because the verb should be mawas ‘disembark’.)",,,,,,,,,,,,
Pragmatically marked structures,Negative constructions, Irrealis negative: dili,,,"Like other adjunct adverbs, dili attracts enclitic pronouns \REF{bkm:Ref446051860} and second-position adverbs\is{enclitics}(\ref{bkm:Ref373229895}).",bkm:Ref446051860,"\gsrc Dayon a ambaļ, “Pedro, \textbf{dili} \textbf{a} lain na ittaw.” | \gll Dayon a ambaļ, “Pedro, \textbf{dili} \textbf{a} lain na ittaw.” | \gls right.away 1S.ABS say Pedro NEG.IR 1S.ABS different LK person | \glt ‘Right away I said, “Pedro, I am not a different/another person.”'",bkm:Ref373229895,Not found,,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions,Constituent negation,,,\glt ‘We really do not always do like that.’ (elicited – a variation of example \ref{bkm:Ref118463113}),bkm:Ref118463113,\gsrc Yon buat nay kaysan piro \textbf{dili} gid man pirmi. | \gll Yon buat nay kaysan piro \textbf{dili} gid man pirmi. | \gls D3ABS do/make 1P.EXCL.ERG sometimes but NEG.IR INT EMPH always | \glt ‘That is what we do sometimes but not really always.’,,,,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions,Constituent negation,,,"\glt ‘Let’s plant trees \textbf{not just for us now/today}.’ (elicited, variation of \ref{bkm:Ref373356719})",bkm:Ref373356719,"\gsrc A yan, \textbf{dili} nang para ki kiten anduni. | \gll A yan, \textbf{dili} nang para ki kiten anduni. | \gls INJ D2ABS NEG.IR only for OBL.P 1P.INCL now/today | \glt ‘(Expression of dismay) as for that, \textbf{(it is) not just for us now/today}.’",,,,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions,Constituent negation,,,"It is also possible to negate one constituent within a noun phrase. For example, in \REF{bkm:Ref446156832}, only the modifier segeng ‘extreme’ is negated. The assertion is that the Actor indeed had asthma attacks in former years but they weren’t as extreme as the current one.",bkm:Ref446156832,Not found,,,,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions,Constituent negation,,,One constituent in an attributive clause can also be negated with dili. In example \REF{bkm:Ref446664253} the meaning is that the governing is very bad:,bkm:Ref446664253,\gsrc Iya na panggubirno ta mga ittaw sikad gid na \textbf{dili} usto. | \gll Iya na pang-gubirno ta mga ittaw sikad gid na \textbf{dili} usto. | \gls 3S.GEN LK NR-governor NABS PL person very INT LK NEG.IR well/right | \glt ‘His governing of people was very much not right.’,,,,,,,,,,,,,,,,,,
Pragmatically marked structures,Negative constructions,Constituent negation,,,"Example \REF{bkm:Ref373243525} is a variation of \REF{bkm:Ref446664253}, in which dili is placed at the beginning of the predicate modifier. In this case, the meaning is ‘not very good’, that is, not as bad as in example \REF{bkm:Ref446664253}.",bkm:Ref373243525,\gsrc Iya na panggubirno ta mga ittaw \textbf{dili} sikad gid na usto. | \gll Iya na pang-gubirno ta mga ittaw \textbf{dili} sikad gid na usto. | \gls 3S.GEN LK NR-governor NABS PL person NEG.IR very INT LK well/right | \glt ‘His governing of people was not really very right.’,bkm:Ref446664253,\gsrc Iya na panggubirno ta mga ittaw sikad gid na \textbf{dili} usto. | \gll Iya na pang-gubirno ta mga ittaw sikad gid na \textbf{dili} usto. | \gls 3S.GEN LK NR-governor NABS PL person very INT LK NEG.IR well/right | \glt ‘His governing of people was very much not right.’,bkm:Ref446664253,\gsrc Iya na panggubirno ta mga ittaw sikad gid na \textbf{dili} usto. | \gll Iya na pang-gubirno ta mga ittaw sikad gid na \textbf{dili} usto. | \gls 3S.GEN LK NR-governor NABS PL person very INT LK NEG.IR well/right | \glt ‘His governing of people was very much not right.’,,,,,,,,,,,,,,
