Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Modification,Introduction,,,,"Example \REF{bkm:Ref441656793-a} is a complete, grammatical sentence that is likely to evoke a certain scene in the minds of English speakers. However, the scene depicted is very vague and, frankly, uninteresting. In a Western context there may be a table and chairs, at least two diners and some unspecified food, but little else “on stage”. On the other hand, a construction like \REF{bkm:Ref441656793-b} evokes a much more enriched version of possibly the same scene. Now we have a better idea of what kind and quality of food may be present, something about the surroundings, the presence of servers, money, the approximate time that this event is alleged to have occurred, and also the speaker’s attitude toward this scene (“honestly”). The scene is still vague, to be sure. We don’t know, for example, how many other diners were present, exactly what menu items were ordered, and so on. Nevertheless, \REF{bkm:Ref441656793-b} is much more explicit and communicative than \REF{bkm:Ref441656793-a}.",bkm:Ref441656793-a,Not found,bkm:Ref441656793-b,Not found,bkm:Ref441656793-b,Not found,bkm:Ref441656793-a,Not found,,,,,,,,,,,,
Modification,Introduction,,,,"The difference between \REF{bkm:Ref441656793-a} and \REF{bkm:Ref441656793-b} is mostly modification. First there is modification of the noun “dinner”. This very general notion has been restricted to a certain class of dinners, those portrayed by the speaker as “the best”, “new” and``Italian” similarly enrich the scene by modifying the noun “restaurant”. Then there are modifying elements that restrict the scene to a place (“at a new Italian restaurant”) and a time (“last night”). Finally, there is one modifying element that specifies the speaker’s attitude toward the speech act itself (“honestly”). None of this information is technically required by the grammar, but all of it enriches and clarifies the scene in ways that make it more consistent with the communicative intentions of the speaker.\is{discourse scenes|)}\is{scenes|)}",bkm:Ref441656793-a,Not found,bkm:Ref441656793-b,Not found,,,,,,,,,,,,,,,,
Modification,Introduction,,,,"In Kagayanen, modifying elements occur in many construction types. In this chapter we describe elements and constructions that serve as modifiers within the Referring Phrase (\sectref{bkm:Ref422117197}{}-\ref{bkm:Ref52774536}), the Modifier Phrase (\sectref{bkm:Ref418142991}), the Predicate (\sectref{bkm:Ref420904083}), and the Clause (\sectref{bkm:Ref441599506} and \sectref{bkm:Ref481473714}).\is{modification|)}",bkm:Ref52774536,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjectives,,,,"The grammar of Kagayanen treats adjectives and nouns similarly, in both the attributive and predicative usages. For example, the bare forms of prototypical nouns\is{nouns!prototypical}, like baļay ‘house’, and prototypical property concept words, like bakod ‘big’, can both function as the Head of a Referring Phrase (examples in \ref{ex:bighouse}, and as the main predicator in a non-verbal predication \is{predicative!use of nouns}(examples in \ref{bkm:Ref422575828}; see also \chapref{chap:non-verbalclauses}):",bkm:Ref422575828,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjectives,,,,"Examples \REF{bkm:Ref422580186-a} and \REF{bkm:Ref422580189-a} show that the nouns kaoy ‘wood’ and kawayan ‘bamboo’ may not function as modifiers of the head baļay. \REF{bkm:Ref422580186-b}, \REF{bkm:Ref422575828-b} and \REF{bkm:Ref422575828-c} show that kaoy and kawayan may function predicatively\is{predicative!use of nouns} to express a material composition. However, a relative clause structure more commonly expresses the idea of ‘house made of wood’ \REF{bkm:Ref422580186-c}. Some other “material composition” words may directly modify the head of an RP, as shown in \REF{bkm:Ref422580415}:",bkm:Ref422580186-a,Not found,bkm:Ref422580189-a,Not found,bkm:Ref422580186-b,Not found,bkm:Ref422575828-b,Not found,bkm:Ref422575828-c,Not found,bkm:Ref422580186-c,Not found,bkm:Ref422580415,Not found,,,,,,
Modification,Adjectives,,,,Example \REF{bkm:Ref422581440} shows that even kawayan can be used as a modifier with head nouns other than saag:,bkm:Ref422581440,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjectives,,,,"The exact patterns of which nouns can modify which other nouns seem to be lexically determined. Perhaps some noun-noun pairs in which one noun modifies the other are compound words (\ref{bkm:Ref422581440}). However, we have no independent reason for calling these compounds. They exhibit the same intonational characteristics and variability as Referring Phrases, and their meanings are as compositional and transparent as those of ordinary RPs. Furthermore, the fact that the order of elements may be reversed, as in most modifier+noun constructions, is an argument against the analysis of these noun-noun pairs as lexicalized compounds. The point of these illustrations, however, is to show that property concept words can always be Modifiers or Heads of RPs, while referring words (nouns) can always be Heads, but only sometimes Modifiers of RPs. This is one subtle grammatical property that distinguishes \isi{adjectives} and \isi{nouns}.",bkm:Ref422581440,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjectives,,,,"*tise nang bayo na gisi\footnote{The word tise as a noun modifier means small in number or size. As a modifier of a gradable quality, such as spoiled, red or smelly, it means slightly. As a modifier of an activity it means almost (see \sectref{bkm:Ref480610640}). The word sise means small in size. But sometimes Kagayanen speakers use these two words interchangeably. When the word tise means small in number (‘a few’), or a little bit of a quality, as in example \REF{bkm:Ref441658460}, then it is always followed by nang. In its other usages, nang is optional. The form tise (nang), like most adverbial elements, may also function as a noun modifier. However, in that case the linker na is required: tise nang na bayo ‘a few clothes’, ‘small clothes’. This usage, however, is far less common than the usage as a degree adverb.}",bkm:Ref441658460,\gll tise nang baļ{}-es na kan-en | \gls little just spoiled LK cooked.rice | \glt ‘slightly spoiled cooked rice’,,,,,,,,,,,,,,,,,,
Modification,Adjectives,,,,"Finally, the last morphosyntactic property that may be said to distinguish a word class of adjectives is that this class can be the target of certain word-forming patterns. The resulting forms may function as Heads of RPs, Modifiers of RPs, or as non-verbal Predicators. Furthermore, most of them may occur with intensity and degree adverbs (examples in \ref{bkm:Ref422804351}), and so may be considered true adjectives. In the following subsections we describe ten adjective-forming processes that occur in the corpus for this study.\is{adjectives|)}",bkm:Ref422804351,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjective forming morphological patterns,ka- … -an derivation – absolute extent,,,"For other adjectives, the prefix-suffix combination ka- … -an forms an adjective or noun (see \chapref{chap:referringexpressions}, \sectref{sec:ka-an}) that refers to the greatest possible extent of a quality. Sometimes words so derived may be interpreted as superlative adjectives, as in \REF{bkm:Ref52463441}:",bkm:Ref52463441,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjective forming morphological patterns,ka- … -an derivation – absolute extent,,,"Other times, the ka- … -an derivation forms a \isi{comparative} nominalization, as described in \chapref{chap:referringexpressions} \sectref{sec:ka-an}. For example katumanan ‘the absolute end point or boundary’, katapusan `absolute end', kaumpisaan ‘absolute beginning place’ and kaunaan ‘very first place’, and example \REF{bkm:Ref113278812} from the corpus:",bkm:Ref113278812,\gsrc Uyi na isturya ni \textbf{kamatuuran} gid. | \gll U-yi na isturya ni \textbf{ka-matuod-an} gid. | \gls EMPH-D1ABS LK story D1PR NR-true-NR INT | \glt ‘This very story is the \textbf{absolute} \textbf{truth}.’,,,,,,,,,,,,,,,,,,
Modification,Adjective forming morphological patterns,pala{- derivation,,,"The prefix pala- on verbal roots derives an adjective that refers to the property of always liking to do the action described by the verb. This is not a common derivation, and no examples of it occur in the text corpus. All the following examples come from conversation or elicitation. Words derived with pala{}- are clearly adjectives as evidenced by the fact that they may occur with degree adverbs (\ref{bkm:Ref439853390}):",bkm:Ref439853390,\gsrc Sikad \textbf{palabutaļ} na bai nan. | \gll Sikad \textbf{pala-butaļ} na bai nan. | \gls very likes.always-fight/argue LK woman D3ABS | \glt ‘That one is a woman who really likes to fight/argue.’,,,,,,,,,,,,,,,,,,
Modification,Adjective forming morphological patterns,maka{- derivation,,,"The prefix maka- on verbal roots describes the quality of allowing, enabling or causing the activity described by the verb. This is also a relatively uncommon derivation occurring only eight times in the text corpus (\ref{bkm:Ref125305525}):",bkm:Ref125305525,Not found,,,,,,,,,,,,,,,,,,
Modification,Adjective forming morphological patterns,maka{- derivation,,,"The meaning of maka{}- as an adjectivizer is clearly related to its meaning as a verbal inflectional prefix as described in \chapref{chap:verbstructure}, \sectref{sec:ambitransitivehappenstantialirrealis} as happenstantial, often abilitative modality. Unlike the inflectional verbal prefix, however, this usage of maka{}- does not express irrealis modality. Examples \REF{bkm:Ref117581373} through \REF{bkm:Ref117580692} illustrate additional examples of maka{}- from the corpus:",bkm:Ref117581373,\gsrc Makaadlek na Masakit. Masakit na kulira makaadlek. | \gll Maka-adlek na Masakit. Masakit na kulira maka-adlek. | \gls ADJ-afraid LK sickness sickness LK cholera ADJ-afraid | \glt ‘Frightening Sickness (the title of the text). The sickness cholera is frightening.' (first sentence of the same text),bkm:Ref117580692,Not found,,,,,,,,,,,,,,,,
Modification,Adjective forming morphological patterns,Root reduplication,,,"Complete or partial root reduplication may derive downtoning adjectives from other adjectives, similar to the adjective suffix -ish in English (greenish, smallish, etc.). It may also express a slight comparative degree (see example \ref{bkm:Ref117581975}). For partial reduplication, the first consonant and vowel are reduplicated, and if the root ends in a consonant, the final consonant is also reduplicated. All roots that reduplicate allow complete reduplication, but not all allow partial reduplication. In particular, roots with closed initial syllables do not allow partial reduplication, for example, darko, derse, tambek and sagbak (see \ref{bkm:Ref481477458} below).",bkm:Ref117581975,Not found,bkm:Ref481477458,Not found,,,,,,,,,,,,,,,,
