Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Non-verbal clauses,Predicate nominals,,,,"In the case of equative clauses, it is often difficult or impossible to determine which element is the argument and which is the predicate, since of course the equality relationship is symmetric. In general we can say that the argument is likely to be the \isi{discourse topic} (see, e.g., \citealt{givon2001-2}), and the predicate is a comment on that \isi{topic}. For example, if the topic of conversation is “Pedro,” then a sentence like \REF{bkm:Ref442630001} would be a Predicate+Argument structure. On the other hand, if the topic of conversation were “my cousin”, the same sentence would have the pragmatically marked Argument+Predicate structure ‘As for my cousin (he) is Pedro.’ This would likely be used if the speaker wished to contrast the equality of Pedro and the cousin with a different idea held by the hearer, for example, ‘Pedro is my brother,’ or ‘Juan is my cousin.’\is{equation|)}",bkm:Ref442630001,Not found,,,,,,,,,,,,,,,,,,
Non-verbal clauses,Predicate nominals,,,,"Note that when the argument is an enclitic pronoun\is{enclitic pronouns}, it occurs after the first element in the predicate. This means that if the predicate includes more than one word, the pronominal argument “intrudes”\is{pronoun intrusion} within the predicate phrase, as in examples \REF{bkm:Ref442631395} and \REF{bkm:Ref428962681}:",bkm:Ref442631395,Not found,bkm:Ref428962681,Not found,,,,,,,,,,,,,,,,
Non-verbal clauses,Predicate nominals,,,,"Example \REF{bkm:Ref428962681} contains a phrase, ta highschool, “of high school” modifying the RP that functions as the predicate. Thus “high school teachers” is the set, and the clause asserts that “s/he” is a member of that set:",bkm:Ref428962681,Not found,,,,,,,,,,,,,,,,,,
Non-verbal clauses,Predicate nominals,,,,"While example \REF{bkm:Ref428962681} is grammatical, the more common order when the argument is instantiated as a pronoun is for the pronoun to occur after the first major constituent of the predicate, as in example \REF{bkm:Ref428962810}. As mentioned in \chapref{chap:modification}, \sectref{sec:attributivemps}, such “\isi{intrusive pronouns}”\is{pronoun intrusion} are formally \isi{second-position enclitics}\is{enclitics!second-position}, and as such do not usually take \isi{demonstrative determiners}:",bkm:Ref428962681,Not found,bkm:Ref428962810,Not found,,,,,,,,,,,,,,,,
Non-verbal clauses,Predicate nominals,,,,"Any difference in meaning between \REF{bkm:Ref428962681} and \REF{bkm:Ref428962810} is subtle, and is not usually pertinent in conversation---the two may be considered paraphrases of one another, though \REF{bkm:Ref428962810} is clearly preferred.",bkm:Ref428962681,Not found,bkm:Ref428962810,Not found,bkm:Ref428962810,Not found,,,,,,,,,,,,,,
Non-verbal clauses,Predicate nominals,,,,"The predicate and argument may also be inverted when the predicate is particularly “heavy”.\is{heavy predicates} In example \REF{bkm:Ref442262389} the predicate contains a rather long modifying clause. In such cases, inversion is normal, and does not necessarily indicate \isi{contrastive focus}.",bkm:Ref442262389,Not found,,,,,,,,,,,,,,,,,,
Non-verbal clauses,Predicate modifiers,,,,"The basic function of predicate modifiers is to assert an attribute\is{attributive predicates} or property of some argument. The predicate of a predicate modifier clause is a Modifier Phrase (see \chapref{chap:modification}, \sectref{sec:modifierphrases}), examples \REF{bkm:Ref329869322}, \REF{bkm:Ref428973739}, and \REF{bkm:Ref428973723}, or a Referring Phrase (RP) with a modifier, as in \REF{bkm:Ref445618532}. The argument can be any definite RP, as in \REF{bkm:Ref329869322} and \REF{bkm:Ref428973723}, or a nominalized clause as in \REF{bkm:Ref428973739}. In the examples in this section, the argument will be surrounded by square brackets:",bkm:Ref329869322,Not found,bkm:Ref428973739,Not found,bkm:Ref428973723,Not found,bkm:Ref445618532,Not found,bkm:Ref329869322,Not found,bkm:Ref428973723,Not found,bkm:Ref428973739,Not found,,,,,,
Non-verbal clauses,Predicate modifiers,,,,"As with \isi{predicate nominals}, if the argument is a pronoun, it usually intrudes\is{pronoun intrusion} after the first element of the predicate, creating a \isi{discontinuous predicate}. Example \REF{bkm:Ref428973688} would be more likely in daily conversation than \REF{bkm:Ref442632390}:",bkm:Ref428973688,Not found,bkm:Ref442632390,Not found,,,,,,,,,,,,,,,,
Non-verbal clauses,Predicate modifiers,,,,Example \REF{bkm:Ref442632516} is a particularly clear example of \isi{Argument+Predicate constructions} used for contrastive focus. In this example the speaker uses two predicate modifier constructions in a row to contrast the characters of two brothers.,bkm:Ref442632516,Not found,,,,,,,,,,,,,,,,,,
Non-verbal clauses,Locational clauses,,,,"A locational clause functions to express the location of some argument. In Kagayanen, any prepositional phrase may appear in the predicate position, while the located argument normally follows. The preposition is naan (with the idiolectal variants yaan and nyaan) when the predicate is a definite location, as in \REF{bkm:Ref107331810} through \REF{bkm:Ref444841001}:",bkm:Ref107331810,Not found,bkm:Ref444841001,Not found,,,,,,,,,,,,,,,,
