Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verb structure and inflection,Inflection,,,,Contrast the paradigm in \REF{bkm:Ref59175832} with a family of words also based on the root do:,bkm:Ref59175832,Not found,,,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflection,,,,"The forms in \REF{bkm:Ref59176157} can be thought of as a partial \isi{word family} because they are all based on the same root. However, they are not a paradigm. There are several reasons this list of forms is not a \isi{paradigm}. First, they do not vary according to any coherent semantic dimension – their meanings are logically independent of one another: reversative, reiterative, ability, etc. Second, the meaning elements they express may combine with one another, for example undoable combines the notions of reversative and ability; redoable combines reiteration with ability. Forms such as un-redo, re-undo, and re-undoable, though perhaps odd-sounding out of context, are also conceivable members of this family. Third, none of the affixes that define a word family are required for the root to be used in discourse. Fourth, these forms do not have analogies for every English verb. For example forms like *resee, *unremember, *bleedable and many others are extremely difficult to find appropriate communicative contexts for. Finally, the forms undo and redo are verbs, just like the root do. As such, they also occur in the five possible inflectional forms for English verbs: undid, redoing, undone, redoes, undo, and so on. In other words, the affixes that define the word family may occur with each other, and with the inflectional forms in the paradigm.",bkm:Ref59176157,Not found,,,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflection,,,,"In contrast, the inflections, as given in \REF{bkm:Ref59175832}, are mutually exclusive – a form cannot logically express present tense and past tense at the same time; 3\textsuperscript{rd} person singular and non-3\textsuperscript{rd} person singular at the same time, and so on. Thus forms with multiple inflections are impossible: *diding, *doinged, *done-ing, *dids, *dones, etc. Note that these forms are strictly uninterpretable; they do not just “sound odd out of context” the way un-redo and re-undo might.",bkm:Ref59175832,Not found,,,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflection,,,,"The Kagayanen words in \REF{bkm:Ref59345903} are all verb stems, ready to be inflected with one of the possible inflectional affixes (indicated by the dash in front of each form). They all have different, though related, meanings. Note that the morphological processes that give rise to these forms (pa-, ng-, -an, -ay and reduplication) may combine with one another to produce even more complex forms, as illustrated in the last three examples in \REF{bkm:Ref59345903}. These stem-forming morphological processes\is{stem-forming morphology}, and others, are a rich resource available to Kagayanen speakers to create complex and nuanced meanings.",bkm:Ref59345903,Not found,bkm:Ref59345903,Not found,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflectional affixation,Grammatical transitivity,,,"There is a difference between \isi{semantic transitivity}\is{transitivity!semantic} and grammatical transitivity. Semantic transitivity has to do with situations being communicated, whereas grammatical transitivity has to do with grammatical structures used to depict those situations. The two types of transitivity do not necessarily coincide. For example, English constructions such as she already ate, or he drank of the water of bitterness present semantically transitive\is{semantic transitivity}\is{transitivity!semantic} situations (someone eating or drinking something) in grammatically intransitive constructions (there is no direct object). Something similar occurs in Kagayanen. Situations that seem to require an Undergoer and a distinct Controller may be expressed in an intransitive construction, with the Undergoer simply omitted or presented in the non-absolutive case, preceded by ta or ki. We describe such constructions as detransitive\is{detransitive constructions}. Such constructions are used when there is an Undergoer, but it is less salient in the communicative situation than the Actor in some way. The Actor is presented as the most affected participant, and the Undergoer, if present at all, is presented as less central in some way, either by being indefinite, non-specific, incompletely affected, and so on. Of course, the big difference between English and Kagayanen is that English does not mark grammatical transitivity on the verb, whereas Kagayanen does. The verb eat is the same whether it occurs in a transitive (SUBJ eats OBJ) or intransitive (SUBJ eats) frame. In Kagayanen, however, the verb in a detransitive construction is explicitly marked as intransitive. Examples \REF{bkm:Ref118364790} and \REF{bkm:Ref125017724} illustrate detransitive constructions from the corpus. Additional examples are found throughout this grammar.",bkm:Ref118364790,"\gsrc Pagtapos nay igma, \textbf{gatan-aw kay ta sini}. | \gll Pag-tapos nay igma, \textbf{ga-tan-aw} \textbf{kay} \textbf{ta} \textbf{sini}. | \gls NR.ACT-finish 1p{excl.gen} lunch T.R-look 1p{excl.abs} NABS movie | \glt ‘After finishing our lunch, \textbf{we watched a movie}.’",bkm:Ref125017724,\gsrc Piro tama man na \textbf{mga inay na galuag man ta kaanlao}... | \gll Piro tama man na \textbf{mga} \textbf{inay} \textbf{na} \textbf{ga-luag} \textbf{man} \textbf{ta} \textbf{kaanlao}... | \gls but many also LK PL mother LK I.R-watch EMPH NABS lunar.eclipse | \glt ‘But there were many \textbf{mothers who watched a lunar eclipse} ...’,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflectional affixation,Grammatical transitivity,,,"Example \REF{bkm:Ref118364790} is part of a story about what the Actors did. It is not about any particular movie. In terms of \citealt{halliday2004}, sini, `movie', simply describes the ``range"" over which the watching took place; the Actors engaged in ``movie watching"". Therefore the Actor is presented as absolutive (kay `absolutive, first person plural exclusive'), and the verb is inflected as intransitive (ga- `intransitive, realis'). Similarly, example \REF{bkm:Ref125017724} is about the mothers, and not any particular lunar eclipse. In this case, the mothers are the Head of a modifying (relative) clause. As will be discussed in \chapref{chap:clausecombining}, the Head of a relative clause must be the absolutive of that clause. Therefore, the verb inside the relative clause must be in an intransitive form with the Actor understood as the absolutive.",bkm:Ref118364790,"\gsrc Pagtapos nay igma, \textbf{gatan-aw kay ta sini}. | \gll Pag-tapos nay igma, \textbf{ga-tan-aw} \textbf{kay} \textbf{ta} \textbf{sini}. | \gls NR.ACT-finish 1p{excl.gen} lunch T.R-look 1p{excl.abs} NABS movie | \glt ‘After finishing our lunch, \textbf{we watched a movie}.’",bkm:Ref125017724,\gsrc Piro tama man na \textbf{mga inay na galuag man ta kaanlao}... | \gll Piro tama man na \textbf{mga} \textbf{inay} \textbf{na} \textbf{ga-luag} \textbf{man} \textbf{ta} \textbf{kaanlao}... | \gls but many also LK PL mother LK I.R-watch EMPH NABS lunar.eclipse | \glt ‘But there were many \textbf{mothers who watched a lunar eclipse} ...’,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflectional affixation,Intransitive realis ga{-,,,"The inflectional prefix ga{}- is the most common form for \isi{dynamic intransitive events} on the storyline in narratives. In this usage, the aspectual interpretation is perfective\is{perfective aspect}, as in the first clause of example \REF{bkm:Ref396718263}:",bkm:Ref396718263,\gsrc \textbf{Gapit} kay anay ta dawisan tak \textbf{ganampara} pa mga gurmiti ta sid-anan. | \gll \textbf{Ga-apit} kay anay ta dawis-an tak \textbf{ga-ng-tampara} pa mga gurmiti ta sid-anan. | \gls I.R-stop.off 1P.EXCL.ABS first/for.a.while NABS point-NR because I.R-PL-goggles INC PL crew NABS viand | \glt `We stopped off first at the point (of the island) because the crew were still spear fishing for viand.’,,,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflectional affixation,Intransitive realis ga{-,,,"However, predicates inflected with ga{}- may be understood as imperfective\is{imperfective aspect}. For example, the second occurrence of ga- (ganampara) in \REF{bkm:Ref396718263} is within an adverbial clause expressing a backgrounded, non-storyline event. The imperfective aspect interpretation is reenforced by the use of the incompletive adverbial pa.",bkm:Ref396718263,\gsrc \textbf{Gapit} kay anay ta dawisan tak \textbf{ganampara} pa mga gurmiti ta sid-anan. | \gll \textbf{Ga-apit} kay anay ta dawis-an tak \textbf{ga-ng-tampara} pa mga gurmiti ta sid-anan. | \gls I.R-stop.off 1P.EXCL.ABS first/for.a.while NABS point-NR because I.R-PL-goggles INC PL crew NABS viand | \glt `We stopped off first at the point (of the island) because the crew were still spear fishing for viand.’,,,,,,,,,,,,,,,,,,
Verb structure and inflection,Inflectional affixation,Intransitive realis ga{-,,,"Example \REF{bkm:Ref396718461} illustrates one use of ga- in which the interpretation may be either \isi{inceptive} or imperfective. The event of walking is ongoing in the story. After the sentence illustrated in \REF{bkm:Ref396718461}, the story describes crossing a river on stepping stones and other events that happened on the way to the community of Teresa. Therefore, example \REF{bkm:Ref396718461} may be understood as a (perfective) inceptive “we began to walk again” or it could mean “we were walking again.” In either case it does not describe the entire event of walking to Teresa, and therefore is not perfective:",bkm:Ref396718461,"\gsrc Pag-abot nay ta liyo, \textbf{gapanaw} kay eman munta ta Teresa. | \gll Pag-abot nay ta liyo, \textbf{gapanaw} kay eman m-punta ta Teresa. | \gls NR.ACT-arrive 1P.EXCL.GEN NABS other.side I.R-go/walk 1P.EXCL.ABS as.before I.V.IR-go NABS Teresa | \glt `When we arrived on the other side (of a river), we were/began walking again as before going to Teresa.’",bkm:Ref396718461,"\gsrc Pag-abot nay ta liyo, \textbf{gapanaw} kay eman munta ta Teresa. | \gll Pag-abot nay ta liyo, \textbf{gapanaw} kay eman m-punta ta Teresa. | \gls NR.ACT-arrive 1P.EXCL.GEN NABS other.side I.R-go/walk 1P.EXCL.ABS as.before I.V.IR-go NABS Teresa | \glt `When we arrived on the other side (of a river), we were/began walking again as before going to Teresa.’",bkm:Ref396718461,"\gsrc Pag-abot nay ta liyo, \textbf{gapanaw} kay eman munta ta Teresa. | \gll Pag-abot nay ta liyo, \textbf{gapanaw} kay eman m-punta ta Teresa. | \gls NR.ACT-arrive 1P.EXCL.GEN NABS other.side I.R-go/walk 1P.EXCL.ABS as.before I.V.IR-go NABS Teresa | \glt `When we arrived on the other side (of a river), we were/began walking again as before going to Teresa.’",,,,,,,,,,,,,,
Verb structure and inflection,Inflectional affixation,Intransitive realis ga{-,,,"With roots that describe properties or states, ga{}- expresses the process of entering the state (inchoative)\is{inchoative}. Examples \REF{bkm:Ref119937645} and \REF{bkm:Ref416513591} are common greetings, both of which may be considered compliments, or fixed expressions of greeting after long separation:",bkm:Ref119937645,\gsrc \textbf{Gatambek} ka. | \gll \textbf{Ga-tambek} ka. | \gls I.R-fat/healthy 2S.ABS | \glt ‘You are becoming/became fat/healthy.’,bkm:Ref416513591,\gsrc \textbf{Ganiwang} ka. | \gll \textbf{Ga-niwang} ka. | \gls I.R-skinny 2S.ABS | \glt ‘You are becoming/became skinny.’,,,,,,,,,,,,,,,,
