Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"Each verb licenses zero to three arguments\is{argument}. Verbs follow the subject and the object. There is no agreement marking on the verb.\footnote{Except for verbs in the imperative mood, which distinguish between singular and plural subjects (§\ref{sec:verbdistr}).} (\ref{exe:kalis}) contains a zero-intransitive clause without argument. (\ref{exe:monovstat}) has a monovalent stative verb and (\ref{exe:monov}) a monovalent active verb, each with one argument. (\ref{exe:biv}) shows a bivalent verb with its two arguments. (\ref{exe:triv}) contains a trivalent verb with its three arguments.\is{monovalent clause|see{intransitive clause}}\is{intransitive clause}\is{active verb}\is{bivalent clause|see{transitive clause}}\is{transitive clause}\is{trivalent clause|see{three-participant clause}}\is{three-participant clause}",exe:kalis,\gll mu toni kalis=kin | \gls 3PL think rain={\glkin} | \glt `They think it will rain.',exe:monovstat,\gll teun \textbf{ten} | \gls fruit bad | \glt `The fruits are bad.',exe:monov,\gll mu \textbf{kiem} | \gls 3PL run | \glt `They run.',exe:biv,\gll emun tumun=at \textbf{narorar} | \gls mother child=OBJ take_by_hand | \glt `The mother takes the child by the hand.',exe:triv,\gll mu kawir-un=at mat \textbf{naunak} | \gls 3PL hat-3POSS=OBJ 3SG.OBJ show | \glt `They showed him the hat.',,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"Verbs may be part of complex predicates (Chapter~\ref{ch:svc}). (\ref{exe:svc}) shows a directional construction, with tiri `sail' and yecie `return' to express `sail back'. (\ref{exe:svcmod}) combines a stative verb `be far' and a directional verb `descend' to form `go down far'.",exe:svc,\gll in se \textbf{tiri} \textbf{yecie} | \gls 1PL.EXCL IAM sail return | \glt `We sailed back.',exe:svcmod,\gll ma \textbf{kahen=i} \textbf{baran} | \gls 3SG far=PLNK descend | \glt `He goes down far.',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"All verbs can be used attributively\is{attribute}, that is, modifying a noun in a noun phrase (NP). In attributive function, verbs can carry the attributive clitic =ten (§\ref{sec:attr}). A verb in post-nominal position can be a predicate, in which case it is bare, or it can be a modifier, in which case it carries =ten. Consider the contrast in~(\ref{exe:rorpotma}). In~(\ref{exe:rorpotma}a), the noun ror `wood' is incorporated in the verb potma `cut'. In~(\ref{exe:rorpotma}b), the verb paramua `cut' functions as a modifier of the noun and carries the attributive enclitic =ten.",exe:rorpotma,\gll ror paramuan=\textbf{ten} | \gls wood cut=AT | \glt `cut wood (wood that is cut)',exe:rorpotma,\gll ror paramuan=\textbf{ten} | \gls wood cut=AT | \glt `cut wood (wood that is cut)',exe:rorpotma,\gll ror paramuan=\textbf{ten} | \gls wood cut=AT | \glt `cut wood (wood that is cut)',,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"Consider also the contrast in~(\ref{exe:kiemden}), where the two verbs are either used in attributive function modifying the subject, or in predicative function.",exe:kiemden,\gll tumun \textbf{kiem}=\textbf{ten} ririn | \gls child run=AT tall | \glt `The running child is tall.',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"The examples in~(\ref{exe:attr}) illustrate the attributive use of a monovalent stative non-agentive word (`rotten'), a monovalent dynamic non-agentive verb (`fallen'), a monovalent agentive verb (`running') and a bivalent verb (`reading').",exe:attr,Not found,,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"Note that the use of =ten on an attributively used verb is not obligatory. It is less common with monovalent stative non-agentive verbs than with other verbs, perhaps because they are semantically more fit to be used attributively. Lack of =ten is especially common on the dimension words temun `big' and cicaun `small', as in~(\ref{exe:fibertemun}).",exe:fibertemun,\gll mu fiber temun kerunggo | \gls 3PL fibre_boat big inside | \glt `They are in a big fibre boat.',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Verbs\is{verb|(,,,,"Besides attributive =ten, the placement of a demonstrative\is{demonstrative} can help disambiguate between an attributive and predicative reading. Noun + Verb + Demonstrative is interpreted as a NP\is{noun phrase} with an attributively used verb; Noun + Demonstrative + Verb and Pronoun + Verb is interpreted as a NP plus a predicate (with a verb in predicative use), as illustrated in~(\ref{exe:tabusik}).",exe:tabusik,Not found,,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Nouns\is{noun|(,,,,NPs function as the clausal arguments subject\is{subject} and object\is{object}. Esnem `man' is the subject of an intransitive verb in~(\ref{exe:nSV}). Emun `his/her mother' is the subject of a transitive verb and tumun `child' is the object in~(\ref{exe:nAP}). Both direct and indirect object NPs are marked with the object postposition =at. There is no gender marking and no obligatory number marking.,exe:nSV,Not found,exe:nAP,\gll emun tumun=at narorar | \gls mother.3POSS child=OBJ take_by_hand | \glt `The mother takes the child by the hand.',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Nouns\is{noun|(,,,,"Nouns are the head of the NP\is{noun phrase} and can be followed by one or more modifiers. (\ref{exe:towari}) and~(\ref{exe:pasaluren}) show an attributive modifier with and without attributive marker =ten, respectively. (\ref{exe:sontumreidak2}) shows \is{quantifier}quantifier reidak `many' modifying a noun, and in~(\ref{exe:tumtumkar}) numeral\is{numeral} quantifier karuok `four' modifies a noun.",exe:towari,Not found,exe:pasaluren,Not found,exe:sontumreidak2,Not found,exe:tumtumkar,Not found,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Nouns\is{noun|(,,,,Nouns are the only words that may carry possessive morphology. They can be both possessed (kewe `house' in \ref{exe:nposd}) and possessors (kewe `house' in \ref{exe:nposs}). The possessive suffix is always on the head and never on the dependent (§\ref{sec:possphr}).,exe:nposd,\gll Malik kewe-un | \gls Malik house-3POSS | \glt `Malik's house',exe:nposs,\gll kewe anggas-un | \gls house door-3POSS | \glt `the house's door',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Nouns\is{noun|(,,,,"If a noun inflected with a possessive suffix is in object position, the possessive suffix comes before the postposition\is{postposition}. See~(\ref{exe:eranat}).",exe:eranat,Not found,,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Pronouns\is{pronoun|(,,,,"Pronouns can substitute for a NP in subject and object position. Like nouns, they can be modified by, for example, a quantifier as in~(\ref{exe:inikon1}) or a demonstrative as in~(\ref{exe:warpas}).",exe:inikon1,"\gll \textbf{an} \textbf{yuwa} me warpas=a an=at melebor=ta | \gls 1SG PROX TOP witch=FOC 1SG=OBJ move_to_side=NFIN | \glt `As for me, the witch shoved me aside.'",exe:warpas,Not found,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Pronouns\is{pronoun|(,,,,Pronouns do not carry possessive morphology. Instead there is a paradigm of possessive pronouns which can be used pronominally as well as adnominally (§\ref{sec:possprons}. The paradigm is given in Table~\ref{tab:posspronk} and an example with a possessive pronoun in object position is given in~(\ref{exe:possobj}).,exe:possobj,\gll ma \textbf{main=at} na | \gls 3SG 3POSS=OBJ consume | \glt `He drinks his [one/drink].',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,,,,"(\ref{exe:numattr}) has the quantifier karuok `four' as an adnominal modifier to kewe `house'. Quantifiers have a fixed position in the NP (§\ref{sec:nomphr}); they follow the noun and possessive suffix, and precede possessive pronouns. In~(\ref{exe:numnom}), the nominal referent is clear from the context, and so the quantifier eir `two' is the NP head.",exe:numattr,\gll kewe=at \textbf{karuok-i} in paruo | \gls house=OBJ three-OBJQNT 1PL.EXCL make | \glt `Three houses we made.',exe:numnom,\gll \textbf{eir} nau=namanghadap | \gls two REC=face | \glt `Two [animals] face each other.',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,,,,(\ref{exe:inreidak}) illustrates the use of quantifier reidak `many' in predicate function.,exe:inreidak,\gll in \textbf{reidak} | \gls 1PL.EXCL many | \glt `We were many.',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,,,,"The suffix -i occurs on quantifiers in object\is{object} position, as illustrated in~(\ref{exe:mingtun}).",exe:mingtun,\gll mingtun=at \textbf{bolon}-\textbf{i} ko=yuon | \gls palm_oil=OBJ little-OBJQNT APPL=rub | \glt `[You] rub a little palm oil on.',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,,,,"The suffix -tak `just, only' is illustrated in~(\ref{exe:kodak}). When suffixed to kon `one', it results in kodak instead of the expected kondak.\footnote{Note the similarity of this suffix with the last part of the pronominal suffix -autak `alone', Chapter~\ref{ch:pron}, and the last part of reidak `many', example~\ref{exe:inreidak}.}",exe:kodak,"\gll som \textbf{kodak} pas \textbf{kodak} | \gls person only_one woman only_one | \glt `Only one person, only one woman.'",exe:inreidak,\gll in \textbf{reidak} | \gls 1PL.EXCL many | \glt `We were many.',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,Numerals\is{numeral|(,,,"Reduplication\is{reduplication} of numerals denotes distributivity (indicating that the number applies to each referent, or that the referents are divided into groups of the size the numeral indicates, \citealt{gil2013}). \is{distributive}Distributive numerals can be in attributive\is{attribute} function following the noun, as in~(\ref{exe:dstrbnum}), but may also be used predicatively. %predicative use: see q wc 2019, ror tebonggan pusun putkonkon.",exe:dstrbnum,"\gll goni-kinkin kilo \textbf{putkon_ba_ap∼ap=kin} Bulog yuwane | \gls sack-small kilo fifteen∼DISTR=POSS Bulog PROX | \glt \glt `[It] comes in small sacks of fifteen kilos each, this Bulog rice.'",,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,Numerals\is{numeral|(,,,"When a numeral modifies certain nouns, a classifier is used. Kalamang has sixteen classifiers associated with different individual nouns or groups of nouns, but not all nouns are associated with a classifier (§\ref{sec:clf}). The classifier is prefixed to the numeral quantifier. A classifier + numeral combination always directly follows the noun, as the fruit classifier tep and the numeral eir `two' in~(\ref{exe:tewirr}).",exe:tewirr,\gll im tep-eir | \gls banana CLF_FRUIT2-two | \glt two bananas,,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Quantifiers\is{quantifier|(,Numerals\is{numeral|(,,,"Numerals, including pronouns inflected with a numeral (§\ref{sec:wcprons}), can carry the suffix -gan `all'. This suffix is most commonly used with eir `two' to create eirgan `both', as in~(\ref{exe:eirgan}).",exe:eirgan,"\gll kon=a ma tan-un=at \textbf{eir}-\textbf{gan} madong | \gls one=FOC 3SG hand-3POSS=OBJ two-all stretch | \glt `One, he stretches out both his arms.'",,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Demonstratives\is{demonstrative|(,,,,"The same root is used in all positions, as illustrated below for proximal wa. Wa and me as adnominal and pronominal demonstratives are infrequent; almost all corpus occurrences of wa and me are identificational. The three uses are illustrated in (\ref{exe:demad}) (adnominal), (\ref{exe:demad2}) (pronominal), (\ref{exe:demid}) (identificational in argument function) and~(\ref{exe:demidpred}) (identificational in predicate function). When used adnominally or identificationally in argument function, the demonstrative is almost invariably followed by me `\glme'.",exe:demad,Not found,exe:demad2,\gll ma \textbf{wat} paruo | \gls 3SG PROX.OBJ make | \glt `She made this.',exe:demid,\gll \textbf{wa} me yartep | \gls PROX TOP sardine | \glt `This is a sardine.',exe:demidpred,"\gll namun=a \textbf{wa} kiun=a \textbf{wa} tumun-un=a \textbf{wa} | \gls husband.3POSS=FOC PROX wife.3POSS=FOC PROX child-3POSS=FOC PROX | \glt `Her husband is this, his wife is this, their child is this.'",,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Demonstratives\is{demonstrative|(,,,,The \is{demonstrative!elevational}elevationals yawe `\textsc{down}' and osa `\textsc{up}' can only be used adnominally and identificationally. This is illustrated for yawe `\textsc{down}' in~(\ref{exe:yawekom}) (adnominal) and~(\ref{exe:lempyawe}) (identificational).,exe:yawekom,\gll ma tama ka bo minggalot-an \textbf{yawe} komere | \gls 3SG where 2SG go bedroom-1SG.POSS DOWN look | \glt `Where is it? You go look in my bedroom down there.',exe:lempyawe,\gll lempuang \textbf{yawe} | \gls island DOWN | \glt \glt `The island is down there.',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Demonstratives\is{demonstrative|(,,,,"Finally, there is a demonstrative opa, which is always used adnominally. It signals that a referent represents shared knowledge between the speaker and addressee. This demonstrative is further described in §\ref{sec:demopa} and~\textcite{visser2020}. An example is given in~(\ref{exe:udangopa}).",exe:udangopa,\gll udang \textbf{opa} ka kuet=nin | \gls lobster {\glopa} 2SG get=NEG | \glt `Didn't you get that lobster (we talked about earlier)?',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Adverbial modifiers\is{modifier!adverbial,,,,"The following examples illustrate post-subject iamitive se and koi `again' in (\ref{exe:hekoi}), clause-final reon `maybe' in (\ref{exe:gongreon}), clause-initial temporal adverbials and progressive =teba and volitional =kin on the predicate in (\ref{exe:kasurm}).",exe:hekoi,\gll mu \textbf{se} \textbf{koi} yal | \gls 3PL IAM again paddle | \glt `They already paddled again.',exe:gongreon,\gll ma toni \textbf{opa_yuwa} an dodon waruo=\textbf{teba} \textbf{kasur} mu kolak=ka bot=\textbf{kin} | \gls 3SG say today 1SG clothes wash={\glteba} tomorrow 3PL mountain=LAT go={\glkin} | \glt `She said: ``Today I'm washing clothes.'' Tomorrow they want to go to the mountains.',exe:kasurm,Not found,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Question words\is{question word|(,,,,"Naman `who' and neba `what' are nominal, taking the place of subjects and objects\is{in situ}, with the ability to carry postpositions\is{postposition} (§\ref{sec:wcnoun}). Naman replaces pronouns, being unable to carry possessive morphology, but having the possibility to carry generic possessive =kin or animate lative and locative postpositions =kongga and =konggo, respectively. Naman and neba, as well as tama below, can be followed by a \is{focus}focus marker =ba. In question-answer pairs, the answer may then also be followed by =ba, as in~(\ref{exe:namanba}).",exe:namanba,Not found,,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Question words\is{question word|(,,,,"Tamangga `to/from where' and tamatko `where' are formed with tama plus the lative or the locative enclitic, respectively (for the morphosyntax see §\ref{sec:problems}). They have verbal properties. Tamangga, like other words carrying lative =ka, is primarily used in \is{predicate!complex} complex predicates (see Chapter~\ref{ch:svc}), for example with jie `get' in~(\ref{exe:tamjie}). Tamatko, like other words carrying locative =ko, is usually in predicate function. It can stand on its own, as illustrated in~(\ref{exe:tamatko}), or be accompanied by another verb. A short form of tamatko is tama. These suffixes are also described in §\ref{sec:lat} and~\ref{sec:loc}.\is{question word}\is{location}",exe:tamjie,Not found,exe:tamatko,\gll ema \textbf{tamatko} | \gls mother where | \glt `Where is mother?',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Question words\is{question word|(,,,,"Tamandi is an adverbial question word. It is illustrated modifying komele `burn' in~(\ref{exe:qadv}), and paruo `do' in~(\ref{exe:babut}) below. In addition, it is used as a \is{greeting}greeting with the meaning `how are you doing?'. It seems to contain the suffix -ndi, which is also found on manner demonstratives (§\ref{sec:mqqd}).",exe:qadv,"\gll din saerak in \textbf{tamandi}=a lampur=at komele | \gls fire NEG_EXIST 1PL.EXCL how=FOC lamp=OBJ burn | \glt `There was no fire, how could we burn the lamps?'",exe:babut,\gll ma muawese \textbf{ba} ma tamandi paruot=et | \gls 3SG hungry but 3SG how do=IRR | \glt `He's hungry but what can he do?',,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Question words\is{question word|(,,,,Puraman `how many' replaces a quantifier. (\ref{exe:pel}) illustrates puraman following a classifier (§\ref{sec:clf}).,exe:pel,\gll wat \textbf{nak}-\textbf{puraman-i} mindi kajie | \gls coconut CLF_FRUIT1-how_many-OBJQNT like_that pick | \glt `How many coconuts did [we] pick like that?',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Conjunctions\is{conjunction|(,,,,"Ba `but' is an adversative coordinator\is{conjunction!adversative}, as illustrated in~(\ref{exe:babut}). It is also used to conjoin numerals\is{numeral} between 11 and 29, as described in §\ref{sec:cardnum}.",exe:babut,\gll ma muawese \textbf{ba} ma tamandi paruot=et | \gls 3SG hungry but 3SG how do=IRR | \glt `He's hungry but what can he do?',,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Conjunctions\is{conjunction|(,,,,"Ye `or' is a disjunctive coordinator\is{conjunction!disjunctive}. Intonationally, it belongs to the first clause. In addition to its coordinative function, it can also be used as a tag `maybe'. Both uses are illustrated in~(\ref{exe:ye}).",exe:ye,Not found,,,,,,,,,,,,,,,,,,
Word classes\is{word class|(\is{part-of-speech|see{word class\is{grammatical category|see{word class,Conjunctions\is{conjunction|(,,,,"Eba `then' is used to connect two clauses that refer to sequential events\is{conjunction!sequential}. Intonationally, it belongs to the second clause. Koi `then' also expresses sequential meaning, but is often placed after the subject, although it can also be clause-initial when the subject is elided. There is no restriction on the combination of eba and koi. (\ref{exe:eba}) illustrates post-subject koi and eba. (\ref{exe:koicllnk}) illustrates koi clause-initially in an example where there is no subject because it is from a procedural text explaining how to build a traditional house. Koi is also an adverbial that means `again', see §\ref{sec:wcadv}.",exe:eba,"\gll saban potmat=et \textbf{koi} kanggaran paruot=et | \gls bamboo cut=IRR then bamboo_floor make=IRR | \glt `[One] cuts bamboo, then [one] makes the bamboo floor.'",exe:koicllnk,Not found,,,,,,,,,,,,,,,,
