Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
"Nouns, noun phrases and postpositional phrases",Noun subclasses\is{noun|(,Common nouns,Alienability\is{alienability|(,,"First, there is a small group of five roots\footnote{A sixth root, teit- `neighbour', was elicited as inalienable but does not occur in the natural spoken corpus.} which can never occur without a possessive suffix. They all refer to family members, and are listed in~(\ref{exe:fammembers}).",exe:fammembers,Not found,,,,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun subclasses\is{noun|(,Common nouns,Alienability\is{alienability|(,,"(\ref{exe:siepsiep}) and~(\ref{exe:siun}) show siep- `edge' inflected with third-person possessive -un and with both -un and locative =ko. (\ref{exe:kitko}),~(\ref{exe:kitpis}) and~(\ref{exe:kitkadok}) show kit- `top' with locative =ko, -pis `side' and -kadok `side'.",exe:siepsiep,"\gll mier-gan neba-un kit-pis \textbf{siep∼siep-un} eir-gan | \gls 3PL-both what-3POSS top-side edge∼INTS-3POSS two-both | \glt `Both their whatsits point up, both on the very edge.'",exe:siun,\gll mu se koi wat pes=at di=kahalong \textbf{siep-un=ko} | \gls 3PL IAM then coconut shell=OBJ CAUS=spear edge-3POSS=LOC | \glt `Then they put coconut shell on the edge of the spear.',exe:kitko,\gll ma \textbf{kit=ko} | \gls 3SG top=LOC | \glt `He's up [there].',exe:kitpis,"\gll ma \textbf{kit-pis}=i sarat=nin ma \textbf{elak-pis}=i=a barat=et | \gls 3SG top-side=PLNK ascend=NEG 3SG down-side=PLNK=FOC descend=IRR | \glt `It doesn't go up, it goes down.'",exe:kitkadok,\gll kewe-un \textbf{kit-kadok} | \gls house-3POSS top-side | \glt `His house is at the top.',,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun subclasses\is{noun|(,Common nouns,Alienability\is{alienability|(,,"Note that nouns with -pis and -kadok can be used predicatively (illustrated for -pis in~\ref{exe:kitpis} and for -kadok in~\ref{exe:kitkadok}), or can be arguments, as illustrated for the object NPs in~(\ref{exe:pisat}) and~(\ref{exe:kosat}).",exe:kitpis,"\gll ma \textbf{kit-pis}=i sarat=nin ma \textbf{elak-pis}=i=a barat=et | \gls 3SG top-side=PLNK ascend=NEG 3SG down-side=PLNK=FOC descend=IRR | \glt `It doesn't go up, it goes down.'",exe:kitkadok,\gll kewe-un \textbf{kit-kadok} | \gls house-3POSS top-side | \glt `His house is at the top.',exe:pisat,\gll kiel-un yuon talawak-pis=at jiet=et | \gls root-3POSS sun east-side=OBJ get=IRR | \glt `If [you] get an east-side root...',exe:kosat,\gll dinding kibis-kadok=at mera kosalir=kin | \gls wall shore-side=OBJ then change={\glkin} | \glt `(They) then want to change the shore-side wall.',,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun subclasses\is{noun|(,Common nouns,Alienability\is{alienability|(,,"These suffixes, like locative =ko and lative =ka, are not exclusive to locational nouns. One example with predicative nouns -pis is given in~(\ref{exe:pis1}).",exe:pis1,"\gll kon kahaman-un kit-\textbf{pis} kon elak-\textbf{pis} ba temun | \gls one bottom-3POSS top-\textbf{side} one down-\textbf{side} but big | \glt `One's bottom is at the top, one is at the bottom, but [it's] big.'",,,,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun subclasses\is{noun|(,Common nouns,Count nouns\is{count noun|(,,"Within the group of common nouns, Kalamang has mass nouns and count nouns, which behave differently with respect to quantifiers (§\ref{sec:wcquant}). Mass nouns require a measure noun when quantified with a numeral quantifier. This measure noun occurs between the noun and the quantifier. Examples of mass nouns are granular substances such as nasuena `sugar', os `sand', nd pasa `rice' and liquids such as per `water'. Examples of measure nouns are kiem `basket' and goni `sack'. Mass nouns can be quantified with most quantifiers, except taukon/ikon `a few', which is reserved for count nouns, as in~(\ref{exe:bob}). Their counterpart bolon `a little' is used for mass nouns, as in~(\ref{exe:nasbo}).",exe:bob,"\gll tumtum \textbf{taukon} me Bobi emun=a kona | \gls children few TOP Bobi mother=FOC see | \glt `A few children, Bobi's mother saw [them].'",exe:nasbo,\gll nasuena \textbf{bolon}-i baran | \gls sugar little-OBJQNT descend | \glt `[You] put a little sugar in.',,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun derivation\is{noun derivation|(,Verb-to-noun derivation\is{noun derivation!verb-to-noun,,,Verbs preceding eranun `cannot' must be nominalised with -un. A transitive example is given in~(\ref{exe:eranunnmlz}) and an intransitive one in~(\ref{exe:eranunintr}).,exe:eranunnmlz,\gll anggas=at \textbf{tarat-un} eranun | \gls door=OBJ close-NMLZ cannot | \glt `[He/she] cannot close the door.',exe:eranunintr,"\gll ma toni o an \textbf{nan-un} eranun | \gls 3SG say EMPH 1SG consume-NMLZ cannot | \glt `He said: ``Oh, I cannot eat.'''",,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun derivation\is{noun derivation|(,Verb-to-noun derivation\is{noun derivation!verb-to-noun,,,"Attributive\is{attribute!nominal} nouns can be derived from intransitive stative verbs, such as kahenun `length; distance' from kahen `to be far' and tiun (tik-un) `age, period of time' from tik `to be old'. The nouns ririnun `length', derived from ririn `to be tall', and temunun `size', derived from temun `to be big', are used in~(\ref{exe:modnmlz}).",exe:modnmlz,Not found,,,,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun derivation\is{noun derivation|(,Verb-to-noun derivation\is{noun derivation!verb-to-noun,,,"Three stative verbs possibly contain a fossilised possessive suffix: kinkinun `small', (ci)caun `small' and temun `big'. These still need to be inflected with -un to be used as nouns, as is illustrated for temun in~(\ref{exe:modnmlz}).",exe:modnmlz,Not found,,,,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun derivation\is{noun derivation|(,Verb-to-noun derivation\is{noun derivation!verb-to-noun,,,"Transitive verbs may also be nominalised with -un. This is especially frequent with loan verbs from Malay, as illustrated in~(\ref{exe:malayloans}).",exe:malayloans,Not found,,,,,,,,,,,,,,,,,,
"Nouns, noun phrases and postpositional phrases",Noun derivation\is{noun derivation|(,Verb-to-noun derivation\is{noun derivation!verb-to-noun,,,"To this list can be added the lexical negative construction sukaun ge or sukaun Verb=\textsc{nin} `to not like' (§\ref{sec:lexicalneg}), derived from Malay suka `to like'. Nominalisation with Kalamang transitive verbs is infrequent, but possible. Consider konenenun `memory' from konenen `to remember' in~(\ref{exe:konenenun}).",exe:konenenun,"\gll supaya ma neba-un met se mamun=et [...] \textbf{konenen-un} leng-un | \gls so_that 3SG PH-3POSS DIST.OBJ IAM leave=IRR {} remember-NMLZ village-3POSS | \glt `So that she leaves her whatsit behind, the memories of her village.'",,,,,,,,,,,,,,,,,,
