Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,,,,"The base for numerals between 11 and 99 is put-. Numerals 11–19 and 21–29 are formed as put- + numeral + ba + numeral. For numbers higher than thirty, the linker for the tens and the ones is talin, so that we get put- + numeral + talin- + numeral. A few clarifying examples are given in~(\ref{exe:tens}).",exe:tens,Not found,,,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,,,,"In six-digit numerals, no distinction is made between the ten thousands and the tens, i.e. numerals such as 520,000 and 500,020 are expressed in the same way: ripi reirap purir `five hundred twenty thousand' (lit. `thousand five hundred twenty').\footnote{There might be an intonational difference, but this was not tested for.} The difference between numbers from 1000 to 1999 (with ripion `one thousand') and those involving thousands (ripi `thousand') is illustrated in~(\ref{exe:contrnums}).",exe:contrnums,Not found,,,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,,,,"There are no ordinal\is{numeral!ordinal} numbers that are derived from cardinal numbers. `First' is expressed with the verb borara `to be first'. There are no ways to say second, third, etc.: all subsequent entities following `first' are pareirun `the following' (nominalised from pareir `to follow'). The last one in a sequence can be referred to with the root ep- `behind'. One can say, for example, an epka `I come last' (lit. `I come from the back') with a lative marker on ep-, or tumunan epko/epkadok `my child is the last' with a locative marker or -kadok `side' on ep-. An illustration is given in~(\ref{exe:ord}).",exe:ord,Not found,,,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,,,,"A collective numeral\is{numeral!collective} indicates that several entities are seen as a unit and not as individuals. There is one collective numeral in Kalamang: salak `ten thousand'. Not used in counting, salak is a collective numeral used, for example, for trading goods such as nutmeg. An example is given in~(\ref{exe:salak}).",exe:salak,\gll pi bo rep=et me sampi \textbf{salak} | \gls 1PL.INCL go get=IRR TOP until ten_thousand | \glt `We harvest up to ten thousand.',,,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,,,,Salak may be combined with a cardinal as in~(\ref{exe:salaon}).,exe:salaon,"\gll musim kon-i me \textbf{salak-kon}=et | \gls season one-OBJQNT TOP ten_thousand-one=\glet | \glt `One season, ten thousand.'",,,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,Classifiers\is{classifier|(,,,"A classifier gives information about the classification of a noun. Kalamang classifiers, which are numeral prefixes, occupy the quantifier slot together with a numeral when modifying certain classes of nouns. When those nouns are modified by a numeral, the use of a classifier is obligatory. They can also be prefixed to the question word puraman `how many'. There are 16 classifiers, listed in Table~\ref{tab:class}. Those that are also bound roots that express part-whole relations (§\ref{sec:inal}) are marked accordingly. There are two unique classifiers (i.e. classifiers that apply to only one noun: \citealt{grinevald2007}): mir-\footnote{The West Bomberai language Mbaham has a word muur `branch' \parencite{flassy1987} and a transport classifier mu- \parencite{cottet2015}, and Iha has a classifier mur for boats, `motor' and branches (Katherine Walker, p.c.).} for the noun et `canoe' and pel- for the noun im `banana'.\footnote{While I elicited negative grammaticality judgments for mir- with, for example, other modes of transport or other things made of wood, I have not had the chance to test pel- in combination with nouns other than `banana'. In other words, the status of pel- as a unique classifier is based on its lack of appearance in combination with nouns other than `banana' in the current corpus.} An example with the classifier kis- for long thin things on the numeral kon `one', modifying the object tabai `cigarette', is given in~(\ref{exe:kiskon}). An example with the fruit classifier nak- and puraman `how many' is given in~(\ref{exe:watnak}).\is{noun!classification}\is{gender*}",exe:kiskon,\gll ma se tabai=at \textbf{kis}-kon-i jien | \gls 3SG IAM cigarette=OBJ CLF_LONG-one-OBJQNT get | \glt `He got one cigarette.',exe:watnak,\gll wat \textbf{nak}-puraman-i mindi kajie | \gls coconut CLF_FRUIT1-how_many-OBJQNT like_that pick | \glt `We picked up I-don't-know-how-many coconuts like that.',,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,Classifiers\is{classifier|(,,,"Many nouns that are modified with a numeral are not attested with a classifier. Examples include all nouns referring to persons (unless they are in a group and following each other, in which case the group classifier ep- is used), shells as in~(\ref{exe:kanye}), landscape features like lempuang `island' and celestial bodies like pak `moon'. The latter two categories are perhaps not surprising, since they are less likely to be quantified with an exact number. Other nouns associate with more than one classifier (though not at the same time), depending on which characteristic of the nominal referent is being emphasised. This way, classifiers help specify whether we are talking about the leaves, the stem or the fruit of a plant, or whether we are talking about a halved fish, fish as single entities, fish on a string or schools of fish. To take another example, mun `lime' can be modified with the classifier for halves tabak- if it is cut cross-wise, or with the fruit classifier nak- if it is whole. Consider also the examples with sayang `nutmeg' in~(\ref{exe:sayangya}):",exe:kanye,\gll in marua [pas kanyot=at] \textbf{kansuor-i} koluk | \gls 1PL.EXCL move_seawards exactly giant_clam=OBJ four-OBJQNT find | \glt `We went to sea and found four giant clams right there.',exe:sayangya,Not found,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,Other structural properties of numeral quantifiers,,,"Kalamang has a fraction-like operation marked with taikon, which literally means `one side' but can be used to mean `half', as in~(\ref{exe:taikon}). Indigenous ways of doing arithmetic operations are so far unattested.\is{arithmetic operation!fraction}",exe:taikon,\gll koi mun \textbf{taikon} | \gls then lime half | \glt `Then half a lime...',,,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Numerals\is{numeral,Other structural properties of numeral quantifiers,,,"Alternatively, estimations are expressed with ye `or' in between the numerals, as exemplified in~(\ref{exe:wan}) and~(\ref{exe:pak}) above.\is{numeral|)}",exe:wan,Not found,exe:pak,Not found,,,,,,,,,,,,,,,,
Quantifiers\is{numeral|(\is{quantifier|(,Non-numeral quantifiers\is{quantifier!non-numeral|(,,,,"Bolon occurs with non-count\is{count noun} referents. It is the only non-numeral quantifier that co-occurs with -tak `only, just', as illustrated in~(\ref{exe:buoksarun}). Like with kon `one' + -tak, which becomes kodak, the final nasal of the root is deleted and the plosive is voiced: bolon + -tak = bolodak.",exe:buoksarun,"\gll mu buoksarun=at paruo ba \textbf{bolodak} to | \gls 3PL offering=OBJ make but little_only right | \glt `They are making the offering, but just a little, right.'",,,,,,,,,,,,,,,,,,
